,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
147,rebound,shobrook/rebound,logging,Command-line tool that instantly fetches Stack Overflow results when an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,MIT,2018-02-28 04:47:03.000,2023-09-20 00:27:50.974,2022-02-16 05:16:40,168.0,,383.0,76.0,41.0,24.0,38.0,4018.0,2023-09-19 21:47:12.000,3.28.1,207.0,16.0,26,False,,rebound,conda-forge/rebound,,45.0,24.0,https://pypi.org/project/rebound,2023-09-19 21:47:12.000,21.0,5113.0,12870.0,https://anaconda.org/conda-forge/rebound,2023-09-20 00:27:50.974,310163.0,3.0,234.0,,,,,,,,,,,,,,,,,,
148,memory_profiler,fabianp/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2016-05-26 17:45:08.632,2023-06-16 13:17:34.885,2018-06-28 13:35:12,500.0,,371.0,5.0,1.0,,,3951.0,2022-11-15 17:59:01.069,0.61.0,59.0,62.0,26,False,,memory_profiler,conda-forge/memory_profiler,,211.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,211.0,834779.0,838933.0,https://anaconda.org/conda-forge/memory_profiler,2023-06-16 13:17:34.885,365568.0,3.0,,,,,,,,,,,,11.0,,,,,,,
149,freezegun,spulec/freezegun,testing,Let your Python tests travel through time.,,https://github.com/spulec/freezegun,https://github.com/spulec/freezegun,Apache-2.0,2012-12-11 05:11:00.000,2023-08-25 00:29:01.000,2023-02-22 05:49:22,592.0,,244.0,33.0,222.0,112.0,178.0,3806.0,,,15.0,109.0,26,True,,freezegun,conda-forge/freezegun,,,,https://pypi.org/project/freezegun,,,6575939.0,6592177.0,https://anaconda.org/conda-forge/freezegun,2023-06-16 13:17:16.464,1461473.0,3.0,,,,,,,,,,,,-7.0,,,,,,,
150,detect-secrets,Yelp/detect-secrets,security,An enterprise friendly way of detecting and preventing secrets in code.,,https://github.com/Yelp/detect-secrets,https://github.com/Yelp/detect-secrets,Apache-2.0,2017-12-05 00:38:38.000,2023-09-04 15:34:22.000,2023-04-11 16:04:33,1217.0,,330.0,48.0,420.0,91.0,199.0,3191.0,2022-10-05 17:13:10.000,1.4.0,8.0,73.0,26,True,,detect-secrets,,,,,https://pypi.org/project/detect-secrets,,,376980.0,376980.0,,,,3.0,,,,,,,,,,,,,,,,,,,
151,uiautomator,xiaocong/uiautomator,testing,Python wrapper of Android uiautomator test tool.,,https://github.com/xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2023-02-28 00:25:02.000,2020-11-16 01:36:32,316.0,,636.0,156.0,35.0,183.0,119.0,1943.0,2020-11-16 03:43:07.000,1.0.2,41.0,13.0,26,False,,uiautomator,,,321.0,253.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,68.0,23032.0,23032.0,,,,3.0,,,,,,,,,,,,,,,,,,,
152,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2023-08-24 02:21:44.000,2022-12-21 03:55:00,575.0,,139.0,8.0,116.0,123.0,203.0,1007.0,2021-08-03 14:51:19.000,0.10.0,34.0,58.0,26,True,,pdoc3,anaconda/pdoc3,,3788.0,3570.0,https://pypi.org/project/pdoc3,2021-08-03 14:51:19.000,218.0,195265.0,195297.0,https://anaconda.org/anaconda/pdoc3,2023-06-16 16:19:13.966,1495.0,3.0,,,,,,,,,,,,,,,,,,,
153,pytest-testmon,tarpas/pytest-testmon,testing,Selects tests affected by changed files. Executes the right tests first. Continuous test runner when used with pytest-..,,https://github.com/tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2023-09-03 20:47:47.000,2023-07-13 12:56:05,366.0,5.0,51.0,18.0,78.0,27.0,120.0,716.0,2023-07-13 13:22:05.000,2.0.12,84.0,24.0,26,True,,pytest-testmon,conda-forge/pytest-testmon,['pytest'],1167.0,1161.0,https://pypi.org/project/pytest-testmon,2023-07-13 13:17:02.192,6.0,128855.0,129456.0,https://anaconda.org/conda-forge/pytest-testmon,2023-06-16 16:09:13.484,40271.0,3.0,,,,,,,,,,,,,,,,,,,
154,pytest-watch,joeyespo/pytest-watch,testing,Local continuous test runner with pytest and watchdog.,,https://github.com/joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2023-06-16 16:07:30.628,2019-06-15 20:36:43,183.0,,55.0,12.0,49.0,51.0,44.0,703.0,2018-05-20 19:52:16.000,4.2.0,17.0,16.0,26,False,,pytest-watch,conda-forge/pytest-watch,['pytest'],9254.0,8579.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000,675.0,458921.0,460288.0,https://anaconda.org/conda-forge/pytest-watch,2023-06-16 16:07:30.628,92959.0,3.0,,,,,,,,,,,,,,,,,,,
155,darglint,terrencepreilly/darglint,linters,A python documentation linter which checks that the docstring description matches the definition.,,https://github.com/terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2023-06-16 16:17:00.951,2021-10-18 03:34:23,504.0,,42.0,7.0,61.0,56.0,95.0,480.0,,,18.0,22.0,26,False,,darglint,conda-forge/darglint,,19391.0,19391.0,https://pypi.org/project/darglint,,,413470.0,415023.0,https://anaconda.org/conda-forge/darglint,2023-06-16 16:17:00.951,74575.0,3.0,,,,,,,,,,,,,,,,,,,
156,nitpick,andreoliwa/nitpick,linters,Enforce the same settings on multiple projects.,,https://github.com/andreoliwa/nitpick,https://github.com/andreoliwa/nitpick,MIT,2018-03-23 14:25:24.000,2023-09-19 04:20:07.000,2023-08-25 02:01:15,818.0,19.0,21.0,3.0,481.0,45.0,80.0,358.0,2023-08-19 01:46:45.000,0.34.0,52.0,16.0,26,True,,nitpick,,['flake8'],1275.0,1263.0,https://pypi.org/project/nitpick,2023-08-19 01:46:40.000,12.0,29894.0,29894.0,,,,3.0,5.0,,,,,,,,,,,,,,,,,,
157,pytest-mypy,dbader/pytest-mypy,testing,Mypy static type checker plugin for Pytest.,,https://github.com/realpython/pytest-mypy,https://github.com/realpython/pytest-mypy,MIT,2016-09-29 14:39:23.000,2023-07-16 21:30:01.000,2023-05-08 06:33:29,274.0,,33.0,9.0,97.0,11.0,52.0,230.0,2022-12-18 18:49:02.248,0.10.3,23.0,16.0,26,True,realpython/pytest-mypy,pytest-mypy,conda-forge/pytest-mypy,['pytest'],4157.0,3685.0,https://pypi.org/project/pytest-mypy,2022-12-18 18:49:02.248,472.0,283272.0,285244.0,https://anaconda.org/conda-forge/pytest-mypy,2023-06-16 19:18:02.883,84818.0,3.0,,,,,,,,,,,,,,,,,,,
158,asteval,newville/asteval,ast,minimalistic evaluator of python expression using ast module.,,https://github.com/newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2023-07-16 20:56:29.139,2023-07-16 18:20:44,535.0,23.0,38.0,10.0,57.0,3.0,61.0,163.0,2023-07-16 18:33:22.000,0.9.31,31.0,24.0,26,True,,asteval,conda-forge/asteval,,175.0,,https://pypi.org/project/asteval,2022-05-24 15:52:50.000,175.0,267141.0,277523.0,https://anaconda.org/conda-forge/asteval,2023-07-16 20:56:29.139,321854.0,3.0,,,,,,,,,,,,,,,,,,,
