,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
20,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2022-09-01 10:33:23.000,2022-09-01 10:32:25,16026.0,97.0,1238.0,197.0,3193.0,7659.0,4854.0,2022-08-03 21:03:44.000,4.14.0,100.0,394.0,40,True,conda,conda-forge/conda,,1020.0,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,1090.0,200727.0,622951.0,https://anaconda.org/conda-forge/conda,2022-08-18 15:52:17.990,30822396.0,1.0,,,,,,,,,,,,,,,,,,,,
21,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-09-01 10:26:44.000,2022-08-31 20:06:40,7748.0,446.0,897.0,73.0,2985.0,3783.0,4182.0,2022-08-26 11:05:33.957,2.15.0,150.0,472.0,40,True,pylint,conda-forge/pylint,,649.0,21280.0,,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,21280.0,12442376.0,12485082.0,https://anaconda.org/conda-forge/pylint,2022-08-26 15:25:46.567,3117609.0,1.0,,,,,,,,,,,,,,,,,,,,
22,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-08-29 17:15:53.000,2022-08-29 17:15:53,2104.0,26.0,422.0,42.0,1037.0,1300.0,2962.0,2022-06-29 23:25:56.000,3.25.1,130.0,262.0,40,True,tox,conda-forge/tox,['pytest'],65.0,82969.0,62074.0,https://pypi.org/project/tox,2022-06-29 23:24:55.000,20895.0,4934715.0,4943336.0,https://anaconda.org/conda-forge/tox,2022-06-30 13:54:22.394,517315.0,1.0,,,,,,,,,,,,,,,,,,,,
23,poetry,python-poetry/poetry,dependency-managers,Python dependency management and packaging made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-09-01 10:33:16.000,2022-09-01 09:16:22,2507.0,175.0,1720.0,174.0,1896.0,3230.0,21179.0,2022-08-31 03:48:14.633,1.2.0,152.0,385.0,39,True,poetry,conda-forge/poetry,,993.0,155.0,,https://pypi.org/project/poetry,2022-06-06 21:41:00.000,155.0,8023424.0,8296908.0,https://anaconda.org/conda-forge/poetry,2022-08-31 12:09:56.826,589257.0,2.0,13815811.0,,,,,,,,,,,,,,,,,,,
24,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-08-29 22:58:14.000,2022-08-15 21:23:45,2266.0,34.0,617.0,79.0,931.0,1522.0,8740.0,2022-07-11 00:58:54.000,2.20.0,169.0,141.0,39,True,pre-commit,conda-forge/pre-commit,,21.0,62303.0,58855.0,https://pypi.org/project/pre-commit,2022-05-05 13:55:13.000,3448.0,6321997.0,6370005.0,https://anaconda.org/conda-forge/pre-commit,2022-07-11 12:30:44.086,1706276.0,1.0,113582.0,,,,,,,,,,,,,,,,,,,
25,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-08-29 22:20:23.000,2022-08-20 18:39:06,12387.0,185.0,530.0,67.0,2142.0,1266.0,6169.0,2022-08-20 18:39:30.000,hypothesis-python-6.54.4,990.0,294.0,39,True,hypothesis,conda-forge/hypothesis,,40.0,15860.0,13886.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,1974.0,3347917.0,3430648.0,https://anaconda.org/conda-forge/hypothesis,2022-08-20 21:06:30.669,6122121.0,1.0,,,,,,,-1.0,,,,,,,,,,,,,
26,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2022-08-22 09:59:53.000,2022-08-22 09:59:53,8270.0,4.0,464.0,113.0,559.0,1264.0,5222.0,2021-11-17 00:47:47.000,0.18.1,31.0,151.0,39,True,jedi,conda-forge/jedi,,46.0,228513.0,220204.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,8309.0,14737612.0,14892359.0,https://anaconda.org/conda-forge/jedi,2022-08-08 11:59:59.996,10987037.0,1.0,,,,,,,,,,,,,,,,,,,,
27,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-08-14 21:25:10.000,2022-08-09 00:44:39,1313.0,24.0,658.0,121.0,428.0,572.0,4671.0,2022-08-03 23:15:05.358,2.9.1,15.0,131.0,38,True,pycodestyle,conda-forge/pycodestyle,,119.0,257166.0,245804.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,11362.0,24977420.0,25041949.0,https://anaconda.org/conda-forge/pycodestyle,2022-08-04 18:37:50.261,4839734.0,1.0,,,,,,,,,,,,,,,,,,,,
28,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-08-14 13:25:05.000,2022-08-14 13:25:04,2767.0,24.0,273.0,65.0,207.0,343.0,4145.0,2022-08-09 12:57:05.771,1.7.0,69.0,54.0,38,True,autopep8,conda-forge/autopep8,,101.0,137244.0,131558.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,5686.0,3566418.0,3577119.0,https://anaconda.org/conda-forge/autopep8,2022-08-09 15:59:52.816,802602.0,2.0,,,,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-09-01 14:18:20.000,2022-08-31 14:15:05,1480.0,63.0,301.0,59.0,877.0,560.0,1318.0,2022-08-31 14:15:29.176,1.9.6,160.0,140.0,38,True,sentry-sdk,conda-forge/sentry-sdk,,174.0,24659.0,23644.0,https://pypi.org/project/sentry-sdk,2022-06-22 08:27:10.000,1015.0,16762310.0,16767295.0,https://anaconda.org/conda-forge/sentry-sdk,2022-08-31 19:24:54.932,224772.0,1.0,4195.0,,,,,,,,,,,,,,,,,,,
