,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
157,sixpack,https://github.com/sixpack/sixpack,,Sixpack is a language-agnostic a/b-testing framework.,testing,22,True,sixpack/sixpack,https://github.com/sixpack/sixpack,BSD-2-Clause,2012-11-15 00:01:06.000,2021-01-21 06:05:38.000,2020-08-26 00:32:16.000,185.0,125.0,1668.0,2017-11-22 14:27:35.000,2.7.0,37.0,55.0,,,sixpack,88.0,828.0,12.0,8.0,https://pypi.org/project/sixpack,2017-11-22 14:27:35.000,4.0,206.0,206.0,,,,3.0,,,,,,,,,,
158,pyupgrade,https://github.com/asottile/pyupgrade,,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,refactoring,22,True,asottile/pyupgrade,https://github.com/asottile/pyupgrade,MIT,2017-02-28 17:50:31.000,2021-02-10 05:00:57.000,2021-02-08 17:21:48.000,59.0,142.0,835.0,2021-02-08 00:10:45.000,2.10.0,85.0,14.0,conda-forge/pyupgrade,,pyupgrade,21.0,601.0,10.0,,https://pypi.org/project/pyupgrade,2021-02-08 00:10:45.000,10.0,30488.0,36659.0,https://anaconda.org/conda-forge/pyupgrade,2021-02-08 02:18:35.520,154291.0,3.0,,,,,,,,,,
159,pdoc,https://github.com/mitmproxy/pdoc,,API Documentation for Python Projects.,documentation,22,True,mitmproxy/pdoc,https://github.com/mitmproxy/pdoc,Unlicense,2013-08-04 21:12:50.000,2021-02-10 06:32:32.000,2021-02-10 06:32:28.000,98.0,136.0,829.0,2021-02-07 18:27:48.000,6.1.0,48.0,25.0,,,pdoc,3.0,,568.0,280.0,https://pypi.org/project/pdoc,2021-02-07 18:27:48.000,288.0,4766.0,4766.0,,,,3.0,,,,,,,,,,
160,pynsist,https://github.com/takluyver/pynsist,,Build Windows installers for Python applications.,packaging,22,True,takluyver/pynsist,https://github.com/takluyver/pynsist,MIT,2014-03-30 19:11:21.000,2021-02-09 10:21:43.000,2020-12-11 22:53:20.000,95.0,124.0,672.0,2020-07-03 08:11:24.000,2.5.1,20.0,26.0,,,pynsist,23.0,532.0,88.0,,https://pypi.org/project/pynsist,2020-11-05 21:10:48.000,88.0,1787.0,1787.0,,,,3.0,,,,,,,,,,
161,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",packaging,22,True,marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,PSF-2.0,2017-01-22 04:25:52.000,2021-02-09 06:24:06.000,2021-02-06 21:38:19.000,141.0,533.0,645.0,2021-01-24 10:58:47.000,6.5.3,15.0,86.0,conda-forge/cx_freeze,,cx_freeze,73.0,,153.0,,https://pypi.org/project/cx_freeze,2017-12-16 18:09:35.000,153.0,13412.0,15278.0,https://anaconda.org/conda-forge/cx_freeze,2021-01-05 08:47:35.640,46664.0,3.0,,,,,,,,,,
162,python-hunter,https://github.com/ionelmc/python-hunter,,Hunter is a flexible code tracing toolkit.,debugging,22,True,ionelmc/python-hunter,https://github.com/ionelmc/python-hunter,BSD-2-Clause,2015-03-16 18:03:16.000,2021-02-11 09:41:50.000,2021-01-26 21:15:19.000,27.0,44.0,584.0,2020-10-24 15:25:27.000,3.3.1,41.0,6.0,,,hunter,34.0,902.0,88.0,54.0,https://pypi.org/project/hunter,2020-10-24 15:25:27.000,34.0,5535.0,5535.0,,,,3.0,,,,,,,,,,
163,pytest-randomly,https://github.com/pytest-dev/pytest-randomly,,Pytest plugin to randomly order tests and control random.seed.,testing,22,True,pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2021-02-07 17:52:07.000,2021-02-07 17:52:06.000,21.0,27.0,276.0,2020-11-16 10:02:15.000,3.5.0,20.0,15.0,,,pytest-randomly,7.0,,107.0,,https://pypi.org/project/pytest-randomly,2020-11-16 10:02:15.000,107.0,227485.0,227485.0,,,,3.0,,-2.0,,,,,,,,
164,baron,https://github.com/PyCQA/baron,,"IDE allow you to refactor code, Baron allows you to write refactoring code.",refactoring,22,True,PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2021-01-31 10:24:10.000,2020-02-10 02:47:14.000,50.0,29.0,253.0,2019-02-25 23:55:38.000,0.8,18.0,31.0,,,baron,41.0,1489.0,227.0,135.0,https://pypi.org/project/baron,2018-10-29 00:43:39.000,92.0,6043.0,6043.0,,,,3.0,,,,,,,,,,
165,flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,,A flake8 plugin to help you write better list/set/dict comprehensions.,linters,22,True,adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2021-02-07 16:33:12.000,2021-02-07 16:33:11.000,12.0,28.0,245.0,2020-12-19 10:49:01.000,3.3.1,25.0,9.0,conda-forge/flake8-comprehensions,['flake8'],flake8-comprehensions,10.0,,714.0,,https://pypi.org/project/flake8-comprehensions,2020-12-19 10:49:01.000,714.0,169835.0,174959.0,https://anaconda.org/conda-forge/flake8-comprehensions,2020-12-20 00:33:24.687,261358.0,3.0,,-2.0,,,,,,,,
166,interrogate,https://github.com/econchick/interrogate,,Explain yourself! Interrogate a codebase for docstring coverage.,documentation,22,True,econchick/interrogate,https://github.com/econchick/interrogate,MIT,2020-04-24 02:33:25.000,2021-02-07 05:11:12.000,2020-11-03 22:08:37.000,18.0,16.0,237.0,2020-11-03 22:11:18.000,1.3.2,12.0,8.0,,,interrogate,11.0,122.0,352.0,352.0,https://pypi.org/project/interrogate,2020-11-03 22:11:18.000,,17129.0,17129.0,,,,3.0,,,,,,,,,,
