,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-11-23 21:05:58.000,2022-11-21 16:24:46,1457.0,53.0,1937.0,225.0,1267.0,1772.0,30341.0,2022-10-06 22:46:02.996,22.10.0,42.0,348.0,42,True,359.0,black,conda-forge/black,,7852.0,,https://pypi.org/project/black,2022-06-28 00:39:54.000,16365499.0,16467510.0,https://anaconda.org/conda-forge/black,2022-10-27 20:13:05.568,5579255.0,1.0,7852.0,,25652.0,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-11-27 02:42:56.000,2022-09-03 10:56:22,1928.0,3.0,1168.0,206.0,494.0,560.0,23440.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,376.0,tqdm,conda-forge/tqdm,,375537.0,353108.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,46213649.0,46412826.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,15521869.0,1.0,22429.0,,10361.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-11-12 01:50:51.768311,2.0,4056.0,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-11-29 13:27:22.000,2022-11-06 23:57:33,1821.0,96.0,2107.0,232.0,1094.0,1634.0,15405.0,2022-11-01 18:34:14.000,1.4.2,55.0,225.0,42,True,116.0,mkdocs,conda-forge/mkdocs,['mkdocs'],31566.0,27816.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,1190511.0,1193193.0,https://anaconda.org/conda-forge/mkdocs,2022-11-12 09:58:55.579,214561.0,1.0,3750.0,,,,,,,,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-11-30 21:39:55.369,2022-11-30 21:19:55,4669.0,206.0,2625.0,112.0,2093.0,1619.0,11867.0,2022-11-30 13:03:29.000,8.5.11,286.0,170.0,42,True,14.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],19067.0,19067.0,https://pypi.org/project/mkdocs-material,2022-11-08 14:44:39.000,1720559.0,1724786.0,https://anaconda.org/conda-forge/mkdocs-material,2022-11-30 21:39:55.369,181780.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-11-30 23:22:12.000,2022-11-29 19:43:21,8591.0,129.0,1841.0,233.0,2072.0,4449.0,9789.0,2022-10-31 17:46:11.000,5.6.2,46.0,442.0,42,True,272.0,pyinstaller,conda-forge/pyinstaller,,32715.0,32526.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,895956.0,907478.0,https://anaconda.org/conda-forge/pyinstaller,2022-11-09 22:22:41.109,378559.0,1.0,189.0,,733370.0,,,,,,,,,,,,,,,,,,
16,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2022-11-22 16:27:48.875,2022-11-21 22:23:46,8322.0,45.0,479.0,114.0,564.0,1281.0,5287.0,2022-11-21 22:34:01.796,0.18.2,32.0,156.0,42,True,44.0,jedi,conda-forge/jedi,,254686.0,246378.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,16381425.0,16554101.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,12778074.0,1.0,8308.0,,,,,,,,,,,,,,,,,,,,
17,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-11-30 17:52:48.000,2022-11-30 17:52:48,19747.0,142.0,1780.0,140.0,4730.0,5209.0,5017.0,2022-10-17 21:45:48.000,6.0.0b2,175.0,757.0,42,True,1087.0,sphinx,conda-forge/sphinx,['sphinx'],294363.0,234402.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,8648853.0,8735178.0,https://anaconda.org/conda-forge/sphinx,2022-10-16 10:22:22.751,6560741.0,1.0,59961.0,,,,,,,,,,,,,,,,,,,,
18,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-11-29 04:15:46.000,2022-11-29 04:15:45,2339.0,67.0,250.0,32.0,286.0,1450.0,2485.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,42,True,24.0,flake8,conda-forge/flake8,,355578.0,313687.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,18948444.0,19015038.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,5194341.0,1.0,41891.0,,,,,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-11-22 14:48:48.000,2022-11-20 16:14:59,13774.0,116.0,2039.0,482.0,605.0,3729.0,7595.0,2022-11-03 17:22:13.392,6.0.1,96.0,172.0,41,True,247.0,robotframework,conda-forge/robotframework,,7423.0,6375.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1345996.0,1347728.0,https://anaconda.org/conda-forge/robotframework,2022-11-03 22:03:39.410,101905.0,1.0,1048.0,,539.0,,,,,,,,,,,,,,,,,,
20,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-11-29 02:43:04.000,2022-11-29 02:43:03,2312.0,44.0,663.0,82.0,966.0,1601.0,9264.0,2022-07-11 00:58:54.000,2.20.0,169.0,146.0,40,True,20.0,pre-commit,conda-forge/pre-commit,,70313.0,66865.0,https://pypi.org/project/pre-commit,2022-05-05 13:55:13.000,7793525.0,7850216.0,https://anaconda.org/conda-forge/pre-commit,2022-10-28 15:12:46.425,2131188.0,1.0,3448.0,,214983.0,,,,,,,,,,,,,,,,,,
21,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-12-01 10:38:42.000,2022-11-30 09:56:13,12558.0,171.0,537.0,69.0,2178.0,1294.0,6363.0,2022-11-30 10:09:25.007,6.58.2,1003.0,297.0,40,True,44.0,hypothesis,conda-forge/hypothesis,,16958.0,14986.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,3568071.0,3657609.0,https://anaconda.org/conda-forge/hypothesis,2022-11-30 12:38:48.554,6894449.0,1.0,1972.0,,,,,,,,,,,,,,,,,,,,
22,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2022-12-01 00:39:42.000,2022-11-30 10:25:37,16131.0,105.0,1275.0,196.0,3369.0,7825.0,5014.0,2022-11-30 14:19:59.000,22.11.0,100.0,406.0,40,True,1031.0,conda,conda-forge/conda,,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,192282.0,644009.0,https://anaconda.org/conda-forge/conda,2022-11-30 15:06:39.501,34331307.0,1.0,1090.0,,,,,,,,,,,,,,,,,,,,
23,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-11-30 21:56:02.000,2022-11-30 21:56:02,8102.0,353.0,938.0,72.0,3270.0,3971.0,4364.0,2022-11-29 11:20:46.693,2.15.7,157.0,500.0,40,True,673.0,pylint,conda-forge/pylint,,21277.0,,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,12991318.0,13036603.0,https://anaconda.org/conda-forge/pylint,2022-11-29 17:54:13.623,3441665.0,1.0,21277.0,,,,,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2022-12-01 00:42:51.000,2022-11-28 05:54:26,615.0,30.0,969.0,160.0,1181.0,1170.0,4322.0,2022-11-28 05:55:04.634,20.17.0,196.0,240.0,40,True,75.0,virtualenv,conda-forge/virtualenv,,17756.0,,https://pypi.org/project/virtualenv,2022-07-27 21:53:47.000,41390056.0,41434426.0,https://anaconda.org/conda-forge/virtualenv,2022-11-28 09:40:51.057,3061559.0,2.0,17756.0,,,,,,,,,,,,,,,,,,,,
25,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-12-01 05:49:13.000,2022-12-01 05:48:57,2674.0,159.0,1806.0,185.0,2158.0,3953.0,22789.0,2022-10-10 19:45:14.090,1.2.2,154.0,416.0,39,True,650.0,poetry,conda-forge/poetry,,155.0,,https://pypi.org/project/poetry,2022-08-31 03:48:14.633,10746518.0,11021940.0,https://anaconda.org/conda-forge/poetry,2022-10-31 19:50:24.779,705010.0,2.0,155.0,-1.0,14618003.0,,,,,,,,,,,,,,,,,,
26,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-12-01 09:48:07.000,2022-11-30 18:59:50,342.0,34.0,443.0,42.0,1083.0,1336.0,3088.0,2022-11-14 05:10:42.085,3.27.1,135.0,251.0,39,True,63.0,tox,conda-forge/tox,['pytest'],86928.0,66037.0,https://pypi.org/project/tox,2022-06-29 23:24:55.000,5265574.0,5274887.0,https://anaconda.org/conda-forge/tox,2022-11-14 13:23:39.814,586767.0,1.0,20891.0,-1.0,,,,,,,,,,,,,,,,,,,
27,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-12-01 12:47:14.000,2022-12-01 11:04:41,1577.0,93.0,326.0,56.0,977.0,608.0,1379.0,2022-11-22 12:40:44.691,1.11.1,168.0,151.0,39,True,186.0,sentry-sdk,conda-forge/sentry-sdk,,26190.0,26190.0,https://pypi.org/project/sentry-sdk,2022-10-21 14:39:28.000,18547744.0,18553765.0,https://anaconda.org/conda-forge/sentry-sdk,2022-11-22 16:13:01.290,290862.0,1.0,,,3803.0,,,,,,,,,,,,,,,,,,
28,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-11-21 17:46:47.000,2022-05-20 06:58:02,3909.0,,491.0,42.0,862.0,1024.0,5381.0,2021-11-09 05:43:22.000,5.10.1,132.0,263.0,38,True,120.0,isort,conda-forge/isort,,305354.0,290232.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,24742672.0,24794158.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,3964462.0,2.0,15122.0,,,,,,,,,,,,,,,,,,,,
29,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-11-29 04:15:39.000,2022-11-29 04:15:38,1347.0,34.0,671.0,119.0,446.0,587.0,4725.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,38,True,116.0,pycodestyle,conda-forge/pycodestyle,,285394.0,274033.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,28134061.0,28202907.0,https://anaconda.org/conda-forge/pycodestyle,2022-11-24 16:23:10.571,5370002.0,1.0,11361.0,,,,,,,,,,,,,,,,,,,,
30,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2022-11-22 17:36:02.000,2022-11-22 13:48:50,1432.0,19.0,1699.0,162.0,638.0,569.0,4245.0,2022-11-04 19:24:09.941,1.1.1,37.0,112.0,38,True,220.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],6054.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2022-10-13 20:24:36.386,3334130.0,3373037.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2022-11-06 16:10:03.932,2956975.0,2.0,6038.0,,,,,,,,,,,,,,,,,,,,
31,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2022-11-20 17:58:22.000,2022-11-20 17:58:15,4527.0,137.0,1333.0,492.0,571.0,1341.0,21836.0,2022-10-29 09:42:17.000,3.3.0,90.0,166.0,37,True,238.0,glances,conda-forge/glances,,597.0,547.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,296791.0,298992.0,https://anaconda.org/conda-forge/glances,2022-11-03 21:02:41.924,177590.0,1.0,50.0,,827.0,,,,,,,,,,,,,,,,,,
32,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2022-12-01 08:17:54.000,2022-12-01 07:23:54,1827.0,70.0,551.0,105.0,841.0,759.0,6433.0,2022-12-01 08:20:49.533,6.11.0,107.0,184.0,37,True,132.0,pip-tools,conda-forge/pip-tools,,1867.0,,https://pypi.org/project/pip-tools,2022-06-30 09:26:49.000,7476222.0,7478168.0,https://anaconda.org/conda-forge/pip-tools,2022-05-24 05:42:55.372,62272.0,2.0,1867.0,,,,,,,,,,,,,,,,,,,,
33,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-11-29 07:28:39.000,2022-11-05 09:59:36,2792.0,25.0,278.0,66.0,214.0,346.0,4210.0,2022-10-28 21:13:03.171,2.0.0,71.0,57.0,37,True,103.0,autopep8,conda-forge/autopep8,,149483.0,143797.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,3059996.0,3071688.0,https://anaconda.org/conda-forge/autopep8,2022-10-29 13:49:35.758,912026.0,2.0,5686.0,,,,,,,,,,,,,,,,,,,,
34,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2022-11-27 21:15:38.000,2022-11-27 21:15:37,553.0,16.0,170.0,27.0,286.0,433.0,1213.0,2022-11-24 16:55:02.246,3.0.1,36.0,84.0,37,True,63.0,pyflakes,conda-forge/pyflakes,,187223.0,173584.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000,18935556.0,19001799.0,https://anaconda.org/conda-forge/pyflakes,2022-11-24 20:00:59.834,5166997.0,1.0,13639.0,,,,,,,,,,,,,,,,,,,,
35,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2022-12-01 14:01:54.000,2022-11-19 08:41:04,673.0,19.0,561.0,119.0,88.0,607.0,13459.0,2022-01-29 13:50:01.000,0.6.0,18.0,41.0,36,True,62.0,loguru,conda-forge/loguru,,33618.0,31909.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,4450323.0,4467726.0,https://anaconda.org/conda-forge/loguru,2022-10-26 21:41:01.021,800577.0,2.0,1709.0,,,,,,,,,,,,,,,,,,,,
36,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2022-11-30 22:23:50.000,2022-11-30 22:23:50,1208.0,3.0,858.0,216.0,270.0,400.0,12932.0,2020-04-23 19:07:36.000,0.30.0,68.0,138.0,36,True,360.0,yapf,conda-forge/yapf,,45450.0,43361.0,https://pypi.org/project/yapf,2021-12-26 07:48:00.000,2409624.0,2425261.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692,1219724.0,3.0,2089.0,,,,,,,,,,,,,,,,,,,,
37,pyright,Microsoft/pyright,linters,Static type checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2022-12-01 05:37:40.000,2022-12-01 05:37:33,5520.0,219.0,594.0,75.0,460.0,3393.0,8799.0,2022-11-30 05:28:58.000,1.1.282,366.0,83.0,36,True,16.0,,,,413.0,406.0,,,,349093.0,,,,2.0,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2022-11-30 05:23:39.864,7.0,349093.0,,,,,,,,
38,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2022-12-01 13:54:44.000,2022-12-01 11:02:44,23254.0,239.0,1609.0,205.0,5202.0,792.0,4932.0,2022-09-22 04:30:44.515,3.6.1,120.0,830.0,36,True,668.0,buildbot,conda-forge/buildbot,,761.0,304.0,https://pypi.org/project/buildbot,2022-03-06 14:20:53.000,29186.0,31414.0,https://anaconda.org/conda-forge/buildbot,2022-09-22 06:41:52.613,69718.0,1.0,457.0,,28687.0,,,,,,,,,,,,,,,,,,
39,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2022-11-29 20:08:06.000,2022-09-30 21:53:37,3568.0,10.0,331.0,96.0,221.0,379.0,3748.0,2022-09-30 21:54:38.717,1.7.3,58.0,57.0,36,True,346.0,invoke,conda-forge/invoke,,16955.0,14326.0,https://pypi.org/project/invoke,2022-05-11 16:04:49.000,3985516.0,3996301.0,https://anaconda.org/conda-forge/invoke,2022-10-06 14:51:40.510,862835.0,1.0,2629.0,,,,,,,,,,,,,,,,,,,,
40,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2022-12-01 01:29:17.000,2022-11-28 14:16:30,2148.0,47.0,354.0,25.0,1505.0,951.0,2081.0,2022-09-27 22:22:25.120,0.17.0,55.0,180.0,36,True,99.0,wemake-python-styleguide,,,8731.0,8700.0,https://pypi.org/project/wemake-python-styleguide,2022-03-11 18:59:38.000,193220.0,193220.0,,,,2.0,31.0,,,,,,,,,,,,,,,,,,,,
