,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
43,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2024-02-14 11:38:21.000,2024-02-14 11:38:20,2610.0,103.0,311.0,29.0,903.0,1394.0,6153.0,2024-02-01 05:03:18.000,2.12.3,188.0,167.0,36,True,,43.0,pdm,conda-forge/pdm,,312.0,240.0,https://pypi.org/project/pdm,2024-02-01 05:03:11.000,72.0,721802.0,730145.0,https://anaconda.org/conda-forge/pdm,2024-02-01 06:53:12.992,241963.0,2.0,4.0,,,,,,,,,,,,,,,,
44,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2024-02-15 14:08:04.000,2024-02-15 14:08:04,24719.0,439.0,1491.0,200.0,5783.0,878.0,5143.0,2024-01-25 19:46:24.000,3.11.0,64.0,857.0,36,True,,699.0,buildbot,conda-forge/buildbot,,345.0,345.0,https://pypi.org/project/buildbot,,,22075.0,24633.0,https://anaconda.org/conda-forge/buildbot,2024-01-25 22:08:36.918,92518.0,2.0,36768.0,,,,,,,,,,,,,,,,
45,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,MIT,2009-10-02 00:43:37.000,2024-02-06 20:51:43.000,2024-02-06 20:51:42,1448.0,8.0,801.0,116.0,500.0,636.0,4950.0,2023-10-12 23:39:38.000,2.11.1,19.0,134.0,36,True,,109.0,pycodestyle,conda-forge/pycodestyle,,11711.0,20.0,https://pypi.org/project/pycodestyle,2023-10-12 23:39:38.000,11691.0,35636767.0,35846665.0,https://anaconda.org/conda-forge/pycodestyle,2023-10-13 13:17:36.027,7346456.0,2.0,,,,,,,,,,7.0,,,,,,,
46,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2024-01-23 07:06:05.000,2023-10-27 07:04:25,2846.0,,287.0,72.0,236.0,362.0,4481.0,2023-08-26 13:59:08.000,2.0.4,25.0,60.0,36,True,,125.0,autopep8,conda-forge/autopep8,,201665.0,201665.0,https://pypi.org/project/autopep8,,,4122445.0,4154568.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1413430.0,3.0,,,,,,,,,,,,,,,,,
47,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2024-02-13 23:39:29.000,2024-02-13 23:39:28,3282.0,64.0,210.0,27.0,370.0,245.0,1801.0,2024-01-18 04:51:10.000,1.12.0,93.0,81.0,36,True,,93.0,rope,conda-forge/rope,,73603.0,71960.0,https://pypi.org/project/rope,2024-01-18 04:43:15.000,1643.0,830461.0,865250.0,https://anaconda.org/conda-forge/rope,2024-01-18 06:12:43.442,1391167.0,1.0,10.0,,,,,,,,,,,,,,,,
48,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2024-02-15 02:52:43.000,2023-05-24 18:28:10,920.0,,210.0,41.0,244.0,241.0,1622.0,2023-05-24 18:44:54.000,4.1.0,45.0,86.0,36,True,,152.0,pytest-cov,conda-forge/pytest-cov,['pytest'],335150.0,298870.0,https://pypi.org/project/pytest-cov,2023-05-24 18:44:54.000,36280.0,36965886.0,37073381.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,10212098.0,2.0,,,,,,,,,,,,,,,,,
49,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,,2014-05-15 22:49:43.000,2024-02-01 15:30:25.000,2024-01-17 19:36:10,686.0,10.0,221.0,28.0,421.0,283.0,566.0,2023-10-01 13:50:29.000,23.2,19.0,105.0,36,False,,74.0,packaging,conda-forge/packaging,,1051124.0,1051124.0,https://pypi.org/project/packaging,,,279918313.0,280865073.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,42603578.0,2.0,771.0,,,,,,,,,,,,,,,,
50,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2024-01-25 23:51:52.000,2023-06-07 11:16:23,408.0,,1136.0,188.0,159.0,229.0,9244.0,,,12.0,52.0,35,True,,445.0,pyautogui,conda-forge/pyautogui,,31505.0,31505.0,https://pypi.org/project/pyautogui,,,688256.0,693678.0,https://anaconda.org/conda-forge/pyautogui,2023-10-16 16:49:29.444,216902.0,2.0,,,,,,,,,,,,,,,,,
51,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2024-02-15 05:43:19.000,2024-02-15 05:43:17,2369.0,57.0,374.0,29.0,1776.0,962.0,2372.0,2023-05-31 14:30:27.000,0.18.0,56.0,183.0,35,True,,111.0,wemake-python-styleguide,,,16119.0,16072.0,https://pypi.org/project/wemake-python-styleguide,2020-01-19 11:56:48.000,47.0,175781.0,175781.0,,,,2.0,,,,,,,,,,,,,,,,,
52,pytest-mock,pytest-dev/pytest-mock,testing,Thin-wrapper around the mock package for easier use with pytest.,,https://github.com/pytest-dev/pytest-mock,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2024-02-13 16:28:10.000,2024-02-13 16:28:09,604.0,19.0,136.0,35.0,258.0,140.0,1722.0,2023-10-19 16:26:09.000,3.12.0,61.0,69.0,35,True,,12.0,pytest-mock,conda-forge/pytest-mock,['pytest'],80399.0,74697.0,https://pypi.org/project/pytest-mock,2023-10-19 16:25:55.000,5702.0,17476046.0,17532010.0,https://anaconda.org/conda-forge/pytest-mock,2023-10-19 18:22:47.849,2462436.0,2.0,16.0,,,,,,,,,,,,,,,,
53,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2024-02-13 21:59:10.000,2024-02-13 21:58:44,3237.0,33.0,2984.0,386.0,1024.0,1651.0,35437.0,2024-02-13 21:59:44.000,2.3.36,92.0,438.0,34,True,,46.0,pyenv,,,22.0,21.0,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,12569.0,12569.0,,,,2.0,,,,,,,,,,,,,,,,,
54,mimesis,lk-geimfari/mimesis,testing,Mimesis is a powerful Python library that empowers developers to generate massive amounts of synthetic data efficiently.,,https://github.com/lk-geimfari/mimesis,https://github.com/lk-geimfari/mimesis,MIT,2016-09-09 21:41:22.000,2024-02-13 10:41:38.000,2024-01-31 14:29:58,2606.0,51.0,314.0,62.0,1116.0,330.0,4206.0,2024-01-31 14:16:38.000,14.0.0,57.0,118.0,34,True,,7.0,mimesis,conda-forge/mimesis,,1629.0,1629.0,https://pypi.org/project/mimesis,,,167302.0,171433.0,https://anaconda.org/conda-forge/mimesis,2024-01-24 22:04:50.706,177389.0,2.0,551.0,,,,,,,,,,,,,,,,
55,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2024-01-22 10:58:23.000,2023-12-01 19:06:35,3701.0,3.0,354.0,93.0,248.0,403.0,4192.0,,,25.0,60.0,34,True,,315.0,invoke,conda-forge/invoke,,24220.0,24220.0,https://pypi.org/project/invoke,,,7649542.0,7675443.0,https://anaconda.org/conda-forge/invoke,2023-07-13 01:13:36.486,958364.0,2.0,,,,,,,,,,,,,,,,,
56,python-json-logger,madzak/python-json-logger,logging,Json Formatter for the standard python logger.,,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000,2023-12-23 18:52:59.000,2023-02-28 17:40:55,262.0,,220.0,27.0,87.0,89.0,1628.0,2023-02-21 17:39:43.000,2.0.7,10.0,63.0,34,True,,11.0,python-json-logger,conda-forge/python-json-logger,,84953.0,84953.0,https://pypi.org/project/python-json-logger,,,23814475.0,23900463.0,https://anaconda.org/conda-forge/python-json-logger,2023-06-16 13:23:58.542,7051044.0,2.0,,,,,,,,,,,,,,,,,
57,logbook,getlogbook/logbook,logging,A cool logging replacement for Python.,,https://github.com/getlogbook/logbook,https://github.com/getlogbook/logbook,BSD-3-Clause,2010-07-22 10:13:12.000,2024-02-10 00:53:14.000,2024-02-10 00:53:11,1352.0,13.0,162.0,36.0,197.0,137.0,1456.0,2023-11-10 23:35:23.000,1.7.0.post0,45.0,79.0,34,True,,47.0,logbook,conda-forge/logbook,,6687.0,5492.0,https://pypi.org/project/logbook,2023-11-10 23:32:34.000,1195.0,4098762.0,4102586.0,https://anaconda.org/conda-forge/logbook,2023-11-11 10:50:13.350,168161.0,2.0,333.0,,,,,,,,,,,,,,,,
58,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2024-02-12 18:35:15.000,2024-02-09 16:40:37,639.0,83.0,138.0,37.0,474.0,259.0,1287.0,2024-02-09 16:48:21.000,0.23.5,52.0,46.0,34,True,,43.0,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],1837.0,,https://pypi.org/project/pytest-asyncio,2024-02-09 16:48:18.000,1837.0,10872164.0,10913634.0,https://anaconda.org/conda-forge/pytest-asyncio,2024-02-09 21:21:11.205,1865433.0,2.0,410.0,,,,,,,,,,,,,,,,
59,pytest-html,pytest-dev/pytest-html,testing,Plugin for generating HTML reports for pytest results.,,https://github.com/pytest-dev/pytest-html,https://github.com/pytest-dev/pytest-html,MIT,2015-04-14 19:22:42.000,2024-02-13 00:07:57.000,2024-02-02 10:40:15,511.0,4.0,257.0,24.0,374.0,250.0,645.0,2023-11-07 16:58:34.000,4.1.1,58.0,55.0,34,True,,144.0,pytest-html,conda-forge/pytest-html,['pytest'],44573.0,43747.0,https://pypi.org/project/pytest-html,2023-11-07 15:44:27.000,826.0,4797682.0,4810679.0,https://anaconda.org/conda-forge/pytest-html,2023-11-23 18:39:24.921,506884.0,2.0,,,,,,,,,,,,,,,,,
60,parso,davidhalter/parso,linters,A Python Parser.,,https://github.com/davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000,2023-06-18 23:54:48.000,2023-06-18 23:54:47,1112.0,,98.0,22.0,107.0,104.0,574.0,2021-11-30 21:07:01.473,0.8.3,26.0,46.0,34,True,,11.0,parso,conda-forge/parso,,400954.0,394844.0,https://pypi.org/project/parso,2021-11-30 21:07:01.473,6110.0,25520867.0,25755029.0,https://anaconda.org/conda-forge/parso,2023-06-16 13:24:17.757,17328010.0,2.0,,,,,,,,,,,,,,,,,
61,memray,bloomberg/memray,profiling,Memray is a memory profiler for Python.,,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11.000,2024-02-14 03:32:41.000,2024-02-13 15:55:42,1162.0,46.0,384.0,57.0,339.0,133.0,12115.0,2023-12-04 20:37:33.000,1.11.0,19.0,43.0,33,True,,21.0,memray,conda-forge/memray,,319.0,300.0,https://pypi.org/project/memray,2023-12-04 20:37:33.000,19.0,396365.0,400493.0,https://anaconda.org/conda-forge/memray,2023-10-05 21:58:12.929,90826.0,2.0,,,,,,,,,,,,,,,,,
62,Scalene,plasma-umass/scalene,profiling,"Scalene: a high-performance, high-precision CPU, GPU, and memory profiler for Python with AI-powered optimization..",,https://github.com/plasma-umass/scalene,https://github.com/plasma-umass/scalene,Apache-2.0,2019-12-17 20:56:28.000,2024-02-11 22:05:23.000,2024-02-06 21:25:40,3134.0,65.0,368.0,92.0,290.0,274.0,10902.0,2024-01-28 17:10:54.000,1.5.34,157.0,45.0,33,True,,157.0,scalene,,,587.0,581.0,https://pypi.org/project/scalene,2024-01-28 17:10:54.000,6.0,27922.0,27922.0,,,,2.0,,,,,,,,,,,,,,,,,
63,pyre-check,facebook/pyre-check,type-checkers,Performant type-checking for python.,,https://github.com/facebook/pyre-check,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000,2024-02-15 10:11:33.000,2024-02-15 10:04:50,15394.0,411.0,416.0,113.0,398.0,258.0,6626.0,2023-02-14 00:24:14.000,0.9.18,11.0,255.0,33,True,,122.0,pyre-check,,,21.0,21.0,https://pypi.org/project/pyre-check,,,74077.0,74077.0,,,,3.0,,,,,,,,,,,,,,,,,
64,vulture,jendrikseipp/vulture,refactoring,Find dead Python code.,,https://github.com/jendrikseipp/vulture,https://github.com/jendrikseipp/vulture,MIT,2016-08-11 15:39:58.647,2024-01-19 19:55:57.000,2024-01-19 19:55:53,752.0,11.0,176.0,26.0,152.0,176.0,2911.0,2024-01-19 19:44:22.000,2.11,51.0,41.0,33,True,,27.0,vulture,conda-forge/vulture,,4624.0,4345.0,https://pypi.org/project/vulture,2024-01-19 19:42:34.000,279.0,591973.0,592839.0,https://anaconda.org/conda-forge/vulture,2023-06-16 13:24:21.364,77970.0,2.0,,,,,,,,,,,,,,,,,
65,pyarmor,dashingsoft/pyarmor,security,"A tool used to obfuscate python scripts, bind obfuscated scripts to fixed machine or expire obfuscated scripts.",,https://github.com/dashingsoft/pyarmor,https://github.com/dashingsoft/pyarmor,,2017-08-26 04:11:53.000,2024-02-07 23:58:02.000,2024-02-07 23:58:01,4381.0,67.0,249.0,45.0,43.0,1385.0,2759.0,2024-01-26 23:25:12.000,8.4.7,100.0,33.0,33,False,,10.0,pyarmor,,,1106.0,1106.0,https://pypi.org/project/pyarmor,,,153919.0,153919.0,,,,2.0,,,,,,,,,,,,,,,,,
66,pex,pantsbuild/pex,packaging,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",,https://github.com/pex-tool/pex,https://github.com/pex-tool/pex,Apache-2.0,2014-07-21 17:06:12.000,2024-02-15 12:58:14.000,2024-02-15 12:58:14,1446.0,41.0,243.0,55.0,1228.0,942.0,2423.0,2024-02-15 03:22:02.000,2.2.0,100.0,119.0,33,True,pex-tool/pex,152.0,pex,,,548.0,548.0,https://pypi.org/project/pex,,,1581184.0,1722719.0,,,,2.0,3396852.0,,,,,,,,,,,,,,,,
67,briefcase,beeware/briefcase,packaging,Tools to support converting a Python project into a standalone native application.,,https://github.com/beeware/briefcase,https://github.com/beeware/briefcase,BSD-3-Clause,2015-07-28 15:20:03.000,2024-02-14 23:12:34.000,2024-02-14 23:12:33,3818.0,233.0,311.0,45.0,850.0,576.0,2246.0,2024-02-06 06:06:22.000,0.3.17,51.0,137.0,33,True,,130.0,briefcase,,,543.0,524.0,https://pypi.org/project/briefcase,2024-02-06 06:06:22.000,19.0,8653.0,8657.0,,,,2.0,238.0,,,,,,,,,,,,,,,,
68,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-09-24 19:23:46.000,2024-02-14 16:41:33.000,2024-02-14 05:10:16,8986.0,105.0,298.0,61.0,1063.0,2756.0,1899.0,2023-11-20 02:03:13.000,4.6.0,20.0,158.0,33,True,,623.0,scons,conda-forge/scons,,,,https://pypi.org/project/scons,,,447428.0,460185.0,https://anaconda.org/conda-forge/scons,2024-01-02 02:37:29.147,534816.0,2.0,1452.0,,,,,,,,,,,,,,,,
69,prospector,PyCQA/prospector,code-metrics,"Inspects Python source files and provides information about type and location of classes, methods etc.",,https://github.com/landscapeio/prospector,https://github.com/landscapeio/prospector,GPL-2.0,2013-08-05 07:26:30.000,2024-02-06 02:45:23.000,2023-10-18 06:21:56,1396.0,,174.0,36.0,279.0,315.0,1894.0,2023-10-18 06:23:27.000,1.10.3,125.0,90.0,33,True,landscapeio/prospector,58.0,prospector,conda-forge/prospector,,5471.0,4763.0,https://pypi.org/project/prospector,2023-10-18 06:23:27.000,708.0,852655.0,855207.0,https://anaconda.org/conda-forge/prospector,2023-10-19 14:14:48.980,99536.0,1.0,,,,,,,,,,,,,,,,,
70,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2024-02-15 11:22:28.000,2024-02-15 11:12:55,2103.0,109.0,429.0,70.0,1555.0,980.0,1692.0,2024-02-13 11:12:33.000,1.40.4,126.0,203.0,33,True,,152.0,sentry-sdk,conda-forge/sentry-sdk,,,,https://pypi.org/project/sentry-sdk,,,27689623.0,27706197.0,https://anaconda.org/conda-forge/sentry-sdk,2024-02-13 13:48:18.707,725155.0,2.0,3795.0,,,,,,,,,,,,,,,,
71,nodeenv,ekalinin/nodeenv,virtual-envs,Virtual environment for Node.js & integrator with virtualenv.,,https://github.com/ekalinin/nodeenv,https://github.com/ekalinin/nodeenv,BSD-3-Clause,2011-03-29 15:28:56.000,2023-12-20 13:33:36.000,2023-10-05 17:12:04,684.0,,191.0,37.0,166.0,136.0,1658.0,2023-05-12 08:13:47.000,1.8.0,72.0,93.0,33,True,,55.0,nodeenv,conda-forge/nodeenv,,74747.0,73786.0,https://pypi.org/project/nodeenv,2023-05-12 08:10:47.532,961.0,19269394.0,19314641.0,https://anaconda.org/conda-forge/nodeenv,2023-06-16 13:21:50.931,3484081.0,2.0,,,,,,,,,,,,,,,,,
72,typeguard,agronholm/typeguard,type-checkers,Run-time type checker for Python.,,https://github.com/agronholm/typeguard,https://github.com/agronholm/typeguard,,2015-12-27 23:15:37.000,2024-02-12 17:50:59.000,2024-02-05 20:16:07,588.0,11.0,95.0,23.0,124.0,279.0,1396.0,2023-09-11 07:31:36.000,4.1.5,26.0,34.0,33,False,,23.0,typeguard,conda-forge/typeguard,,21050.0,21050.0,https://pypi.org/project/typeguard,,,11931526.0,11942522.0,https://anaconda.org/conda-forge/typeguard,2023-10-24 19:46:37.353,483849.0,3.0,,,,,,,,,,,,,,,,,
73,prettytable,jazzband/prettytable,logging,Display tabular data in a visually appealing ASCII table format.,,https://github.com/jazzband/prettytable,https://github.com/jazzband/prettytable,,2016-01-15 02:39:17.000,2024-02-03 14:42:13.000,2024-02-03 14:42:13,573.0,47.0,139.0,22.0,156.0,91.0,1207.0,2023-09-11 14:02:21.000,3.9.0,21.0,55.0,33,False,,34.0,prettytable,conda-forge/prettytable,,54627.0,54627.0,https://pypi.org/project/prettytable,,,12050757.0,12084224.0,https://anaconda.org/conda-forge/prettytable,2023-09-11 20:34:41.890,1305236.0,2.0,,,,,,,,,,,,,,,,,
74,asv,airspeed-velocity/asv,testing,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,,https://github.com/airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000,2024-02-12 11:08:59.000,2024-02-12 11:08:27,2419.0,75.0,166.0,22.0,809.0,456.0,818.0,2024-02-12 12:17:37.000,0.6.2,15.0,81.0,33,True,,120.0,asv,conda-forge/asv,,1063.0,1063.0,https://pypi.org/project/asv,,,93569.0,110551.0,https://anaconda.org/conda-forge/asv,2023-10-03 19:44:19.217,764158.0,2.0,160.0,,,,,,,,,,,,,,,,
75,alabaster,bitprophet/alabaster,documentation,"Lightweight, configurable Sphinx theme.",,https://github.com/sphinx-doc/alabaster,https://github.com/sphinx-doc/alabaster,,2013-12-07 00:03:15.000,2024-01-17 02:05:17.000,2024-01-10 01:04:53,417.0,33.0,179.0,32.0,91.0,63.0,710.0,2024-01-10 00:55:48.000,0.7.16,8.0,37.0,33,False,sphinx-doc/alabaster,62.0,alabaster,conda-forge/alabaster,['sphinx'],120406.0,120406.0,https://pypi.org/project/alabaster,,,9840947.0,10381554.0,https://anaconda.org/conda-forge/alabaster,2024-01-10 01:09:16.100,7027896.0,2.0,,,,,,,,,,,,,,,,,
76,PySnooper,cool-RR/PySnooper,debugging,Never use print for debugging again.,,https://github.com/cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,MIT,2019-04-18 13:55:43.000,2024-02-05 14:29:49.000,2024-01-13 17:27:19,317.0,4.0,939.0,231.0,118.0,105.0,16180.0,2024-01-05 13:51:59.000,1.2.0,24.0,27.0,32,True,,27.0,pysnooper,conda-forge/pysnooper,,1696.0,1696.0,https://pypi.org/project/pysnooper,,,361776.0,363554.0,https://anaconda.org/conda-forge/pysnooper,2023-07-27 14:52:53.379,72908.0,1.0,,,,,,,,,,,,,,,,,
77,xonsh,xonsh/xonsh,shell,"Python-powered, cross-platform, Unix-gazing shell.",,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh,BSD-1-Clause,2015-01-21 22:05:27.000,2024-02-14 14:14:30.000,2024-02-13 01:17:28,10498.0,26.0,634.0,106.0,2603.0,2210.0,7751.0,2024-01-16 14:00:03.000,0.14.4,126.0,323.0,32,False,,287.0,xonsh,,,98.0,,https://pypi.org/project/xonsh,2024-01-16 14:00:03.000,98.0,26774.0,26878.0,,,,1.0,9675.0,,,,,,,,,,,,,,,,
78,pyinstrument,joerick/pyinstrument,profiling,Call stack profiler for Python. Shows you why your code is slow!.,,https://github.com/joerick/pyinstrument,https://github.com/joerick/pyinstrument,BSD-3-Clause,2014-03-13 17:53:13.000,2024-02-06 09:58:00.000,2024-02-06 09:57:53,950.0,11.0,238.0,53.0,156.0,115.0,5950.0,2024-01-26 19:49:25.000,4.6.2,45.0,55.0,32,True,,24.0,pyinstrument,conda-forge/pyinstrument,,2165.0,2031.0,https://pypi.org/project/pyinstrument,2024-01-26 19:49:25.000,134.0,771991.0,778821.0,https://anaconda.org/conda-forge/pyinstrument,2024-01-26 23:44:31.158,286875.0,2.0,,,,,,,,,,,,,,,,,
79,pipreqs,bndr/pipreqs,dependency-managers,pipreqs - Generate pip requirements.txt file based on imports of any project. Looking for maintainers to move this..,,https://github.com/bndr/pipreqs,https://github.com/bndr/pipreqs,Apache-2.0,2015-04-22 16:38:14.000,2024-01-16 12:36:07.000,2023-10-08 03:21:32,337.0,,361.0,56.0,177.0,108.0,5644.0,2023-04-14 07:11:09.000,0.4.13,6.0,60.0,32,True,,149.0,pipreqs,conda-forge/pipreqs,,26899.0,26899.0,https://pypi.org/project/pipreqs,,,559832.0,560355.0,https://anaconda.org/conda-forge/pipreqs,2023-06-16 13:23:05.413,46613.0,3.0,,,,,,,,,,,,,,,,,
80,pyelftools,eliben/pyelftools,debugging,Parsing ELF and DWARF in Python.,,https://github.com/eliben/pyelftools,https://github.com/eliben/pyelftools,Unlicense,2013-06-08 22:55:54.000,2024-02-15 14:04:21.000,2024-02-15 14:04:20,672.0,5.0,489.0,70.0,295.0,171.0,1840.0,,,11.0,99.0,32,True,,73.0,pyelftools,conda-forge/pyelftools,,7529.0,6957.0,https://pypi.org/project/pyelftools,2023-09-06 23:43:51.000,572.0,3479264.0,3483025.0,https://anaconda.org/conda-forge/pyelftools,2023-09-23 20:45:10.696,150472.0,1.0,,,,,,,,,,,,,,,,,
81,pytest-sugar,Teemu/pytest-sugar,testing,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",,https://github.com/Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,BSD-3-Clause,2013-06-25 21:09:27.000,2024-02-12 04:31:32.000,2024-02-12 04:31:32,443.0,17.0,73.0,18.0,166.0,93.0,1202.0,2024-02-01 18:30:29.000,1.0.0,30.0,53.0,32,True,,22.0,pytest-sugar,conda-forge/pytest-sugar,['pytest'],26951.0,24104.0,https://pypi.org/project/pytest-sugar,2024-02-01 18:30:29.000,2847.0,1381086.0,1386662.0,https://anaconda.org/conda-forge/pytest-sugar,2024-02-05 11:11:27.904,228615.0,2.0,15.0,,,,,,,,,,,,,,,,
82,pydocstyle,PyCQA/pydocstyle,linters,docstring style checker.,,https://github.com/PyCQA/pydocstyle,https://github.com/PyCQA/pydocstyle,MIT,2012-01-31 17:18:23.000,2023-11-03 22:28:46.000,2023-11-03 22:28:45,746.0,,187.0,19.0,318.0,225.0,1106.0,2023-01-17 20:31:11.783,6.3.0,23.0,92.0,32,True,,121.0,pydocstyle,conda-forge/pydocstyle,,65411.0,62571.0,https://pypi.org/project/pydocstyle,2023-01-17 20:31:11.783,2840.0,4462289.0,4481438.0,https://anaconda.org/conda-forge/pydocstyle,2023-06-16 13:18:02.967,1742565.0,2.0,69.0,,,,,,,,,,,,,,,,
83,flake8-bugbear,PyCQA/flake8-bugbear,linters,A plugin for Flake8 finding likely bugs and design problems in your program. Contains warnings that dont belong in..,,https://github.com/PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,MIT,2016-03-15 20:54:43.000,2024-02-14 03:13:51.000,2024-02-14 03:13:50,373.0,42.0,102.0,8.0,244.0,162.0,1025.0,2024-02-07 04:25:21.000,24.2.6,68.0,83.0,32,True,,55.0,flake8-bugbear,conda-forge/flake8-bugbear,['flake8'],36732.0,36185.0,https://pypi.org/project/flake8-bugbear,2024-02-07 04:25:21.000,547.0,2847227.0,2866820.0,https://anaconda.org/conda-forge/flake8-bugbear,2024-02-07 19:51:02.821,764157.0,2.0,,,,,,,,,,,,,,,,,
84,colorlog,borntyping/python-colorlog,logging,A colored formatter for the python logging module.,,https://github.com/borntyping/python-colorlog,https://github.com/borntyping/python-colorlog,MIT,2012-09-05 17:57:21.000,2024-01-26 16:23:52.610,2024-01-26 14:06:47,244.0,14.0,84.0,13.0,48.0,76.0,840.0,2024-01-26 13:58:51.000,6.8.2,22.0,33.0,32,True,,,colorlog,conda-forge/colorlog,,34013.0,34013.0,https://pypi.org/project/colorlog,,,11332091.0,11376823.0,https://anaconda.org/conda-forge/colorlog,2024-01-26 16:23:52.610,1923501.0,2.0,,,,,,,,,,,,,,,,,
