,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
82,pex,https://github.com/pantsbuild/pex,,A library and tool for generating .pex (Python EXecutable) files.,packaging,27,True,pantsbuild/pex,https://github.com/pantsbuild/pex,Apache-2.0,2014-07-21 17:06:12.000,2021-03-08 15:57:56.000,2021-03-08 15:56:51.000,190.0,523.0,1821.0,2021-03-08 15:59:52.000,2.1.33,121.0,95.0,,pex,137.0,867.0,230.0,,https://pypi.org/project/pex,2021-02-25 23:06:56.000,230.0,52378.0,56683.0,,,,2.0,,254031.0,,,,,,,,,
83,prospector,https://github.com/PyCQA/prospector,,"Inspects Python source files and provides information about type and location of classes, methods etc.",code-metrics,27,True,PyCQA/prospector,https://github.com/PyCQA/prospector,GPL-2.0,2013-08-05 07:26:30.000,2021-03-02 10:40:50.000,2020-10-21 22:30:57.000,119.0,211.0,1398.0,2020-10-21 22:32:26.000,1.3.1,91.0,67.0,conda-forge/prospector,prospector,44.0,1051.0,3269.0,2131.0,https://pypi.org/project/prospector,2020-10-21 22:31:43.000,1138.0,75236.0,75642.0,https://anaconda.org/conda-forge/prospector,2020-11-18 00:26:14.628,22334.0,2.0,,,,,,,,,,,
84,pyelftools,https://github.com/eliben/pyelftools,,Parsing ELF and DWARF in Python.,debugging,27,True,eliben/pyelftools,https://github.com/eliben/pyelftools,Unlicense,2013-06-08 22:55:54.000,2021-02-27 17:55:27.000,2021-01-26 00:11:51.000,391.0,108.0,1171.0,,,8.0,75.0,conda-forge/pyelftools,pyelftools,51.0,567.0,2731.0,1847.0,https://pypi.org/project/pyelftools,2020-10-27 13:45:19.000,884.0,316377.0,317349.0,https://anaconda.org/conda-forge/pyelftools,2020-10-27 16:16:13.901,58374.0,1.0,,,,,,,,,,,
85,scons,https://github.com/SCons/scons,,SCons - a software construction tool.,build-tools,27,True,SCons/scons,https://github.com/SCons/scons,MIT,2017-03-23 22:12:34.579,2021-03-09 21:03:56.000,2021-03-09 21:03:56.000,208.0,2621.0,1084.0,2021-01-19 22:02:05.000,4.1.0,14.0,130.0,conda-forge/scons,scons,664.0,6946.0,50.0,,https://pypi.org/project/scons,2019-12-17 02:49:51.000,50.0,78826.0,82169.0,https://anaconda.org/conda-forge/scons,2021-01-20 08:05:53.549,159819.0,3.0,,347.0,,,,,,,,,
86,safety,https://github.com/pyupio/safety,,Safety checks your installed dependencies for known security vulnerabilities.,security,27,True,pyupio/safety,https://github.com/pyupio/safety,MIT,2016-10-19 13:22:56.000,2021-02-26 16:55:09.000,2021-02-19 21:13:16.000,82.0,68.0,970.0,2021-01-15 19:34:46.000,1.10.3,38.0,35.0,conda-forge/safety,safety,44.0,370.0,2259.0,1715.0,https://pypi.org/project/safety,2021-01-15 19:34:46.000,544.0,188016.0,190919.0,https://anaconda.org/conda-forge/safety,2021-01-15 20:54:00.958,14560.0,2.0,,26912.0,,,,,,,,,
87,pytest-bdd,https://github.com/pytest-dev/pytest-bdd,,BDD library for the py.test runner.,testing,27,True,pytest-dev/pytest-bdd,https://github.com/pytest-dev/pytest-bdd,MIT,2013-03-29 07:27:43.000,2021-03-04 13:56:27.000,2021-03-02 18:24:50.000,129.0,126.0,782.0,2020-12-07 12:41:15.000,4.0.2,89.0,38.0,conda-forge/pytest-bdd,pytest-bdd,102.0,636.0,1458.0,1190.0,https://pypi.org/project/pytest-bdd,2020-12-07 12:41:15.000,268.0,63480.0,64449.0,https://anaconda.org/conda-forge/pytest-bdd,2020-02-03 16:53:59.114,21332.0,2.0,['pytest'],,,,,,,,,,
88,astor,https://github.com/berkerpeksag/astor,,Python AST read/write.,ast,27,True,berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2021-02-22 11:01:59.000,2021-02-22 11:01:59.000,78.0,71.0,564.0,2019-12-10 01:50:33.000,0.8.1,14.0,30.0,conda-forge/astor,astor,35.0,260.0,3756.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,3756.0,1413016.0,1435738.0,https://anaconda.org/conda-forge/astor,2020-07-01 13:36:26.971,1067946.0,2.0,,,,,,,,,,,
89,buildout,https://github.com/buildout/buildout,,Buildout is a deployment automation tool written in and extended with Python.,build-tools,27,False,buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2021-03-10 18:22:36.000,2021-03-09 08:06:38.000,170.0,201.0,507.0,2021-03-08 07:25:44.000,2.13.4,103.0,87.0,,zc.buildout,138.0,1604.0,1974.0,,https://pypi.org/project/zc.buildout,2021-03-09 08:12:12.000,1974.0,46529.0,46529.0,,,,3.0,,,,,,,,,,,
90,pylint-django,https://github.com/PyCQA/pylint-django,,Pylint plugin for improving code analysis for when using Django.,linters,27,True,PyCQA/pylint-django,https://github.com/PyCQA/pylint-django,GPL-2.0,2013-10-01 06:35:15.000,2021-03-05 20:37:27.000,2021-01-10 12:24:27.000,94.0,146.0,450.0,2021-01-10 12:27:12.000,2.4.2,48.0,55.0,conda-forge/pylint-django,pylint-django,23.0,529.0,14568.0,12322.0,https://pypi.org/project/pylint-django,2021-01-10 12:25:25.000,2246.0,226682.0,228017.0,https://anaconda.org/conda-forge/pylint-django,2021-01-12 09:07:20.984,72929.0,2.0,['pylint'],180.0,,,,,,,,,
91,ddt,https://github.com/datadriventests/ddt,,Data-Driven Tests for Python Unittest.,testing,27,True,datadriventests/ddt,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2021-01-25 21:51:42.000,2021-01-16 19:12:31.000,95.0,29.0,380.0,2020-05-15 02:43:35.000,1.4.1,26.0,33.0,conda-forge/ddt,ddt,16.0,208.0,5829.0,3345.0,https://pypi.org/project/ddt,2020-05-15 02:43:35.000,2484.0,134447.0,135592.0,https://anaconda.org/conda-forge/ddt,2020-05-15 03:17:11.932,54991.0,2.0,,,,,,,,,,,
