,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
244,pip-run,https://github.com/jaraco/pip-run,,pip-run - dynamic dependency loader for Python.,dependency-managers,15,True,jaraco/pip-run,https://github.com/jaraco/pip-run,MIT,2016-01-25 01:59:13.000000,2021-06-26 02:28:31.000000,2021-06-26 02:22:25.000000,10.0,37.0,61.0,2021-06-26 02:28:41.000000,8.5.0,22.0,10.0,,,pip-run,2.0,,0.0,,https://pypi.org/project/pip-run,2021-06-26 02:28:31.000000,0.0,5629.0,5629.0,,,,3.0,,,,,,,,,,,,,,,
245,dh-virtualenv,https://github.com/spotify/dh-virtualenv,,Python virtualenvs in Debian packages.,virtual-envs,14,True,spotify/dh-virtualenv,https://github.com/spotify/dh-virtualenv,GPL-2.0,2013-10-09 19:03:43.000000,2021-04-12 18:40:39.000000,2021-04-12 18:40:39.000000,159.0,156.0,1471.0,,,,56.0,,,,27.0,406.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
246,linty_fresh,https://github.com/lyft/linty_fresh,,Surface lint errors during code review.,linters,14,True,lyft/linty_fresh,https://github.com/lyft/linty_fresh,Apache-2.0,2015-12-19 02:37:26.000000,2020-11-30 22:20:25.000000,2020-11-30 22:18:53.000000,21.0,1.0,184.0,2018-12-12 19:47:05.000000,0.7.0,10.0,17.0,"['flake8', 'mypy']",,linty-fresh,8.0,53.0,,,https://pypi.org/project/linty-fresh,2018-12-12 19:47:05.000000,,71.0,71.0,,,,3.0,,,,,,,,,,,,,,,
247,com2ann,https://github.com/ilevkivskyi/com2ann,,Tool for translation type comments to type annotations in Python.,refactoring,14,True,ilevkivskyi/com2ann,https://github.com/ilevkivskyi/com2ann,MIT,2016-09-09 07:17:02.000000,2021-03-07 09:20:28.000000,2021-03-07 09:20:25.000000,5.0,14.0,91.0,2019-06-17 19:19:47.000000,0.1.1,2.0,3.0,,,com2ann,4.0,28.0,3.0,3.0,https://pypi.org/project/com2ann,2019-06-17 19:19:47.000000,0.0,395.0,395.0,,,,3.0,,,,,,,,,,,,,,,
248,subpar,https://github.com/google/subpar,,Subpar is a utility for creating self-contained python executables. It is designed to work well with Bazel.,packaging,13,False,google/subpar,https://github.com/google/subpar,Apache-2.0,2016-08-03 20:11:35.000000,2020-09-16 16:25:54.000000,2019-08-15 01:37:08.000000,60.0,30.0,487.0,2019-05-14 20:14:05.000000,2.0.0,5.0,14.0,,,,32.0,93.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
249,pytest-plugins,https://github.com/man-group/pytest-plugins,,A grab-bag of nifty pytest plugins.,testing,13,False,man-group/pytest-plugins,https://github.com/man-group/pytest-plugins,MIT,2015-08-14 07:52:32.000000,2021-03-22 04:23:41.000000,2020-04-11 14:20:38.000000,58.0,51.0,381.0,,,,46.0,,,,38.0,747.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
250,universal-build,https://github.com/ml-tooling/universal-build,,Universal build utilities for containerized build pipelines.,build-tools,13,True,ml-tooling/universal-build,https://github.com/ml-tooling/universal-build,MIT,2020-10-19 14:57:21.000000,2021-04-19 19:45:59.000000,2021-04-19 19:45:59.000000,3.0,1.0,11.0,2021-03-22 18:29:06.000000,0.6.13,38.0,4.0,,,universal-build,,,3.0,3.0,https://pypi.org/project/universal-build,2020-12-12 13:21:08.000000,0.0,356.0,358.0,,,,3.0,,16.0,,,,,,,,,,,,,
251,livepython,https://github.com/agermanidis/livepython,,Visually trace Python code in real-time.,profiling,12,False,agermanidis/livepython,https://github.com/agermanidis/livepython,MIT,2017-10-03 00:19:59.000000,2019-01-22 17:39:55.000000,2017-11-14 21:27:52.000000,164.0,15.0,2455.0,,,,3.0,,,,10.0,20.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
252,cohesion,https://github.com/mschwager/cohesion,,A tool for measuring Python class cohesion.,code-metrics,12,False,mschwager/cohesion,https://github.com/mschwager/cohesion,GPL-3.0,2016-08-11 21:09:32.000000,2019-08-05 17:14:04.000000,2019-08-05 17:14:01.000000,2.0,11.0,140.0,2019-07-10 16:08:05.000000,1.0.0,9.0,2.0,,,cohesion,1.0,78.0,3.0,,https://pypi.org/project/cohesion,2019-07-10 16:08:05.000000,3.0,1104.0,1104.0,,,,3.0,,,,,,,,,,,,,,,
253,pyship,https://github.com/jamesabel/pyship,,pyship - ship Python desktop apps to end users.,packaging,11,False,jamesabel/pyship,https://github.com/jamesabel/pyship,MIT,2020-04-23 04:45:03.000000,2021-06-09 04:34:00.000000,2021-06-09 04:33:22.000000,,,12.0,2021-06-09 04:34:00.000000,0.1.5,17.0,,,,pyship,4.0,,,,https://pypi.org/project/pyship,2021-06-09 04:34:00.000000,,100.0,100.0,,,,3.0,,,,,,,,,,,,,,,
