,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-09-07 09:31:56.000,2022-09-06 17:48:27,5803.0,20.0,1259.0,233.0,573.0,1341.0,8674.0,2022-09-04 20:17:41.866,5.9.2,86.0,182.0,44,True,253.0,psutil,conda-forge/psutil,,215245.0,199288.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,58160559.0,58350203.0,https://anaconda.org/conda-forge/psutil,2022-09-05 05:46:25.026,14602639.0,1.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-09-08 01:52:08.000,2022-09-07 20:06:41,19569.0,217.0,1737.0,137.0,4642.0,5143.0,4879.0,2022-07-26 21:26:02.000,5.1.1,167.0,749.0,44,True,1069.0,sphinx,conda-forge/sphinx,['sphinx'],278901.0,218940.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,7386302.0,7467756.0,https://anaconda.org/conda-forge/sphinx,2022-08-02 16:24:50.107,5946201.0,1.0,,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-09-08 12:46:09.000,2022-09-08 12:46:08,3395.0,167.0,1317.0,534.0,795.0,834.0,39515.0,2022-07-11 14:38:05.650,12.5.1,167.0,186.0,42,True,89.0,rich,conda-forge/rich,,31035.0,28910.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2125.0,12089281.0,12151289.0,https://anaconda.org/conda-forge/rich,2022-07-11 20:48:09.934,1612218.0,1.0,,,,,,,,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-09-07 19:33:11.000,2022-09-07 16:40:43,1737.0,90.0,2046.0,231.0,1055.0,1600.0,14879.0,2022-07-19 07:28:26.000,1.3.1,52.0,220.0,42,True,135.0,mkdocs,conda-forge/mkdocs,['mkdocs'],28589.0,24839.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,3750.0,1067590.0,1070164.0,https://anaconda.org/conda-forge/mkdocs,2022-03-31 16:37:37.228,198258.0,1.0,,,,,,,,,,,,,,,,,,,,
14,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-09-04 03:01:30.000,2022-09-03 10:56:22,1928.0,4.0,1160.0,205.0,486.0,558.0,22871.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,41,True,370.0,tqdm,conda-forge/tqdm,,343911.0,321482.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,22429.0,43154367.0,43337703.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,13736823.0,1.0,9842.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-09-03 11:14:40.450214,2.0,4046.0,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-09-08 01:52:59.105,2022-09-07 19:10:37,4472.0,146.0,2467.0,106.0,1996.0,1507.0,10979.0,2022-09-07 17:55:40.530,8.4.3,273.0,164.0,41,True,11.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],17756.0,16491.0,https://pypi.org/project/mkdocs-material,2022-07-04 11:30:27.000,1265.0,1317610.0,1321262.0,https://anaconda.org/conda-forge/mkdocs-material,2022-09-08 01:52:59.105,146118.0,1.0,,,,,,,,,,,,,,,,,,,,
16,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-09-08 12:50:45.000,2022-09-08 07:09:21,8474.0,78.0,1817.0,233.0,2017.0,4364.0,9510.0,2022-07-30 20:10:36.000,5.3,40.0,436.0,41,True,283.0,pyinstaller,conda-forge/pyinstaller,,30286.0,30097.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,189.0,866788.0,878226.0,https://anaconda.org/conda-forge/pyinstaller,2022-05-21 21:16:21.534,345522.0,1.0,731113.0,,,,,,,,,,,,,,,,,,,
17,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-09-06 13:21:16.000,2022-09-04 17:37:12,13659.0,147.0,2004.0,478.0,582.0,3672.0,7270.0,2022-05-16 07:56:15.000,5.0.1,91.0,168.0,41,True,239.0,robotframework,conda-forge/robotframework,,6880.0,5832.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1048.0,1533714.0,1535362.0,https://anaconda.org/conda-forge/robotframework,2022-05-17 12:50:09.371,92030.0,1.0,539.0,,,,,,,,,,,,,,,,,,,
18,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2022-09-08 13:29:58.143,2022-09-08 03:30:40,589.0,48.0,955.0,158.0,1154.0,1162.0,4251.0,2022-09-08 03:30:59.000,20.16.5,193.0,224.0,41,True,75.0,virtualenv,conda-forge/virtualenv,,17759.0,,https://pypi.org/project/virtualenv,2022-07-27 21:53:47.000,17759.0,32844399.0,32882628.0,https://anaconda.org/conda-forge/virtualenv,2022-09-08 13:29:58.143,2523166.0,2.0,,,,,,,,,,,,,,,,,,,,
19,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-09-06 17:57:07.000,2022-09-06 17:57:07,2280.0,56.0,228.0,31.0,253.0,1402.0,2279.0,2022-08-03 23:23:36.795,5.0.4,86.0,167.0,41,True,27.0,flake8,conda-forge/flake8,,329154.0,287255.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,41899.0,17420982.0,17483835.0,https://anaconda.org/conda-forge/flake8,2022-08-04 20:32:50.634,4714015.0,1.0,,,,,,,,,,,,,,,,,,,,
20,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2022-09-08 10:14:22.000,2022-09-07 16:25:09,16029.0,98.0,1238.0,199.0,3200.0,7675.0,4861.0,2022-08-03 21:03:44.000,4.14.0,100.0,394.0,40,True,1020.0,conda,conda-forge/conda,,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,1090.0,201302.0,626483.0,https://anaconda.org/conda-forge/conda,2022-08-18 15:52:17.990,31038276.0,1.0,,,,,,,,,,,,,,,,,,,,
21,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-09-08 13:46:06.000,2022-09-07 13:40:05,7773.0,389.0,904.0,72.0,3010.0,3803.0,4202.0,2022-09-07 13:04:23.043,2.15.2,152.0,475.0,40,True,654.0,pylint,conda-forge/pylint,,21280.0,,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,21280.0,12290802.0,12333843.0,https://anaconda.org/conda-forge/pylint,2022-09-07 19:29:48.348,3142008.0,1.0,,,,,,,,,,,,,,,,,,,,
22,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-09-08 14:33:36.288,2022-09-08 06:07:44,2108.0,30.0,424.0,42.0,1044.0,1302.0,2971.0,2022-09-08 06:15:10.471,3.26.0,131.0,262.0,40,True,64.0,tox,conda-forge/tox,['pytest'],83195.0,62300.0,https://pypi.org/project/tox,2022-06-29 23:24:55.000,20895.0,4840392.0,4849086.0,https://anaconda.org/conda-forge/tox,2022-09-08 14:33:36.288,521644.0,1.0,,,,,,,,,,,,,,,,,,,,
23,poetry,python-poetry/poetry,dependency-managers,Python dependency management and packaging made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-09-08 10:13:04.000,2022-09-08 06:44:38,2533.0,173.0,1720.0,175.0,1946.0,3319.0,21606.0,2022-08-31 03:48:14.633,1.2.0,152.0,387.0,39,True,993.0,poetry,conda-forge/poetry,,155.0,,https://pypi.org/project/poetry,2022-06-06 21:41:00.000,155.0,8194564.0,8469655.0,https://anaconda.org/conda-forge/poetry,2022-08-31 12:09:56.826,600090.0,2.0,13888467.0,,,,,,,,,,,,,,,,,,,
24,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-09-07 05:27:56.000,2022-08-15 21:23:45,2266.0,34.0,617.0,81.0,932.0,1524.0,8776.0,2022-07-11 00:58:54.000,2.20.0,169.0,141.0,39,True,21.0,pre-commit,conda-forge/pre-commit,,62951.0,59503.0,https://pypi.org/project/pre-commit,2022-05-05 13:55:13.000,3448.0,6281297.0,6330094.0,https://anaconda.org/conda-forge/pre-commit,2022-07-11 12:30:44.086,1732916.0,1.0,117740.0,,,,,,,,,,,,,,,,,,,
25,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-09-06 03:57:24.000,2022-09-05 04:51:13,12392.0,179.0,530.0,67.0,2143.0,1266.0,6185.0,2022-09-05 04:51:37.000,hypothesis-python-6.54.5,991.0,294.0,39,True,40.0,hypothesis,conda-forge/hypothesis,,15969.0,13995.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,1974.0,3263439.0,3346559.0,https://anaconda.org/conda-forge/hypothesis,2022-09-05 07:28:12.456,6150914.0,1.0,,,,,,,,,,,,,,,,,,,,
26,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2022-09-05 20:36:59.000,2022-09-03 12:36:01,8274.0,8.0,464.0,113.0,562.0,1266.0,5227.0,2021-11-17 00:47:47.000,0.18.1,31.0,152.0,39,True,46.0,jedi,conda-forge/jedi,,230093.0,221784.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,8309.0,14770051.0,14926478.0,https://anaconda.org/conda-forge/jedi,2022-08-08 11:59:59.996,11106363.0,1.0,,,,,,,,,,,,,,,,,,,,
27,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-08-14 21:25:10.000,2022-08-09 00:44:39,1313.0,22.0,658.0,121.0,428.0,573.0,4675.0,2022-08-03 23:15:05.358,2.9.1,15.0,131.0,38,True,119.0,pycodestyle,conda-forge/pycodestyle,,259206.0,247844.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,11362.0,25142511.0,25207518.0,https://anaconda.org/conda-forge/pycodestyle,2022-08-04 18:37:50.261,4875576.0,1.0,,,,,,,,,,,,,,,,,,,,
28,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-08-14 13:25:05.000,2022-08-14 13:25:04,2767.0,24.0,273.0,66.0,207.0,343.0,4147.0,2022-08-09 12:57:05.771,1.7.0,69.0,54.0,38,True,101.0,autopep8,conda-forge/autopep8,,138173.0,132487.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,5686.0,3528966.0,3539783.0,https://anaconda.org/conda-forge/autopep8,2022-08-09 15:59:52.816,811335.0,2.0,,,,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-09-08 14:41:29.000,2022-09-05 12:20:17,1489.0,72.0,306.0,59.0,883.0,565.0,1326.0,2022-09-05 12:20:31.938,1.9.8,162.0,141.0,38,True,176.0,sentry-sdk,conda-forge/sentry-sdk,,24853.0,23838.0,https://pypi.org/project/sentry-sdk,2022-06-22 08:27:10.000,1015.0,17248366.0,17253457.0,https://anaconda.org/conda-forge/sentry-sdk,2022-09-05 16:46:07.851,229804.0,1.0,4047.0,,,,,,,,,,,,,,,,,,,
30,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2022-09-08 09:01:09.000,2022-09-08 09:00:59,4397.0,90.0,1304.0,492.0,541.0,1301.0,21390.0,2022-07-29 11:22:05.000,3.2.7,85.0,160.0,37,True,223.0,glances,conda-forge/glances,,556.0,506.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,50.0,137249.0,139402.0,https://anaconda.org/conda-forge/glances,2022-07-28 23:15:17.838,167245.0,1.0,799.0,,,,,,,,,,,,,,,,,,,
31,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-09-06 15:18:57.000,2022-05-20 06:58:02,3909.0,,469.0,40.0,853.0,1017.0,5134.0,2021-11-09 05:43:22.000,5.10.1,132.0,262.0,37,True,99.0,isort,conda-forge/isort,,283593.0,268471.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,15122.0,21406941.0,21455172.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,3569120.0,2.0,,,,,,,,,,,,,,,,,,,,
32,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2022-08-31 18:15:22.000,2022-08-27 21:15:28,1413.0,56.0,1678.0,158.0,611.0,558.0,4170.0,2021-12-15 14:46:50.702,0.1.0,32.0,109.0,37,True,223.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],6060.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2021-09-13 19:53:37.000,6044.0,2746999.0,2783800.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-09-17 07:30:33.268,2686527.0,2.0,,,,,,,,,,,,,,,,,,,,
33,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2022-08-21 15:08:07.000,2022-08-21 15:08:06,654.0,38.0,537.0,119.0,72.0,566.0,12834.0,2022-01-29 13:50:01.000,0.6.0,18.0,38.0,36,True,121.0,loguru,conda-forge/loguru,,27117.0,25640.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,1477.0,3553892.0,3568829.0,https://anaconda.org/conda-forge/loguru,2022-04-08 18:48:43.959,642305.0,2.0,,,,,,,,,,,,,,,,,,,,
34,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2022-09-02 13:18:09.000,2022-03-01 23:11:32,1205.0,,858.0,217.0,265.0,397.0,12774.0,2020-04-23 19:07:36.000,0.30.0,68.0,136.0,36,True,352.0,yapf,conda-forge/yapf,,38670.0,36581.0,https://pypi.org/project/yapf,2021-12-26 07:48:00.000,2089.0,2233099.0,2248095.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692,1124734.0,3.0,,,,,,,,,,,,,,,,,,,,
35,pyright,Microsoft/pyright,linters,Static type checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2022-09-07 18:59:12.000,2022-09-07 18:59:07,5317.0,225.0,496.0,78.0,421.0,3158.0,8377.0,2022-09-07 01:15:48.000,1.1.270,349.0,79.0,36,True,7.0,,,,349.0,344.0,,,,,282620.0,,,,1.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,2022-09-07 01:07:00.846,5.0,282620.0,,,,,,,,,
36,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2022-09-05 18:30:14.000,2022-08-22 20:32:21,1757.0,35.0,532.0,103.0,796.0,737.0,6207.0,2022-06-30 09:26:49.000,6.8.0,104.0,174.0,36,True,139.0,pip-tools,conda-forge/pip-tools,,1868.0,,https://pypi.org/project/pip-tools,2022-06-30 09:26:49.000,1868.0,6981409.0,6983150.0,https://anaconda.org/conda-forge/pip-tools,2022-05-24 05:42:55.372,50497.0,2.0,,,,,,,,,,,,,,,,,,,,
37,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2022-09-06 10:33:39.000,2022-08-24 15:01:59,1287.0,25.0,462.0,58.0,344.0,432.0,4440.0,2022-03-04 07:43:44.000,1.7.4,35.0,159.0,36,True,170.0,bandit,conda-forge/bandit,,20405.0,18921.0,https://pypi.org/project/bandit,2022-03-04 07:43:44.000,1484.0,2482109.0,2486271.0,https://anaconda.org/conda-forge/bandit,2022-04-16 19:08:19.798,166147.0,1.0,447.0,,,,,,,,,,,,,,,,,,,
38,structlog,hynek/structlog,logging,Structured Logging for Python.,,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2022-09-08 14:34:20.000,2022-09-08 14:34:06,1092.0,57.0,157.0,30.0,204.0,211.0,2165.0,2022-07-20 11:47:25.000,22.1.0,28.0,89.0,36,True,25.0,structlog,conda-forge/structlog,,6117.0,5178.0,https://pypi.org/project/structlog,2021-12-16 12:48:09.000,939.0,3597513.0,3600587.0,https://anaconda.org/conda-forge/structlog,2022-07-28 13:23:10.469,227509.0,2.0,,,,,,,,,,,,,,,,,,,,
39,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2022-08-27 02:12:19.000,2022-07-27 16:17:56,897.0,27.0,174.0,33.0,220.0,215.0,1311.0,2021-10-04 01:48:57.000,3.0.0,43.0,78.0,36,True,116.0,pytest-cov,conda-forge/pytest-cov,['pytest'],172965.0,144551.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000,28414.0,14947924.0,15026606.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977,6137215.0,1.0,,,,,,,,,,,,,,,,,,,,
40,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2022-09-01 02:33:59.000,2022-09-01 02:33:58,537.0,6.0,164.0,26.0,273.0,414.0,1172.0,2022-07-30 17:30:20.172,2.5.0,34.0,84.0,36,True,65.0,pyflakes,conda-forge/pyflakes,,166134.0,152494.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000,13640.0,17051208.0,17113635.0,https://anaconda.org/conda-forge/pyflakes,2022-07-30 19:45:14.299,4682066.0,1.0,,,,,,,,,,,,,,,,,,,,
