,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
11,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-02-08 11:44:59.000,2026-02-08 11:44:59,9293.0,95.0,1874.0,354.0,2075.0,4183.0,25109.0,2025-12-17 01:55:45.000,2026.0.3,407.0,535.0,153.0,46,True,,pipenv,conda-forge/pipenv,174459.0,174205.0,https://pypi.org/project/pipenv,2025-12-17 01:55:45.000,254.0,24582520.0,24587061.0,https://anaconda.org/conda-forge/pipenv,2025-12-17 03:59:49.753,313360.0,1.0,,,,,,,,,,,,,,,,,,,,
12,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-02-12 00:03:48.000,2026-02-12 00:03:48,16576.0,72.0,1363.0,97.0,1986.0,2208.0,2809.0,2026-02-08 15:08:43.000,82.0.0,630.0,638.0,635.0,46,True,,setuptools,conda-forge/setuptools,867926.0,836510.0,https://pypi.org/project/setuptools,2026-02-08 15:08:38.000,31416.0,1119070642.0,1121704996.0,https://anaconda.org/conda-forge/setuptools,2026-02-09 10:59:44.494,181770493.0,1.0,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-02-12 15:14:01.000,2026-02-03 16:58:32,2036.0,17.0,1433.0,209.0,601.0,594.0,30961.0,2026-02-03 18:07:15.000,4.67.3,144.0,130.0,583.0,44,True,,tqdm,conda-forge/tqdm,1230150.0,1179705.0,https://pypi.org/project/tqdm,2026-02-03 17:35:50.000,50445.0,295067857.0,295737892.0,https://anaconda.org/conda-forge/tqdm,2026-02-03 21:18:13.686,45546031.0,1.0,,19937.0,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-02-07 01:49:01.455075,3.0,5737.0,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-02-11 11:14:00.000,2026-02-11 11:13:59,9915.0,54.0,2014.0,222.0,2662.0,5322.0,12875.0,2026-01-13 03:14:30.000,6.18.0,78.0,489.0,287.0,44,True,,pyinstaller,conda-forge/pyinstaller,88049.0,86493.0,https://pypi.org/project/pyinstaller,2026-01-13 03:12:15.000,1556.0,6220081.0,6251335.0,https://anaconda.org/conda-forge/pyinstaller,2026-01-14 02:04:53.548,1598367.0,1.0,,752839.0,,,,,,,,,,,,,,,,,,
15,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2026-02-11 00:11:08.000,2026-02-11 00:11:07,9925.0,54.0,1213.0,74.0,4919.0,4885.0,5649.0,2025-11-30 13:29:02.000,4.0.4,210.0,628.0,1023.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,498989.0,487297.0,https://pypi.org/project/pylint,2025-11-30 13:29:02.000,11692.0,41108700.0,41217217.0,https://anaconda.org/conda-forge/pylint,2025-11-30 15:45:47.777,7378589.0,1.0,,566.0,,,,,,,,,,,,,,,,,,
16,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-02-04 09:03:47.000,2026-02-04 09:03:41,15337.0,105.0,2514.0,472.0,849.0,4522.0,11417.0,2025-12-23 17:07:57.000,7.4.1,151.0,224.0,268.0,43,True,,robotframework,conda-forge/robotframework,14930.0,13880.0,https://pypi.org/project/robotframework,2025-12-23 17:07:57.000,1050.0,4307365.0,4311697.0,https://anaconda.org/conda-forge/robotframework,2025-12-23 19:54:23.354,255357.0,1.0,,579.0,,,,,,,,,,,,,,,,,,
17,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2026-02-11 20:04:24.000,2026-02-11 20:04:21,17650.0,121.0,2092.0,178.0,5253.0,9811.0,7304.0,2026-01-30 16:50:29.000,26.1.0,109.0,485.0,602.0,43,True,,conda,conda-forge/conda,51888.0,51805.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,6605.0,1011864.0,https://anaconda.org/conda-forge/conda,2026-02-03 21:11:42.328,69332371.0,1.0,,40771.0,,,,,,,,,,,,,,,,,,
18,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-02-10 05:54:25.000,2026-02-10 05:54:25,1056.0,28.0,1078.0,162.0,1586.0,1384.0,5010.0,2026-01-09 18:21:02.000,20.36.1,248.0,300.0,16.0,43,True,,virtualenv,conda-forge/virtualenv,498323.0,496294.0,https://pypi.org/project/virtualenv,2026-01-09 18:20:59.000,2029.0,306723659.0,307025834.0,https://anaconda.org/conda-forge/virtualenv,2026-01-10 18:30:30.769,19339229.0,2.0,,,,,,,,,,,,,,,,,,,,
19,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2026-02-11 01:58:46.000,2026-02-11 01:58:44,3705.0,57.0,2393.0,188.0,3293.0,5801.0,34202.0,2026-02-01 15:40:53.000,2.3.2,184.0,629.0,577.0,42,True,,poetry,conda-forge/poetry,898.0,,https://pypi.org/project/poetry,2026-02-01 15:40:53.000,898.0,67401962.0,67692428.0,https://anaconda.org/conda-forge/poetry,2026-01-21 12:10:24.534,7569646.0,2.0,,15585880.0,,,,,,,,,,,,,,,,,,
20,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-01-21 14:19:54.000,2026-01-21 14:19:54,6707.0,19.0,4009.0,148.0,3326.0,2659.0,26025.0,2025-12-18 09:54:49.000,9.7.1,436.0,330.0,3.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,86754.0,79793.0,https://pypi.org/project/mkdocs-material,2025-12-18 09:48:56.000,6961.0,13710655.0,13723456.0,https://anaconda.org/conda-forge/mkdocs-material,2025-12-18 12:47:02.325,883311.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
21,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2025-12-22 21:55:48.000,2025-12-22 21:55:46,2820.0,22.0,922.0,90.0,1309.0,2240.0,14944.0,2025-12-16 21:18:45.000,4.5.1,201.0,166.0,31.0,42,True,,pre-commit,conda-forge/pre-commit,291753.0,265791.0,https://pypi.org/project/pre-commit,2025-12-16 21:14:32.000,25962.0,102465211.0,102658694.0,https://anaconda.org/conda-forge/pre-commit,2025-12-17 02:34:24.697,8828484.0,1.0,,4853479.0,,,,,,,,,,,,,,,,,,
22,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2026-02-11 23:31:55.421,2026-02-11 04:41:55,17214.0,256.0,630.0,66.0,2916.0,1678.0,8444.0,2026-02-11 04:42:26.000,hypothesis-python-6.151.6,1485.0,363.0,59.0,42,True,,hypothesis,conda-forge/hypothesis,41746.0,37856.0,https://pypi.org/project/hypothesis,2026-02-11 04:42:04.000,3890.0,17635155.0,17877044.0,https://anaconda.org/conda-forge/hypothesis,2026-02-11 23:31:55.421,16690366.0,1.0,,,,,,,,,,,,,,,,,,,,
23,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-02-08 22:48:25.000,2025-12-31 15:07:44,22399.0,144.0,2375.0,166.0,6595.0,6177.0,7673.0,2025-12-31 15:09:25.000,9.1.0,241.0,907.0,1387.0,42,False,,sphinx,conda-forge/sphinx,36057.0,,https://pypi.org/project/sphinx,2025-12-31 15:09:25.000,36057.0,48624612.0,48819897.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,13474670.0,1.0,['sphinx'],,-2.0,,,,,,,,,,,,,,,,,
24,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-02-01 20:24:33.000,2026-02-01 20:22:08,4450.0,6.0,611.0,44.0,1087.0,1185.0,6904.0,2025-10-11 13:30:57.000,7.0.0,150.0,326.0,175.0,41,True,,isort,conda-forge/isort,594767.0,572558.0,https://pypi.org/project/isort,2025-10-11 13:30:57.000,22209.0,76304371.0,76433761.0,https://anaconda.org/conda-forge/isort,2025-10-11 14:25:50.638,8669179.0,2.0,,,,,,,,,,,,,,,,,,,,
25,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2026-01-20 01:05:54.000,2026-01-20 01:05:51,8509.0,7.0,520.0,108.0,619.0,1367.0,6110.0,2024-11-11 01:41:40.000,0.19.2,35.0,178.0,94.0,41,True,,jedi,conda-forge/jedi,591115.0,589962.0,https://pypi.org/project/jedi,2024-11-11 01:41:40.000,1153.0,94846478.0,95374454.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,35902386.0,1.0,,,,,,,,,,,,,,,,,,,,
26,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-10-20 13:17:06.000,2025-10-20 13:17:06,2118.0,,2588.0,225.0,1351.0,1997.0,21712.0,2024-08-30 12:24:05.000,1.6.1,62.0,262.0,144.0,40,True,,mkdocs,conda-forge/mkdocs,102389.0,95253.0,https://pypi.org/project/mkdocs,2024-08-30 12:24:05.000,7136.0,13609664.0,13623027.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,748381.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
27,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2026-02-11 12:58:02.000,2026-02-11 12:58:01,1007.0,6.0,1122.0,150.0,1163.0,1451.0,14249.0,2026-01-30 15:09:24.000,1.58.0,127.0,51.0,70.0,40,True,,playwright,,53444.0,49702.0,https://pypi.org/project/playwright,2026-01-30 15:09:24.000,3742.0,32347037.0,32347037.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2026-02-09 21:04:50.000,2026-02-09 21:04:50,968.0,26.0,541.0,38.0,1640.0,1693.0,3895.0,2026-01-09 17:42:58.000,4.34.1,252.0,335.0,150.0,40,True,,tox,conda-forge/tox,145801.0,133364.0,https://pypi.org/project/tox,2026-01-09 17:42:58.000,12437.0,24936997.0,24961342.0,https://anaconda.org/conda-forge/tox,2026-01-10 01:08:30.913,1679833.0,1.0,['pytest'],,,,,,,,,,,,,,,,,,,
29,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2025-12-22 21:54:36.000,2025-12-22 21:54:35,2506.0,8.0,339.0,37.0,395.0,1585.0,3757.0,2025-06-20 19:31:34.000,7.3.0,94.0,178.0,23.0,40,True,,flake8,conda-forge/flake8,707715.0,681181.0,https://pypi.org/project/flake8,2025-06-20 19:31:34.000,26534.0,44825146.0,44971948.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,10129360.0,1.0,,,,,,,,,,,,,,,,,,,,
30,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2026-02-12 14:29:13.000,2026-02-12 08:20:27,3608.0,234.0,583.0,72.0,3307.0,1804.0,2138.0,2026-02-04 15:04:14.000,2.52.0,319.0,298.0,270.0,40,True,,sentry-sdk,conda-forge/sentry-sdk,1465.0,,https://pypi.org/project/sentry-sdk,2026-02-12 09:57:51.000,1465.0,85887980.0,85910473.0,https://anaconda.org/conda-forge/sentry-sdk,2026-02-04 18:49:32.776,1518908.0,1.0,,3777.0,,,,,,,,,,,,,,,,,,
31,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2026-02-10 07:11:43.000,2026-02-10 07:05:43,1284.0,54.0,174.0,34.0,956.0,337.0,1614.0,2025-11-10 16:08:54.000,1.3.0,72.0,77.0,56.0,40,True,,pytest-asyncio,conda-forge/pytest-asyncio,190581.0,176011.0,https://pypi.org/project/pytest-asyncio,2025-11-10 16:07:45.000,14570.0,121112800.0,121154812.0,https://anaconda.org/conda-forge/pytest-asyncio,2025-11-10 17:56:23.183,2896293.0,1.0,['pytest'],1838.0,,,,,,,,,,,,,,,,,,
32,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33.000,2026-02-10 08:46:43.000,2026-02-10 08:46:17,14399.0,431.0,762.0,136.0,507.0,2569.0,14516.0,2026-01-23 09:54:56.000,2.8.10,371.0,202.0,179.0,39,True,,nuitka,conda-forge/nuitka,3799.0,3620.0,https://pypi.org/project/nuitka,2026-02-05 20:52:39.000,179.0,867884.0,906308.0,https://anaconda.org/conda-forge/nuitka,2026-02-06 09:44:24.788,2651293.0,1.0,,,,,,,,,,,,,,,,,,,,
33,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2026-01-26 04:33:25.000,2025-02-10 20:44:26,1355.0,,902.0,198.0,424.0,473.0,13984.0,2024-11-14 00:11:39.000,0.43.0,75.0,156.0,418.0,39,True,,yapf,conda-forge/yapf,108677.0,107421.0,https://pypi.org/project/yapf,2024-11-14 00:11:39.000,1256.0,8821765.0,8872554.0,https://anaconda.org/conda-forge/yapf,2025-04-22 14:56:24.153,2945768.0,2.0,,,,,,,,,,,,,,,,,,,,
34,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2026-02-12 02:27:03.925,2026-02-11 15:21:56,2527.0,119.0,640.0,96.0,1152.0,958.0,7993.0,2026-02-11 18:25:06.000,7.5.3,125.0,224.0,211.0,39,True,,pip-tools,conda-forge/pip-tools,40084.0,37159.0,https://pypi.org/project/pip-tools,2026-02-11 18:25:06.000,2925.0,21836646.0,21840849.0,https://anaconda.org/conda-forge/pip-tools,2026-02-12 02:27:03.925,290054.0,2.0,,,,,,,,,,,,,,,,,,,,
35,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-09-24 19:23:46.000,2026-02-09 00:31:41.000,2026-02-09 00:31:41,9877.0,120.0,338.0,61.0,1310.0,2813.0,2348.0,2025-11-16 22:46:54.000,4.10.1,42.0,171.0,649.0,39,True,,scons,conda-forge/scons,4189.0,4131.0,https://pypi.org/project/scons,2025-11-16 22:43:35.000,58.0,867441.0,885871.0,https://anaconda.org/conda-forge/scons,2025-11-17 08:09:00.894,1214796.0,1.0,,2010.0,,,,,,,,,,,,,,,,,,
36,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2026-02-08 16:49:19.000,2026-02-08 16:49:14,997.0,11.0,174.0,30.0,259.0,405.0,549.0,2026-01-22 12:39:53.000,0.46.3,85.0,86.0,14.0,39,True,,wheel,conda-forge/wheel,398217.0,382646.0,https://pypi.org/project/wheel,2026-01-22 12:39:48.000,15571.0,399467567.0,401817781.0,https://anaconda.org/conda-forge/wheel,2026-01-23 03:34:02.654,155114168.0,1.0,,,,,,,,,,,,,,,,,,,,
37,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,,2011-12-04 08:49:15.000,2026-02-11 22:04:25.000,2026-02-10 21:50:02,6835.0,194.0,1681.0,498.0,1019.0,2016.0,31643.0,2026-02-08 16:01:53.000,4.5.0,131.0,219.0,148.0,38,False,,glances,conda-forge/glances,1226.0,1220.0,https://pypi.org/project/glances,2026-02-10 21:34:10.000,6.0,100091.0,108904.0,https://anaconda.org/conda-forge/glances,2025-04-22 14:56:20.672,536805.0,1.0,,1728.0,,,,,,,,,,,,,,,,,,
38,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2026-02-07 05:57:57.000,2026-02-07 05:57:57,8439.0,10.0,1763.0,127.0,2344.0,7222.0,15220.0,2026-01-08 01:30:41.000,1.1.408,492.0,136.0,199.0,38,True,,,,1541.0,1502.0,,,,,2015515.0,,,,2.0,,6280.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,2026-01-08 01:25:24.427,39.0,2015325.0,,,,,,,
39,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2026-02-05 03:07:15.000,2026-02-05 03:07:12,3210.0,45.0,464.0,38.0,1342.0,1908.0,8541.0,2026-01-22 09:47:36.000,2.26.6,245.0,239.0,50.0,38,True,,pdm,conda-forge/pdm,782.0,566.0,https://pypi.org/project/pdm,2026-01-22 09:47:32.000,216.0,8206421.0,8238594.0,https://anaconda.org/conda-forge/pdm,2026-01-23 02:55:53.469,1691955.0,2.0,,9280.0,,,,,,,,,,,,,,,,,,
40,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2026-02-03 00:36:09.000,2026-02-03 00:36:07,1489.0,13.0,730.0,70.0,593.0,520.0,7775.0,2026-01-19 04:05:20.000,1.9.3,50.0,195.0,217.0,38,True,,bandit,conda-forge/bandit,65271.0,62257.0,https://pypi.org/project/bandit,2026-01-19 04:05:20.000,3014.0,15079538.0,15088606.0,https://anaconda.org/conda-forge/bandit,2026-01-19 06:43:34.510,579763.0,1.0,,915.0,,,,,,,,,,,,,,,,,,
