,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,licnese
102,uiautomator,https://github.com/xiaocong/uiautomator,,Python wrapper of Android uiautomator test tool.,testing,25,True,xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2020-12-29 05:34:09.000,2020-11-16 01:36:32.000,1622.0,2020-11-16 03:43:07.000,1.0.2,41.0,,,uiautomator,571.0,165.0,114.0,316.0,295.0,173.0,13.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,122.0,4557.0,4557.0,,,,3.0,,,,,,,,
103,flit,https://github.com/takluyver/flit,,Simplified packaging of Python modules.,build-tools,25,True,takluyver/flit,https://github.com/takluyver/flit,BSD-3-Clause,2015-03-13 21:22:27.000,2020-12-04 10:55:35.000,2020-11-19 11:50:56.000,1278.0,2020-04-08 08:04:11.000,3.0.0,38.0,conda-forge/flit,,flit,63.0,68.0,147.0,847.0,226.0,,41.0,https://pypi.org/project/flit,2020-09-06 10:57:48.000,226.0,35656.0,37064.0,https://anaconda.org/conda-forge/flit,2020-10-14 10:18:51.643,66211.0,3.0,,,,,,,,
104,pybuilder,https://github.com/pybuilder/pybuilder,,Software build automation tool for Python.,build-tools,25,True,pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2020-10-21 02:59:32.000,2020-10-18 16:56:10.000,1271.0,2020-10-06 16:13:40.000,0.12.10,449.0,,,pybuilder,230.0,83.0,388.0,1284.0,110.0,,35.0,https://pypi.org/project/pybuilder,2020-10-18 17:13:30.000,110.0,7197.0,7197.0,,,,3.0,,,,,,,,
105,pympler,https://github.com/pympler/pympler,,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",profiling,25,True,pympler/pympler,https://github.com/pympler/pympler,Apache-2.0,2012-10-04 23:35:16.000,2020-12-22 22:15:18.000,2020-10-15 19:16:49.000,722.0,2016-03-31 11:48:42.000,0.4.3,15.0,conda-forge/pympler,,pympler,67.0,32.0,46.0,443.0,478.0,,26.0,https://pypi.org/project/pympler,2020-10-14 20:27:50.000,478.0,100649.0,104164.0,https://anaconda.org/conda-forge/pympler,2020-10-14 22:08:39.935,161731.0,3.0,,,,,,,,
106,sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,,Sphinx Bootstrap Theme.,documentation,25,False,ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2020-05-13 20:22:32.000,2019-09-25 19:17:09.000,574.0,2019-03-29 17:36:17.000,0.7.0,55.0,,['sphinx'],sphinx-bootstrap-theme,180.0,47.0,78.0,393.0,2630.0,1858.0,37.0,https://pypi.org/project/sphinx-bootstrap-theme,2019-03-29 17:36:17.000,772.0,24911.0,24911.0,,,,2.0,,,,,,,,
107,typeguard,https://github.com/agronholm/typeguard,,Run-time type checker for Python.,debugging,25,True,agronholm/typeguard,https://github.com/agronholm/typeguard,MIT,2015-12-27 23:15:37.000,2020-12-22 16:04:09.000,2020-11-21 09:51:31.000,560.0,2020-10-19 08:18:56.000,2.10.0,37.0,conda-forge/typeguard,,typeguard,51.0,26.0,107.0,218.0,158.0,,16.0,https://pypi.org/project/typeguard,2020-10-19 08:18:56.000,158.0,587444.0,588444.0,https://anaconda.org/conda-forge/typeguard,2020-06-07 13:28:30.133,24016.0,3.0,,,,,,,,
108,pytest-watch,https://github.com/joeyespo/pytest-watch,,Local continuous test runner with pytest and watchdog.,testing,25,False,joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2020-11-14 03:41:13.000,2019-06-15 20:36:43.000,531.0,2018-05-20 19:52:16.000,4.2.0,17.0,conda-forge/pytest-watch,['pytest'],pytest-watch,48.0,30.0,40.0,183.0,2149.0,1922.0,16.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000,227.0,109196.0,110042.0,https://anaconda.org/conda-forge/pytest-watch,2020-10-13 03:33:27.252,30456.0,3.0,,,,,,,,
109,mamba,https://github.com/nestorsalceda/mamba,,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,testing,25,True,nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2020-12-16 16:29:16.056,2020-11-16 12:31:58.000,453.0,2020-11-16 12:36:24.000,0.11.2,54.0,conda-forge/mamba,,mamba,61.0,45.0,52.0,468.0,220.0,,22.0,https://pypi.org/project/mamba,2020-11-16 12:35:41.000,220.0,8926.0,23695.0,https://anaconda.org/conda-forge/mamba,2020-12-16 16:29:16.056,324920.0,3.0,,,,,,,,
110,paver,https://github.com/paver/paver,,Python-based project scripting.,build-tools,25,True,paver/paver,https://github.com/paver/paver,BSD-3-Clause,2010-11-11 09:43:52.000,2020-12-29 19:27:26.000,2020-12-29 19:24:52.000,434.0,2017-12-31 01:13:41.000,1.3.4,28.0,conda-forge/paver,,paver,76.0,36.0,90.0,525.0,1876.0,,44.0,https://pypi.org/project/paver,2017-12-31 01:13:41.000,1876.0,19293.0,19684.0,https://anaconda.org/conda-forge/paver,2018-07-24 12:48:36.122,19587.0,3.0,,,,,,,,
111,autoflake,https://github.com/myint/autoflake,,Removes unused imports and unused variables as reported by pyflakes.,refactoring,25,True,myint/autoflake,https://github.com/myint/autoflake,MIT,2012-12-27 03:40:17.000,2020-12-27 17:36:41.000,2020-12-27 17:36:40.000,340.0,2019-08-04 15:14:24.000,1.3.1,36.0,conda-forge/autoflake,,autoflake,38.0,21.0,32.0,439.0,2382.0,1802.0,17.0,https://pypi.org/project/autoflake,2019-08-04 15:14:24.000,580.0,184086.0,186624.0,https://anaconda.org/conda-forge/autoflake,2019-04-25 16:08:45.978,53306.0,2.0,,,,,,,,
