,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,dockerhub_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
123,pytest-bdd,https://github.com/pytest-dev/pytest-bdd,,BDD library for the py.test runner.,testing,24,True,pytest-dev/pytest-bdd,https://github.com/pytest-dev/pytest-bdd,MIT,2013-03-29 07:27:43.000000,2021-10-04 19:49:47.000000,2021-10-01 18:01:23.000000,147.0,136.0,890.0,2021-07-03 09:06:41.000000,4.1.0,90.0,44.0,115.0,pytest-bdd,conda-forge/pytest-bdd,,679.0,,1348.0,268.0,,https://pypi.org/project/pytest-bdd,2021-07-03 09:06:41.000000,268.0,,https://anaconda.org/conda-forge/pytest-bdd,2020-02-03 16:53:59.114000,39119.0,,,,,3.0,['pytest'],,,,,,,,,
124,green,https://github.com/CleanCut/green,,"Green is a clean, colorful, fast python test runner.",testing,24,True,CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000000,2021-07-24 08:50:12.000000,2021-07-16 01:00:57.000000,75.0,165.0,709.0,2021-07-16 01:03:10.000000,3.3.0,141.0,37.0,6.0,green,conda-forge/green,,1048.0,,1795.0,962.0,604.0,https://pypi.org/project/green,2021-07-16 01:03:10.000000,358.0,,https://anaconda.org/conda-forge/green,2020-11-12 18:09:27.157000,87983.0,,,,,3.0,,,,,,,,,,
125,nose2,https://github.com/nose-devs/nose2,,"The successor to nose, based on unittest2.",testing,24,True,nose-devs/nose2,https://github.com/nose-devs/nose2,BSD-3-Clause,2011-12-14 15:33:15.000000,2021-10-12 11:29:16.000000,2021-10-12 11:29:16.000000,134.0,200.0,690.0,2021-01-27 21:57:28.000000,0.10.0,26.0,71.0,55.0,nose2,conda-forge/nose2,,1004.0,,923.0,6041.0,4103.0,https://pypi.org/project/nose2,2021-01-27 21:57:28.000000,1938.0,,https://anaconda.org/conda-forge/nose2,2020-02-02 06:02:02.004000,37846.0,,,,,3.0,,,,,,,,,,
126,snoop,https://github.com/alexmojaki/snoop,,"A powerful set of Python debugging tools, based on PySnooper.",debugging,24,True,alexmojaki/snoop,https://github.com/alexmojaki/snoop,MIT,2019-05-13 18:45:35.000000,2021-10-09 10:19:42.000000,2021-10-09 10:19:41.000000,23.0,17.0,640.0,2021-07-05 21:53:54.000000,0.4.0,11.0,21.0,18.0,snoop,,,407.0,,21013.0,72.0,64.0,https://pypi.org/project/snoop,2021-07-05 21:53:54.000000,8.0,21013.0,,,,,,,,3.0,,,,,,,,,,
127,nox,https://github.com/theacodes/nox,,Flexible test automation for Python.,testing,24,True,theacodes/nox,https://github.com/theacodes/nox,Apache-2.0,2016-02-24 04:02:58.000000,2021-10-13 18:20:59.000000,2021-10-13 18:20:59.000000,99.0,201.0,634.0,2021-10-01 13:11:23.000000,2021.10.1,21.0,63.0,36.0,nox,conda-forge/nox,,,,581646.0,56.0,,https://pypi.org/project/nox,2021-10-01 13:11:23.000000,56.0,580533.0,https://anaconda.org/conda-forge/nox,2021-10-02 18:40:08.510000,40091.0,,,,,3.0,['pytest'],,,,,,,,,
128,paver,https://github.com/paver/paver,,Python-based project scripting.,build-tools,24,True,paver/paver,https://github.com/paver/paver,BSD-3-Clause,2010-11-11 09:43:52.000000,2021-06-21 14:55:20.000000,2021-06-21 14:55:20.000000,78.0,93.0,445.0,2017-12-31 01:13:41.000000,1.3.4,28.0,45.0,37.0,paver,conda-forge/paver,,534.0,,32484.0,1908.0,,https://pypi.org/project/paver,2017-12-31 01:13:41.000000,1908.0,32091.0,https://anaconda.org/conda-forge/paver,2018-07-24 12:48:36.122000,23207.0,,,,,3.0,,,,,,,,,,
129,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,24,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000000,2021-10-14 14:38:24.000000,2021-10-08 05:38:23.000000,70.0,70.0,362.0,2020-10-12 20:37:53.000000,1.11.1,28.0,30.0,56.0,sphinx-autodoc-typehints,conda-forge/sphinx-autodoc-typehints,,178.0,,4842.0,1380.0,,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000000,1380.0,,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2021-04-15 04:06:00.666000,227609.0,,,,,2.0,['sphinx'],,,,,,,,,
130,py2exe,https://github.com/py2exe/py2exe,,A distutils extension to create standalone Windows programs from Python code.,packaging,24,True,py2exe/py2exe,https://github.com/py2exe/py2exe,MIT,2019-03-11 13:16:35.000000,2021-10-09 10:41:49.000000,2021-09-07 17:20:13.000000,42.0,80.0,308.0,2021-09-07 17:35:59.000000,0.10.4.1,11.0,14.0,4.0,py2exe,,,970.0,11052.0,31436.0,1633.0,1287.0,https://pypi.org/project/py2exe,2021-09-07 17:37:18.000000,346.0,31080.0,,,,,,,,2.0,,,,,,,,,,
131,wasabi,https://github.com/ines/wasabi,,A lightweight console printing and formatting toolkit.,logging,24,True,ines/wasabi,https://github.com/ines/wasabi,MIT,2018-11-17 14:40:55.000000,2021-08-06 12:46:34.000000,2021-01-31 03:56:30.000000,18.0,3.0,301.0,2021-01-31 04:00:51.000000,0.8.2,34.0,4.0,3.0,wasabi,conda-forge/wasabi,,203.0,,13173.0,14133.0,13719.0,https://pypi.org/project/wasabi,2021-01-31 04:00:51.000000,414.0,,https://anaconda.org/conda-forge/wasabi,2021-02-01 05:11:04.383000,421565.0,,,,,3.0,,,,,,,,,,
132,docformatter,https://github.com/myint/docformatter,,Formats docstrings to follow PEP 257.,formatters,24,True,myint/docformatter,https://github.com/myint/docformatter,MIT,2012-05-26 21:40:48.000000,2021-08-19 05:41:14.000000,2020-12-27 18:10:35.000000,32.0,22.0,232.0,2019-11-10 16:23:03.000000,1.3.1,48.0,15.0,27.0,docformatter,,,441.0,,93124.0,833.0,723.0,https://pypi.org/project/docformatter,2020-12-27 18:11:12.000000,110.0,93124.0,,,,,,,,3.0,,,,,,,,,,
