,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,projectrank_placing,trending,labels,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
147,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2025-04-22 14:57:15.498,2025-01-29 12:29:32,387.0,,187.0,8.0,96.0,1.0,57.0,181.0,2025-01-29 12:29:23.000,6.1.2,44.0,40.0,25,True,,flake8-isort,conda-forge/flake8-isort,28890.0,28306.0,https://pypi.org/project/flake8-isort,2025-01-29 12:29:23.000,584.0,https://anaconda.org/conda-forge/flake8-isort,2025-04-22 14:57:15.498,85207.0,1396.0,2.0,,['flake8'],,,,,,,,,,,,,,,,,,
148,flake8-quotes,zheller/flake8-quotes,linters,Flake8 extension for checking quotes in python.,,https://github.com/zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2025-04-22 14:56:27.787,2024-02-10 21:52:43,112.0,,39.0,3.0,70.0,11.0,45.0,178.0,2024-02-10 21:58:22.000,3.4.0,42.0,33.0,25,False,,flake8-quotes,conda-forge/flake8-quotes,23978.0,23544.0,https://pypi.org/project/flake8-quotes,2024-02-10 21:58:22.000,434.0,https://anaconda.org/conda-forge/flake8-quotes,2025-04-22 14:56:27.787,753004.0,15687.0,2.0,,['flake8'],,,,,,,,,,,,,,,,,,
149,MonkeyType,Instagram/MonkeyType,refactoring,A Python library that generates static type annotations by collecting runtime types.,,https://github.com/Instagram/MonkeyType,https://github.com/Instagram/MonkeyType,BSD-3-Clause,2017-07-11 00:19:00.000,2025-06-19 05:52:11.000,2025-06-14 08:50:16,355.0,8.0,185.0,56.0,165.0,61.0,140.0,4928.0,2023-03-20 14:10:04.829,23.3.0,23.0,51.0,24,True,,monkeytype,conda-forge/monkeytype,23.0,,https://pypi.org/project/monkeytype,2023-03-20 14:10:04.829,23.0,https://anaconda.org/conda-forge/monkeytype,2025-04-22 14:56:45.647,86909.0,1379.0,2.0,,,,,,,,,,,,,,,,,,,,
150,rebound,shobrook/rebound,logging,Instant Stack Overflow results whenever an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,GPL-2.0+,2018-02-28 04:47:03.000,2025-07-01 16:14:51.000,2022-02-16 05:16:40,168.0,,384.0,76.0,41.0,24.0,38.0,4129.0,2025-07-01 16:14:51.000,4.4.10,228.0,16.0,24,False,,rebound,conda-forge/rebound,41.0,,https://pypi.org/project/rebound,2025-07-01 16:14:51.000,41.0,https://anaconda.org/conda-forge/rebound,2025-06-05 21:24:45.756,924371.0,14675.0,3.0,,,264.0,,,,,,,,,,,,,,,,,
151,Yappi,sumerc/yappi,profiling,"Yet Another Python Profiler, but this time multithreading, asyncio and gevent aware.",,https://github.com/sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2025-05-06 00:54:42.372,2024-11-12 11:10:14,787.0,,75.0,15.0,105.0,21.0,64.0,1629.0,2024-11-12 11:23:25.000,1.6.10,26.0,31.0,24,True,,yappi,conda-forge/yappi,1565.0,1502.0,https://pypi.org/project/yappi,2024-11-12 11:23:25.000,63.0,https://anaconda.org/conda-forge/yappi,2025-05-06 00:54:42.372,289385.0,4989.0,3.0,,,,,,,,,,,,,,,,,,,,
152,pympler,pympler/pympler,profiling,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",,https://github.com/pympler/pympler,https://github.com/pympler/pympler,Apache-2.0,2012-10-04 23:35:16.000,2025-06-07 07:19:44.000,2025-06-07 07:19:43,497.0,1.0,89.0,10.0,66.0,60.0,56.0,1347.0,2021-12-22 16:55:15.000,1.0.1,18.0,30.0,24,True,,pympler,conda-forge/pympler,259.0,,https://pypi.org/project/pympler,2024-06-28 19:56:05.000,259.0,https://anaconda.org/conda-forge/pympler,2025-04-22 14:56:33.462,555200.0,9572.0,3.0,,,,,,,,,,,,,,,,,,,,
153,PyHamcrest,hamcrest/PyHamcrest,testing,Hamcrest matchers for Python.,,https://github.com/hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,,2010-12-24 02:55:56.000,2025-04-22 14:56:22.885,2024-11-30 16:19:06,685.0,,115.0,24.0,183.0,26.0,68.0,791.0,2023-10-22 15:51:05.000,V2.1.0,25.0,45.0,24,False,,pyhamcrest,conda-forge/pyhamcrest,42552.0,42237.0,https://pypi.org/project/pyhamcrest,2023-10-22 15:47:25.000,315.0,https://anaconda.org/conda-forge/pyhamcrest,2025-04-22 14:56:22.885,526265.0,11960.0,3.0,,,,,,,,,,,,,,,,,,,,
154,blacken-docs,asottile/blacken-docs,documentation,Run `black` on python code blocks in documentation files.,,https://github.com/adamchainz/blacken-docs,https://github.com/adamchainz/blacken-docs,MIT,2018-06-03 02:48:01.000,2025-08-11 11:04:26.000,2025-08-11 11:04:25,497.0,10.0,43.0,9.0,319.0,9.0,72.0,671.0,2024-10-23 21:31:31.000,1.19.1,30.0,25.0,24,True,adamchainz/blacken-docs,blacken-docs,conda-forge/blacken-docs,1416.0,1328.0,https://pypi.org/project/blacken-docs,2024-10-23 21:31:31.000,88.0,https://anaconda.org/conda-forge/blacken-docs,2025-04-22 14:57:29.773,52324.0,857.0,3.0,,,,,,,,,,,,,,,,,,,,
155,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a hot-reload web server.,,https://github.com/sphinx-doc/sphinx-autobuild,https://github.com/sphinx-doc/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2025-05-28 10:38:14.000,2025-05-28 10:38:14,393.0,2.0,83.0,18.0,88.0,22.0,90.0,581.0,2024-10-02 23:15:28.000,2024.10.3,24.0,34.0,24,True,sphinx-doc/sphinx-autobuild,sphinx-autobuild,conda-forge/sphinx-autobuild,30537.0,28885.0,https://pypi.org/project/sphinx-autobuild,2024-10-02 23:15:28.000,1652.0,https://anaconda.org/conda-forge/sphinx-autobuild,2025-04-22 14:56:34.708,381016.0,6803.0,3.0,,['sphinx'],,,,,,,,,,,,,,,,,,
156,python-coloredlogs,xolox/python-coloredlogs,logging,Colored terminal output for Pythons logging module.,,https://github.com/xolox/python-coloredlogs,https://github.com/xolox/python-coloredlogs,MIT,2013-05-30 18:57:12.000,2025-04-22 15:32:23.858,2021-06-11 10:22:09,273.0,,45.0,10.0,38.0,36.0,52.0,555.0,2021-06-11 10:24:04.382,15.0.1,63.0,17.0,24,False,,coloredlogs,anaconda/coloredlogs,81545.0,79616.0,https://pypi.org/project/coloredlogs,2021-06-11 10:24:04.382,1929.0,https://anaconda.org/anaconda/coloredlogs,2025-04-22 15:32:23.858,19488.0,205.0,3.0,,,,,,,,,,,,,,,,,,,,
