,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
20,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-09-14 12:33:12.000,2023-09-14 10:49:41,20404.0,283.0,1858.0,146.0,5026.0,1140.0,5473.0,5622.0,2023-09-13 23:13:00.000,7.2.6,108.0,786.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],328259.0,328259.0,https://pypi.org/project/sphinx,11388830.0,11594109.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8211173.0,1.0,,,,,,,,,,,,,,,,,,,
21,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-09-14 07:52:50.000,2023-09-04 10:09:40,1306.0,23.0,900.0,217.0,335.0,363.0,446.0,13399.0,2023-06-20 05:44:07.767,0.40.1,73.0,149.0,41,True,,yapf,conda-forge/yapf,,84906.0,82607.0,https://pypi.org/project/yapf,4906459.0,4960964.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1580661.0,2.0,,2023-06-20 05:44:07.767,2299.0,,,,,,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-09-12 11:36:23.551,2023-09-11 23:52:51,2588.0,41.0,667.0,87.0,1122.0,16.0,1830.0,10921.0,2023-09-02 17:13:27.000,3.4.0,100.0,153.0,41,True,,pre-commit,conda-forge/pre-commit,,148504.0,148504.0,https://pypi.org/project/pre-commit,13655649.0,13774689.0,https://anaconda.org/conda-forge/pre-commit,2023-09-12 11:36:23.551,3641183.0,1.0,626596.0,,,,,,,,,,,,,,,,,,
23,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-09-12 14:51:27.000,2023-09-10 23:05:14,13255.0,186.0,564.0,72.0,2305.0,44.0,1389.0,6898.0,2023-09-10 23:05:18.000,6.84.3,1081.0,314.0,41,True,,hypothesis,conda-forge/hypothesis,,24637.0,22381.0,https://pypi.org/project/hypothesis,6049378.0,6251821.0,https://anaconda.org/conda-forge/hypothesis,2023-09-11 01:08:20.994,8097728.0,1.0,,2023-09-10 23:05:18.000,2256.0,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-09-12 14:54:09.000,2023-09-12 14:54:08,731.0,45.0,938.0,169.0,1310.0,16.0,1282.0,4541.0,2023-09-08 14:38:13.000,20.24.5,63.0,109.0,41,True,,virtualenv,conda-forge/virtualenv,,310258.0,310258.0,https://pypi.org/project/virtualenv,95078970.0,95227986.0,https://anaconda.org/conda-forge/virtualenv,2023-08-30 19:19:12.197,5215570.0,2.0,,,,,,,,,,,,,,,,,,,
25,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-09-13 14:31:47.000,2023-09-11 15:37:33,2953.0,56.0,2042.0,182.0,2504.0,630.0,4661.0,26569.0,2023-08-21 17:53:20.000,1.6.1,164.0,481.0,40,True,,poetry,conda-forge/poetry,,289.0,,https://pypi.org/project/poetry,21701071.0,21968713.0,https://anaconda.org/conda-forge/poetry,2023-08-21 20:30:34.699,992424.0,2.0,15258371.0,2023-08-21 17:53:20.000,289.0,,,,,,,,,,,,,,,,
26,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-09-06 18:45:20.000,2023-08-20 20:18:05,4102.0,16.0,541.0,47.0,942.0,178.0,1062.0,5996.0,2023-01-31 16:31:31.154,5.8.0,143.0,286.0,40,True,,isort,conda-forge/isort,,431345.0,413563.0,https://pypi.org/project/isort,26514810.0,26575824.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5247282.0,2.0,,2023-01-31 16:31:31.154,17782.0,,,,,,,,,,,,,,,,
27,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-09-13 04:26:20.000,2023-09-13 02:49:39,11385.0,439.0,515.0,131.0,324.0,139.0,1805.0,9668.0,2023-09-11 10:12:41.000,1.8.1,271.0,153.0,39,True,,nuitka,conda-forge/nuitka,,1524.0,1463.0,https://pypi.org/project/nuitka,77604.0,91884.0,https://anaconda.org/conda-forge/nuitka,2023-09-11 14:36:58.626,571203.0,1.0,,2023-09-11 10:12:41.000,61.0,,,,,,,,,,,,,,,,
28,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-09-12 19:02:04.000,2023-09-12 19:02:04,2035.0,77.0,512.0,100.0,969.0,135.0,849.0,7069.0,2023-08-08 23:35:03.000,7.3.0,67.0,198.0,39,True,,pip-tools,conda-forge/pip-tools,,22485.0,22485.0,https://pypi.org/project/pip-tools,10123410.0,10126351.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,117661.0,2.0,,,,,,,,,,,,,,,,,,,
29,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-09-11 20:58:31.000,2023-09-11 20:58:31,659.0,60.0,470.0,43.0,1353.0,66.0,1579.0,3351.0,2023-09-08 22:44:51.000,4.11.3,89.0,64.0,39,True,,tox,conda-forge/tox,['pytest'],104518.0,104518.0,https://pypi.org/project/tox,12848532.0,12868118.0,https://anaconda.org/conda-forge/tox,2023-09-09 02:01:04.061,783460.0,1.0,,,,,,,,,,,,,,,,,,,
