,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-04-27 12:40:24.000,2023-04-27 12:11:59,14004.0,174.0,2107.0,477.0,649.0,289.0,3846.0,7980.0,2023-01-09 21:14:31.299,6.0.2,98.0,181.0,41,True,robotframework,conda-forge/robotframework,,8629.0,7531.0,https://pypi.org/project/robotframework,2023-01-09 21:14:31.299,1098.0,1518005.0,1519971.0,https://anaconda.org/conda-forge/robotframework,2023-01-12 19:48:17.751,123593.0,1.0,545.0,,,,,,,,,,,,,,,,,
21,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-04-27 12:40:30.000,2023-04-01 17:51:24,4080.0,40.0,520.0,47.0,922.0,136.0,1061.0,5768.0,2023-01-30 09:46:45.975,5.11.5,143.0,283.0,41,True,isort,conda-forge/isort,,395800.0,378527.0,https://pypi.org/project/isort,2023-01-30 09:46:45.975,17273.0,25233554.0,25290975.0,https://anaconda.org/conda-forge/isort,2023-02-01 23:25:16.111,4651177.0,2.0,,,,,,,,,,,,,,,,,,
22,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-04-27 13:36:57.000,2023-04-27 00:47:31,673.0,42.0,987.0,163.0,1251.0,78.0,1198.0,4450.0,2023-04-19 23:50:59.795,20.22.0,203.0,251.0,41,True,virtualenv,conda-forge/virtualenv,,272696.0,254795.0,https://pypi.org/project/virtualenv,2023-02-28 18:51:08.315,17901.0,47695184.0,47752757.0,https://anaconda.org/conda-forge/virtualenv,2023-04-20 10:03:16.668,4202850.0,2.0,,,,,,,,,,,,,,,,,,
23,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-04-26 17:24:35.000,2023-04-26 15:51:05,2821.0,92.0,1944.0,183.0,2337.0,709.0,4335.0,24798.0,2023-04-02 16:03:01.413,1.4.2,160.0,451.0,40,True,poetry,conda-forge/poetry,,250.0,,https://pypi.org/project/poetry,2023-01-10 18:28:25.700,250.0,11671351.0,11942579.0,https://anaconda.org/conda-forge/poetry,2023-04-05 19:52:39.807,843145.0,2.0,15063938.0,,,,,,,,,,,,,,,,,
24,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-04-27 07:44:12.000,2023-04-27 00:21:42,12911.0,224.0,531.0,69.0,2238.0,48.0,1335.0,6670.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,663.0,309.0,39,False,hypothesis,conda-forge/hypothesis,,20317.0,20317.0,https://pypi.org/project/hypothesis,,,5357827.0,5450237.0,https://anaconda.org/conda-forge/hypothesis,2023-04-26 11:16:28.466,7485281.0,1.0,,,,,,,,,,,,,,,,,,
25,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-04-27 00:22:18.000,2023-04-26 16:32:31,586.0,47.0,452.0,41.0,1295.0,76.0,1513.0,3247.0,2023-04-25 20:21:39.000,4.5.1,76.0,50.0,39,True,tox,conda-forge/tox,['pytest'],97013.0,97013.0,https://pypi.org/project/tox,,,18968040.0,18978066.0,https://anaconda.org/conda-forge/tox,2023-01-18 22:31:34.228,671779.0,1.0,,,,,,,,,,,,,,,,,,
26,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-04-27 14:14:04.000,2023-04-27 14:02:35,1709.0,85.0,368.0,61.0,1144.0,215.0,686.0,1509.0,2023-04-25 13:51:04.382,1.21.0,180.0,164.0,39,True,sentry-sdk,conda-forge/sentry-sdk,,42448.0,42067.0,https://pypi.org/project/sentry-sdk,2023-03-16 15:54:02.489,381.0,19684342.0,19692317.0,https://anaconda.org/conda-forge/sentry-sdk,2023-04-25 15:47:30.037,418213.0,1.0,3782.0,,,,,,,,,,,,,,,,,
27,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-03-31 15:07:57.000,2023-02-17 20:13:42,3656.0,44.0,344.0,96.0,238.0,353.0,391.0,3923.0,2023-01-16 22:26:01.797,2.0.0,59.0,58.0,38,True,invoke,conda-forge/invoke,,22890.0,20136.0,https://pypi.org/project/invoke,2023-01-16 22:26:01.797,2754.0,4946667.0,4957290.0,https://anaconda.org/conda-forge/invoke,2023-01-22 15:15:07.411,892382.0,1.0,,,,,,,,,,,,,,,,,,
28,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-04-27 08:01:06.000,2023-04-25 22:03:44,708.0,21.0,592.0,126.0,108.0,90.0,657.0,14750.0,2023-04-10 09:14:19.000,0.7.0,19.0,42.0,37,True,loguru,conda-forge/loguru,,50737.0,50737.0,https://pypi.org/project/loguru,,,8306816.0,8329563.0,https://anaconda.org/conda-forge/loguru,2023-04-10 11:59:26.560,1137350.0,2.0,,,,,,,,,,,,,,,,,,
29,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-04-25 19:46:15.000,2023-04-25 18:08:00,1245.0,34.0,855.0,221.0,296.0,373.0,404.0,13203.0,,,25.0,146.0,37,True,yapf,conda-forge/yapf,,74772.0,74772.0,https://pypi.org/project/yapf,,,3930912.0,3947945.0,https://anaconda.org/conda-forge/yapf,2023-04-21 20:17:42.249,1396725.0,2.0,,,,,,,,,,,,,,,,,,
