,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
185,unimport,hakancelik96/unimport,refactoring,The ultimate linter and formatter for removing unused import statements in your code.,,https://github.com/hakancelikdev/unimport,https://github.com/hakancelikdev/unimport,MIT,2019-09-08 09:49:24.000,2025-09-19 05:34:05.000,2025-09-19 05:33:51,495.0,,21.0,4.0,186.0,108.0,248.0,2025-09-19 04:34:08.000,1.2.1,58.0,16.0,11.0,25,True,hakancelikdev/unimport,unimport,,,,840298.0,198.0,158.0,https://pypi.org/project/unimport,2025-09-18 05:14:32.000,40.0,840298.0,,,,3.0,,,,,,,,,,,,,,,,,,
186,typed_ast,python/typed_ast,ast,Modified fork of CPythons ast module that parses `# type:` comments.,,https://github.com/python/typed_ast,https://github.com/python/typed_ast,Apache-2.0,2016-02-16 22:40:09.000,2025-04-22 14:56:42.129,2023-07-03 22:55:34,205.0,,55.0,17.0,109.0,86.0,233.0,2023-07-04 18:38:08.820,1.5.5,35.0,26.0,1.0,25,False,,typed_ast,conda-forge/typed-ast,,,3069277.0,645.0,,https://pypi.org/project/typed_ast,2023-07-04 18:38:08.820,645.0,2960179.0,https://anaconda.org/conda-forge/typed-ast,2025-04-22 14:56:42.129,6873206.0,3.0,,,,,,,,,,,,,,,,,,
187,xdoctest,Erotemic/xdoctest,testing,A rewrite of Pythons builtin doctest module (with pytest plugin integration) with AST instead of RegEx.,,https://github.com/Erotemic/xdoctest,https://github.com/Erotemic/xdoctest,Apache-2.0,2017-09-24 01:59:02.000,2025-11-21 19:22:54.933,2025-11-13 17:57:11,935.0,7.0,16.0,5.0,129.0,35.0,218.0,2025-09-08 15:04:38.000,1.3.0,74.0,13.0,22.0,25,True,,xdoctest,conda-forge/xdoctest,,267.0,906330.0,238.0,,https://pypi.org/project/xdoctest,2025-09-08 15:02:43.000,238.0,902172.0,https://anaconda.org/conda-forge/xdoctest,2025-11-21 19:22:54.933,270019.0,3.0,,,,,,,,,,,,,,,,,,conda-forge/xdoctest
188,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2026-01-05 16:52:02.000,2026-01-05 16:52:01,209.0,2.0,11.0,1.0,74.0,27.0,165.0,2025-09-21 18:56:36.000,0.4.0,22.0,11.0,4.0,25,True,,flake8-black,conda-forge/flake8-black,['flake8'],,533262.0,9257.0,8715.0,https://pypi.org/project/flake8-black,2025-09-21 18:56:36.000,542.0,526075.0,https://anaconda.org/conda-forge/flake8-black,2025-09-22 00:17:36.193,488782.0,3.0,,,,,,,,,,,,,,,,,,
189,sphinx-markdown-builder,clayrisser/sphinx-markdown-builder,documentation,DISCONTINUED: sphinx builder that outputs markdown files. The active version of this project is now being maintained..,,https://github.com/clayrisser/sphinx-markdown-builder,https://github.com/clayrisser/sphinx-markdown-builder,MIT,2018-11-11 00:07:58.000,2025-12-07 14:36:12.000,2023-06-24 21:25:38,106.0,,60.0,6.0,27.0,39.0,162.0,2025-12-07 14:36:12.000,0.6.9,33.0,19.0,,25,False,,sphinx-markdown-builder,,['sphinx'],,418369.0,1424.0,1218.0,https://pypi.org/project/sphinx-markdown-builder,2025-12-07 14:36:12.000,206.0,418369.0,,,,3.0,,,,,,,,,,,,,,,,,,
190,pyenv-virtualenv,pyenv/pyenv-virtualenv,virtual-envs,a pyenv plugin to manage virtualenv (a.k.a. python-virtualenv).,,https://github.com/pyenv/pyenv-virtualenv,https://github.com/pyenv/pyenv-virtualenv,MIT,2013-02-18 12:59:17.000,2025-12-18 00:52:22.000,2025-12-18 00:52:21,537.0,11.0,427.0,71.0,153.0,263.0,6717.0,2025-12-14 15:43:00.000,1.2.6,14.0,67.0,99.0,24,True,,,,,,,21.0,21.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
191,better-exceptions,Qix-/better-exceptions,logging,"Pretty and useful exceptions in Python, automatically.",,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2025-10-22 12:49:05.000,2025-10-22 12:17:56,111.0,,204.0,63.0,62.0,50.0,4718.0,2021-01-29 16:48:55.000,0.3.3,16.0,19.0,34.0,24,True,,better-exceptions,,,,331430.0,102.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000,102.0,331430.0,,,,3.0,,,,,,,,,,,,,,,,,,
192,shiv,linkedin/shiv,packaging,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",,https://github.com/linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2026-01-10 12:19:00.000,2026-01-10 12:19:00,219.0,1.0,107.0,27.0,137.0,82.0,1908.0,2024-11-01 19:48:43.000,1.0.8,65.0,44.0,65.0,24,True,,shiv,,,2388.0,71173.0,16.0,,https://pypi.org/project/shiv,2024-11-01 19:47:45.000,16.0,71143.0,,,,3.0,,,,,,,,,,,,,,,,,,
193,mkdocs-awesome-pages-plugin,lukasgeiter/mkdocs-awesome-pages-plugin,documentation,A plugin for customizing the navigation structure of your MkDocs site.,,https://github.com/lukasgeiter/mkdocs-awesome-nav,https://github.com/lukasgeiter/mkdocs-awesome-nav,MIT,2018-02-06 21:09:24.000,2025-12-02 20:10:28.000,2025-12-02 20:06:27,126.0,1.0,42.0,7.0,25.0,96.0,610.0,2025-12-02 20:10:28.000,3.3.0,33.0,11.0,22.0,24,True,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-pages-plugin,,['mkdocs'],,473390.0,628.0,412.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,2024-12-22 21:13:46.000,216.0,473390.0,,,,3.0,,,,,,,,,,,,,,,,,,
194,pytest-lazy-fixture,tvorog/pytest-lazy-fixture,testing,It helps to use fixtures in pytest.mark.parametrize.,,https://github.com/TvoroG/pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,MIT,2016-09-29 23:52:48.000,2025-04-22 14:56:34.780,2022-01-27 10:32:34,98.0,,30.0,6.0,23.0,22.0,395.0,2020-02-01 18:04:00.000,0.6.3,12.0,9.0,23.0,24,False,,pytest-lazy-fixture,conda-forge/pytest-lazy-fixture,['pytest'],,875499.0,3686.0,3391.0,https://pypi.org/project/pytest-lazy-fixture,2020-02-01 18:04:00.000,295.0,868459.0,https://anaconda.org/conda-forge/pytest-lazy-fixture,2025-04-22 14:56:34.780,739233.0,3.0,,,,,,,,,,,,,,,,,,
195,mkdocs-with-pdf,orzih/mkdocs-with-pdf,documentation,Generate a single PDF file from MkDocs repository.,,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46.000,2024-05-25 03:08:01.000,2021-10-14 20:29:54,188.0,,80.0,13.0,52.0,49.0,387.0,2021-07-03 02:09:02.000,0.9.3,28.0,6.0,92.0,24,False,,mkdocs-with-pdf,,['mkdocs'],,83849.0,865.0,857.0,https://pypi.org/project/mkdocs-with-pdf,2021-07-03 02:04:39.000,8.0,83849.0,,,,3.0,,,,,,,,,,,,,,,,,,
196,add-trailing-comma,asottile/add-trailing-comma,refactoring,A tool (and pre-commit hook) to automatically add trailing commas to calls and literals.,,https://github.com/asottile/add-trailing-comma,https://github.com/asottile/add-trailing-comma,MIT,2017-07-10 00:55:50.000,2025-12-22 21:55:25.000,2025-12-22 21:55:24,572.0,10.0,30.0,5.0,252.0,61.0,372.0,2025-10-10 17:59:24.000,4.0.0,43.0,11.0,,24,True,,add-trailing-comma,,,,74933.0,41.0,,https://pypi.org/project/add-trailing-comma,2025-10-10 17:59:24.000,41.0,74933.0,,,,3.0,,,,,,,,,,,,,,,,,,
197,baron,PyCQA/baron,refactoring,"IDE allow you to refactor code, Baron allows you to write refactoring code.",,https://github.com/PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2021-12-09 03:34:37.000,2021-12-09 03:33:22,1505.0,,50.0,14.0,101.0,30.0,298.0,2021-12-09 03:33:32.000,0.10.1,21.0,33.0,57.0,24,False,,baron,,,,271567.0,457.0,452.0,https://pypi.org/project/baron,2021-12-09 03:33:32.000,5.0,271567.0,,,,3.0,,,,,,,,,,,,,,,,,,
198,pytest-datadir,gabrielcnr/pytest-datadir,testing,pytest plugin for manipulating test data directories and files.,,https://github.com/gabrielcnr/pytest-datadir,https://github.com/gabrielcnr/pytest-datadir,MIT,2015-07-02 21:41:44.000,2026-01-19 18:57:17.000,2025-12-15 20:17:34,195.0,2.0,25.0,5.0,96.0,20.0,272.0,2025-07-30 13:52:14.000,1.8.0,17.0,15.0,3.0,24,True,,pytest-datadir,conda-forge/pytest-datadir,['pytest'],87.0,744462.0,2376.0,2103.0,https://pypi.org/project/pytest-datadir,2025-07-30 13:52:11.000,273.0,734416.0,https://anaconda.org/conda-forge/pytest-datadir,2025-07-30 22:39:32.200,391683.0,3.0,,,,,,,,,,,,,,,,,,
