,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
20,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2024-01-18 13:44:01.949,2024-01-18 06:59:10,13682.0,351.0,588.0,72.0,2369.0,1437.0,7107.0,2024-01-18 06:59:13.000,6.96.1,1120.0,322.0,42,True,,43.0,hypothesis,conda-forge/hypothesis,,26877.0,24492.0,https://pypi.org/project/hypothesis,2024-01-18 06:59:13.000,2385.0,4344691.0,4534674.0,https://anaconda.org/conda-forge/hypothesis,2024-01-18 13:44:01.949,8359264.0,1.0,,,,,,,,,,,,,,,,,
21,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-01-15 05:16:19.000,2024-01-15 05:16:11,4162.0,46.0,538.0,48.0,969.0,1074.0,6195.0,2023-12-13 20:37:31.000,5.13.2,100.0,294.0,42,True,,169.0,isort,conda-forge/isort,,441296.0,441296.0,https://pypi.org/project/isort,,,26825300.0,26958271.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5584816.0,2.0,,,,,,,,,,,,,,,,,
22,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-01-17 17:29:26.000,2024-01-16 03:37:52,9048.0,76.0,1057.0,77.0,4067.0,4432.0,4994.0,2023-12-11 13:20:16.000,3.0.3,183.0,553.0,42,True,pylint-dev/pylint,863.0,pylint,conda-forge/pylint,,425180.0,401942.0,https://pypi.org/project/pylint,2023-12-11 13:20:16.000,23238.0,15008196.0,15118586.0,https://anaconda.org/conda-forge/pylint,2023-12-11 15:36:48.979,4746784.0,1.0,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-01-18 09:03:00.000,2024-01-12 16:39:51,2629.0,24.0,781.0,86.0,1156.0,1903.0,11472.0,2023-12-09 21:29:42.000,3.6.0,188.0,156.0,41,True,,26.0,pre-commit,conda-forge/pre-commit,,175886.0,169071.0,https://pypi.org/project/pre-commit,2023-12-09 21:25:28.000,6815.0,13221883.0,13342523.0,https://anaconda.org/conda-forge/pre-commit,2023-12-10 03:04:10.677,4034041.0,1.0,882536.0,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-01-16 16:26:24.000,2024-01-16 16:26:23,759.0,22.0,955.0,170.0,1338.0,1287.0,4621.0,2023-12-01 16:24:25.000,20.25.0,66.0,113.0,41,True,,22.0,virtualenv,conda-forge/virtualenv,,352718.0,352718.0,https://pypi.org/project/virtualenv,,,90691649.0,90843285.0,https://anaconda.org/conda-forge/virtualenv,2023-12-01 19:29:52.700,5913818.0,2.0,,,,,,,,,,,,,,,,,
25,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2024-01-09 10:10:40.000,2024-01-08 22:40:02,2446.0,20.0,301.0,37.0,356.0,1529.0,3145.0,2024-01-05 00:41:49.000,7.0.0,89.0,174.0,41,True,,22.0,flake8,conda-forge/flake8,,566251.0,520024.0,https://pypi.org/project/flake8,2024-01-05 00:41:49.000,46227.0,21520393.0,21679954.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7020710.0,1.0,,,,,,,,,,,,,,,,,
26,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-01-16 10:51:23.000,2024-01-12 13:48:22,11874.0,411.0,558.0,134.0,354.0,1934.0,10341.0,2024-01-07 19:02:32.000,1.9.7,284.0,166.0,39,True,,163.0,nuitka,conda-forge/nuitka,,1797.0,1732.0,https://pypi.org/project/nuitka,2024-01-07 19:02:32.000,65.0,88780.0,102688.0,https://anaconda.org/conda-forge/nuitka,2023-12-31 12:34:26.926,611968.0,1.0,,,,,,,,,,,,,,,,,
27,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-01-05 16:01:27.000,2023-11-08 21:44:38,1336.0,6.0,870.0,214.0,360.0,462.0,13551.0,,,26.0,151.0,38,True,,361.0,yapf,conda-forge/yapf,,88942.0,88942.0,https://pypi.org/project/yapf,,,4230107.0,4281600.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1699289.0,2.0,,,,,,,,,,,,,,,,,
28,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-01-18 01:20:17.000,2024-01-18 01:20:17,7067.0,364.0,1267.0,114.0,1131.0,5075.0,11472.0,2024-01-15 17:20:07.000,1.1.347,430.0,104.0,38,True,,31.0,,,,718.0,706.0,,,,,705938.0,,,,2.0,1473.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2024-01-15 00:54:43.838,12.0,705865.0,,,,,,
29,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-01-17 13:27:51.000,2024-01-05 14:44:28,2087.0,34.0,522.0,104.0,988.0,877.0,7283.0,2023-08-08 23:35:03.000,7.3.0,67.0,203.0,38,True,,148.0,pip-tools,conda-forge/pip-tools,,25202.0,25202.0,https://pypi.org/project/pip-tools,,,9435186.0,9438254.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,135018.0,2.0,,,,,,,,,,,,,,,,,
30,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-01-18 12:55:18.000,2024-01-17 04:15:33,690.0,25.0,480.0,42.0,1385.0,1592.0,3428.0,2024-01-17 04:16:15.000,4.12.1,92.0,69.0,38,True,,82.0,tox,conda-forge/tox,['pytest'],109486.0,109486.0,https://pypi.org/project/tox,,,10573722.0,10593049.0,https://anaconda.org/conda-forge/tox,2024-01-17 13:37:29.011,850421.0,1.0,,,,,,,,,,,,,,,,,
31,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2024-01-17 19:36:10.000,2024-01-17 19:36:10,686.0,13.0,235.0,28.0,419.0,281.0,559.0,2023-10-01 13:50:29.000,23.2,43.0,105.0,38,True,,73.0,packaging,conda-forge/packaging,,1038073.0,1017984.0,https://pypi.org/project/packaging,2023-10-01 13:50:03.000,20089.0,227562606.0,228519819.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,42116768.0,2.0,753.0,,,,,,,,,,,,,,,,
32,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-01-10 20:53:18.000,2024-01-10 16:48:01,796.0,29.0,648.0,133.0,160.0,768.0,17128.0,2023-09-11 15:25:24.000,0.7.2,21.0,52.0,37,True,,137.0,loguru,conda-forge/loguru,,76110.0,72745.0,https://pypi.org/project/loguru,2023-09-11 15:24:35.000,3365.0,13958049.0,14002101.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1938290.0,1.0,,,,,,,,,,,,,,,,,
33,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-01-16 05:37:07.000,2024-01-14 15:48:49,1336.0,13.0,550.0,66.0,417.0,472.0,5729.0,2023-12-09 02:50:36.000,1.7.6,13.0,175.0,37,True,,159.0,bandit,conda-forge/bandit,,46547.0,46547.0,https://pypi.org/project/bandit,,,3113733.0,3120962.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,281531.0,1.0,760.0,,,,,,,,,,,,,,,,
34,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-12-28 10:20:12.000,2023-12-28 10:20:12,8404.0,2.0,488.0,114.0,593.0,1326.0,5586.0,,,23.0,166.0,37,False,,54.0,jedi,conda-forge/jedi,,386108.0,386108.0,https://pypi.org/project/jedi,,,26252921.0,26726158.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20349219.0,1.0,,,,,,,,,,,,,,,,,
35,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-12-18 05:09:58.000,2023-10-27 07:04:25,2846.0,4.0,285.0,73.0,235.0,362.0,4473.0,2023-08-26 13:59:08.000,2.0.4,25.0,60.0,37,True,,123.0,autopep8,conda-forge/autopep8,,199685.0,199685.0,https://pypi.org/project/autopep8,,,3244507.0,3277001.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1397283.0,3.0,,,,,,,,,,,,,,,,,
36,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2024-01-14 14:41:28.000,2024-01-14 14:40:53,1524.0,77.0,196.0,33.0,284.0,281.0,2932.0,2024-01-08 09:52:50.000,24.1.0,34.0,109.0,37,True,,25.0,structlog,conda-forge/structlog,,11658.0,10515.0,https://pypi.org/project/structlog,2024-01-08 09:52:50.000,1143.0,7246895.0,7256767.0,https://anaconda.org/conda-forge/structlog,2023-10-09 17:50:22.949,355394.0,1.0,,,,,,,,,,,,,,,,,
37,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2024-01-06 03:05:03.000,2024-01-06 03:05:03,1109.0,28.0,291.0,39.0,551.0,427.0,1498.0,2022-12-01 01:51:31.000,4.0.2,25.0,118.0,37,True,,52.0,twine,conda-forge/twine,,99398.0,99398.0,https://pypi.org/project/twine,,,3294990.0,3305183.0,https://anaconda.org/conda-forge/twine,2023-06-16 13:23:13.063,907183.0,1.0,,,,,,,,,,,,,,,,,
38,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2024-01-15 21:00:22.000,2024-01-15 21:00:21,921.0,21.0,132.0,34.0,216.0,343.0,466.0,2023-11-26 14:37:13.000,0.42.0,34.0,78.0,37,True,,39.0,wheel,conda-forge/wheel,,247392.0,247392.0,https://pypi.org/project/wheel,,,267178911.0,269223649.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,83834274.0,1.0,,,,,,,,,,,,,,,,,
39,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-01-18 13:37:23.000,2024-01-18 13:37:21,3052.0,74.0,2065.0,188.0,2626.0,4863.0,28067.0,2023-11-16 19:09:01.000,1.7.1,100.0,523.0,36,True,,608.0,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,,,22380373.0,22638853.0,https://anaconda.org/conda-forge/poetry,2023-11-17 02:06:37.060,1100736.0,2.0,15370240.0,,,,,,,,,,,,,,,,
40,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2024-01-17 17:28:37.000,2023-06-07 11:16:23,408.0,,1127.0,187.0,158.0,228.0,9130.0,2023-05-24 20:13:07.561,0.9.54,51.0,52.0,36,True,,455.0,pyautogui,conda-forge/pyautogui,,31421.0,30538.0,https://pypi.org/project/pyautogui,2023-05-24 20:13:07.561,883.0,675125.0,680644.0,https://anaconda.org/conda-forge/pyautogui,2023-10-16 16:49:29.444,215262.0,1.0,,,,,,,,,,,,,,,,,
41,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2024-01-18 00:17:22.000,2024-01-18 00:16:41,2589.0,123.0,303.0,30.0,889.0,1364.0,5971.0,2024-01-17 05:22:18.000,2.12.1,186.0,163.0,36,True,,40.0,pdm,conda-forge/pdm,,288.0,224.0,https://pypi.org/project/pdm,2024-01-17 05:22:13.000,64.0,549555.0,557725.0,https://anaconda.org/conda-forge/pdm,2024-01-17 07:47:16.606,228776.0,2.0,4.0,,,,,,,,,,,,,,,,
