,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
175,MonkeyType,https://github.com/Instagram/MonkeyType,,A system for Python that generates static type annotations by collecting runtime types.,refactoring,21,True,Instagram/MonkeyType,https://github.com/Instagram/MonkeyType,BSD-3-Clause,2017-07-11 00:19:00.000000,2021-10-03 07:01:51.000000,2021-09-15 00:20:06.000000,126.0,112.0,3544.0,2021-05-21 22:24:36.000000,21.5.0,21.0,37.0,37.0,conda-forge/monkeytype,monkeytype,,182.0,148.0,https://pypi.org/project/monkeytype,2021-05-21 22:24:36.000000,34.0,,809.0,https://anaconda.org/conda-forge/monkeytype,2021-05-22 12:13:35.937000,36433.0,2.0,,,,,,,,,,,,,,,,
176,Bowler,https://github.com/facebookincubator/Bowler,,Safe code refactoring for modern Python.,refactoring,21,True,facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000000,2021-09-01 18:41:17.000000,2021-09-01 18:41:12.000000,88.0,34.0,1324.0,2020-09-17 01:55:39.000000,0.9.0,8.0,26.0,46.0,conda-forge/bowler,bowler,,10.0,,https://pypi.org/project/bowler,2020-09-17 01:55:39.000000,10.0,38271.0,38583.0,https://anaconda.org/conda-forge/bowler,2019-06-12 18:37:14.246000,10930.0,2.0,,,,,,,,,,,,,,,,
177,pyannotate,https://github.com/dropbox/pyannotate,,Auto-generate PEP-484 annotations.,refactoring,21,True,dropbox/pyannotate,https://github.com/dropbox/pyannotate,Apache-2.0,2017-11-13 20:18:08.000000,2021-10-12 20:53:52.000000,2021-10-12 20:53:49.000000,53.0,33.0,1235.0,2019-09-16 15:37:03.000000,1.2.0,9.0,17.0,26.0,,pyannotate,95.0,91.0,65.0,https://pypi.org/project/pyannotate,2019-09-16 15:37:03.000000,26.0,3614.0,3614.0,,,,2.0,,,,,,,,,,,,,,,,
178,wily,https://github.com/tonybaloney/wily,,"A Python application for tracking, reporting on timing and complexity in Python code.",code-metrics,21,True,tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000000,2021-10-14 21:11:19.000000,2021-07-01 09:03:43.000000,45.0,52.0,812.0,2020-09-02 06:33:11.000000,1.19.0,46.0,16.0,28.0,,wily,703.0,16.0,,https://pypi.org/project/wily,2021-07-01 08:25:50.000000,16.0,10310.0,10310.0,,,,3.0,,,,,,,,,,,,,,,,
179,blacken-docs,https://github.com/asottile/blacken-docs,,Run `black` on python code blocks in documentation files.,documentation,21,True,asottile/blacken-docs,https://github.com/asottile/blacken-docs,MIT,2018-06-03 02:48:01.000000,2021-10-13 16:17:23.000000,2021-10-11 20:34:23.000000,18.0,33.0,272.0,2021-08-27 20:23:14.000000,1.11.0,20.0,12.0,2.0,conda-forge/blacken-docs,blacken-docs,197.0,22.0,,https://pypi.org/project/blacken-docs,2021-08-27 20:23:14.000000,22.0,10784.0,12002.0,https://anaconda.org/conda-forge/blacken-docs,2021-08-27 23:27:48.536000,18278.0,3.0,,,,,,,,,,,,,,,,
180,pytest-docker,https://github.com/avast/pytest-docker,,Docker-based integration tests.,testing,21,True,avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000000,2021-10-20 17:40:15.000000,2021-06-14 12:23:20.000000,42.0,16.0,239.0,2021-06-14 12:12:56.000000,0.10.3,15.0,11.0,17.0,,pytest-docker,60.0,28.0,,https://pypi.org/project/pytest-docker,2021-06-14 12:09:30.000000,28.0,47597.0,47600.0,,,,3.0,,82.0,,,,,['pytest'],,,,,,,,,
181,sphinx-markdown-builder,https://github.com/clayrisser/sphinx-markdown-builder,,sphinx builder that outputs markdown files.,documentation,21,True,codejamninja/sphinx-markdown-builder,https://github.com/clayrisser/sphinx-markdown-builder,MIT,2018-11-11 00:07:58.000000,2021-10-11 22:05:26.000000,2020-10-07 04:18:32.000000,29.0,16.0,109.0,2019-12-23 17:05:52.000000,0.5.4,22.0,16.0,18.0,,sphinx-markdown-builder,99.0,233.0,191.0,https://pypi.org/project/sphinx-markdown-builder,2019-12-23 17:05:52.000000,42.0,25301.0,25301.0,,,,3.0,,,,,,,['sphinx'],,,,,,,,,clayrisser/sphinx-markdown-builder
182,mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,,Generate a single PDF file from MkDocs repository.,documentation,21,True,orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46.000000,2021-10-14 20:37:00.000000,2021-10-14 20:29:54.000000,16.0,36.0,94.0,2021-07-03 02:09:02.000000,0.9.3,28.0,6.0,25.0,,mkdocs-with-pdf,188.0,66.0,66.0,https://pypi.org/project/mkdocs-with-pdf,2021-07-03 02:04:39.000000,,10326.0,10326.0,,,,3.0,,,,,,,['mkdocs'],,,,,,,,,
183,PrettyErrors,https://github.com/onelivesleft/PrettyErrors,,Prettify Python exception output to make it legible.,logging,20,True,onelivesleft/PrettyErrors,https://github.com/onelivesleft/PrettyErrors,MIT,2018-11-15 16:02:27.000000,2021-08-19 17:32:41.000000,2021-08-19 17:32:35.000000,65.0,31.0,2182.0,2021-08-19 17:31:53.000000,1.2.24,47.0,5.0,,,pretty_errors,129.0,0.0,,https://pypi.org/project/pretty_errors,2021-08-19 17:31:53.000000,0.0,19388.0,19388.0,,,,3.0,,,,,,,,,,,,,,,,
184,detect-secrets,https://github.com/Yelp/detect-secrets,,An enterprise friendly way of detecting and preventing secrets in code.,security,20,True,Yelp/detect-secrets,https://github.com/Yelp/detect-secrets,Apache-2.0,2017-12-05 00:38:38.000000,2021-09-25 10:53:57.000000,2021-08-01 20:36:31.000000,244.0,151.0,2016.0,2021-04-14 21:25:44.000000,1.1.0,34.0,51.0,83.0,,detect-secrets,1095.0,34.0,,https://pypi.org/project/detect-secrets,2021-04-14 21:25:44.000000,34.0,,,,,,3.0,,,,,,,,-6.0,,,,,,,,
