,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
181,pytest-docker,avast/pytest-docker,testing,Docker-based integration tests.,,https://github.com/avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000,2024-02-02 09:18:18.000,2024-02-02 09:17:41,87.0,,67.0,9.0,63.0,37.0,397.0,2024-02-02 09:18:18.000,3.1.1,27.0,23.0,25,True,,17.0,pytest-docker,,['pytest'],140.0,311182.0,1024.0,938.0,https://pypi.org/project/pytest-docker,2024-02-02 09:18:10.000,86.0,311180.0,,,,3.0,,,,,,,,,,,,,,,,,,
182,nitpick,andreoliwa/nitpick,linters,Enforce the same settings on multiple projects.,,https://github.com/andreoliwa/nitpick,https://github.com/andreoliwa/nitpick,MIT,2018-03-23 14:25:24.000,2024-06-04 08:12:35.000,2024-06-04 08:11:54,884.0,15.0,23.0,5.0,525.0,82.0,385.0,2023-12-31 16:40:33.000,0.35.0,53.0,16.0,25,True,,51.0,nitpick,,['flake8'],5.0,14626.0,1339.0,1313.0,https://pypi.org/project/nitpick,2023-12-31 16:40:30.000,26.0,14626.0,,,,3.0,,,,,,,,,,,,,,,,,,
183,pytest-mypy,dbader/pytest-mypy,testing,Mypy static type checker plugin for Pytest.,,https://github.com/realpython/pytest-mypy,https://github.com/realpython/pytest-mypy,MIT,2016-09-29 14:39:23.000,2024-04-10 13:55:36.678,2024-03-12 22:01:39,291.0,1.0,32.0,9.0,103.0,54.0,244.0,2022-12-18 18:49:02.248,0.10.3,23.0,16.0,25,True,realpython/pytest-mypy,10.0,pytest-mypy,conda-forge/pytest-mypy,['pytest'],,386898.0,4765.0,4054.0,https://pypi.org/project/pytest-mypy,2022-12-18 18:49:02.248,711.0,384766.0,https://anaconda.org/conda-forge/pytest-mypy,2024-04-10 13:55:36.678,98095.0,3.0,,,,,,,,,,,,,,,,,,
184,better-exceptions,Qix-/better-exceptions,logging,"Pretty and useful exceptions in Python, automatically.",,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2023-03-23 11:09:43.000,2023-01-05 00:12:47,102.0,,202.0,69.0,56.0,47.0,4557.0,2021-01-29 16:48:55.000,0.3.3,16.0,17.0,24,False,,35.0,better-exceptions,,,,193712.0,97.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000,97.0,193712.0,,,,3.0,,,,,,,,,,,,,,,,,,
185,PrettyErrors,onelivesleft/PrettyErrors,logging,Prettify Python exception output to make it legible.,,https://github.com/onelivesleft/PrettyErrors,https://github.com/onelivesleft/PrettyErrors,MIT,2018-11-15 16:02:27.000,2024-03-05 23:33:11.000,2021-11-24 14:32:14,130.0,,88.0,33.0,11.0,38.0,2826.0,2021-11-24 14:32:07.000,1.2.25,48.0,5.0,24,False,,13.0,pretty_errors,conda-forge/pretty_errors,,,1070565.0,106.0,,https://pypi.org/project/pretty_errors,2021-11-24 14:32:07.000,106.0,1070093.0,https://anaconda.org/conda-forge/pretty_errors,2023-06-16 19:23:41.476,20330.0,3.0,,,,,,,,,,,,,,,,,,
186,Bowler,facebookincubator/Bowler,refactoring,Safe code refactoring for modern Python.,,https://github.com/facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000,2024-03-20 15:47:57.000,2023-01-20 18:08:14,186.0,,96.0,38.0,77.0,34.0,1521.0,2020-09-17 01:55:39.000,0.9.0,8.0,27.0,24,False,,44.0,bowler,conda-forge/bowler,,,101259.0,17.0,,https://pypi.org/project/bowler,2020-09-17 01:55:39.000,17.0,100980.0,https://anaconda.org/conda-forge/bowler,2023-06-16 16:11:48.791,18750.0,2.0,,,,,,,,,,,,,,,,,,
187,snoop,alexmojaki/snoop,debugging,"A powerful set of Python debugging tools, based on PySnooper.",,https://github.com/alexmojaki/snoop,https://github.com/alexmojaki/snoop,MIT,2019-05-13 18:45:35.000,2023-12-12 06:18:06.000,2022-12-22 13:48:56,431.0,,34.0,22.0,17.0,30.0,1207.0,2022-12-22 13:51:11.775,0.4.3,14.0,22.0,24,False,,24.0,snoop,conda-forge/snoop,,,82310.0,38.0,,https://pypi.org/project/snoop,2022-12-22 13:51:11.775,38.0,82140.0,https://anaconda.org/conda-forge/snoop,2023-06-16 19:27:40.699,5469.0,3.0,,,,,,,,,,,,,,,,,,
188,pynsist,takluyver/pynsist,packaging,Build Windows installers for Python applications.,,https://github.com/takluyver/pynsist,https://github.com/takluyver/pynsist,MIT,2014-03-30 19:11:21.000,2024-04-09 12:58:32.000,2024-04-09 12:58:32,564.0,8.0,124.0,33.0,92.0,146.0,878.0,2020-07-03 08:11:24.000,2.5.1,22.0,31.0,24,True,,32.0,pynsist,,,,3042.0,232.0,219.0,https://pypi.org/project/pynsist,2022-03-21 11:44:22.000,13.0,3042.0,,,,3.0,,,,,,,,,,,,,,,,,,
189,redbaron,pycqa/redbaron,refactoring,Bottom-up approach to refactoring in python.,,https://github.com/PyCQA/redbaron,https://github.com/PyCQA/redbaron,LGPL-3.0+,2014-03-23 05:34:39.000,2022-01-29 21:54:37.000,2021-12-09 03:12:36,1672.0,,75.0,28.0,106.0,48.0,689.0,2019-03-17 19:03:54.000,0.9.2,15.0,34.0,24,False,,90.0,redbaron,,,,52260.0,750.0,664.0,https://pypi.org/project/redbaron,2019-03-17 18:59:01.000,86.0,52260.0,,,,2.0,,,,,,,,,,,,,,,,,,
190,pytest-plugins,man-group/pytest-plugins,testing,A grab-bag of nifty pytest plugins.,,https://github.com/man-group/pytest-plugins,https://github.com/man-group/pytest-plugins,MIT,2015-08-14 07:52:32.000,2024-04-09 08:28:40.000,2022-11-03 10:04:57,807.0,,81.0,23.0,118.0,58.0,550.0,2019-05-28 06:37:19.000,1.7.0,12.0,62.0,24,False,,58.0,pytest-virtualenv,conda-forge/pytest-shutil,,,21169.0,71.0,,https://pypi.org/project/pytest-virtualenv,2019-05-28 06:37:19.000,71.0,20110.0,https://anaconda.org/conda-forge/pytest-shutil,2023-06-16 16:13:53.097,75210.0,3.0,,,,,,,,,,,,,,,,,,
