,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
102,mccabe,PyCQA/mccabe,code-metrics,McCabe complexity checker for Python.,,https://github.com/PyCQA/mccabe,https://github.com/PyCQA/mccabe,Saxpath,2013-02-20 22:19:04.000,2023-12-03 13:55:50.000,2023-12-03 13:55:50,149.0,,57.0,17.0,60.0,45.0,621.0,2022-01-24 01:14:49.000,0.7.0,13.0,24.0,31,True,,14.0,mccabe,conda-forge/mccabe,,,36890992.0,448246.0,432232.0,https://pypi.org/project/mccabe,2022-01-24 01:14:49.000,16014.0,36806317.0,https://anaconda.org/conda-forge/mccabe,2023-06-16 13:17:55.573,7874823.0,2.0,,,,,,,,,,,,,,
103,pudb,inducer/pudb,debugging,Full-screen console debugger for Python.,,https://github.com/inducer/pudb,https://github.com/inducer/pudb,,2011-05-13 23:44:30.000,2024-03-05 22:20:09.000,2024-02-21 23:04:22,1239.0,7.0,214.0,50.0,283.0,177.0,2837.0,2024-01-16 22:18:37.000,2024.1,12.0,95.0,30,False,,143.0,pudb,conda-forge/pudb,,,264728.0,6002.0,6002.0,https://pypi.org/project/pudb,,,262036.0,https://anaconda.org/conda-forge/pudb,2023-06-16 13:21:37.623,247735.0,1.0,,,,,,,,,,,,,,
104,flit,pypa/flit,build-tools,Simplified packaging of Python modules.,,https://github.com/pypa/flit,https://github.com/pypa/flit,BSD-3-Clause,2015-03-13 21:22:27.000,2024-01-28 10:24:07.000,2024-01-28 09:31:50,1187.0,7.0,130.0,34.0,277.0,284.0,2077.0,2023-05-14 14:50:50.819,3.9.0,49.0,71.0,30,True,,125.0,flit,conda-forge/flit,,,400620.0,2289.0,1754.0,https://pypi.org/project/flit,2023-05-14 14:50:50.819,535.0,398544.0,https://anaconda.org/conda-forge/flit,2023-06-16 13:24:46.150,176471.0,3.0,,,,,,,,,,,,,,
105,pyelftools,eliben/pyelftools,debugging,Parsing ELF and DWARF in Python.,,https://github.com/eliben/pyelftools,https://github.com/eliben/pyelftools,,2013-06-08 22:55:54.000,2024-03-01 04:23:58.000,2024-03-01 04:23:57,673.0,4.0,484.0,71.0,296.0,172.0,1856.0,,,8.0,99.0,30,False,,73.0,pyelftools,conda-forge/pyelftools,,,3581054.0,7073.0,7073.0,https://pypi.org/project/pyelftools,,,3577374.0,https://anaconda.org/conda-forge/pyelftools,2023-09-23 20:45:10.696,150896.0,1.0,,,,,,,,,,,,,,
106,ipdb,gotcha/ipdb,debugging,Integration of IPython pdb.,,https://github.com/gotcha/ipdb,https://github.com/gotcha/ipdb,BSD-3-Clause,2011-01-15 17:51:47.000,2023-08-03 14:30:43.000,2023-08-03 14:30:43,380.0,,147.0,28.0,84.0,130.0,1797.0,2023-03-09 15:41:00.602,0.13.13,46.0,58.0,30,True,,64.0,ipdb,conda-forge/ipdb,,,2869310.0,62589.0,53564.0,https://pypi.org/project/ipdb,2023-03-09 15:41:00.602,9025.0,2864555.0,https://anaconda.org/conda-forge/ipdb,2023-06-16 13:21:31.191,437502.0,1.0,,,,,,,,,,,,,,
107,radon,rubik/radon,code-metrics,Various code metrics for Python code.,,https://github.com/rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2024-03-03 11:39:02.000,2023-10-06 10:02:00,544.0,,111.0,34.0,94.0,145.0,1581.0,2023-03-26 06:25:00.948,6.0.1,56.0,60.0,30,True,,24.0,radon,conda-forge/radon,,,509772.0,5462.0,4800.0,https://pypi.org/project/radon,2023-03-26 06:25:00.948,662.0,508877.0,https://anaconda.org/conda-forge/radon,2023-06-16 13:24:51.939,68922.0,2.0,,,,,,,,,,,,,,
108,nose,nose-devs/nose,testing,nose is nicer testing for python.,,https://github.com/nose-devs/nose,https://github.com/nose-devs/nose,,2011-12-13 19:36:32.000,2023-11-06 17:25:08.000,2016-03-04 01:16:26,1004.0,,382.0,48.0,262.0,466.0,1356.0,,,1.0,95.0,30,False,,400.0,nose,conda-forge/nose,,,5578322.0,151836.0,151836.0,https://pypi.org/project/nose,,,5546072.0,https://anaconda.org/conda-forge/nose,2023-06-16 13:17:32.308,3031545.0,2.0,,,,,,,,,,,,,,
109,pytest-sugar,Teemu/pytest-sugar,testing,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",,https://github.com/Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,,2013-06-25 21:09:27.000,2024-02-12 04:31:32.000,2024-02-12 04:31:32,443.0,17.0,73.0,18.0,166.0,93.0,1217.0,2024-02-01 18:30:24.000,1.0.0,9.0,53.0,30,False,,21.0,pytest-sugar,conda-forge/pytest-sugar,['pytest'],16.0,1817324.0,24260.0,24260.0,https://pypi.org/project/pytest-sugar,,,1811853.0,https://anaconda.org/conda-forge/pytest-sugar,2024-02-05 11:11:27.904,229740.0,2.0,,,,,,,,,,,,,,
110,nose2,nose-devs/nose2,testing,"The successor to nose, based on unittest2.",,https://github.com/nose-devs/nose2,https://github.com/nose-devs/nose2,,2011-12-14 15:33:15.000,2024-02-19 17:00:15.000,2024-01-31 00:34:09,1151.0,25.0,128.0,23.0,331.0,218.0,771.0,,,5.0,77.0,30,False,,49.0,nose2,conda-forge/nose2,,,780586.0,24658.0,24658.0,https://pypi.org/project/nose2,,,778762.0,https://anaconda.org/conda-forge/nose2,2023-06-16 16:08:37.386,127740.0,2.0,,,,,,,,,,,,,,
111,breathe,michaeljones/breathe,documentation,ReStructuredText and Sphinx bridge to Doxygen.,,https://github.com/breathe-doc/breathe,https://github.com/breathe-doc/breathe,BSD-3-Clause,2009-02-03 18:52:25.000,2024-02-16 05:56:51.000,2023-10-24 08:23:51,1761.0,,187.0,20.0,370.0,399.0,716.0,2023-03-31 19:07:42.000,4.35.0,65.0,107.0,30,True,breathe-doc/breathe,178.0,breathe,conda-forge/breathe,,588.0,417375.0,13649.0,12597.0,https://pypi.org/project/breathe,2023-02-28 20:05:00.925,1052.0,405484.0,https://anaconda.org/conda-forge/breathe,2023-07-04 04:52:22.769,534400.0,2.0,,,,,,,,,,,,,,
