,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-10-04 21:41:51.000,2023-10-04 21:39:05,14217.0,105.0,2150.0,478.0,674.0,296.0,3931.0,8373.0,2023-07-28 19:29:00.000,6.1.1,120.0,187.0,42,True,,robotframework,conda-forge/robotframework,,9953.0,8837.0,https://pypi.org/project/robotframework,2023-07-28 19:27:05.000,1116.0,1758159.0,1763160.0,https://anaconda.org/conda-forge/robotframework,2023-07-28 20:32:29.432,154884.0,1.0,,553.0,,,,,,,,,,,,,,,,,
21,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-10-03 07:31:57.000,2023-10-03 03:08:30,734.0,43.0,1043.0,169.0,1315.0,17.0,1282.0,4557.0,2023-09-08 14:38:13.000,20.24.5,211.0,264.0,42,True,,virtualenv,conda-forge/virtualenv,,335971.0,317996.0,https://pypi.org/project/virtualenv,2023-09-08 14:36:59.000,17975.0,102152846.0,102301664.0,https://anaconda.org/conda-forge/virtualenv,2023-08-30 19:19:12.197,5357475.0,2.0,,,,,,,,,,,,,,,,,,,
22,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-10-03 16:55:48.000,2023-10-03 16:55:47,2419.0,33.0,293.0,38.0,342.0,26.0,1506.0,3025.0,2023-07-29 19:05:02.000,6.1.0,88.0,172.0,42,True,,flake8,conda-forge/flake8,,538243.0,492879.0,https://pypi.org/project/flake8,2023-07-29 19:05:02.000,45364.0,24466272.0,24631367.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6768925.0,1.0,,,,,,,,,,,,,,,,,,,
23,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-10-02 15:12:36.000,2023-09-18 21:23:33,1963.0,37.0,2311.0,227.0,1191.0,129.0,1752.0,17159.0,2023-09-18 21:27:59.000,1.5.3,60.0,243.0,41,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],54655.0,50123.0,https://pypi.org/project/mkdocs,2023-09-18 21:26:09.000,4532.0,2409128.0,2419640.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,294351.0,1.0,,,,,,,,,,,,,,,,,,,
24,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-10-04 03:42:22.000,2023-09-29 21:23:58,1321.0,26.0,933.0,215.0,345.0,365.0,453.0,13427.0,2023-09-22 18:40:43.000,0.40.2,74.0,150.0,41,True,,yapf,conda-forge/yapf,,86172.0,83863.0,https://pypi.org/project/yapf,2023-09-22 18:40:43.000,2309.0,4992563.0,5046186.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1608712.0,2.0,,,,,,,,,,,,,,,,,,,
25,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-10-03 16:57:11.000,2023-10-03 16:57:10,2596.0,41.0,748.0,87.0,1126.0,21.0,1840.0,11016.0,2023-09-02 17:13:27.000,3.4.0,186.0,154.0,41,True,,pre-commit,conda-forge/pre-commit,,157639.0,151730.0,https://pypi.org/project/pre-commit,2023-09-02 17:09:40.000,5909.0,14257845.0,14376944.0,https://anaconda.org/conda-forge/pre-commit,2023-09-29 21:18:07.475,3737447.0,1.0,,669786.0,,,,,,,,,,,,,,,,,
26,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-10-04 19:55:20.000,2023-10-01 07:07:47,13295.0,153.0,564.0,72.0,2318.0,44.0,1400.0,6940.0,2023-09-25 01:11:02.000,6.87.0,1088.0,316.0,41,True,,hypothesis,conda-forge/hypothesis,,24953.0,22686.0,https://pypi.org/project/hypothesis,2023-10-01 07:07:50.000,2267.0,6060577.0,6259563.0,https://anaconda.org/conda-forge/hypothesis,2023-10-01 09:19:40.320,8158436.0,1.0,,,,,,,,,,,,,,,,,,,
27,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-10-05 13:20:05.000,2023-10-03 15:53:43,2968.0,62.0,2042.0,185.0,2516.0,630.0,4687.0,26903.0,2023-08-21 17:53:20.000,1.6.1,164.0,487.0,40,True,,poetry,conda-forge/poetry,,289.0,,https://pypi.org/project/poetry,2023-08-21 17:53:20.000,289.0,23656032.0,23920216.0,https://anaconda.org/conda-forge/poetry,2023-08-21 20:30:34.699,1016823.0,2.0,,15280946.0,,,,,,,,,,,,,,,,,
28,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-10-03 00:27:57.000,2023-09-29 17:45:43,4112.0,23.0,541.0,48.0,946.0,178.0,1063.0,6036.0,2023-01-31 16:31:31.154,5.8.0,143.0,288.0,40,True,,isort,conda-forge/isort,,435961.0,418084.0,https://pypi.org/project/isort,2023-01-31 16:31:31.154,17877.0,27129227.0,27190543.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5334557.0,2.0,,,,,,,,,,,,,,,,,,,
29,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-10-02 18:17:42.000,2023-10-02 18:17:41,662.0,49.0,494.0,43.0,1356.0,69.0,1581.0,3368.0,2023-09-08 22:45:32.000,4.11.3,208.0,290.0,40,True,,tox,conda-forge/tox,['pytest'],127527.0,105300.0,https://pypi.org/project/tox,2023-09-08 22:45:32.000,22227.0,13440637.0,13460123.0,https://anaconda.org/conda-forge/tox,2023-09-09 02:01:04.061,798929.0,1.0,,,,,,,,,,,,,,,,,,,
