,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,new_addition,conda_forge
149,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2021-12-05 16:31:05.000,2019-12-22 18:11:19,86.0,,46.0,8.0,33.0,24.0,21.0,194.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,27,False,astunparse,conda-forge/astunparse,,68283.0,67880.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,403.0,8617780.0,8637894.0,https://anaconda.org/conda-forge/astunparse,2021-01-15 07:40:29.426,1387901.0,3.0,,,,,,,,,,,,,,,,,,,,,
150,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2022-12-23 09:25:56.098,2022-12-22 22:55:55,353.0,,90.0,7.0,80.0,9.0,48.0,145.0,2022-12-22 22:56:11.423,6.0.0,41.0,37.0,27,True,flake8-isort,conda-forge/flake8-isort,['flake8'],21983.0,21332.0,https://pypi.org/project/flake8-isort,2022-12-22 22:56:11.423,651.0,948515.0,949310.0,https://anaconda.org/conda-forge/flake8-isort,2022-12-23 09:25:56.098,32610.0,3.0,,,,,,,,,,,,,,,,,,,,,
151,icecream,gruns/icecream,debugging,Never use print() to debug again.,,https://github.com/gruns/icecream,https://github.com/gruns/icecream,MIT,2018-02-13 18:56:12.000,2023-02-28 01:38:58.000,2022-12-04 22:09:17,262.0,,137.0,50.0,41.0,38.0,70.0,6653.0,2022-07-21 09:20:01.329,2.1.3,17.0,21.0,26,True,icecream,conda-forge/icecream,,91.0,,https://pypi.org/project/icecream,2022-07-21 09:20:01.329,91.0,252530.0,253067.0,https://anaconda.org/conda-forge/icecream,2022-07-21 16:51:26.595,12354.0,3.0,,,,,,,,,,,,,,,,,,,,,
152,MonkeyType,Instagram/MonkeyType,refactoring,A Python library that generates static type annotations by collecting runtime types.,,https://github.com/Instagram/MonkeyType,https://github.com/Instagram/MonkeyType,BSD-3-Clause,2017-07-11 00:19:00.000,2023-03-20 22:56:45.195,2023-03-20 14:09:13,329.0,5.0,154.0,54.0,123.0,33.0,130.0,4150.0,2023-03-20 14:10:04.829,23.3.0,23.0,45.0,26,True,monkeytype,conda-forge/monkeytype,,26.0,,https://pypi.org/project/monkeytype,2022-02-18 23:46:48.000,26.0,50546.0,51320.0,https://anaconda.org/conda-forge/monkeytype,2023-03-20 22:56:45.195,48046.0,2.0,,,,,,,,,,,,,,,,,,,,,
153,rebound,shobrook/rebound,logging,Command-line tool that instantly fetches Stack Overflow results when an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,MIT,2017-05-29 17:11:25.872,2023-03-01 17:01:55.758,2022-02-16 05:16:40,168.0,,383.0,77.0,41.0,24.0,38.0,4003.0,2023-03-09 14:13:09.056,3.24.0,195.0,16.0,26,False,rebound,conda-forge/rebound,,43.0,24.0,https://pypi.org/project/rebound,2022-04-25 14:15:09.000,19.0,5823.0,9414.0,https://anaconda.org/conda-forge/rebound,2023-03-01 17:01:55.758,251166.0,3.0,218.0,,,,,,,,,,,,,,,,,,,,
154,line_profiler,pyutils/line_profiler,profiling,Line-by-line profiling for Python.,,https://github.com/pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2023-03-06 21:28:54.000,2023-03-06 21:28:54,298.0,8.0,97.0,16.0,129.0,36.0,46.0,1713.0,2023-03-04 00:35:51.589,4.0.3,27.0,39.0,26,True,line_profiler,conda-forge/line_profiler,,60.0,,https://pypi.org/project/line_profiler,2022-12-09 15:21:59.908,60.0,336077.0,340427.0,https://anaconda.org/conda-forge/line_profiler,2022-12-09 23:55:22.319,356761.0,3.0,,,,,,,,,,,,,,,,,,,,,
155,wily,tonybaloney/wily,code-metrics,"A Python application for tracking, reporting on timing and complexity in Python code.",,https://github.com/tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000,2023-03-13 06:57:40.000,2023-03-13 01:30:13,821.0,19.0,56.0,26.0,88.0,30.0,58.0,1048.0,2023-02-22 04:00:16.000,1.24.1,50.0,23.0,26,True,wily,,,182.0,172.0,https://pypi.org/project/wily,2022-10-20 05:13:01.074,10.0,15201.0,15201.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
156,green,CleanCut/green,testing,"Green is a clean, colorful, fast python test runner.",,https://github.com/CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2022-10-30 14:19:59.665,2022-09-20 23:55:51,1073.0,,78.0,24.0,74.0,5.0,173.0,759.0,2022-09-21 00:00:55.818,3.4.3,145.0,38.0,26,True,green,conda-forge/green,,1187.0,976.0,https://pypi.org/project/green,2022-09-21 00:00:55.818,211.0,14995.0,16756.0,https://anaconda.org/conda-forge/green,2022-10-30 14:19:59.665,116266.0,3.0,,,,,,,,,,,,,,,,,,,,,
157,pytest-testmon,tarpas/pytest-testmon,testing,Selects tests affected by changed files. Executes the right tests first. Continuous test runner when used with pytest-..,,https://github.com/tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2023-03-23 06:51:40.000,2023-03-23 06:51:35,339.0,18.0,44.0,17.0,72.0,32.0,113.0,632.0,2023-03-23 10:57:25.000,2.0.0,72.0,20.0,26,True,pytest-testmon,conda-forge/pytest-testmon,['pytest'],1073.0,1070.0,https://pypi.org/project/pytest-testmon,2023-01-25 17:34:50.003,3.0,131379.0,132001.0,https://anaconda.org/conda-forge/pytest-testmon,2019-08-03 00:17:17.063,37948.0,3.0,,5.0,,,,,,,,,,,,,,,,,,,
158,sphinx-bootstrap-theme,ryan-roemer/sphinx-bootstrap-theme,documentation,Sphinx Bootstrap Theme.,,https://github.com/ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2022-02-28 16:14:56.000,2022-02-03 20:25:55,403.0,,207.0,24.0,95.0,54.0,83.0,586.0,2022-02-03 20:27:24.000,0.8.1,58.0,39.0,26,False,sphinx-bootstrap-theme,,['sphinx'],600.0,,https://pypi.org/project/sphinx-bootstrap-theme,2022-02-03 20:27:24.000,600.0,190442.0,190442.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
159,mypy-protobuf,dropbox/mypy-protobuf,linters,open source tools to generate mypy stubs from protobufs.,,https://github.com/nipunn1313/mypy-protobuf,https://github.com/nipunn1313/mypy-protobuf,Apache-2.0,2017-12-11 21:55:05.000,2023-03-22 09:00:33.000,2023-03-13 20:38:27,472.0,9.0,70.0,19.0,394.0,9.0,106.0,552.0,2022-10-20 06:20:02.477,3.4.0,40.0,36.0,26,True,mypy-protobuf,conda-forge/mypy-protobuf,,64.0,,https://pypi.org/project/mypy-protobuf,2022-10-20 06:20:02.477,64.0,1193323.0,1196453.0,https://anaconda.org/conda-forge/mypy-protobuf,2022-08-24 19:50:22.562,87659.0,3.0,,,,,,,,,,,,,nipunn1313/mypy-protobuf,,,,,,,,
160,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2023-03-15 11:18:10.000,2023-03-15 11:18:08,544.0,27.0,26.0,5.0,478.0,6.0,50.0,494.0,2022-05-11 17:35:06.000,3.12.0,30.0,18.0,26,True,pytest-randomly,conda-forge/pytest-randomly,,239.0,,https://pypi.org/project/pytest-randomly,2022-05-11 17:35:06.000,239.0,700528.0,707213.0,https://anaconda.org/conda-forge/pytest-randomly,2022-05-12 01:12:32.731,113657.0,3.0,,,,,,,,,,,,,,,,,,,,,
161,interrogate,econchick/interrogate,documentation,Explain yourself! Interrogate a codebase for docstring coverage.,,https://github.com/econchick/interrogate,https://github.com/econchick/interrogate,MIT,2020-04-24 02:33:25.000,2023-03-19 22:56:32.000,2022-07-29 16:12:10,178.0,,34.0,5.0,102.0,23.0,27.0,469.0,2021-09-10 23:05:20.000,1.5.0,14.0,12.0,26,True,interrogate,,,3890.0,3801.0,https://pypi.org/project/interrogate,2021-09-10 23:05:20.000,89.0,224852.0,224852.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
162,flake8-comprehensions,adamchainz/flake8-comprehensions,linters,A flake8 plugin to help you write better list/set/dict comprehensions.,,https://github.com/adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2023-03-21 16:01:34.955,2023-03-21 14:28:53,513.0,29.0,20.0,6.0,440.0,4.0,48.0,416.0,2023-03-21 14:30:05.291,3.11.1,36.0,14.0,26,True,flake8-comprehensions,conda-forge/flake8-comprehensions,['flake8'],682.0,,https://pypi.org/project/flake8-comprehensions,2022-10-29 23:12:51.523,682.0,963096.0,972275.0,https://anaconda.org/conda-forge/flake8-comprehensions,2023-03-21 16:01:34.955,697670.0,3.0,,,,,,,,,,,,,,,,,,,,,
163,pytest-mypy,dbader/pytest-mypy,testing,Mypy static type checker plugin for Pytest.,,https://github.com/realpython/pytest-mypy,https://github.com/realpython/pytest-mypy,MIT,2016-09-29 14:39:23.000,2022-12-18 18:49:02.248,2022-12-18 18:44:36,259.0,,33.0,8.0,91.0,10.0,51.0,219.0,2022-12-18 18:49:02.248,0.10.3,23.0,16.0,26,True,pytest-mypy,conda-forge/pytest-mypy,['pytest'],3845.0,3417.0,https://pypi.org/project/pytest-mypy,2022-12-18 18:49:02.248,428.0,268327.0,269854.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,56503.0,3.0,,,,,,,,,,,,,realpython/pytest-mypy,,,,,,,,
164,releases,bitprophet/releases,documentation,A powerful Sphinx changelog-generating extension.,,https://github.com/bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2023-02-25 00:03:37.000,2023-02-25 00:03:08,583.0,19.0,40.0,5.0,27.0,28.0,46.0,168.0,2023-02-25 00:02:59.343,2.1.0,35.0,10.0,26,True,releases,conda-forge/sphinx-releases,['sphinx'],924.0,556.0,https://pypi.org/project/releases,2023-01-02 18:25:53.338,368.0,13414.0,14238.0,https://anaconda.org/conda-forge/sphinx-releases,2021-10-19 17:29:57.242,47820.0,3.0,,,,,,,,,,,,,,,,,,,,,
165,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/wemake-services/eradicate,https://github.com/wemake-services/eradicate,Saxpath,2012-12-23 04:39:48.000,2023-03-03 08:37:32.000,2023-03-02 07:12:43,177.0,5.0,23.0,4.0,22.0,8.0,16.0,167.0,2023-03-01 08:39:00.953,2.2.0,18.0,13.0,26,False,eradicate,conda-forge/eradicate,,12994.0,12900.0,https://pypi.org/project/eradicate,2022-04-06 09:47:11.000,94.0,567323.0,567533.0,https://anaconda.org/conda-forge/eradicate,2022-04-13 14:13:20.049,4834.0,2.0,,,,,,,,,,,,,wemake-services/eradicate,,,,,,,,
