,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
196,pycco,pycco-docs/pycco,documentation,Literate-style documentation generator.,,https://github.com/pycco-docs/pycco,https://github.com/pycco-docs/pycco,MIT,2010-06-29 07:02:31.000,2022-01-21 18:17:35.000,2019-12-20 19:59:49,222.0,,143.0,16.0,65.0,28.0,808.0,2018-07-25 01:42:48.000,0.6.0,11.0,36.0,22,False,29.0,pycco,,,381.0,268.0,https://pypi.org/project/pycco,2018-07-25 01:42:48.000,1558.0,1558.0,,,,3.0,113.0,,,,,,,,,,,,,,,,,,,,
197,blacken-docs,asottile/blacken-docs,documentation,Run `black` on python code blocks in documentation files.,,https://github.com/adamchainz/blacken-docs,https://github.com/adamchainz/blacken-docs,MIT,2018-06-03 02:48:01.000,2022-12-02 18:43:46.000,2022-10-18 01:51:36,278.0,10.0,30.0,6.0,140.0,51.0,454.0,2022-01-30 16:42:02.000,1.12.1,22.0,14.0,22,True,7.0,blacken-docs,conda-forge/blacken-docs,,17.0,,https://pypi.org/project/blacken-docs,2022-01-30 16:42:02.000,45946.0,46820.0,https://anaconda.org/conda-forge/blacken-docs,2022-01-30 18:29:51.381,25369.0,3.0,17.0,,,,,,,,,,,,,adamchainz/blacken-docs,,,,,,,
198,constructor,conda/constructor,packaging,tool for creating installers from conda packages.,,https://github.com/conda/constructor,https://github.com/conda/constructor,BSD-3-Clause,2016-02-12 06:52:50.000,2022-12-08 13:33:28.000,2022-12-08 11:49:40,1045.0,9.0,151.0,33.0,309.0,260.0,382.0,2022-03-22 08:29:10.000,3.3.1,38.0,58.0,22,True,24.0,,constructor,,13.0,13.0,,,,109.0,https://anaconda.org/anaconda/constructor,2022-05-02 20:15:08.965,8608.0,3.0,,227.0,,,,,,,,,,,,,,,,,,,
199,pytest-lazy-fixture,tvorog/pytest-lazy-fixture,testing,It helps to use fixtures in pytest.mark.parametrize.,,https://github.com/TvoroG/pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,MIT,2016-09-29 23:52:48.000,2022-01-27 10:32:34.000,2022-01-27 10:32:34,98.0,,19.0,8.0,21.0,21.0,295.0,2020-02-01 18:04:00.000,0.6.3,12.0,9.0,22,True,17.0,pytest-lazy-fixture,conda-forge/pytest-lazy-fixture,['pytest'],1054.0,1000.0,https://pypi.org/project/pytest-lazy-fixture,2020-02-01 18:04:00.000,406399.0,412307.0,https://anaconda.org/conda-forge/pytest-lazy-fixture,2020-02-01 18:49:47.818,401775.0,3.0,54.0,,,,,,,,,,,,,,,,,,,,
200,mkdocs-pdf-export-plugin,zhaoterryy/mkdocs-pdf-export-plugin,documentation,An MkDocs plugin to export content pages as PDF files.,,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51.000,2022-11-22 05:06:36.000,2021-10-05 01:31:10,72.0,,39.0,18.0,31.0,46.0,265.0,2021-10-05 01:33:27.000,0.5.10,24.0,11.0,22,False,41.0,mkdocs-pdf-export-plugin,,['mkdocs'],296.0,292.0,https://pypi.org/project/mkdocs-pdf-export-plugin,2021-10-05 01:33:27.000,19092.0,19092.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,
201,add-trailing-comma,asottile/add-trailing-comma,refactoring,A tool (and pre-commit hook) to automatically add trailing commas to calls and literals.,,https://github.com/asottile/add-trailing-comma,https://github.com/asottile/add-trailing-comma,MIT,2017-07-10 00:55:50.000,2022-12-06 04:42:02.000,2022-12-06 04:42:01,388.0,29.0,20.0,6.0,165.0,48.0,261.0,2022-09-26 02:40:01.979,2.3.0,35.0,11.0,22,True,,add-trailing-comma,,,14.0,,https://pypi.org/project/add-trailing-comma,2022-04-17 13:58:01.000,25654.0,25654.0,,,,3.0,14.0,,,,,,,,,,,,,,,,,,,,
202,xenon,rubik/xenon,code-metrics,Monitoring tool based on radon.,,https://github.com/rubik/xenon,https://github.com/rubik/xenon,MIT,2014-02-14 14:19:20.000,2022-11-18 07:39:35.000,2022-02-24 16:06:18,113.0,,19.0,5.0,15.0,27.0,218.0,2021-09-03 15:34:36.000,0.8.0,21.0,9.0,22,True,8.0,xenon,conda-forge/xenon,,514.0,445.0,https://pypi.org/project/xenon,2022-02-24 08:21:17.000,117670.0,117965.0,https://anaconda.org/conda-forge/xenon,2019-10-12 20:39:43.883,18321.0,3.0,69.0,,,,,,,,,,,,,,,,,,,,
203,releases,bitprophet/releases,documentation,A powerful Sphinx changelog-generating extension.,,https://github.com/bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2022-09-30 22:34:08.000,2022-09-30 22:33:57,546.0,3.0,40.0,5.0,27.0,43.0,164.0,2021-12-15 14:41:21.229,0.1.0,33.0,10.0,22,True,30.0,releases,conda-forge/sphinx-releases,['sphinx'],872.0,506.0,https://pypi.org/project/releases,2020-01-11 00:29:49.000,6456.0,7314.0,https://anaconda.org/conda-forge/sphinx-releases,2021-10-19 17:29:57.242,47196.0,3.0,366.0,,,,,,,,,,,,,,,,,,,,
204,Griffe,mkdocstrings/griffe,documentation,"Signatures for entire Python programs. Extract the structure, the frame, the skeleton of your project, to generate API..",,https://github.com/mkdocstrings/griffe,https://github.com/mkdocstrings/griffe,ISC,2021-09-09 21:49:44.000,2022-12-04 15:18:01.000,2022-12-04 15:17:53,497.0,66.0,19.0,4.0,25.0,79.0,120.0,2022-11-18 18:52:00.537,0.24.1,48.0,13.0,22,True,17.0,griffe,conda-forge/griffe,,3.0,,https://pypi.org/project/griffe,2022-06-28 19:00:12.000,247103.0,254335.0,https://anaconda.org/conda-forge/griffe,2022-11-19 03:40:09.757,65095.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
205,pyenv-virtualenv,pyenv/pyenv-virtualenv,virtual-envs,a pyenv plugin to manage virtualenv (a.k.a. python-virtualenv).,,https://github.com/pyenv/pyenv-virtualenv,https://github.com/pyenv/pyenv-virtualenv,MIT,2013-02-18 12:59:17.000,2022-10-28 12:39:07.000,2022-10-18 17:37:46,493.0,11.0,346.0,74.0,123.0,204.0,5266.0,2019-02-14 00:27:42.000,1.1.5,7.0,54.0,21,True,117.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
