,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
23,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000000,2021-11-24 09:54:11.000000,2021-10-19 23:03:00.000000,1612.0,536.0,3899.0,2018-10-05 13:20:49.000000,0.4.2,23.0,108.0,190.0,conda-forge/sphinx_rtd_theme,sphinx_rtd_theme,1347.0,23490.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000000,23474.0,1057436.0,1088460.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-09-17 07:30:33.268000,1985552.0,1.0,['sphinx'],,,,,,,,,,,,,,,
24,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,33,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-12-08 21:05:15.000000,2021-12-08 21:05:15.000000,178.0,1301.0,1679.0,2021-10-11 12:42:47.000000,4.0.1,81.0,159.0,39.0,conda-forge/flake8,flake8,,282960.0,211670.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000000,71290.0,7208832.0,7260478.0,https://anaconda.org/conda-forge/flake8,2021-11-02 21:24:52.298000,3408666.0,1.0,,,,,,,,,,,,,,,,
25,sentry-sdk,https://github.com/getsentry/sentry-python,,The new Python SDK for Sentry.io.,logging,33,True,getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000000,2021-12-09 14:15:44.000000,2021-12-01 19:35:18.000000,247.0,399.0,1098.0,2021-11-17 13:10:28.000000,1.5.0,136.0,111.0,198.0,conda-forge/sentry-sdk,sentry-sdk,1317.0,17124.0,16138.0,https://pypi.org/project/sentry-sdk,2021-11-17 13:10:25.000000,986.0,5782776.0,5786071.0,https://anaconda.org/conda-forge/sentry-sdk,2021-11-17 15:09:50.069000,117558.0,1.0,,,4490.0,,,,,1.0,,,,,,,,
26,pyflakes,https://github.com/PyCQA/pyflakes,,A simple program which checks Python source files for errors.,linters,33,True,PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000000,2021-11-21 13:51:51.000000,2021-11-21 13:51:51.000000,158.0,359.0,1091.0,2021-10-06 20:39:49.000000,2.4.0,31.0,79.0,83.0,conda-forge/pyflakes,pyflakes,517.0,135714.0,109216.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000000,26498.0,7328267.0,7380100.0,https://anaconda.org/conda-forge/pyflakes,2021-10-07 19:30:05.408000,3421005.0,1.0,,,,,,,,,,,,,,,,
27,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,32,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000000,2021-12-09 09:34:03.000000,2021-12-07 02:05:52.000000,1440.0,2209.0,17416.0,2021-11-28 06:15:58.000000,1.1.12,142.0,317.0,1252.0,conda-forge/poetry,poetry,1994.0,64.0,,https://pypi.org/project/poetry,2021-11-28 06:15:58.000000,64.0,2180486.0,2403923.0,https://anaconda.org/conda-forge/poetry,2021-11-16 18:20:49.130000,344731.0,2.0,,,9635417.0,,,,,,,,,,,,,
28,pip-tools,https://github.com/jazzband/pip-tools,,A set of tools to keep your pinned Python dependencies fresh.,dependency-managers,32,True,jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000000,2021-12-06 17:22:32.000000,2021-11-12 05:03:34.000000,472.0,661.0,5369.0,2021-10-12 16:00:05.000000,6.4.0,97.0,163.0,131.0,conda-forge/pip-tools,pip-tools,1670.0,3252.0,,https://pypi.org/project/pip-tools,2021-10-12 16:00:05.000000,3252.0,1913828.0,1914878.0,https://anaconda.org/conda-forge/pip-tools,2021-10-12 21:23:33.029000,21010.0,2.0,,,,,,,,,,,,,,,,
29,virtualenv,https://github.com/pypa/virtualenv,,Virtual Python Environment builder.,virtual-envs,32,True,pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000000,2021-12-09 12:34:39.000000,2021-12-04 10:07:26.000000,912.0,1117.0,4017.0,2021-11-01 08:01:30.000000,20.10.0,173.0,220.0,65.0,conda-forge/virtualenv,virtualenv,,34422.0,,https://pypi.org/project/virtualenv,2021-11-01 08:01:30.000000,34422.0,12271814.0,12295440.0,https://anaconda.org/conda-forge/virtualenv,2021-11-02 07:32:46.596000,1346698.0,2.0,,,,,,,,,,,,,,,,
30,bandit,https://github.com/PyCQA/bandit,,Bandit is a tool designed to find common security issues in Python code.,security,32,True,PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000000,2021-11-23 09:27:31.000000,2021-11-13 01:35:32.000000,380.0,372.0,3751.0,2021-11-12 12:25:41.000000,1.7.1,32.0,137.0,187.0,conda-forge/bandit,bandit,1181.0,11929.0,9575.0,https://pypi.org/project/bandit,2021-11-12 12:25:41.000000,2354.0,1112708.0,1115916.0,https://anaconda.org/conda-forge/bandit,2021-11-13 09:57:40.313000,99376.0,1.0,,,127.0,,,,,,,,,,,,,
31,invoke,https://github.com/pyinvoke/invoke,,Pythonic task management & command execution.,build-tools,32,True,pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000000,2021-11-09 09:27:42.000000,2021-10-16 04:43:50.000000,295.0,363.0,3456.0,2021-07-09 21:42:28.000000,1.6.0,52.0,56.0,335.0,conda-forge/invoke,invoke,3523.0,14243.0,9641.0,https://pypi.org/project/invoke,2021-07-09 21:42:28.000000,4602.0,1054496.0,1061538.0,https://anaconda.org/conda-forge/invoke,2021-07-10 12:55:00.642000,478888.0,1.0,,,,,,,,,,,,,,,,
32,parso,https://github.com/davidhalter/parso,,A Python Parser.,linters,32,True,davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000000,2021-12-01 05:04:36.494000,2021-11-30 21:03:35.000000,76.0,96.0,462.0,2021-11-30 21:05:47.000000,0.8.3,26.0,43.0,7.0,conda-forge/parso,parso,1096.0,175403.0,164039.0,https://pypi.org/project/parso,2021-11-30 21:05:47.000000,11364.0,9340246.0,9460901.0,https://anaconda.org/conda-forge/parso,2021-12-01 05:04:36.494000,5791440.0,1.0,,,,,,,,,,,,,,,,
