,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
28,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-05-03 12:51:08.000,2023-05-02 21:20:03,1256.0,44.0,855.0,220.0,301.0,373.0,405.0,13206.0,,,25.0,147.0,38,True,,yapf,conda-forge/yapf,,75184.0,75184.0,https://pypi.org/project/yapf,,,3812799.0,3829747.0,https://anaconda.org/conda-forge/yapf,2023-05-01 01:43:30.917,1406727.0,2.0,,,,,,,,,,,,,,,,,,,
29,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-05-04 03:38:36.000,2023-05-03 20:33:35,4759.0,162.0,1358.0,497.0,647.0,237.0,1433.0,22734.0,2023-01-14 15:00:47.000,3.3.1,92.0,171.0,37,True,,glances,conda-forge/glances,,692.0,641.0,https://pypi.org/project/glances,2023-01-17 07:15:06.065,51.0,178556.0,180793.0,https://anaconda.org/conda-forge/glances,2023-01-17 20:09:23.663,191327.0,1.0,1224.0,,,,,,,,,,,,,,,,,,
30,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-05-01 14:58:02.000,2023-04-28 15:08:05,710.0,17.0,595.0,126.0,112.0,92.0,659.0,14823.0,2023-04-10 09:14:19.000,0.7.0,19.0,42.0,37,True,,loguru,conda-forge/loguru,,51263.0,51263.0,https://pypi.org/project/loguru,,,8313790.0,8336472.0,https://anaconda.org/conda-forge/loguru,2023-04-10 11:59:26.560,1156818.0,2.0,,,,,,,,,,,,,,,,,,,
31,pyright,Microsoft/pyright,linters,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-05-03 20:40:20.000,2023-05-03 20:40:15,6071.0,335.0,1015.0,100.0,565.0,26.0,3968.0,10201.0,2023-05-03 02:29:35.000,1.1.306,390.0,92.0,37,True,,,,,507.0,497.0,,,,,519689.0,,,,1.0,280.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-05-03 02:21:54.648,10.0,519672.0,,,,,,,,
32,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-04-27 11:00:25.000,2023-04-18 15:21:07,1305.0,15.0,515.0,67.0,375.0,160.0,446.0,5158.0,2023-03-10 01:02:04.000,1.7.5,12.0,166.0,37,True,,bandit,conda-forge/bandit,,41021.0,41021.0,https://pypi.org/project/bandit,,,3042375.0,3047142.0,https://anaconda.org/conda-forge/bandit,2023-03-11 07:26:25.891,228328.0,1.0,660.0,,,,,,,,,,,,,,,,,,
33,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-04-30 19:05:29.000,2023-04-30 19:05:28,2372.0,17.0,271.0,37.0,311.0,25.0,1485.0,2812.0,,,29.0,172.0,37,False,,flake8,conda-forge/flake8,,449787.0,449787.0,https://pypi.org/project/flake8,,,22070444.0,22143557.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,6068397.0,1.0,,,,,,,,,,,,,,,,,,,
34,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-05-03 11:10:33.000,2023-04-29 07:44:50,10805.0,413.0,466.0,128.0,300.0,220.0,1605.0,8701.0,,,161.0,136.0,36,True,,nuitka,conda-forge/nuitka,,1186.0,1186.0,https://pypi.org/project/nuitka,,,65730.0,71514.0,https://anaconda.org/conda-forge/nuitka,2023-04-26 10:38:26.081,491699.0,1.0,,,,,,,,,,,,,,,,,,,
35,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-05-04 12:01:34.000,2023-04-25 01:11:34,23615.0,193.0,1463.0,202.0,5329.0,673.0,798.0,5031.0,2023-04-17 01:18:25.000,3.8.0,58.0,838.0,36,True,,buildbot,conda-forge/buildbot,,322.0,322.0,https://pypi.org/project/buildbot,,,32733.0,34946.0,https://anaconda.org/conda-forge/buildbot,2023-04-17 03:32:51.191,78437.0,1.0,30108.0,,,,,,,,,,,,,,,,,,
36,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-03-19 12:06:00.000,2023-03-19 12:05:58,2819.0,9.0,279.0,72.0,219.0,110.0,353.0,4338.0,2023-03-03 09:22:25.000,2.0.2,23.0,57.0,36,True,,autopep8,conda-forge/autopep8,,174790.0,174790.0,https://pypi.org/project/autopep8,,,3241506.0,3254955.0,https://anaconda.org/conda-forge/autopep8,2023-03-03 12:11:53.143,1116336.0,3.0,,,,,,,,,,,,,,,,,,,
37,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-05-03 16:07:47.000,2023-05-02 02:11:05,3680.0,50.0,340.0,96.0,240.0,289.0,396.0,3937.0,,,21.0,58.0,36,True,,invoke,conda-forge/invoke,,20244.0,20244.0,https://pypi.org/project/invoke,,,4917299.0,4927821.0,https://anaconda.org/conda-forge/invoke,2023-04-29 07:16:02.347,894397.0,1.0,,,,,,,,,,,,,,,,,,,
