,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
242,dh-virtualenv,https://github.com/spotify/dh-virtualenv,,Python virtualenvs in Debian packages.,virtual-envs,15,True,spotify/dh-virtualenv,https://github.com/spotify/dh-virtualenv,GPL-2.0,2013-10-09 19:03:43.000000,2021-11-10 20:28:36.000000,2021-11-10 20:28:36.000000,163.0,170.0,1501.0,,,,58.0,23.0,,,,414.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
243,linty_fresh,https://github.com/lyft/linty_fresh,,Surface lint errors during code review.,linters,15,True,lyft/linty_fresh,https://github.com/lyft/linty_fresh,Apache-2.0,2015-12-19 02:37:26.000000,2021-09-14 16:38:07.000000,2020-11-30 22:18:53.000000,21.0,1.0,184.0,2018-12-12 19:47:05.000000,0.7.0,10.0,17.0,8.0,"['flake8', 'mypy']",,linty-fresh,53.0,,,https://pypi.org/project/linty-fresh,2018-12-12 19:47:05.000000,,33.0,33.0,,,,3.0,,,,,,,,,,,,,,,
244,pip-run,https://github.com/jaraco/pip-run,,pip-run - dynamic dependency loader for Python.,dependency-managers,15,True,jaraco/pip-run,https://github.com/jaraco/pip-run,MIT,2016-01-25 01:59:13.000000,2021-11-20 03:58:02.000000,2021-11-20 03:53:31.000000,10.0,39.0,61.0,2021-11-20 03:58:13.000000,8.6.1,25.0,11.0,3.0,,,pip-run,,0.0,,https://pypi.org/project/pip-run,2021-11-20 03:58:02.000000,0.0,7787.0,7787.0,,,,3.0,,,,,,,-1.0,,,,,,,,
245,pyenv-installer,https://github.com/pyenv/pyenv-installer,,This tool is used to install `pyenv` and friends.,virtual-envs,14,True,pyenv/pyenv-installer,https://github.com/pyenv/pyenv-installer,MIT,2013-06-01 03:48:07.000000,2021-08-27 04:13:02.000000,2021-08-27 04:13:02.000000,320.0,64.0,2956.0,,,,33.0,5.0,,,,138.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
246,subpar,https://github.com/google/subpar,,Subpar is a utility for creating self-contained python executables. It is designed to work well with Bazel.,packaging,14,False,google/subpar,https://github.com/google/subpar,Apache-2.0,2016-08-03 20:11:35.000000,2021-09-30 08:05:27.000000,2019-08-15 01:37:08.000000,62.0,30.0,499.0,2019-05-14 20:14:05.000000,2.0.0,5.0,14.0,33.0,,,,93.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
247,pytest-plugins,https://github.com/man-group/pytest-plugins,,A grab-bag of nifty pytest plugins.,testing,14,True,man-group/pytest-plugins,https://github.com/man-group/pytest-plugins,MIT,2015-08-14 07:52:32.000000,2021-11-19 17:34:24.000000,2021-11-19 17:34:24.000000,60.0,56.0,399.0,,,,57.0,45.0,,,,778.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
248,pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,,A PipEnv Environment Switcher.,virtual-envs,14,False,gtalarico/pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,MIT,2018-05-02 03:56:41.000000,2021-06-01 22:15:42.000000,2019-06-27 03:42:48.000000,11.0,10.0,129.0,2018-11-08 03:05:43.000000,0.7.1,25.0,5.0,7.0,,,pipenv-pipes,285.0,,,https://pypi.org/project/pipenv-pipes,2018-11-08 03:05:43.000000,,152.0,152.0,,,,3.0,,,,,,,,,,,,,,,
249,mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,,A tool that allows for versioning sites built with mkdocs.,documentation,14,False,zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56.000000,2021-08-01 15:51:53.000000,2021-08-01 15:51:53.000000,8.0,22.0,39.0,2021-02-11 10:24:35.000000,0.4.0,6.0,5.0,3.0,['mkdocs'],,mkdocs-versioning,133.0,,,https://pypi.org/project/mkdocs-versioning,2021-02-11 10:24:35.000000,,4333.0,4333.0,,,,3.0,,,,,,,,,,,,,,,
250,universal-build,https://github.com/ml-tooling/universal-build,,Universal build utilities for containerized build pipelines.,build-tools,14,True,ml-tooling/universal-build,https://github.com/ml-tooling/universal-build,MIT,2020-10-19 14:57:21.000000,2021-11-17 17:00:05.000000,2021-11-17 17:00:05.000000,5.0,3.0,14.0,2021-11-17 16:59:34.000000,0.6.18,40.0,4.0,,,,universal-build,,7.0,7.0,https://pypi.org/project/universal-build,2020-12-12 13:21:08.000000,0.0,542.0,543.0,,,,3.0,,16.0,,,,,,,,,,,,,
251,livepython,https://github.com/agermanidis/livepython,,Visually trace Python code in real-time.,profiling,12,False,agermanidis/livepython,https://github.com/agermanidis/livepython,MIT,2017-10-03 00:19:59.000000,2019-01-22 17:39:55.000000,2017-11-14 21:27:52.000000,164.0,15.0,2460.0,,,,3.0,10.0,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
252,cohesion,https://github.com/mschwager/cohesion,,A tool for measuring Python class cohesion.,code-metrics,12,False,mschwager/cohesion,https://github.com/mschwager/cohesion,GPL-3.0,2016-08-11 21:09:32.000000,2019-08-05 17:14:04.000000,2019-08-05 17:14:01.000000,2.0,11.0,145.0,2019-07-10 16:08:05.000000,1.0.0,9.0,2.0,3.0,,,cohesion,78.0,6.0,,https://pypi.org/project/cohesion,2019-07-10 16:08:05.000000,6.0,1567.0,1567.0,,,,3.0,,,,,,,,,,,,,,,
253,pyship,https://github.com/jamesabel/pyship,,pyship - ship Python desktop apps to end users.,packaging,10,False,jamesabel/pyship,https://github.com/jamesabel/pyship,MIT,2020-04-23 04:45:03.000000,2021-06-09 04:34:00.000000,2021-06-09 04:33:22.000000,,,15.0,2021-06-09 04:34:00.000000,0.1.5,17.0,,4.0,,,pyship,,,,https://pypi.org/project/pyship,2021-06-09 04:34:00.000000,,70.0,70.0,,,,3.0,,,,,,,,,,,,,,,
