,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,new_addition,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
182,baron,PyCQA/baron,refactoring,"IDE allow you to refactor code, Baron allows you to write refactoring code.",,https://github.com/PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2021-12-09 03:34:37.000,2021-12-09 03:33:22,1505.0,,52.0,14.0,100.0,29.0,269.0,2021-12-09 03:33:32.000,0.10.1,21.0,33.0,46.0,23,True,baron,,,280.0,221.0,https://pypi.org/project/baron,2021-12-09 03:33:32.000,59.0,32365.0,32365.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
183,data-science-types,predictive-analytics-lab/data-science-types,linters,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",,https://github.com/wearepal/data-science-types,https://github.com/wearepal/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2021-02-16 21:31:02.632,2021-02-16 17:29:00,446.0,,57.0,9.0,171.0,23.0,191.0,2021-02-16 16:47:31.000,0.2.23,26.0,44.0,39.0,23,False,data-science-types,conda-forge/data-science-types,,225.0,217.0,https://pypi.org/project/data-science-types,2021-02-16 16:45:03.000,8.0,29128.0,29356.0,https://anaconda.org/conda-forge/data-science-types,2021-02-16 21:31:02.632,4105.0,3.0,,,,,,,,,,,,,,,,,,,,wearepal/data-science-types,
184,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/myint/eradicate,https://github.com/myint/eradicate,Saxpath,2012-12-23 04:39:48.000,2022-04-13 14:13:20.049,2022-04-06 09:45:24,172.0,8.0,23.0,4.0,17.0,15.0,136.0,2022-04-06 09:48:46.000,2.1.0,17.0,10.0,5.0,23,False,eradicate,conda-forge/eradicate,,2459.0,2368.0,https://pypi.org/project/eradicate,2022-04-06 09:47:11.000,91.0,431532.0,431601.0,https://anaconda.org/conda-forge/eradicate,2022-04-13 14:13:20.049,966.0,3.0,,,,,,,,,,,,,,,,,,,,,
185,asteval,newville/asteval,ast,minimalistic evaluator of python expression using ast module.,,https://github.com/newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2022-05-25 11:16:11.911,2022-05-24 15:31:40,449.0,4.0,34.0,11.0,50.0,50.0,133.0,2022-05-24 15:52:50.000,0.9.27,27.0,20.0,6.0,23,True,asteval,conda-forge/asteval,,163.0,,https://pypi.org/project/asteval,2022-05-24 15:52:50.000,163.0,163758.0,166442.0,https://anaconda.org/conda-forge/asteval,2022-05-25 11:16:11.911,182528.0,3.0,,,,,,,,,,,,,,,,,,,,,
186,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2022-06-15 10:20:17.000,2022-06-15 10:20:13,140.0,9.0,9.0,2.0,39.0,22.0,133.0,2022-05-16 09:20:23.000,0.3.3,17.0,9.0,4.0,23,True,flake8-black,conda-forge/flake8-black,['flake8'],2463.0,2294.0,https://pypi.org/project/flake8-black,2022-05-16 09:20:23.000,169.0,547817.0,555113.0,https://anaconda.org/conda-forge/flake8-black,2022-05-16 12:43:32.466,262682.0,3.0,,,,,,,,,,,,,,,,,,,,,
187,flake8-commas,PyCQA/flake8-commas,linters,Flake8 extension for enforcing trailing commas in python.,,https://github.com/PyCQA/flake8-commas,https://github.com/PyCQA/flake8-commas,MIT,2015-12-16 09:25:13.000,2021-10-13 19:25:52.000,2021-10-13 19:25:45,176.0,,23.0,3.0,38.0,26.0,127.0,2021-10-13 19:25:39.000,2.1.0,20.0,12.0,5.0,23,True,flake8-commas,,['flake8'],3647.0,3313.0,https://pypi.org/project/flake8-commas,2021-10-13 19:25:39.000,334.0,363698.0,363698.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
188,flake8-builtins,gforcada/flake8-builtins,linters,Check for python builtins being used as variables or parameters.,,https://github.com/gforcada/flake8-builtins,https://github.com/gforcada/flake8-builtins,GPL-2.0,2016-03-02 00:26:51.000,2021-09-21 08:08:53.000,2021-09-20 15:48:57,221.0,,18.0,3.0,38.0,32.0,82.0,2020-05-14 10:45:01.000,1.5.3,23.0,15.0,4.0,23,True,flake8-builtins,conda-forge/flake8-builtins,['flake8'],4287.0,3988.0,https://pypi.org/project/flake8-builtins,2020-05-14 10:45:01.000,299.0,510257.0,512421.0,https://anaconda.org/conda-forge/flake8-builtins,2020-05-18 15:22:26.836,145009.0,3.0,,,,,,,,,,,,,,,,,,,,,
189,sixpack,sixpack/sixpack,testing,Sixpack is a language-agnostic a/b-testing framework.,,https://github.com/sixpack/sixpack,https://github.com/sixpack/sixpack,BSD-2-Clause,2012-11-15 00:01:06.000,2021-08-03 05:52:12.000,2020-08-26 00:32:16,828.0,,185.0,73.0,167.0,125.0,1729.0,2017-11-22 14:27:35.000,2.7.0,37.0,56.0,88.0,22,False,sixpack,,,14.0,10.0,https://pypi.org/project/sixpack,2017-11-22 14:27:35.000,4.0,185.0,185.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
190,Bowler,facebookincubator/Bowler,refactoring,Safe code refactoring for modern Python.,,https://github.com/facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000,2022-03-04 23:53:49.000,2022-03-04 21:23:22,185.0,,90.0,28.0,74.0,34.0,1411.0,2020-09-17 01:55:39.000,0.9.0,8.0,27.0,46.0,22,True,bowler,conda-forge/bowler,,7.0,,https://pypi.org/project/bowler,2020-09-17 01:55:39.000,7.0,40821.0,41108.0,https://anaconda.org/conda-forge/bowler,2019-06-12 18:37:14.246,12353.0,3.0,,,,,,,,,,,,,,,,,,,,,
191,pyannotate,dropbox/pyannotate,refactoring,Auto-generate PEP-484 annotations.,,https://github.com/dropbox/pyannotate,https://github.com/dropbox/pyannotate,Apache-2.0,2017-11-13 20:18:08.000,2022-04-13 17:47:33.000,2021-10-12 20:53:49,95.0,,56.0,27.0,62.0,33.0,1318.0,2019-09-16 15:37:03.000,1.2.0,9.0,17.0,26.0,22,True,pyannotate,,,89.0,71.0,https://pypi.org/project/pyannotate,2019-09-16 15:37:03.000,18.0,5217.0,5217.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
