,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
20,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-01-26 12:36:13.000,2023-01-26 11:40:51,8251.0,295.0,956.0,73.0,3396.0,4063.0,4456.0,2023-01-22 14:40:16.000,2.16.0b1,162.0,508.0,41,True,690.0,pylint,conda-forge/pylint,,325118.0,303841.0,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,11860737.0,11907733.0,https://anaconda.org/conda-forge/pylint,2023-01-09 20:11:48.899,3618699.0,1.0,21277.0,,,,,,,,,,,,,,,,,,,,
21,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-01-20 18:10:41.000,2023-01-13 17:50:03,631.0,34.0,970.0,160.0,1202.0,1182.0,4368.0,2022-12-05 22:47:06.493,20.17.1,197.0,241.0,41,True,76.0,virtualenv,conda-forge/virtualenv,,229686.0,211930.0,https://pypi.org/project/virtualenv,2022-07-27 21:53:47.000,38380385.0,38428954.0,https://anaconda.org/conda-forge/virtualenv,2022-12-10 21:22:07.054,3399890.0,2.0,17756.0,,,,,,,,,,,,,,,,,,,,
22,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-01-26 11:34:02.000,2023-01-26 11:34:02,539.0,216.0,459.0,41.0,1245.0,1486.0,3153.0,2023-01-25 23:02:01.177,4.4.2,181.0,268.0,41,True,70.0,tox,conda-forge/tox,['pytest'],90131.0,69240.0,https://pypi.org/project/tox,2022-06-29 23:24:55.000,13257102.0,13266763.0,https://anaconda.org/conda-forge/tox,2023-01-18 22:31:34.228,618327.0,1.0,20891.0,,,,,,,,,,,,,,,,,,,,
23,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-01-19 13:38:50.000,2022-11-06 23:57:33,1821.0,7.0,2158.0,232.0,1102.0,1647.0,15745.0,2022-11-01 18:34:14.000,1.4.2,55.0,225.0,40,True,133.0,mkdocs,conda-forge/mkdocs,['mkdocs'],33884.0,30135.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,1156724.0,1159479.0,https://anaconda.org/conda-forge/mkdocs,2022-11-12 09:58:55.579,223189.0,1.0,3749.0,,,,,,,,,,,,,,,,,,,,
24,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-01-25 22:23:14.000,2023-01-25 22:23:13,2403.0,113.0,698.0,87.0,1017.0,1654.0,9612.0,2023-01-24 01:44:45.000,3.0.0,171.0,147.0,40,True,23.0,pre-commit,conda-forge/pre-commit,,76303.0,72856.0,https://pypi.org/project/pre-commit,2022-05-05 13:55:13.000,7117053.0,7179160.0,https://anaconda.org/conda-forge/pre-commit,2023-01-24 11:29:44.131,2368779.0,1.0,3447.0,,277273.0,,,,,,,,,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-01-26 05:36:38.000,2023-01-26 05:36:38,4038.0,124.0,505.0,44.0,902.0,1048.0,5500.0,2022-12-21 21:06:15.253,5.11.4,140.0,276.0,40,True,132.0,isort,conda-forge/isort,,323840.0,308721.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,23980493.0,24034224.0,https://anaconda.org/conda-forge/isort,2023-01-17 22:06:35.824,4191044.0,2.0,15119.0,,,,,,,,,,,,,,,,,,,,
26,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-01-26 14:02:09.000,2023-01-25 12:53:20,16176.0,82.0,1289.0,196.0,3423.0,7904.0,5117.0,2023-01-18 22:30:15.000,23.1.0,100.0,412.0,40,True,1016.0,conda,conda-forge/conda,,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,93263.0,569851.0,https://anaconda.org/conda-forge/conda,2022-12-07 23:51:39.020,36697345.0,1.0,1090.0,,,,,,,,,,,,,,,,,,,,
27,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-01-26 12:17:39.000,2023-01-24 06:17:24,2729.0,96.0,1885.0,185.0,2228.0,4113.0,23423.0,2023-01-10 18:28:25.700,1.3.2,157.0,430.0,39,True,664.0,poetry,conda-forge/poetry,,155.0,,https://pypi.org/project/poetry,2022-08-31 03:48:14.633,9890083.0,10165902.0,https://anaconda.org/conda-forge/poetry,2023-01-11 10:44:45.091,749542.0,2.0,155.0,,14867301.0,,,,,,,,,,,,,,,,,,
28,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2023-01-25 17:06:18.000,2023-01-25 15:41:14,1624.0,70.0,341.0,60.0,1038.0,639.0,1413.0,2023-01-23 10:15:50.376,1.14.0,172.0,160.0,39,True,180.0,sentry-sdk,conda-forge/sentry-sdk,,28439.0,28439.0,https://pypi.org/project/sentry-sdk,2022-10-21 14:39:28.000,16965411.0,16971985.0,https://anaconda.org/conda-forge/sentry-sdk,2023-01-23 15:31:02.897,324443.0,1.0,,,3727.0,,,,,,,,,,,,,,,,,,
29,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2023-01-05 10:21:31.000,2022-12-13 06:27:57,1353.0,26.0,688.0,119.0,449.0,591.0,4757.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,38,True,115.0,pycodestyle,conda-forge/pycodestyle,,307082.0,295721.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,26090240.0,26161922.0,https://anaconda.org/conda-forge/pycodestyle,2022-11-24 16:23:10.571,5662930.0,1.0,11361.0,,,,,,,,,,,,,,,,,,,,
30,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-01-24 14:51:11.000,2023-01-18 19:14:31,1442.0,20.0,1701.0,161.0,655.0,583.0,4286.0,2022-11-04 19:24:09.941,1.1.1,40.0,113.0,38,True,218.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],6054.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2022-10-13 20:24:36.386,4059971.0,4099786.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2022-12-12 17:56:57.173,3065818.0,2.0,6038.0,,,,,,,,,,,,,,,,,,,,
31,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-01-25 23:46:25.000,2023-01-25 23:46:25,632.0,50.0,212.0,25.0,367.0,240.0,457.0,2023-01-08 18:19:14.000,23.0,41.0,86.0,38,True,73.0,packaging,conda-forge/packaging,,592385.0,574883.0,https://pypi.org/project/packaging,2021-11-18 00:39:10.000,129547785.0,129865669.0,https://anaconda.org/conda-forge/packaging,2023-01-12 00:11:49.688,25111598.0,1.0,17502.0,,657.0,,,,,,,,,,,,,,,,,,
32,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-01-25 09:41:56.000,2023-01-25 07:28:59,4574.0,102.0,1354.0,493.0,585.0,1361.0,22181.0,2023-01-14 15:00:47.000,3.3.1,92.0,168.0,37,True,244.0,glances,conda-forge/glances,,626.0,576.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,424192.0,426418.0,https://anaconda.org/conda-forge/glances,2023-01-17 20:09:23.663,181871.0,1.0,50.0,,865.0,,,,,,,,,,,,,,,,,,
33,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.3, 3.4, 3.5, 3.6, 3.7,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-01-26 14:28:24.000,2023-01-26 14:24:17,10398.0,412.0,437.0,131.0,283.0,1455.0,8166.0,2023-01-11 11:08:03.758,1.3.7,233.0,130.0,37,True,229.0,nuitka,conda-forge/nuitka,,879.0,842.0,https://pypi.org/project/nuitka,2022-06-30 07:52:49.000,53775.0,59206.0,https://anaconda.org/conda-forge/nuitka,2023-01-19 13:37:26.542,439957.0,2.0,37.0,,,,,,,,,,,,,,,,,,,,
34,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-01-21 14:48:34.000,2022-12-28 17:10:08,1858.0,65.0,557.0,104.0,870.0,787.0,6567.0,2022-12-17 18:13:03.703,6.12.1,109.0,187.0,37,True,124.0,pip-tools,conda-forge/pip-tools,,1867.0,,https://pypi.org/project/pip-tools,2022-06-30 09:26:49.000,7853315.0,7855409.0,https://anaconda.org/conda-forge/pip-tools,2023-01-21 08:42:23.903,69134.0,2.0,1867.0,,,,,,,,,,,,,,,,,,,,
35,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-12-16 10:58:26.000,2022-12-15 14:53:41,2808.0,17.0,279.0,66.0,216.0,349.0,4245.0,2022-12-15 15:08:07.499,2.0.1,72.0,57.0,37,True,104.0,autopep8,conda-forge/autopep8,,159370.0,153685.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,2672940.0,2685211.0,https://anaconda.org/conda-forge/autopep8,2022-12-15 20:52:01.166,969486.0,2.0,5685.0,,,,,,,,,,,,,,,,,,,,
36,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-01-26 04:34:21.000,2023-01-16 22:23:52,3609.0,41.0,338.0,97.0,228.0,388.0,3814.0,2023-01-16 22:26:01.797,2.0.0,59.0,58.0,37,True,345.0,invoke,conda-forge/invoke,,17886.0,15257.0,https://pypi.org/project/invoke,2022-05-11 16:04:49.000,3789985.0,3800748.0,https://anaconda.org/conda-forge/invoke,2023-01-22 15:15:07.411,871808.0,1.0,2629.0,,,,,,,,,,,,,,,,,,,,
37,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2023-01-26 08:48:38.000,2023-01-26 08:48:38,3111.0,441.0,165.0,25.0,325.0,212.0,1518.0,2023-01-17 02:39:01.107,1.7.0,80.0,78.0,37,True,76.0,rope,conda-forge/rope,,50263.0,48661.0,https://pypi.org/project/rope,2022-06-22 07:57:01.000,579910.0,594227.0,https://anaconda.org/conda-forge/rope,2022-12-15 18:15:14.516,987933.0,1.0,1602.0,,,,,,,,,,,,,,,,,,,,
38,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-01-24 05:31:14.000,2023-01-11 00:53:33,1074.0,30.0,287.0,33.0,526.0,402.0,1361.0,2022-12-01 01:51:31.000,4.0.2,51.0,113.0,37,True,45.0,twine,conda-forge/twine,,90970.0,78292.0,https://pypi.org/project/twine,2022-06-01 11:02:29.000,3515432.0,3524036.0,https://anaconda.org/conda-forge/twine,2022-12-01 12:45:16.522,662542.0,1.0,12678.0,,,,,,,,,,,,,,,,,,,,
39,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2023-01-12 16:26:29.000,2023-01-12 16:26:28,554.0,13.0,169.0,27.0,287.0,439.0,1226.0,2022-11-24 16:55:02.246,3.0.1,36.0,84.0,37,True,56.0,pyflakes,conda-forge/pyflakes,,203326.0,189687.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000,17389738.0,17458723.0,https://anaconda.org/conda-forge/pyflakes,2022-11-24 20:00:59.834,5449837.0,1.0,13639.0,,,,,,,,,,,,,,,,,,,,
