,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
20,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-08-30 20:15:56.000,2023-08-29 08:29:40,8808.0,151.0,1024.0,76.0,3887.0,763.0,4328.0,4808.0,2023-07-26 09:54:27.000,2.17.5,176.0,534.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,401908.0,379283.0,https://pypi.org/project/pylint,17921313.0,18038331.0,https://anaconda.org/conda-forge/pylint,2023-07-26 12:44:25.216,4446703.0,1.0,2023-08-15 20:22:59.000,22625.0,,,,,,,,,,,,,,,
21,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-08-31 12:43:11.000,2023-08-28 20:13:50,1302.0,38.0,900.0,215.0,329.0,363.0,440.0,13372.0,2023-06-20 05:44:07.767,0.40.1,73.0,149.0,41,True,,yapf,conda-forge/yapf,,84335.0,82041.0,https://pypi.org/project/yapf,4845521.0,4901374.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1563891.0,2.0,2023-06-20 05:44:07.767,2294.0,,,,,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-08-31 14:09:17.000,2023-08-30 17:57:54,2579.0,41.0,732.0,86.0,1116.0,23.0,1814.0,10847.0,2023-06-13 23:12:35.000,3.3.3,185.0,152.0,41,True,,pre-commit,conda-forge/pre-commit,,151379.0,146365.0,https://pypi.org/project/pre-commit,12979957.0,13100134.0,https://anaconda.org/conda-forge/pre-commit,2023-06-14 13:24:44.334,3577108.0,1.0,2023-06-13 23:12:05.310,5014.0,595950.0,,,,,,,,,,,,,,
23,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-08-30 19:19:12.197,2023-08-30 14:32:38,721.0,39.0,1039.0,169.0,1300.0,16.0,1281.0,4531.0,2023-08-30 14:33:07.000,20.24.4,210.0,263.0,41,True,,virtualenv,conda-forge/virtualenv,,323034.0,305083.0,https://pypi.org/project/virtualenv,88428874.0,88579515.0,https://anaconda.org/conda-forge/virtualenv,2023-08-30 19:19:12.197,5121818.0,2.0,2023-08-30 14:29:02.000,17951.0,,,,,,,,,,,,,,,
24,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-08-22 13:08:00.000,2023-08-22 13:07:59,2411.0,35.0,293.0,38.0,336.0,26.0,1500.0,2979.0,2023-07-29 19:05:02.000,6.1.0,88.0,172.0,41,True,,flake8,conda-forge/flake8,,529107.0,484010.0,https://pypi.org/project/flake8,23108734.0,23278153.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6607348.0,1.0,2023-07-29 19:05:02.000,45097.0,,,,,,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-08-22 11:58:33.000,2023-08-20 20:18:05,4102.0,16.0,524.0,48.0,941.0,160.0,1062.0,5982.0,2023-01-30 09:41:30.000,5.11.5,100.0,286.0,40,True,,isort,conda-forge/isort,,410510.0,410510.0,https://pypi.org/project/isort,26827550.0,26888611.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5190259.0,2.0,,,,,,,,,,,,,,,,,
26,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-08-23 09:36:39.000,2023-08-23 09:36:39,2030.0,109.0,593.0,100.0,962.0,148.0,848.0,7034.0,2023-08-08 23:42:23.000,7.3.0,119.0,201.0,39,True,,pip-tools,conda-forge/pip-tools,,24649.0,22227.0,https://pypi.org/project/pip-tools,9977393.0,9980331.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,114619.0,2.0,2023-08-08 23:42:23.000,2422.0,,,,,,,,,,,,,,,
27,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-08-31 12:45:44.000,2023-08-29 19:19:54,642.0,48.0,467.0,43.0,1343.0,70.0,1570.0,3344.0,2023-08-29 19:20:16.000,4.11.0,85.0,61.0,39,True,,tox,conda-forge/tox,['pytest'],104031.0,104031.0,https://pypi.org/project/tox,12142354.0,12162205.0,https://anaconda.org/conda-forge/tox,2023-08-30 13:32:27.677,774193.0,1.0,,,,,,,,,,,,,,,,,
28,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-08-31 14:03:25.000,2023-08-30 07:38:21,1896.0,125.0,408.0,69.0,1303.0,171.0,826.0,1592.0,2023-08-29 13:46:16.000,1.30.0,198.0,186.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,48910.0,48518.0,https://pypi.org/project/sentry-sdk,21490168.0,21505586.0,https://anaconda.org/conda-forge/sentry-sdk,2023-08-29 16:08:11.764,582631.0,1.0,2023-08-29 13:46:02.000,392.0,3275.0,,,,,,,,,,,,,,
29,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-08-31 02:28:35.000,2023-08-28 19:31:21,13208.0,189.0,541.0,72.0,2297.0,43.0,1381.0,6874.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,696.0,314.0,38,False,,hypothesis,conda-forge/hypothesis,,22200.0,22200.0,https://pypi.org/project/hypothesis,6230737.0,6437260.0,https://anaconda.org/conda-forge/hypothesis,2023-08-28 21:26:37.032,8054399.0,1.0,,,,,,,,,,,,,,,,,
