,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
20,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-12-30 13:03:51.000000,2021-12-16 16:38:09.000000,1026.0,596.0,31895.0,2021-12-15 09:34:17.000000,10.16.1,149.0,138.0,35.0,rich,conda-forge/rich,2506.0,9822.0,9822.0,https://pypi.org/project/rich,2021-12-15 09:32:57.000000,0.0,2807832.0,2840320.0,https://anaconda.org/conda-forge/rich,2021-12-15 15:27:57.415000,552303.0,1.0,,,,,,,,,,,,,,,,
21,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,33,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000000,2021-12-30 11:51:17.000000,2021-12-26 22:54:52.000000,1440.0,2310.0,17664.0,2021-11-28 06:15:58.000000,1.1.12,142.0,317.0,1252.0,poetry,conda-forge/poetry,1996.0,64.0,,https://pypi.org/project/poetry,2021-11-28 06:15:58.000000,64.0,4176657.0,4407409.0,https://anaconda.org/conda-forge/poetry,2021-12-14 16:53:47.809000,349808.0,2.0,,,,9958414.0,,,,,,,,,,,,
22,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000000,2021-12-30 09:16:48.000000,2021-12-30 04:26:56.000000,478.0,1143.0,5584.0,2021-12-30 04:27:15.000000,hypothesis-python-6.33.0,915.0,255.0,56.0,hypothesis,conda-forge/hypothesis,11292.0,13477.0,10861.0,https://pypi.org/project/hypothesis,2021-12-30 04:27:00.000000,2616.0,2114570.0,2193257.0,https://anaconda.org/conda-forge/hypothesis,2021-12-30 07:18:51.908000,5114700.0,1.0,,,,,,,,,,,,,,,,
23,pip-tools,https://github.com/jazzband/pip-tools,,A set of tools to keep your pinned Python dependencies fresh.,dependency-managers,33,True,jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000000,2021-12-27 17:23:25.000000,2021-11-12 05:03:34.000000,476.0,662.0,5415.0,2021-10-12 16:00:05.000000,6.4.0,97.0,163.0,136.0,pip-tools,conda-forge/pip-tools,1670.0,3252.0,,https://pypi.org/project/pip-tools,2021-10-12 16:00:05.000000,3252.0,3621003.0,3622081.0,https://anaconda.org/conda-forge/pip-tools,2021-10-12 21:23:33.029000,21578.0,2.0,,,,,,,,,,,,,,,,
24,conda,https://github.com/conda/conda,,"OS-agnostic, system-level binary package manager and ecosystem.",dependency-managers,33,True,conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000000,2021-12-29 11:16:50.000000,2021-12-06 17:41:00.000000,1100.0,6414.0,4451.0,2021-11-22 18:47:32.000000,4.11.0,100.0,375.0,1847.0,conda,conda-forge/conda,15794.0,2104.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000000,2104.0,69386.0,442063.0,https://anaconda.org/conda-forge/conda,2021-11-23 11:16:29.692000,23851391.0,2.0,-1.0,,,,,,,,,,,,,,,
25,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,33,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000000,2021-12-30 07:40:34.000000,2021-12-30 07:40:33.000000,432.0,1003.0,4399.0,2021-11-09 05:43:22.000000,5.10.1,132.0,253.0,35.0,isort,conda-forge/isort,,235213.0,210995.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000000,24218.0,15506266.0,15547446.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919000,2676716.0,2.0,,,,,,,,,,,,,,,,
26,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000000,2021-12-28 14:09:09.000000,2021-10-19 23:03:00.000000,1611.0,540.0,3916.0,2018-10-05 13:20:49.000000,0.4.2,23.0,108.0,195.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,1347.0,23490.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000000,23474.0,1886731.0,1918268.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-09-17 07:30:33.268000,2018384.0,2.0,,['sphinx'],,,,,,,,,,,,,,
27,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,33,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-12-27 22:29:59.000000,2021-12-27 22:29:58.000000,183.0,1309.0,1703.0,2021-10-11 12:42:47.000000,4.0.1,81.0,159.0,39.0,flake8,conda-forge/flake8,,286973.0,215683.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000000,71290.0,12394631.0,12447274.0,https://anaconda.org/conda-forge/flake8,2021-11-02 21:24:52.298000,3474498.0,1.0,,,,,,,,,,,,,,,,
28,pyflakes,https://github.com/PyCQA/pyflakes,,A simple program which checks Python source files for errors.,linters,33,True,PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000000,2021-12-27 13:49:28.000000,2021-12-24 21:39:26.000000,158.0,362.0,1096.0,2021-10-06 20:39:49.000000,2.4.0,33.0,79.0,84.0,pyflakes,conda-forge/pyflakes,518.0,138149.0,111651.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000000,26498.0,12610929.0,12663710.0,https://anaconda.org/conda-forge/pyflakes,2021-10-07 19:30:05.408000,3483569.0,1.0,,,,,,,,,,,,,,,,
29,pre-commit,https://github.com/pre-commit/pre-commit,,A framework for managing and maintaining multi-language pre-commit hooks.,others,32,True,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000000,2021-12-28 00:08:23.000000,2021-12-28 00:08:23.000000,519.0,1278.0,7144.0,2021-11-30 23:21:06.000000,2.16.0,164.0,129.0,23.0,pre-commit,conda-forge/pre-commit,2133.0,2136.0,,https://pypi.org/project/pre-commit,2021-11-30 23:17:09.000000,2136.0,3540757.0,3573569.0,https://anaconda.org/conda-forge/pre-commit,2021-12-01 17:32:37.464000,905792.0,1.0,,,,23652.0,,,,,,,,,,,,
