,name,github_id,category,description,resource,homepage,contributor_count,github_url,license,created_at,updated_at,fork_count,open_issue_count,star_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,conda_forge
134,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,41.0,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2026-02-23 17:34:55.834,74.0,107.0,1430.0,24,True,pdbpp,conda-forge/pdbpp,,638.0,,https://pypi.org/project/pdbpp,2026-02-23 14:23:43.000,2026-02-23 14:23:43.000,0.12.1,33.0,638.0,1405361.0,1412006.0,https://anaconda.org/conda-forge/pdbpp,2026-02-23 17:34:55.834,398707.0,2.0,,,,,,,,,,,,,,,,
135,pytest-testmon,tarpas/pytest-testmon,testing,Selects tests affected by changed files. Executes the right tests first. Continuous test runner when used with pytest-..,,https://github.com/tarpas/pytest-testmon,29.0,https://github.com/tarpas/pytest-testmon,MIT,2015-02-02 14:21:10.000,2025-12-01 07:34:04.000,78.0,37.0,997.0,24,True,pytest-testmon,conda-forge/pytest-testmon,['pytest'],1765.0,1706.0,https://pypi.org/project/pytest-testmon,2025-12-01 07:30:23.000,2025-11-07 13:27:44.000,2.1.4,95.0,59.0,4449260.0,4451219.0,https://anaconda.org/conda-forge/pytest-testmon,2025-04-22 14:56:46.735,197872.0,3.0,,,,,,,,,,,,,,,,
136,autoflake,myint/autoflake,refactoring,Removes unused imports and unused variables.,,https://www.github.com/PyCQA/autoflake,41.0,,MIT,2021-05-26 14:50:36.470,2026-02-20 08:48:51.904,87.0,,958.0,24,True,autoflake,conda-forge/autoflake,,1383.0,,https://pypi.org/project/autoflake,2026-02-20 05:01:42.000,2026-02-20 05:01:42.000,2.3.3,63.0,1383.0,5935500.0,5946478.0,https://anaconda.org/conda-forge/autoflake,2026-02-20 08:48:51.904,680644.0,2.0,,,,,,,,,,,,,,,,
137,PyHamcrest,hamcrest/PyHamcrest,testing,Hamcrest matchers for Python.,,https://github.com/hamcrest/PyHamcrest,47.0,https://github.com/hamcrest/PyHamcrest,,2010-12-24 02:55:56.000,2025-04-22 14:56:22.885,115.0,26.0,791.0,24,False,pyhamcrest,conda-forge/pyhamcrest,,43075.0,42760.0,https://pypi.org/project/pyhamcrest,2023-10-22 15:47:25.000,2023-10-22 15:47:25.000,2.1.0,25.0,315.0,5715437.0,5728935.0,https://anaconda.org/conda-forge/pyhamcrest,2025-04-22 14:56:22.885,742415.0,3.0,,,,,,,,,,,,,,,,
138,flake8-comprehensions,adamchainz/flake8-comprehensions,linters,A flake8 plugin to help you write better list/set/dict comprehensions.,,https://github.com/adamchainz/flake8-comprehensions,16.0,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2025-09-10 17:55:03.656,23.0,6.0,469.0,24,True,flake8-comprehensions,conda-forge/flake8-comprehensions,['flake8'],30582.0,29801.0,https://pypi.org/project/flake8-comprehensions,2025-09-09 22:37:17.000,2025-09-09 22:37:17.000,3.17.0,42.0,781.0,1790334.0,1806881.0,https://anaconda.org/conda-forge/flake8-comprehensions,2025-09-10 17:55:03.656,1207969.0,3.0,,,,,,,,,,,,,,,,
139,wasabi,ines/wasabi,logging,A lightweight console printing and formatting toolkit.,,https://github.com/explosion/wasabi,14.0,,MIT,2020-06-22 09:49:07.518,2025-04-22 14:57:01.909,25.0,,462.0,24,False,wasabi,conda-forge/wasabi,,70796.0,70585.0,https://pypi.org/project/wasabi,2024-05-31 16:56:16.000,2024-05-31 16:56:16.000,1.1.3,42.0,211.0,19797948.0,19827833.0,https://anaconda.org/conda-forge/wasabi,2025-04-22 14:57:01.909,2181633.0,3.0,,,,,,,,,,,,,,,,
140,ddt,datadriventests/ddt,testing,Data-Driven Tests for Python Unittest.,,https://github.com/datadriventests/ddt,38.0,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2025-04-22 14:56:33.025,112.0,13.0,441.0,24,False,ddt,conda-forge/ddt,,6833.0,6621.0,https://pypi.org/project/ddt,2024-02-26 01:36:32.000,2024-02-26 01:36:32.000,1.7.2,34.0,212.0,1595252.0,1600663.0,https://anaconda.org/conda-forge/ddt,2025-04-22 14:56:33.025,248920.0,3.0,,,,,,,,,,,,,,,,
141,py2app,ronaldoussoren/py2app,packaging,py2app is a Python setuptools command which will allow you to make standalone Mac OS X application bundles and plugins..,,https://github.com/ronaldoussoren/py2app,31.0,https://github.com/ronaldoussoren/py2app,MIT,2020-01-14 11:27:41.000,2026-02-13 20:49:59.000,45.0,223.0,422.0,24,True,py2app,,,5625.0,5583.0,https://pypi.org/project/py2app,2026-02-13 20:49:59.000,2026-02-13 20:49:59.000,0.28.10,52.0,42.0,70563.0,70563.0,,,,2.0,,,,,,,,,,,,,,,,
142,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,92.0,https://github.com/numpy/numpydoc,,2013-07-24 16:23:39.000,2026-06-10 22:03:31.000,175.0,133.0,352.0,24,False,numpydoc,conda-forge/numpydoc,['sphinx'],4059.0,,https://pypi.org/project/numpydoc,2026-06-10 22:03:31.000,2025-12-02 16:39:11.000,1.10.0,36.0,4059.0,2141569.0,2207113.0,https://anaconda.org/conda-forge/numpydoc,2025-12-02 22:48:01.622,4850271.0,3.0,,,,,,,,,,,,,,,,
143,check-manifest,mgedmin/check-manifest,linters,Tool to check the completeness of MANIFEST.in for Python packages.,,https://github.com/mgedmin/check-manifest,23.0,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2025-10-15 12:22:44.579,37.0,23.0,292.0,24,True,check-manifest,conda-forge/check-manifest,,17287.0,12259.0,https://pypi.org/project/check-manifest,2025-10-15 11:15:46.000,,,45.0,5028.0,977694.0,980761.0,https://anaconda.org/conda-forge/check-manifest,2025-10-15 12:22:44.579,214752.0,3.0,,,,,,,,,,,,,,,,
144,asteval,newville/asteval,ast,"Safe, minimalistic evaluator of python expression using ast module.",,https://github.com/lmfit/asteval,28.0,,MIT,2021-02-11 03:06:29.408,2026-06-12 17:31:34.074,49.0,,219.0,24,True,asteval,conda-forge/asteval,,213.0,,https://pypi.org/project/asteval,2026-06-11 18:40:35.000,2026-06-11 18:40:35.000,1.0.9,44.0,213.0,5757404.0,5773803.0,https://anaconda.org/conda-forge/asteval,2026-06-12 17:31:34.074,1065957.0,3.0,,,,,,,,,,,,,,,,
145,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,479.0,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2025-03-18 16:18:33.000,3145.0,78.0,41377.0,23,False,pyenv,,,24.0,24.0,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,2019-01-12 14:49:22.000,0.0.1,4.0,,15173.0,15173.0,,,,2.0,,,,,,,,,,,,,,,,
146,Bpytop,aristocratos/bpytop,profiling,Linux/OSX/FreeBSD resource monitor.,,https://github.com/aristocratos/bpytop,36.0,https://github.com/aristocratos/bpytop,Apache-2.0,2020-07-01 17:41:25.000,2025-04-22 14:57:45.970,316.0,58.0,8181.0,23,False,bpytop,conda-forge/bpytop,,246.0,245.0,https://pypi.org/project/bpytop,2021-12-22 19:23:21.000,2021-12-22 19:23:21.000,1.0.68,53.0,1.0,8829.0,9280.0,https://anaconda.org/conda-forge/bpytop,2025-04-22 14:57:45.970,29357.0,3.0,,,,,,,,,,,,,,,,
147,pyre-check,facebook/pyre-check,type-checkers,Performant type-checking for python.,,https://github.com/facebook/pyre-check,308.0,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000,2026-04-06 03:23:05.000,449.0,159.0,7151.0,23,True,pyre-check,,,111.0,24.0,https://pypi.org/project/pyre-check,2025-07-07 15:59:16.000,2024-10-29 21:10:48.000,0.9.23,81.0,87.0,205455.0,205455.0,,,,3.0,,,,,,,,,,,,,,,,
148,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,904.0,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2025-08-01 00:55:03.000,1648.0,764.0,5376.0,23,True,buildbot,conda-forge/buildbot,,434.0,414.0,https://pypi.org/project/buildbot,2025-05-12 21:41:22.000,2025-05-12 21:41:22.000,4.3.0,146.0,20.0,22943.0,25535.0,https://anaconda.org/conda-forge/buildbot,2025-05-13 11:35:44.706,191860.0,3.0,,,,,,,,,,,,,,,,
149,snoop,alexmojaki/snoop,debugging,"A powerful set of Python debugging tools, based on PySnooper.",,https://github.com/alexmojaki/snoop,23.0,https://github.com/alexmojaki/snoop,MIT,2019-05-13 18:45:35.000,2026-07-18 11:47:45.000,43.0,26.0,1457.0,23,True,snoop,conda-forge/snoop,,54.0,,https://pypi.org/project/snoop,2026-07-18 11:47:45.000,2026-07-18 11:47:45.000,0.6.1,17.0,54.0,256413.0,256715.0,https://anaconda.org/conda-forge/snoop,2025-04-22 14:58:02.750,17245.0,3.0,,,,,,,,,,,,,,,,
150,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,69.0,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2025-10-17 12:08:52.752,144.0,106.0,1179.0,23,True,pdoc3,anaconda/pdoc3,,5722.0,5233.0,https://pypi.org/project/pdoc3,2025-03-20 22:53:51.000,2025-03-20 22:53:51.000,0.11.6,41.0,489.0,279292.0,279328.0,https://anaconda.org/anaconda/pdoc3,2025-10-17 12:08:52.752,2925.0,3.0,,,,,,,,,,,,,,,,
151,pylama,klen/pylama,linters,Code audit tool for python.,,https://github.com/klen/pylama,48.0,https://github.com/klen/pylama,MIT,2012-08-17 10:10:10.000,2024-06-21 06:45:05.000,100.0,64.0,1045.0,23,False,pylama,,,7239.0,6910.0,https://pypi.org/project/pylama,2022-08-08 11:29:01.059,2022-08-08 11:29:01.059,8.4.1,116.0,329.0,173672.0,173672.0,,,,3.0,,,,,,,,,,,,,,,,
152,astor,berkerpeksag/astor,ast,Python AST read/write.,,https://github.com/berkerpeksag/astor,35.0,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2025-04-22 14:56:33.663,106.0,32.0,858.0,23,False,astor,conda-forge/astor,,618.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,2019-12-10 01:50:33.000,0.8.1,14.0,618.0,22026892.0,22179369.0,https://anaconda.org/conda-forge/astor,2025-04-22 14:56:33.663,2897075.0,3.0,,,,,,,,,,,,,,,,
153,pytest-watch,joeyespo/pytest-watch,testing,Local continuous test runner with pytest and watchdog.,,https://github.com/joeyespo/pytest-watch,16.0,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2025-10-02 11:05:16.716,54.0,47.0,729.0,23,True,pytest-watch,conda-forge/pytest-watch,['pytest'],12178.0,11619.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000,2018-05-20 19:52:16.000,4.2.0,17.0,559.0,882223.0,885925.0,https://anaconda.org/conda-forge/pytest-watch,2025-10-02 11:05:16.716,259205.0,3.0,,,,,,,,,,,,,,,,
