,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
134,notifiers,liiight/notifiers,logging,The easy way to send notifications.,,https://github.com/liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2023-07-17 20:33:55.000,2022-07-14 07:40:12,517.0,,97.0,31.0,361.0,41.0,67.0,2476.0,2022-02-10 14:51:38.000,1.3.3,31.0,19.0,27,True,,notifiers,conda-forge/notifiers,,1030.0,1006.0,https://pypi.org/project/notifiers,311479.0,312573.0,https://anaconda.org/conda-forge/notifiers,2023-06-16 19:23:52.875,33917.0,3.0,,2022-02-10 14:51:38.000,24.0,,,,,,,,,,,,,,,,
135,cx_Freeze,marcelotduarte/cx_Freeze,packaging,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",,https://github.com/marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,2017-01-22 04:25:52.000,2023-07-20 08:12:39.000,2023-07-19 07:26:14,1648.0,71.0,197.0,28.0,996.0,46.0,815.0,1103.0,2023-07-15 07:43:21.000,6.15.4,59.0,105.0,27,True,,cx_freeze,conda-forge/cx_freeze,,,,https://pypi.org/project/cx_freeze,118544.0,125189.0,https://anaconda.org/conda-forge/cx_freeze,2023-07-15 08:53:01.284,252523.0,2.0,,,,,,,,,,,,,,,,,,,
136,wily,tonybaloney/wily,code-metrics,"A Python application for tracking, reporting on timing and complexity in Python code.",,https://github.com/tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000,2023-07-17 05:42:45.000,2023-07-17 01:09:13,859.0,37.0,56.0,25.0,102.0,33.0,67.0,1081.0,2023-07-05 05:04:00.529,1.24.2,51.0,24.0,27,True,,wily,,,195.0,186.0,https://pypi.org/project/wily,11321.0,11321.0,,,,3.0,,2018-10-14 05:01:41.000,9.0,,,,,,,,,,,,,,,,
137,pylama,klen/pylama,linters,Code audit tool for python.,,https://github.com/klen/pylama,https://github.com/klen/pylama,MIT,2012-08-17 10:10:10.000,2023-05-16 14:03:19.000,2022-08-08 11:25:05,700.0,,102.0,20.0,97.0,55.0,95.0,1004.0,2022-08-08 11:29:01.059,8.4.1,116.0,48.0,27,True,,pylama,,,6582.0,5943.0,https://pypi.org/project/pylama,165408.0,165408.0,,,,2.0,,2022-03-11 14:17:31.000,639.0,,,,,,,,,,,,,,,,
138,pytest-testmon,tarpas/pytest-testmon,testing,Selects tests affected by changed files. Executes the right tests first. Continuous test runner when used with pytest-..,,https://github.com/tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2023-07-13 13:21:10.000,2023-07-13 12:56:05,366.0,18.0,47.0,18.0,76.0,25.0,120.0,693.0,2023-07-13 13:22:05.000,2.0.12,45.0,24.0,27,True,,pytest-testmon,conda-forge/pytest-testmon,['pytest'],1131.0,1131.0,https://pypi.org/project/pytest-testmon,119073.0,119686.0,https://anaconda.org/conda-forge/pytest-testmon,2023-06-16 16:09:13.484,39884.0,3.0,,,,,,,,,,,,,,,,,,,
139,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2023-06-16 13:15:30.349,2023-05-06 20:04:56,258.0,1.0,132.0,16.0,123.0,17.0,78.0,461.0,2022-12-19 20:46:55.580,0.13.3,27.0,35.0,27,False,,pep8-naming,conda-forge/pep8-naming,,50435.0,48599.0,https://pypi.org/project/pep8-naming,1861253.0,1864867.0,https://anaconda.org/conda-forge/pep8-naming,2023-06-16 13:15:30.349,321716.0,2.0,,2022-12-19 20:46:55.580,1836.0,,,,,,,,,,,,,,,,
140,nitpick,andreoliwa/nitpick,linters,Enforce the same settings on multiple projects.,,https://github.com/andreoliwa/nitpick,https://github.com/andreoliwa/nitpick,MIT,2018-03-23 14:25:24.000,2023-07-18 03:13:44.000,2023-07-02 15:18:26,800.0,35.0,22.0,4.0,478.0,46.0,78.0,352.0,2023-05-29 15:14:59.000,0.33.2,51.0,16.0,27,True,,nitpick,,['flake8'],1251.0,1251.0,https://pypi.org/project/nitpick,105805.0,105805.0,,,,2.0,5.0,,,,,,,,,,,,,,,,,,
141,flake8-quotes,zheller/flake8-quotes,linters,Flake8 extension for checking quotes in python.,,https://github.com/zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2023-06-16 13:20:50.267,2022-12-19 16:44:44,108.0,,32.0,4.0,65.0,5.0,43.0,168.0,,,15.0,32.0,27,True,,flake8-quotes,conda-forge/flake8-quotes,['flake8'],18982.0,18982.0,https://pypi.org/project/flake8-quotes,828126.0,836439.0,https://anaconda.org/conda-forge/flake8-quotes,2023-06-16 13:20:50.267,681724.0,2.0,,,,,,,,,,,,,,,,,,,
142,asteval,newville/asteval,ast,minimalistic evaluator of python expression using ast module.,,https://github.com/newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2023-07-16 20:56:29.139,2023-07-16 18:20:44,535.0,57.0,38.0,10.0,57.0,3.0,61.0,162.0,2023-07-16 18:33:22.000,0.9.31,31.0,24.0,27,True,,asteval,conda-forge/asteval,,170.0,,https://pypi.org/project/asteval,199971.0,210382.0,https://anaconda.org/conda-forge/asteval,2023-07-16 20:56:29.139,301943.0,3.0,,2022-05-24 15:52:50.000,170.0,,,,,,,,,,,,,,,,
143,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2023-06-16 16:18:42.555,2022-12-22 22:55:55,353.0,,91.0,8.0,81.0,8.0,48.0,153.0,,,12.0,37.0,27,True,,flake8-isort,conda-forge/flake8-isort,['flake8'],23033.0,23033.0,https://pypi.org/project/flake8-isort,1121582.0,1122546.0,https://anaconda.org/conda-forge/flake8-isort,2023-06-16 16:18:42.555,43397.0,2.0,,,,,,,,,,,,,,,,,,,
