,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
190,unimport,hakancelik96/unimport,refactoring,The ultimate linter and formatter for removing unused import statements in your code.,,https://github.com/hakancelikdev/unimport,https://github.com/hakancelikdev/unimport,MIT,2019-09-08 09:49:24.000,2024-01-07 09:46:41.000,2024-01-07 09:46:36,493.0,18.0,22.0,5.0,185.0,107.0,237.0,2023-12-24 07:42:09.000,1.2.1,57.0,16.0,23,True,hakancelikdev/unimport,10.0,unimport,,,16.0,,https://pypi.org/project/unimport,2023-12-24 07:42:09.000,16.0,17968.0,17968.0,,,,3.0,,,,,,,,,,,,,,,,,
191,asteval,newville/asteval,ast,minimalistic evaluator of python expression using ast module.,,https://github.com/newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2023-11-06 14:59:15.000,2023-11-06 14:59:10,539.0,2.0,39.0,10.0,58.0,61.0,165.0,2023-07-16 18:33:22.000,0.9.31,32.0,24.0,23,True,,4.0,asteval,conda-forge/asteval,,183.0,,https://pypi.org/project/asteval,2023-07-16 18:25:02.803,183.0,280261.0,290345.0,https://anaconda.org/conda-forge/asteval,2023-07-16 20:56:29.139,352953.0,3.0,,,,,,,,,,,,,,,,,
192,xxh,xxh/xxh,shell,"Bring your favorite shell wherever you go through the ssh. Xonsh shell, fish, zsh, osquery and so on.",,https://github.com/xxh/xxh,https://github.com/xxh/xxh,BSD-2-Clause,2019-11-03 12:04:13.000,2023-11-05 13:14:04.000,2023-11-05 13:14:04,772.0,2.0,96.0,43.0,58.0,62.0,4803.0,2022-09-29 10:20:01.217,0.8.12,89.0,26.0,22,True,,22.0,xxh-xxh,,,82.0,82.0,https://pypi.org/project/xxh-xxh,2022-09-29 10:20:01.217,,434.0,479.0,,,,3.0,2130.0,,,,,,,,,,,,,,,,
193,rebound,shobrook/rebound,logging,Command-line tool that instantly fetches Stack Overflow results when an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,,2018-02-28 04:47:03.000,2024-01-05 17:54:01.155,2022-02-16 05:16:40,168.0,,373.0,77.0,41.0,38.0,4048.0,2018-12-04 10:11:53.000,2.0.0,54.0,16.0,22,False,,14.0,rebound,conda-forge/rebound,,25.0,25.0,https://pypi.org/project/rebound,,,11685.0,19081.0,https://anaconda.org/conda-forge/rebound,2024-01-05 17:54:01.155,325306.0,3.0,236.0,,,,,,,,,,,,,,,,
194,line_profiler,pyutils/line_profiler,profiling,Line-by-line profiling for Python.,,https://github.com/pyutils/line_profiler,https://github.com/pyutils/line_profiler,,2019-12-10 22:26:33.000,2023-12-15 01:50:13.000,2023-12-05 18:58:24,421.0,22.0,110.0,14.0,160.0,52.0,2326.0,2023-11-02 23:39:51.000,4.1.2,16.0,43.0,22,False,,38.0,line_profiler,conda-forge/line_profiler,,,,https://pypi.org/project/line_profiler,,,392545.0,404607.0,https://anaconda.org/conda-forge/line_profiler,2023-09-27 21:27:52.775,458372.0,3.0,,,,,,,-5.0,,,,,,,,,,
195,pyt,python-security/pyt,security,A Static Analysis Tool for Detecting Security Vulnerabilities in Python Web Applications.,,https://github.com/python-security/pyt,https://github.com/python-security/pyt,GPL-2.0,2016-10-26 15:34:48.000,2020-12-25 03:47:37.000,2020-03-08 21:43:06,1576.0,,230.0,68.0,116.0,78.0,2156.0,2018-11-01 16:02:57.000,0.42,1.0,22.0,22,False,,23.0,python-taint,,,95.0,95.0,https://pypi.org/project/python-taint,,,2134.0,2135.0,,,,3.0,117.0,,,,,,,,,,,,,,,,
196,pyflow,David-OConnor/pyflow,dependency-managers,An installation and dependency system for Python.,,https://github.com/David-OConnor/pyflow,https://github.com/David-OConnor/pyflow,MIT,2019-07-15 09:40:29.000,2023-03-07 21:30:59.000,2022-03-11 18:31:51,368.0,,45.0,24.0,55.0,73.0,1299.0,2021-07-02 13:17:04.000,0.3.1,26.0,28.0,22,False,,63.0,pyflow,,,43.0,42.0,https://pypi.org/project/pyflow,2021-07-02 13:17:04.000,1.0,192.0,316.0,,,,3.0,6605.0,,,,,,,,,,,,,,,,
197,pycco,pycco-docs/pycco,documentation,Literate-style documentation generator.,,https://github.com/pycco-docs/pycco,https://github.com/pycco-docs/pycco,MIT,2010-06-29 07:02:31.000,2023-06-12 20:15:00.000,2019-12-20 19:59:49,222.0,,138.0,16.0,66.0,28.0,840.0,2018-07-25 01:35:11.000,0.6.0,4.0,36.0,22,False,,30.0,pycco,,,324.0,324.0,https://pypi.org/project/pycco,,,2422.0,2422.0,,,,3.0,,,,,,,,,,,,,,,,,
198,python-hunter,ionelmc/python-hunter,debugging,Hunter is a flexible code tracing toolkit.,,https://github.com/ionelmc/python-hunter,https://github.com/ionelmc/python-hunter,BSD-2-Clause,2015-03-16 18:03:16.000,2023-09-30 00:54:39.787,2023-04-26 09:11:54,1074.0,,43.0,14.0,21.0,54.0,769.0,2023-04-26 10:15:04.184,3.6.1,53.0,9.0,22,True,,42.0,hunter,conda-forge/hunter,,192.0,167.0,https://pypi.org/project/hunter,2023-04-26 10:15:04.184,25.0,7539.0,9416.0,https://anaconda.org/conda-forge/hunter,2023-09-30 00:54:39.787,56314.0,3.0,,,,,,,,,,,,,,,,,
199,py2exe,py2exe/py2exe,packaging,Create standalone Windows programs from Python code.,,https://github.com/py2exe/py2exe,https://github.com/py2exe/py2exe,,2019-03-11 13:16:35.000,2023-10-08 20:35:10.000,2023-10-08 14:56:10,1090.0,,88.0,21.0,35.0,142.0,702.0,2023-10-07 21:15:17.000,0.13.0.1,18.0,20.0,22,False,,14.0,py2exe,,,1930.0,1930.0,https://pypi.org/project/py2exe,,,17323.0,17596.0,,,,3.0,15889.0,,,,,,,,,,,,,,,,
