,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
113,sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,,Sphinx Bootstrap Theme.,documentation,25,False,ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2021-01-13 12:56:13.000,2019-09-25 19:17:09.000,203.0,78.0,576.0,2019-03-29 17:57:28.000,0.7.1,56.0,37.0,['sphinx'],,sphinx-bootstrap-theme,57.0,393.0,2933.0,1957.0,https://pypi.org/project/sphinx-bootstrap-theme,2019-03-29 17:57:28.000,976.0,14790.0,14790.0,,,,2.0,,,,,,,,,,
114,asv,https://github.com/airspeed-velocity/asv,,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,testing,25,True,airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000,2021-03-25 19:51:14.000,2021-03-25 19:51:14.000,129.0,300.0,575.0,2020-05-16 12:35:26.000,0.4.2,16.0,53.0,,conda-forge/asv,asv,111.0,1889.0,231.0,143.0,https://pypi.org/project/asv,2020-05-16 12:33:41.000,88.0,5631.0,12701.0,https://anaconda.org/conda-forge/asv,2021-02-16 18:17:19.627,360580.0,3.0,,,,,,,,,,
115,python-coloredlogs,https://github.com/xolox/python-coloredlogs,,Colored terminal output for Python's logging module.,logging,25,True,xolox/python-coloredlogs,https://github.com/xolox/python-coloredlogs,MIT,2013-05-30 18:57:12.000,2020-12-10 13:10:51.000,2020-12-10 13:09:55.000,35.0,49.0,409.0,2018-04-29 22:06:15.000,9.3.1,62.0,16.0,,,coloredlogs,23.0,271.0,9249.0,7153.0,https://pypi.org/project/coloredlogs,2020-12-10 13:10:51.000,2096.0,430915.0,430915.0,,,,3.0,,,,,,,,,,
116,autoflake,https://github.com/myint/autoflake,,Removes unused imports and unused variables as reported by pyflakes.,refactoring,25,True,myint/autoflake,https://github.com/myint/autoflake,MIT,2012-12-27 03:40:17.000,2021-03-05 19:05:51.000,2020-12-27 17:36:40.000,40.0,32.0,365.0,2019-08-04 15:14:24.000,1.3.1,36.0,17.0,,conda-forge/autoflake,autoflake,23.0,439.0,2602.0,2022.0,https://pypi.org/project/autoflake,2019-08-04 15:14:24.000,580.0,176285.0,180053.0,https://anaconda.org/conda-forge/autoflake,2019-04-25 16:08:45.978,90437.0,2.0,,,,,,,,,,
117,flake8-import-order,https://github.com/PyCQA/flake8-import-order,,Flake8 plugin that checks import order against various Python Style Guides.,linters,25,True,PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000,2021-03-12 04:22:24.000,2020-08-04 12:21:12.000,61.0,83.0,234.0,2019-03-04 08:39:11.000,0.18.1,34.0,40.0,['flake8'],conda-forge/flake8-import-order,flake8-import-order,11.0,274.0,1892.0,,https://pypi.org/project/flake8-import-order,2019-03-04 08:39:11.000,1892.0,125979.0,129473.0,https://anaconda.org/conda-forge/flake8-import-order,2019-03-06 03:48:48.199,185191.0,2.0,,,,,,,,,,
118,astunparse,https://github.com/simonpercivall/astunparse,,An AST unparser for Python.,ast,25,False,simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2021-01-15 07:40:29.426,2019-12-22 18:11:19.000,39.0,21.0,158.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,,conda-forge/astunparse,astunparse,18.0,86.0,15728.0,15546.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,182.0,1208702.0,1212438.0,https://anaconda.org/conda-forge/astunparse,2021-01-15 07:40:29.426,171870.0,3.0,,,,,,,,,,
119,gast,https://github.com/serge-sans-paille/gast,,Python AST that abstracts the underlying Python version.,ast,25,True,serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2021-01-20 06:24:52.000,2020-11-26 20:24:53.000,23.0,21.0,105.0,2020-08-07 21:45:21.000,0.4.0,16.0,10.0,,conda-forge/gast,gast,4.0,80.0,54511.0,51123.0,https://pypi.org/project/gast,2020-08-07 21:45:21.000,3388.0,2233638.0,2263165.0,https://anaconda.org/conda-forge/gast,2020-08-07 22:36:47.303,1033449.0,3.0,,,,,,,,,,
120,notifiers,https://github.com/liiight/notifiers,,The easy way to send notifications.,logging,24,True,liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2021-03-25 04:35:01.000,2020-12-30 22:21:45.000,71.0,52.0,1816.0,2019-10-05 13:00:41.000,1.2.1,26.0,14.0,,,notifiers,37.0,377.0,122.0,116.0,https://pypi.org/project/notifiers,2019-10-05 13:00:41.000,6.0,115408.0,115408.0,,,,3.0,,,,,,,,,,
121,uiautomator,https://github.com/xiaocong/uiautomator,,Python wrapper of Android uiautomator test tool.,testing,24,True,xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2020-12-29 05:34:09.000,2020-11-16 01:36:32.000,571.0,114.0,1659.0,2020-11-16 03:43:07.000,1.0.2,41.0,13.0,,,uiautomator,165.0,316.0,305.0,183.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,122.0,3105.0,3105.0,,,,3.0,,,,,,,,,,
122,pylama,https://github.com/klen/pylama,,Code audit tool for python.,linters,24,False,klen/pylama,https://github.com/klen/pylama,LGPL-3.0,2012-08-17 10:10:10.000,2021-02-03 20:47:36.000,2019-04-10 18:20:19.000,77.0,53.0,771.0,2019-04-10 18:20:47.000,7.7.1,99.0,41.0,,,pylama,72.0,689.0,3300.0,2296.0,https://pypi.org/project/pylama,2019-04-10 18:20:47.000,1004.0,37764.0,37764.0,,,,3.0,,,,,,,,,,
123,pympler,https://github.com/pympler/pympler,,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",profiling,24,True,pympler/pympler,https://github.com/pympler/pympler,Apache-2.0,2012-10-04 23:35:16.000,2020-12-22 22:15:18.000,2020-10-15 19:16:49.000,67.0,46.0,750.0,2016-03-31 11:48:42.000,0.4.3,15.0,26.0,,conda-forge/pympler,pympler,32.0,443.0,478.0,,https://pypi.org/project/pympler,2020-10-14 20:27:50.000,478.0,64901.0,68250.0,https://anaconda.org/conda-forge/pympler,2020-10-14 22:08:39.935,164147.0,3.0,,,,,,,,,,
124,green,https://github.com/CleanCut/green,,"Green is a clean, colorful, fast python test runner.",testing,24,True,CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2020-12-14 17:20:18.000,2020-12-14 17:20:18.000,73.0,159.0,693.0,2020-11-23 18:43:18.000,3.2.5,139.0,37.0,,conda-forge/green,green,12.0,1036.0,925.0,567.0,https://pypi.org/project/green,2020-11-23 18:43:18.000,358.0,3823.0,5483.0,https://anaconda.org/conda-forge/green,2020-11-12 18:09:27.157,71383.0,3.0,,,,,,,,,,
125,typeguard,https://github.com/agronholm/typeguard,,Run-time type checker for Python.,debugging,24,True,agronholm/typeguard,https://github.com/agronholm/typeguard,MIT,2015-12-27 23:15:37.000,2021-03-19 18:34:45.000,2021-03-19 18:34:44.000,55.0,112.0,609.0,2021-02-16 20:04:08.000,2.11.1,39.0,17.0,,conda-forge/typeguard,typeguard,32.0,233.0,158.0,,https://pypi.org/project/typeguard,2021-02-16 20:04:08.000,158.0,409980.0,411218.0,https://anaconda.org/conda-forge/typeguard,2021-02-17 00:33:38.677,33448.0,3.0,,,,,,,,,,
126,PyHamcrest,https://github.com/hamcrest/PyHamcrest,,Hamcrest matchers for Python.,testing,24,True,hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,BSD-3-Clause,2010-12-24 02:55:56.000,2021-03-12 17:18:45.000,2021-03-08 10:35:21.000,79.0,47.0,539.0,2020-03-02 14:42:32.000,2.0.2,22.0,34.0,,conda-forge/pyhamcrest,pyhamcrest,10.0,,3392.0,,https://pypi.org/project/pyhamcrest,2020-03-02 14:42:32.000,3392.0,364477.0,370247.0,https://anaconda.org/conda-forge/pyhamcrest,2020-03-02 15:36:14.195,340487.0,3.0,,,,,,,,,,
127,nox,https://github.com/theacodes/nox,,Flexible test automation for Python.,testing,24,True,theacodes/nox,https://github.com/theacodes/nox,Apache-2.0,2016-02-24 04:02:58.000,2021-03-31 20:43:38.000,2021-03-12 03:04:12.000,85.0,166.0,516.0,2021-01-01 01:16:23.000,2020.12.31,18.0,55.0,['pytest'],conda-forge/nox,nox,50.0,,553.0,497.0,https://pypi.org/project/nox,2021-01-01 01:16:23.000,56.0,90689.0,91452.0,https://anaconda.org/conda-forge/nox,2021-01-06 20:13:32.270,22890.0,3.0,,,,,,,,,,
128,Mamba Test Runner,https://github.com/nestorsalceda/mamba,,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,testing,24,True,nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2021-03-29 16:44:43.000,2020-11-16 12:31:58.000,61.0,52.0,462.0,2020-11-16 12:36:24.000,0.11.2,21.0,22.0,,,mamba,45.0,468.0,220.0,,https://pypi.org/project/mamba,2020-11-16 12:35:41.000,220.0,6178.0,6178.0,,,,3.0,,,,,,,,,,
