,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,updated_github_id,cargo_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
100,vulture,https://github.com/jendrikseipp/vulture,,Find dead Python code.,refactoring,26,True,jendrikseipp/vulture,https://github.com/jendrikseipp/vulture,MIT,2016-08-11 15:39:58.647,2021-01-19 11:01:54.000,2021-01-16 21:58:34.000,65.0,1145.0,2021-01-16 17:51:40.000,2.3,41.0,26.0,conda-forge/vulture,,vulture,10.0,127.0,675.0,1161.0,801.0,https://pypi.org/project/vulture,2021-01-15 17:30:03.000,360.0,55856.0,56569.0,https://anaconda.org/conda-forge/vulture,2020-08-11 23:14:02.062,37807.0,2.0,,,,,,,,,,
101,pytest-bdd,https://github.com/pytest-dev/pytest-bdd,,BDD library for the py.test runner.,testing,26,True,pytest-dev/pytest-bdd,https://github.com/pytest-dev/pytest-bdd,MIT,2013-03-29 07:27:43.000,2020-12-07 12:42:45.000,2020-12-07 12:38:07.000,129.0,760.0,2020-12-07 12:41:15.000,4.0.2,89.0,37.0,conda-forge/pytest-bdd,['pytest'],pytest-bdd,102.0,126.0,634.0,1375.0,1107.0,https://pypi.org/project/pytest-bdd,2020-12-07 12:41:15.000,268.0,55547.0,56448.0,https://anaconda.org/conda-forge/pytest-bdd,2020-02-03 16:53:59.114,18035.0,3.0,,,,,,,,,,
102,pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,,py.test fixture for benchmarking code.,testing,26,True,ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2020-11-02 10:37:20.000,2020-11-02 10:37:12.000,64.0,701.0,2020-01-10 10:25:10.000,3.2.3,39.0,29.0,conda-forge/pytest-benchmark,['pytest'],pytest-benchmark,62.0,74.0,953.0,2241.0,1511.0,https://pypi.org/project/pytest-benchmark,2020-01-10 10:25:10.000,730.0,110617.0,116432.0,https://anaconda.org/conda-forge/pytest-benchmark,2020-03-24 11:45:49.727,337278.0,3.0,,,,,,,,,,
103,green,https://github.com/CleanCut/green,,"Green is a clean, colorful, fast python test runner.",testing,26,True,CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2020-12-14 17:20:18.000,2020-12-14 17:20:18.000,73.0,683.0,2020-11-23 18:43:18.000,3.2.5,139.0,37.0,conda-forge/green,,green,12.0,158.0,1036.0,908.0,550.0,https://pypi.org/project/green,2020-11-23 18:43:18.000,358.0,7844.0,9433.0,https://anaconda.org/conda-forge/green,2020-11-12 18:09:27.157,63587.0,3.0,,,,,,,,,,
104,pytest-sugar,https://github.com/Teemu/pytest-sugar,,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",testing,26,True,Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,BSD-3-Clause,2013-06-25 21:09:27.000,2020-10-24 19:01:48.000,2020-10-24 18:04:51.000,48.0,663.0,2020-04-26 13:34:09.000,0.9.3,24.0,38.0,conda-forge/pytest-sugar,['pytest'],pytest-sugar,35.0,68.0,344.0,11206.0,6626.0,https://pypi.org/project/pytest-sugar,2020-04-26 13:34:09.000,4580.0,200699.0,202819.0,https://anaconda.org/conda-forge/pytest-sugar,2020-09-18 13:41:24.029,86924.0,3.0,,,,,,,,,,
105,pdbpp,https://github.com/pdbpp/pdbpp,,"pdb++, a drop-in replacement for pdb (the Python debugger).",debugging,26,True,pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2020-12-30 21:40:44.000,2020-11-22 13:22:19.000,36.0,654.0,2019-04-18 20:10:18.000,0.10.2,25.0,39.0,conda-forge/pdbpp,,pdbpp,50.0,105.0,682.0,2813.0,1857.0,https://pypi.org/project/pdbpp,2019-10-04 12:04:09.000,956.0,65797.0,66996.0,https://anaconda.org/conda-forge/pdbpp,2019-05-07 20:32:36.208,49192.0,2.0,,,,,,,,,,
106,sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,,Sphinx Bootstrap Theme.,documentation,26,False,ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2021-01-13 12:56:13.000,2019-09-25 19:17:09.000,180.0,575.0,2019-03-29 17:36:17.000,0.7.0,55.0,37.0,,['sphinx'],sphinx-bootstrap-theme,47.0,78.0,393.0,2650.0,1878.0,https://pypi.org/project/sphinx-bootstrap-theme,2019-03-29 17:36:17.000,772.0,21441.0,21441.0,,,,2.0,,,,,,,,,,
107,PyHamcrest,https://github.com/hamcrest/PyHamcrest,,Hamcrest matchers for Python.,testing,26,True,hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,BSD-3-Clause,2010-12-24 02:55:56.000,2020-10-30 10:46:27.000,2020-10-23 23:38:43.000,79.0,516.0,2020-03-02 14:42:32.000,2.0.2,22.0,34.0,conda-forge/pyhamcrest,,pyhamcrest,10.0,40.0,531.0,3392.0,,https://pypi.org/project/pyhamcrest,2020-03-02 14:42:32.000,3392.0,1362085.0,1367731.0,https://anaconda.org/conda-forge/pyhamcrest,2020-03-02 15:36:14.195,316184.0,3.0,,,,,,,,,,
108,buildout,https://github.com/buildout/buildout,,Buildout is a deployment automation tool written in and extended with Python.,build-tools,26,False,buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2020-10-13 15:54:16.000,2020-10-13 15:54:13.000,170.0,501.0,2020-02-11 15:14:12.000,2.13.3,100.0,87.0,,,zc.buildout,138.0,184.0,1574.0,1974.0,,https://pypi.org/project/zc.buildout,2020-05-25 08:46:02.000,1974.0,84748.0,84748.0,,,,3.0,,,,,,,,,,
109,nox,https://github.com/theacodes/nox,,Flexible test automation for Python.,testing,26,True,theacodes/nox,https://github.com/theacodes/nox,Apache-2.0,2016-02-24 04:02:58.000,2021-01-06 20:13:32.270,2021-01-01 01:11:36.000,80.0,475.0,2021-01-01 01:16:23.000,2020.12.31,18.0,47.0,conda-forge/nox,['pytest'],nox,50.0,139.0,340.0,480.0,424.0,https://pypi.org/project/nox,2021-01-01 01:16:23.000,56.0,193530.0,194117.0,https://anaconda.org/conda-forge/nox,2021-01-06 20:13:32.270,15849.0,3.0,,,,,,,,,,
110,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,26,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2020-12-21 10:53:12.000,2020-10-12 20:32:13.000,60.0,299.0,2020-06-21 06:33:28.000,1.11.1,28.0,27.0,conda-forge/sphinx-autodoc-typehints,['sphinx'],sphinx-autodoc-typehints,39.0,66.0,157.0,1380.0,,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000,1380.0,81386.0,84562.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2020-10-12 21:34:27.077,120698.0,2.0,,,,,,,,,,
111,sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,documentation,26,True,executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2020-12-18 12:21:01.000,2020-11-05 11:21:34.000,48.0,299.0,2017-07-05 10:52:34.000,0.7.1,13.0,17.0,conda-forge/sphinx-autobuild,['sphinx'],sphinx-autobuild,10.0,44.0,276.0,4682.0,,https://pypi.org/project/sphinx-autobuild,2017-07-05 10:52:34.000,4682.0,95669.0,96489.0,https://anaconda.org/conda-forge/sphinx-autobuild,2020-12-16 17:57:16.464,36911.0,2.0,,,,,,,,,,
112,pep8-naming,https://github.com/PyCQA/pep8-naming,,Naming Convention checker for Python.,linters,26,False,PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2021-01-05 20:59:00.000,2021-01-05 19:26:21.000,47.0,273.0,2020-06-16 23:48:52.000,0.11.1,21.0,26.0,conda-forge/pep8-naming,,pep8-naming,10.0,61.0,210.0,8593.0,5565.0,https://pypi.org/project/pep8-naming,2020-06-16 23:48:52.000,3028.0,248937.0,251901.0,https://anaconda.org/conda-forge/pep8-naming,2020-07-01 03:49:33.929,174924.0,2.0,,,,,,,,,,
113,pytest-mypy,https://github.com/dbader/pytest-mypy,,Mypy static type checker plugin for Pytest.,testing,26,True,dbader/pytest-mypy,https://github.com/dbader/pytest-mypy,MIT,2016-09-29 14:39:23.000,2020-11-24 14:50:18.057,2020-11-13 23:44:03.000,31.0,184.0,2020-11-14 01:36:41.000,0.8.0,16.0,15.0,conda-forge/pytest-mypy,['pytest'],pytest-mypy,8.0,33.0,202.0,1126.0,860.0,https://pypi.org/project/pytest-mypy,2020-11-14 01:36:41.000,266.0,89277.0,89864.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,6459.0,3.0,,,,,,,,,,
114,astunparse,https://github.com/simonpercivall/astunparse,,An AST unparser for Python.,ast,26,False,simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2021-01-15 07:40:29.426,2019-12-22 18:11:19.000,35.0,154.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,conda-forge/astunparse,,astunparse,14.0,21.0,86.0,11800.0,11618.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,182.0,1983667.0,1985089.0,https://anaconda.org/conda-forge/astunparse,2021-01-15 07:40:29.426,61178.0,3.0,,,,,,,,,,
115,sqlmap,https://github.com/sqlmapproject/sqlmap,,Automatic SQL injection and database takeover tool.,security,25,True,sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,GPL-3.0,2012-06-26 09:52:15.000,2021-01-21 09:14:30.000,2021-01-21 09:14:24.000,4139.0,19182.0,2021-01-03 14:27:24.000,1.5,63.0,103.0,,,sqlmap,47.0,4154.0,9686.0,8.0,,https://pypi.org/project/sqlmap,2021-01-03 14:25:31.000,8.0,4746.0,4746.0,,,,2.0,,,,,,,,,,
116,line_profiler,https://github.com/pyutils/line_profiler,,Line-by-line profiling for Python.,profiling,25,True,pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2021-01-17 14:07:18.000,2020-11-19 15:52:01.000,245.0,3490.0,2020-01-12 22:11:51.000,3.0.2,8.0,20.0,conda-forge/line_profiler,,line_profiler,21.0,7.0,139.0,692.0,,https://pypi.org/project/line_profiler,2017-12-20 02:30:37.000,692.0,196854.0,199489.0,https://anaconda.org/conda-forge/line_profiler,2021-01-14 12:02:28.721,147581.0,3.0,,,,,,,,,,
117,uiautomator,https://github.com/xiaocong/uiautomator,,Python wrapper of Android uiautomator test tool.,testing,25,True,xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2020-12-29 05:34:09.000,2020-11-16 01:36:32.000,571.0,1627.0,2020-11-16 03:43:07.000,1.0.2,41.0,13.0,,,uiautomator,165.0,114.0,316.0,296.0,174.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,122.0,3958.0,3958.0,,,,3.0,,,,,,,,,,
118,flit,https://github.com/takluyver/flit,,Simplified packaging of Python modules.,build-tools,25,True,takluyver/flit,https://github.com/takluyver/flit,BSD-3-Clause,2015-03-13 21:22:27.000,2020-12-04 10:55:35.000,2020-11-19 11:50:56.000,63.0,1287.0,2020-04-08 08:04:11.000,3.0.0,38.0,41.0,conda-forge/flit,,flit,68.0,147.0,847.0,226.0,,https://pypi.org/project/flit,2020-09-06 10:57:48.000,226.0,17391.0,18815.0,https://anaconda.org/conda-forge/flit,2020-10-14 10:18:51.643,66932.0,3.0,,,,,,,,,,
119,pybuilder,https://github.com/pybuilder/pybuilder,,Software build automation tool for Python.,build-tools,25,True,pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2020-10-21 02:59:32.000,2020-10-18 16:56:10.000,230.0,1278.0,2020-10-06 16:13:40.000,0.12.10,449.0,35.0,,,pybuilder,83.0,389.0,1284.0,110.0,,https://pypi.org/project/pybuilder,2020-10-18 17:13:30.000,110.0,6655.0,6655.0,,,,3.0,,,,,,,,,,
120,pympler,https://github.com/pympler/pympler,,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",profiling,25,True,pympler/pympler,https://github.com/pympler/pympler,Apache-2.0,2012-10-04 23:35:16.000,2020-12-22 22:15:18.000,2020-10-15 19:16:49.000,67.0,724.0,2016-03-31 11:48:42.000,0.4.3,15.0,26.0,conda-forge/pympler,,pympler,32.0,46.0,443.0,478.0,,https://pypi.org/project/pympler,2020-10-14 20:27:50.000,478.0,86089.0,89610.0,https://anaconda.org/conda-forge/pympler,2020-10-14 22:08:39.935,161979.0,3.0,,,,,,,,,,
121,typeguard,https://github.com/agronholm/typeguard,,Run-time type checker for Python.,debugging,25,True,agronholm/typeguard,https://github.com/agronholm/typeguard,MIT,2015-12-27 23:15:37.000,2021-01-21 05:48:35.000,2021-01-09 11:48:40.000,52.0,568.0,2020-10-19 08:18:56.000,2.10.0,37.0,16.0,conda-forge/typeguard,,typeguard,26.0,107.0,219.0,158.0,,https://pypi.org/project/typeguard,2020-10-19 08:18:56.000,158.0,486356.0,487405.0,https://anaconda.org/conda-forge/typeguard,2020-06-07 13:28:30.133,25178.0,3.0,,,,,,,,,,
