,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
201,releases,bitprophet/releases,documentation,A powerful Sphinx changelog-generating extension.,,https://github.com/bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2022-06-17 19:50:09.000,2021-09-24 20:54:11,522.0,,38.0,5.0,26.0,43.0,162.0,2021-12-15 14:41:21.229,0.1.0,33.0,10.0,22,True,releases,conda-forge/sphinx-releases,['sphinx'],33.0,833.0,467.0,https://pypi.org/project/releases,2020-01-11 00:29:49.000,366.0,6136.0,7032.0,https://anaconda.org/conda-forge/sphinx-releases,2021-10-19 17:29:57.242,45745.0,3.0,,,,,,,,,,,,,,,,,,,,
202,flake8-bandit,tylerwince/flake8-bandit,linters,Automated security testing using bandit and flake8.,,https://github.com/tylerwince/flake8-bandit,https://github.com/tylerwince/flake8-bandit,MIT,2017-10-28 23:19:09.000,2022-08-08 07:40:08.000,2022-03-11 03:24:05,55.0,,25.0,5.0,15.0,11.0,86.0,2022-03-11 03:32:21.000,3.0.0,12.0,8.0,22,True,flake8-bandit,,['flake8'],9.0,131.0,,https://pypi.org/project/flake8-bandit,2022-03-11 03:32:21.000,131.0,636797.0,636797.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
203,Profiling,what-studio/profiling,profiling,Was an interactive continuous Python profiler.,,https://github.com/what-studio/profiling,https://github.com/what-studio/profiling,BSD-3-Clause,2014-09-03 10:35:57.000,2021-12-15 15:24:47.133,2020-08-24 01:31:58,433.0,,120.0,75.0,25.0,20.0,2991.0,2017-06-28 06:10:16.000,0.1.3,4.0,18.0,21,False,profiling,,,17.0,53.0,48.0,https://pypi.org/project/profiling,2021-12-15 15:24:47.133,5.0,3027.0,3027.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
204,pyrasite,lmacken/pyrasite,debugging,Inject code into running Python processes.,,https://github.com/lmacken/pyrasite,https://github.com/lmacken/pyrasite,GPL-3.0,2011-09-10 06:01:20.000,2021-06-04 01:31:20.000,2017-03-13 17:42:17,340.0,,195.0,60.0,44.0,15.0,2633.0,,,13.0,20.0,21,False,pyrasite,,,40.0,45.0,39.0,https://pypi.org/project/pyrasite,2012-05-09 19:11:33.000,6.0,25311.0,25311.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
205,pyflow,David-OConnor/pyflow,dependency-managers,An installation and dependency system for Python.,,https://github.com/David-OConnor/pyflow,https://github.com/David-OConnor/pyflow,MIT,2019-07-15 09:40:29.000,2022-04-18 07:11:37.000,2022-03-11 18:31:51,368.0,,40.0,22.0,53.0,72.0,1126.0,2021-07-02 13:17:04.000,0.3.1,26.0,28.0,21,True,pyflow,,,54.0,42.0,41.0,https://pypi.org/project/pyflow,2021-07-02 13:17:04.000,1.0,138.0,257.0,,,,3.0,4318.0,,,,,,,,,,,,,,,,,,,
206,python-hunter,ionelmc/python-hunter,debugging,Hunter is a flexible code tracing toolkit.,,https://github.com/ionelmc/python-hunter,https://github.com/ionelmc/python-hunter,BSD-2-Clause,2015-03-16 18:03:16.000,2022-04-16 14:23:07.928,2021-12-15 17:43:12,1026.0,,39.0,14.0,21.0,50.0,675.0,2021-12-15 20:36:30.000,3.4.3,49.0,9.0,21,True,hunter,conda-forge/hunter,,37.0,119.0,98.0,https://pypi.org/project/hunter,2021-12-15 20:36:30.000,21.0,22393.0,23261.0,https://anaconda.org/conda-forge/hunter,2022-04-16 14:23:07.928,11292.0,3.0,,,,,,,,,,,,,,,,,,,,
207,Fixit,Instagram/Fixit,linters,"Fixit is a Python Lint Framework based on LibCST. It comes with useful default lint rules for coding convention,..",,https://github.com/Instagram/Fixit,https://github.com/Instagram/Fixit,MIT,2020-02-20 19:09:01.000,2022-07-28 15:13:48.000,2022-06-20 20:24:03,167.0,1.0,44.0,17.0,168.0,25.0,317.0,2021-07-31 16:17:24.000,0.1.4,6.0,30.0,21,True,fixit,,,32.0,25.0,23.0,https://pypi.org/project/fixit,2021-07-30 20:35:02.000,2.0,12951.0,12951.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
208,pytest-lazy-fixture,tvorog/pytest-lazy-fixture,testing,It helps to use fixtures in pytest.mark.parametrize.,,https://github.com/TvoroG/pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,MIT,2016-09-29 23:52:48.000,2022-01-27 10:32:34.000,2022-01-27 10:32:34,98.0,,18.0,9.0,21.0,20.0,270.0,2020-02-01 18:04:00.000,0.6.3,12.0,9.0,21,True,pytest-lazy-fixture,conda-forge/pytest-lazy-fixture,['pytest'],15.0,865.0,811.0,https://pypi.org/project/pytest-lazy-fixture,2020-02-01 18:04:00.000,54.0,366426.0,372064.0,https://anaconda.org/conda-forge/pytest-lazy-fixture,2020-02-01 18:49:47.818,360888.0,3.0,,,,,,,,,,,,,,,,,,,,
209,mkdocs-pdf-export-plugin,zhaoterryy/mkdocs-pdf-export-plugin,documentation,An MkDocs plugin to export content pages as PDF files.,,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51.000,2022-03-11 23:29:09.000,2021-10-05 01:31:10,72.0,,37.0,17.0,30.0,45.0,247.0,2021-10-05 01:33:27.000,0.5.10,24.0,11.0,21,True,mkdocs-pdf-export-plugin,,['mkdocs'],41.0,260.0,256.0,https://pypi.org/project/mkdocs-pdf-export-plugin,2021-10-05 01:33:27.000,4.0,16542.0,16542.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
210,xenon,rubik/xenon,code-metrics,Monitoring tool based on radon.,,https://github.com/rubik/xenon,https://github.com/rubik/xenon,MIT,2014-02-14 14:19:20.000,2022-05-03 07:49:02.000,2022-02-24 16:06:18,113.0,,18.0,5.0,14.0,27.0,212.0,2021-09-03 15:34:36.000,0.8.0,21.0,9.0,21,True,xenon,conda-forge/xenon,,6.0,456.0,387.0,https://pypi.org/project/xenon,2022-02-24 08:21:17.000,69.0,79026.0,79306.0,https://anaconda.org/conda-forge/xenon,2019-10-12 20:39:43.883,16272.0,3.0,,,,,,,,,,,,,,,,,,,,
211,Griffe,mkdocstrings/griffe,documentation,"Signatures for entire Python programs. Extract the structure, the frame, the skeleton of your project, to generate API..",,https://github.com/mkdocstrings/griffe,https://github.com/mkdocstrings/griffe,ISC,2021-09-09 21:49:44.000,2022-06-29 02:44:22.136,2022-06-28 19:00:03,431.0,22.0,15.0,3.0,15.0,58.0,101.0,2022-06-28 19:00:12.000,0.22.0,43.0,10.0,21,True,griffe,conda-forge/griffe,,22.0,3.0,,https://pypi.org/project/griffe,2022-06-28 19:00:12.000,3.0,100500.0,106251.0,https://anaconda.org/conda-forge/griffe,2022-06-29 02:44:22.136,28757.0,3.0,,,,,,,,,,,,,,,,,,,,
