,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
17,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-11-23 15:09:04.000,2022-11-13 20:36:24,19746.0,147.0,1780.0,140.0,4726.0,5206.0,5009.0,2022-10-17 21:45:48.000,6.0.0b2,175.0,757.0,42,True,1087.0,sphinx,conda-forge/sphinx,['sphinx'],292832.0,232871.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,8812998.0,8899934.0,https://anaconda.org/conda-forge/sphinx,2022-10-16 10:22:22.751,6520242.0,1.0,59961.0,,,,,,,,,,,,,,,,,,,,
18,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-11-23 19:28:03.000,2022-11-23 19:27:13,2335.0,64.0,250.0,32.0,284.0,1446.0,2464.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,42,True,25.0,flake8,conda-forge/flake8,,352967.0,311076.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,18804272.0,18871244.0,https://anaconda.org/conda-forge/flake8,2022-08-04 20:32:50.634,5156908.0,1.0,41891.0,,,,,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-11-22 14:48:48.000,2022-11-20 16:14:59,13774.0,130.0,2039.0,483.0,605.0,3728.0,7574.0,2022-11-03 17:22:13.392,6.0.1,96.0,172.0,41,True,247.0,robotframework,conda-forge/robotframework,,7374.0,6326.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1325480.0,1327229.0,https://anaconda.org/conda-forge/robotframework,2022-11-03 22:03:39.410,101174.0,1.0,1048.0,539.0,,,,,,,,,,,,,,,,,,,
20,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-11-23 11:58:00.000,2022-11-22 23:10:47,2671.0,192.0,1805.0,183.0,2150.0,3935.0,22726.0,2022-10-10 19:45:14.090,1.2.2,154.0,416.0,40,True,650.0,poetry,conda-forge/poetry,,155.0,,https://pypi.org/project/poetry,2022-08-31 03:48:14.633,10795107.0,11074552.0,https://anaconda.org/conda-forge/poetry,2022-10-31 19:50:24.779,698620.0,1.0,155.0,14569032.0,,,,,,,,,,,,,,,,,,,
21,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-11-20 07:28:06.000,2022-11-20 07:28:03,12546.0,159.0,536.0,69.0,2174.0,1293.0,6350.0,2022-11-19 23:15:04.427,6.58.0,1001.0,297.0,40,True,42.0,hypothesis,conda-forge/hypothesis,,16857.0,14885.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,3634178.0,3722601.0,https://anaconda.org/conda-forge/hypothesis,2022-11-20 02:40:01.871,6720164.0,1.0,1972.0,,,,,,,,,,,,,,,,,,,,
22,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2022-11-24 08:01:01.000,2022-11-22 10:34:22,16129.0,111.0,1267.0,196.0,3365.0,7821.0,4998.0,2022-09-20 09:40:51.000,22.9.0,100.0,406.0,40,True,1029.0,conda,conda-forge/conda,,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,211166.0,665058.0,https://anaconda.org/conda-forge/conda,2022-11-04 21:16:41.349,34041942.0,1.0,1090.0,,,,,,,,,,,,,,,,,,,,
23,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-11-24 12:27:40.000,2022-11-23 17:11:20,8068.0,331.0,936.0,72.0,3247.0,3957.0,4353.0,2022-11-19 09:05:21.451,2.15.6,156.0,497.0,40,True,688.0,pylint,conda-forge/pylint,,21277.0,,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,13264373.0,13309959.0,https://anaconda.org/conda-forge/pylint,2022-11-19 15:27:31.698,3419012.0,1.0,21277.0,,,,,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2022-11-23 02:55:02.000,2022-11-12 21:40:03,609.0,27.0,966.0,160.0,1175.0,1170.0,4316.0,2022-11-12 22:25:39.236,20.16.7,195.0,240.0,40,True,76.0,virtualenv,conda-forge/virtualenv,,17756.0,,https://pypi.org/project/virtualenv,2022-07-27 21:53:47.000,42190847.0,42235231.0,https://anaconda.org/conda-forge/virtualenv,2022-11-13 19:03:26.724,3018124.0,2.0,17756.0,,,,,,,,,,,,,,,,,,,,
25,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-11-23 02:44:57.000,2022-11-14 05:09:26,2124.0,21.0,440.0,42.0,1069.0,1323.0,3078.0,2022-11-14 05:10:42.085,3.27.1,133.0,267.0,40,True,65.0,tox,conda-forge/tox,['pytest'],86582.0,65691.0,https://pypi.org/project/tox,2022-06-29 23:24:55.000,5463141.0,5472504.0,https://anaconda.org/conda-forge/tox,2022-11-14 13:23:39.814,580514.0,1.0,20891.0,,,,,,,,,,,,,,,,,,,,
26,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-11-23 20:43:41.000,2022-11-22 13:41:28,2309.0,41.0,663.0,83.0,963.0,1594.0,9223.0,2022-07-11 00:58:54.000,2.20.0,169.0,146.0,39,True,20.0,pre-commit,conda-forge/pre-commit,,69585.0,66137.0,https://pypi.org/project/pre-commit,2022-05-05 13:55:13.000,7874446.0,7931700.0,https://anaconda.org/conda-forge/pre-commit,2022-10-28 15:12:46.425,2102600.0,1.0,3448.0,207225.0,,,,,,,,,,,,,,,,,,,
27,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-11-24 14:24:17.000,2022-11-22 12:40:50,1573.0,96.0,326.0,57.0,961.0,607.0,1373.0,2022-11-22 12:40:44.691,1.11.1,168.0,151.0,39,True,186.0,sentry-sdk,conda-forge/sentry-sdk,,25939.0,25939.0,https://pypi.org/project/sentry-sdk,2022-10-21 14:39:28.000,18669215.0,18675265.0,https://anaconda.org/conda-forge/sentry-sdk,2022-11-22 16:13:01.290,286209.0,1.0,,3799.0,,,,,,,,,,,,,,,,,,,
28,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-11-21 17:46:47.000,2022-05-20 06:58:02,3909.0,,491.0,42.0,862.0,1022.0,5366.0,2021-11-09 05:43:22.000,5.10.1,132.0,263.0,38,True,121.0,isort,conda-forge/isort,,303057.0,287935.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,25021208.0,25072975.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,3934321.0,2.0,15122.0,,,,,,,,,,,,,,,,,,,,
29,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-11-23 18:27:07.000,2022-11-23 18:17:43,1345.0,32.0,671.0,119.0,445.0,587.0,4713.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,38,True,116.0,pycodestyle,conda-forge/pycodestyle,,282686.0,271325.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,28278165.0,28347411.0,https://anaconda.org/conda-forge/pycodestyle,2022-08-04 18:37:50.261,5331983.0,1.0,11361.0,,,,,,,,,,,,,,,,,,,,
30,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2022-11-22 17:36:02.000,2022-11-22 13:48:50,1432.0,27.0,1697.0,162.0,638.0,568.0,4230.0,2022-11-04 19:24:09.941,1.1.1,37.0,112.0,38,True,223.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],6054.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2022-10-13 20:24:36.386,3380471.0,3419673.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2022-11-06 16:10:03.932,2940185.0,2.0,6038.0,,,,,,,-1.0,,,,,,,,,,,,,
31,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2022-11-20 17:58:22.000,2022-11-20 17:58:15,4527.0,141.0,1333.0,492.0,571.0,1341.0,21797.0,2022-10-29 09:42:17.000,3.3.0,90.0,166.0,37,True,236.0,glances,conda-forge/glances,,592.0,542.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,236298.0,238514.0,https://anaconda.org/conda-forge/glances,2022-11-03 21:02:41.924,176574.0,1.0,50.0,827.0,,,,,,,,,,,,,,,,,,,
32,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2022-11-22 18:50:58.000,2022-11-22 17:47:16,1823.0,66.0,550.0,105.0,839.0,760.0,6416.0,2022-11-14 08:19:01.985,6.10.0,106.0,184.0,37,True,130.0,pip-tools,conda-forge/pip-tools,,1867.0,,https://pypi.org/project/pip-tools,2022-06-30 09:26:49.000,7314194.0,7316178.0,https://anaconda.org/conda-forge/pip-tools,2022-05-24 05:42:55.372,61512.0,2.0,1867.0,,,,,,,,,,,,,,,,,,,,
33,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-11-05 09:59:42.000,2022-11-05 09:59:36,2792.0,25.0,278.0,66.0,212.0,346.0,4204.0,2022-10-28 21:13:03.171,2.0.0,71.0,57.0,37,True,103.0,autopep8,conda-forge/autopep8,,148210.0,142524.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,3218347.0,3230095.0,https://anaconda.org/conda-forge/autopep8,2022-10-29 13:49:35.758,904617.0,2.0,5686.0,,,,,,,-1.0,,,,,,,,,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2022-11-19 08:50:04.000,2022-11-19 08:41:04,673.0,19.0,559.0,119.0,84.0,607.0,13398.0,2022-01-29 13:50:01.000,0.6.0,18.0,41.0,36,True,61.0,loguru,conda-forge/loguru,,33004.0,31295.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,4589428.0,4606964.0,https://anaconda.org/conda-forge/loguru,2022-10-26 21:41:01.021,789157.0,2.0,1709.0,,,,,,,,,,,,,,,,,,,,
35,pyright,Microsoft/pyright,linters,Static type checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2022-11-23 04:27:36.000,2022-11-23 04:19:43,5498.0,215.0,569.0,77.0,457.0,3374.0,8739.0,2022-11-23 04:27:36.000,1.1.281,365.0,83.0,36,True,7.0,,,,409.0,402.0,,,,356414.0,,,,1.0,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2022-11-23 04:20:20.620,7.0,356414.0,,,,,,,,
36,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2022-11-13 12:37:49.000,2022-09-30 21:53:37,3568.0,10.0,331.0,98.0,220.0,379.0,3740.0,2022-09-30 21:54:38.717,1.7.3,58.0,57.0,36,True,346.0,invoke,conda-forge/invoke,,16833.0,14204.0,https://pypi.org/project/invoke,2022-05-11 16:04:49.000,4069593.0,4080449.0,https://anaconda.org/conda-forge/invoke,2022-10-06 14:51:40.510,857640.0,1.0,2629.0,,,,,,,,,,,,,,,,,,,,
37,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2022-11-21 02:36:53.000,2022-11-17 08:34:09,2147.0,46.0,353.0,26.0,1503.0,950.0,2077.0,2022-09-27 22:22:25.120,0.17.0,55.0,179.0,36,True,99.0,wemake-python-styleguide,,,8477.0,8446.0,https://pypi.org/project/wemake-python-styleguide,2022-03-11 18:59:38.000,205865.0,205865.0,,,,1.0,31.0,,,,,,,,,,,,,,,,,,,,
38,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2022-11-16 11:25:32.000,2022-10-26 18:32:42,906.0,9.0,188.0,33.0,228.0,224.0,1347.0,2022-09-28 18:41:46.166,4.0.0,44.0,80.0,36,True,123.0,pytest-cov,conda-forge/pytest-cov,['pytest'],186286.0,156611.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000,16357110.0,16442076.0,https://anaconda.org/conda-forge/pytest-cov,2022-09-29 00:56:23.882,6797342.0,1.0,29675.0,,,,,,,,,,,,,,,,,,,,
39,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2022-11-24 00:20:31.318,2022-11-23 18:43:38,544.0,8.0,170.0,27.0,278.0,426.0,1211.0,2022-11-23 18:45:39.166,3.0.0,35.0,84.0,36,True,64.0,pyflakes,conda-forge/pyflakes,,185242.0,171603.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000,19106286.0,19172911.0,https://anaconda.org/conda-forge/pyflakes,2022-11-24 00:20:31.318,5130187.0,1.0,13639.0,,,,,,,,,,,,,,,,,,,,
40,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,BSD-2-Clause,2014-05-15 22:49:43.000,2022-11-22 18:43:06.000,2022-11-08 00:49:03,583.0,13.0,188.0,28.0,344.0,215.0,436.0,2021-11-18 00:41:06.000,21.3,39.0,82.0,36,True,66.0,packaging,conda-forge/packaging,,526063.0,508546.0,https://pypi.org/project/packaging,2021-11-18 00:39:10.000,125007323.0,125302950.0,https://anaconda.org/conda-forge/packaging,2021-11-18 12:50:05.153,22762056.0,1.0,17517.0,613.0,,,,,,,,,,,,,,,,,,,
