,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
48,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2025-09-22 17:08:00.000,2025-09-22 17:07:58,2962.0,37.0,408.0,30.0,2366.0,1144.0,2775.0,2025-08-25 10:16:16.000,1.4.0,64.0,213.0,37,True,,19.0,wemake-python-styleguide,,17630.0,17528.0,https://pypi.org/project/wemake-python-styleguide,2025-08-25 10:15:06.000,102.0,218132.0,218132.0,,,,1.0,,,-1.0,,,,,,,,,,,,,,,,,
49,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2025-09-11 17:34:36.964,2025-09-09 14:52:20,1053.0,41.0,219.0,41.0,279.0,290.0,1951.0,2025-09-09 10:57:00.000,7.0.0,53.0,100.0,37,True,,146.0,pytest-cov,conda-forge/pytest-cov,48176.0,,https://pypi.org/project/pytest-cov,2025-09-09 10:57:00.000,48176.0,85339895.0,85580608.0,https://anaconda.org/conda-forge/pytest-cov,2025-09-11 17:34:36.964,15405691.0,2.0,['pytest'],,,,,,,,,,,,,,,,,,,
50,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2025-09-14 10:54:11.000,2025-09-14 10:54:10,985.0,2.0,168.0,32.0,255.0,402.0,541.0,2025-04-08 20:55:45.000,0.46.1,83.0,86.0,37,True,,15.0,wheel,conda-forge/wheel,390342.0,375878.0,https://pypi.org/project/wheel,2025-04-08 20:55:39.000,14464.0,296576082.0,298887659.0,https://anaconda.org/conda-forge/wheel,2025-04-22 14:56:25.544,141006217.0,2.0,,,,,,,,,,,,,,,,,,,,
51,py-spy,benfred/py-spy,profiling,Sampling profiler for Python programs.,,https://github.com/benfred/py-spy,https://github.com/benfred/py-spy,MIT,2018-08-01 02:22:15.000,2025-09-08 18:38:00.000,2025-08-18 00:13:24,549.0,31.0,469.0,110.0,395.0,227.0,14262.0,2025-07-31 19:34:11.519,0.4.1,40.0,53.0,36,True,,206.0,py-spy,conda-forge/py-spy,7102.0,6986.0,https://pypi.org/project/py-spy,2025-07-31 19:33:13.000,112.0,9566818.0,9579945.333333334,https://anaconda.org/conda-forge/py-spy,2025-08-01 00:41:54.066,709259.0,2.0,,35894.0,,,,,,,,,,,,py-spy,https://crates.io/crates/py-spy,2025-07-31 19:34:11.519,4.0,1203.3333333333333,440372.0,
52,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2025-09-03 16:04:18.705,2023-06-07 11:16:23,408.0,,1346.0,193.0,179.0,252.0,11908.0,2023-05-24 20:13:07.561,0.9.54,51.0,52.0,36,False,,534.0,pyautogui,conda-forge/pyautogui,56021.0,54987.0,https://pypi.org/project/pyautogui,2023-05-24 20:13:07.561,1034.0,1578387.0,1584694.0,https://anaconda.org/conda-forge/pyautogui,2025-09-03 16:04:18.705,372130.0,2.0,,,,,,,,,,,,,,,,,,,,
53,xonsh,xonsh/xonsh,shell,Python-powered shell. Full-featured and cross-platform.,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh,BSD-1-Clause,2015-01-21 22:05:27.000,2025-09-22 17:40:58.000,2025-09-15 14:07:46,10949.0,26.0,671.0,103.0,2938.0,2423.0,8984.0,2025-06-24 19:59:46.000,0.19.9,140.0,348.0,36,False,,285.0,xonsh,,1034.0,861.0,https://pypi.org/project/xonsh,2025-06-24 19:59:46.000,173.0,178733.0,178887.0,,,,1.0,,13775.0,-1.0,,,,,,,,,,,,,,,,,
54,pyinstrument,joerick/pyinstrument,profiling,Call stack profiler for Python. Shows you why your code is slow!.,,https://github.com/joerick/pyinstrument,https://github.com/joerick/pyinstrument,BSD-3-Clause,2014-03-13 17:53:13.000,2025-09-22 22:02:02.000,2025-08-26 15:37:32,1180.0,30.0,247.0,51.0,211.0,156.0,7361.0,2025-08-12 11:34:20.000,5.1.1,54.0,70.0,36,True,,28.0,pyinstrument,conda-forge/pyinstrument,3941.0,3728.0,https://pypi.org/project/pyinstrument,2025-08-12 11:34:20.000,213.0,4360637.0,4374824.0,https://anaconda.org/conda-forge/pyinstrument,2025-08-27 16:40:28.338,865455.0,2.0,,,,,,,,,,,,,,,,,,,,
55,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme from Read the Docs.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2025-09-14 07:56:58.802,2025-02-20 10:22:56,1507.0,,1766.0,171.0,757.0,669.0,4963.0,2024-11-13 11:06:02.000,3.0.2,61.0,118.0,36,True,,251.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,13229.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2024-11-13 11:06:02.000,13213.0,10374971.0,10447712.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2025-09-14 07:56:58.802,4582718.0,2.0,['sphinx'],,,,,,,,,,,,,,,,,,,
56,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2025-09-08 12:24:17.000,2025-01-14 14:39:50,2956.0,,289.0,71.0,267.0,392.0,4643.0,2025-01-14 14:46:15.000,2.3.2,82.0,64.0,36,True,,124.0,autopep8,conda-forge/autopep8,230805.0,229118.0,https://pypi.org/project/autopep8,2025-01-14 14:46:15.000,1687.0,7198490.0,7232555.0,https://anaconda.org/conda-forge/autopep8,2025-04-22 14:56:24.132,2146130.0,3.0,,,,,,,,,,,,,,,,,,,,
57,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2025-08-09 16:48:18.000,2025-06-15 22:37:24,3706.0,,380.0,94.0,266.0,401.0,4623.0,2023-07-12 18:05:35.085,2.2.0,65.0,60.0,36,True,,436.0,invoke,conda-forge/invoke,31684.0,30679.0,https://pypi.org/project/invoke,2023-07-12 18:05:35.085,1005.0,45237834.0,45261361.0,https://anaconda.org/conda-forge/invoke,2025-04-22 14:56:22.672,1317534.0,2.0,,,,,,,,,,,,,,,,,,,,
