,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-08-03 10:23:03.000,2023-08-02 20:23:23,13977.0,172.0,2772.0,311.0,5256.0,925.0,5963.0,8880.0,,,65.0,740.0,44,True,,pip,conda-forge/pip,,146816.0,146816.0,https://pypi.org/project/pip,168617669.0,170801651.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,85175311.0,1.0,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-08-03 12:02:45.000,2023-08-02 15:15:39,20221.0,120.0,1962.0,147.0,4973.0,1253.0,5362.0,5537.0,2023-08-02 02:06:06.000,7.1.2,191.0,796.0,44,True,,sphinx,conda-forge/sphinx,['sphinx'],381713.0,319777.0,https://pypi.org/project/sphinx,10094284.0,10299227.0,https://anaconda.org/conda-forge/sphinx,2023-08-02 05:53:08.440,7992814.0,1.0,,2023-08-02 02:06:06.000,61936.0,,,,,,,,,,,,,,,,
12,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-08-03 13:50:56.000,2023-08-03 13:50:31,5959.0,24.0,1299.0,238.0,640.0,240.0,1398.0,9444.0,,,37.0,198.0,43,True,,psutil,conda-forge/psutil,,344734.0,344734.0,https://pypi.org/project/psutil,67691406.0,67965868.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,24152674.0,1.0,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-07-30 02:21:11.000,2023-03-03 21:07:28,1940.0,,1286.0,214.0,517.0,450.0,570.0,25386.0,2023-03-03 21:28:29.000,4.65.0,131.0,112.0,42,True,,tqdm,conda-forge/tqdm,,544788.0,518439.0,https://pypi.org/project/tqdm,57433535.0,57687695.0,https://anaconda.org/conda-forge/tqdm,2023-06-16 13:21:11.775,21842240.0,1.0,11828.0,2023-03-03 21:19:01.523,26349.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-06-10 01:47:30.999281,2.0,4107.0,,,,,,,,,,,
14,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-08-02 15:49:46.651,2023-08-02 14:51:14,1947.0,99.0,2204.0,229.0,1167.0,106.0,1731.0,16837.0,2023-08-02 14:54:19.000,1.5.2,28.0,242.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],47351.0,47351.0,https://pypi.org/project/mkdocs,2024219.0,2034861.0,https://anaconda.org/conda-forge/mkdocs,2023-08-02 15:49:46.651,276700.0,1.0,,,,,,,,,,,,,,,,,,,
15,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-08-03 13:32:43.000,2023-08-03 02:11:13,4424.0,1251.0,515.0,63.0,3867.0,381.0,1954.0,16582.0,2023-08-01 14:57:06.000,0.0.282,256.0,238.0,42,True,astral-sh/ruff,ruff,conda-forge/ruff,,13121.0,12279.0,https://pypi.org/project/ruff,3809582.0,3847224.0,https://anaconda.org/conda-forge/ruff,2023-07-22 10:42:17.044,290771.0,1.0,42685.0,2023-08-01 13:55:27.000,842.0,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-08-01 16:17:33.000,2023-08-01 16:17:31,2567.0,48.0,732.0,89.0,1107.0,23.0,1788.0,10722.0,2023-06-13 23:12:35.000,3.3.3,185.0,151.0,42,True,,pre-commit,conda-forge/pre-commit,,147457.0,142443.0,https://pypi.org/project/pre-commit,11547947.0,11663585.0,https://anaconda.org/conda-forge/pre-commit,2023-06-14 13:24:44.334,3453961.0,1.0,546877.0,2023-06-13 23:12:05.310,5014.0,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-08-03 11:57:17.000,2023-08-01 17:48:09,8896.0,176.0,1893.0,234.0,2205.0,275.0,4686.0,10504.0,2023-07-20 15:43:36.406,1.5.1,54.0,456.0,42,True,,pyinstaller,conda-forge/pyinstaller,,46789.0,46491.0,https://pypi.org/project/pyinstaller,1414619.0,1436129.0,https://anaconda.org/conda-forge/pyinstaller,2023-06-26 15:53:40.337,473936.0,1.0,740420.0,2023-06-24 23:22:29.345,298.0,,,,,,,,,,,,,,,,
18,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-08-02 00:10:25.000,2023-07-28 19:27:52,14131.0,106.0,2104.0,476.0,669.0,264.0,3897.0,8242.0,2023-07-28 19:29:00.000,6.1.1,72.0,186.0,42,True,,robotframework,conda-forge/robotframework,,8116.0,8116.0,https://pypi.org/project/robotframework,1617658.0,1622549.0,https://anaconda.org/conda-forge/robotframework,2023-07-28 20:32:29.432,141701.0,1.0,551.0,,,,,,,,,,,,,,,,,,
19,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-08-03 13:50:21.000,2023-08-02 15:10:38,8758.0,135.0,1023.0,76.0,3854.0,751.0,4308.0,4774.0,2023-07-26 09:54:27.000,2.17.5,175.0,532.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,397192.0,374652.0,https://pypi.org/project/pylint,15364685.0,15479412.0,https://anaconda.org/conda-forge/pylint,2023-07-26 12:44:25.216,4359628.0,1.0,,2023-07-26 09:54:27.000,22540.0,,,,,,,,,,,,,,,,
20,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-08-01 17:28:23.000,2023-08-01 12:05:13,5377.0,144.0,2921.0,118.0,2449.0,24.0,1912.0,14734.0,2023-07-27 17:58:55.000,9.1.21,164.0,219.0,41,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],35119.0,35119.0,https://pypi.org/project/mkdocs-material,2581066.0,2588505.0,https://anaconda.org/conda-forge/mkdocs-material,2023-07-28 21:42:45.191,290159.0,1.0,,,,,,,,,,,,,,,,,,,
21,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-07-28 04:20:28.000,2023-07-28 04:20:21,1301.0,42.0,900.0,216.0,321.0,363.0,439.0,13337.0,2023-06-20 05:44:07.767,0.40.1,73.0,149.0,41,True,,yapf,conda-forge/yapf,,83057.0,80810.0,https://pypi.org/project/yapf,4135363.0,4190048.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1531193.0,2.0,,2023-06-20 05:44:07.767,2247.0,,,,,,,,,,,,,,,,
22,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2023-08-03 13:41:06.000,2023-08-02 11:29:25,16440.0,132.0,1326.0,196.0,3749.0,675.0,8471.0,5629.0,2023-07-27 18:56:43.000,23.7.2,100.0,435.0,41,False,,conda,conda-forge/conda,,42189.0,42189.0,https://pypi.org/project/conda,93218.0,1249384.0,https://anaconda.org/conda-forge/conda,2023-07-28 14:19:49.232,45090506.0,1.0,,,,,,,,,,,,,,,,,,,
23,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-08-01 13:39:11.480,2023-07-28 22:57:34,8386.0,34.0,503.0,113.0,583.0,47.0,1317.0,5473.0,2023-07-28 23:12:48.000,0.19.0,33.0,165.0,41,True,,jedi,conda-forge/jedi,,337413.0,328991.0,https://pypi.org/project/jedi,21893745.0,22356158.0,https://anaconda.org/conda-forge/jedi,2023-08-01 13:39:11.480,17571719.0,1.0,,2023-07-28 23:12:48.000,8422.0,,,,,,,,,,,,,,,,
24,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-08-01 13:37:23.000,2023-08-01 13:37:22,2407.0,35.0,293.0,39.0,332.0,26.0,1497.0,2934.0,2023-07-29 19:05:02.000,6.1.0,88.0,172.0,41,True,,flake8,conda-forge/flake8,,521327.0,476981.0,https://pypi.org/project/flake8,20335742.0,20502197.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6491766.0,1.0,,2023-07-29 19:05:02.000,44346.0,,,,,,,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-07-26 10:21:54.000,2023-07-26 10:21:53,4096.0,16.0,541.0,48.0,936.0,178.0,1062.0,5950.0,2023-01-31 16:31:31.154,5.8.0,143.0,286.0,40,True,,isort,conda-forge/isort,,421025.0,403979.0,https://pypi.org/project/isort,26237659.0,26297467.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5083755.0,2.0,,2023-01-31 16:31:31.154,17046.0,,,,,,,,,,,,,,,,
26,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-08-01 01:35:44.000,2023-08-01 01:35:43,707.0,28.0,936.0,170.0,1288.0,21.0,1273.0,4512.0,2023-07-24 14:48:39.000,20.24.2,61.0,105.0,40,True,,virtualenv,conda-forge/virtualenv,,295159.0,295159.0,https://pypi.org/project/virtualenv,74095136.0,74240327.0,https://anaconda.org/conda-forge/virtualenv,2023-07-25 08:24:07.868,4936494.0,2.0,,,,,,,,,,,,,,,,,,,
27,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-08-03 09:50:14.000,2023-08-03 09:50:14,1997.0,112.0,585.0,100.0,940.0,147.0,843.0,6983.0,2023-08-02 23:44:23.000,7.2.0,118.0,198.0,39,True,,pip-tools,conda-forge/pip-tools,,24080.0,21689.0,https://pypi.org/project/pip-tools,9346426.0,9349155.0,https://anaconda.org/conda-forge/pip-tools,2023-08-03 02:08:42.849,106469.0,2.0,,2023-08-02 23:44:23.000,2391.0,,,,,,,,,,,,,,,,
28,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-08-03 08:37:39.000,2023-07-20 03:13:04,13173.0,225.0,536.0,70.0,2287.0,43.0,1374.0,6814.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,690.0,314.0,39,False,,hypothesis,conda-forge/hypothesis,,21781.0,21781.0,https://pypi.org/project/hypothesis,5875362.0,6079398.0,https://anaconda.org/conda-forge/hypothesis,2023-07-20 05:26:17.355,7957438.0,1.0,,,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-08-03 13:54:34.000,2023-08-01 14:40:52,1870.0,139.0,397.0,68.0,1280.0,180.0,804.0,1583.0,2023-08-01 14:40:36.000,1.29.2,197.0,183.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,47658.0,47297.0,https://pypi.org/project/sentry-sdk,17364446.0,17378875.0,https://anaconda.org/conda-forge/sentry-sdk,2023-08-01 17:08:22.065,545213.0,1.0,3211.0,2023-08-01 14:40:22.000,361.0,,,,,,,,,,,,,,,,
30,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-07-24 19:27:57.000,2023-07-24 19:27:57,1316.0,10.0,540.0,67.0,384.0,194.0,452.0,5353.0,2023-03-10 01:08:04.773,1.7.5,36.0,170.0,38,True,,bandit,conda-forge/bandit,,44848.0,43123.0,https://pypi.org/project/bandit,3398850.0,3403834.0,https://anaconda.org/conda-forge/bandit,2023-06-16 16:15:12.910,253618.0,1.0,720.0,2023-03-10 01:08:04.773,1725.0,,,,,,,,,,,,,,,,
31,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-07-31 16:51:18.000,2023-07-31 16:51:18,620.0,32.0,464.0,43.0,1326.0,67.0,1558.0,3321.0,2023-07-06 16:03:29.000,4.6.4,80.0,56.0,38,True,,tox,conda-forge/tox,['pytest'],102886.0,102886.0,https://pypi.org/project/tox,12103728.0,12123048.0,https://anaconda.org/conda-forge/tox,2023-07-06 18:48:59.217,753485.0,1.0,,,,,,,,,,,,,,,,,,,
32,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-08-01 14:12:31.000,2023-07-30 20:37:12,726.0,12.0,626.0,132.0,124.0,109.0,697.0,15519.0,2023-04-10 09:14:19.000,0.7.0,19.0,45.0,37,True,,loguru,conda-forge/loguru,,58596.0,58596.0,https://pypi.org/project/loguru,6775056.0,6802868.0,https://anaconda.org/conda-forge/loguru,2023-06-16 16:13:46.735,1501849.0,2.0,,,,,,,,,,,,,,,,,,,
33,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-08-03 01:30:41.000,2023-08-03 01:30:37,6425.0,351.0,1094.0,109.0,706.0,9.0,4304.0,10674.0,2023-08-02 02:46:01.000,1.1.320,404.0,97.0,37,True,,,,,579.0,568.0,,,607957.0,,,,2.0,686.0,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-08-02 02:37:58.491,11.0,607919.0,,,,,,
34,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-08-03 14:15:50.000,2023-08-01 11:50:17,11245.0,480.0,496.0,127.0,318.0,129.0,1787.0,9428.0,,,178.0,149.0,37,True,,nuitka,conda-forge/nuitka,,1358.0,1358.0,https://pypi.org/project/nuitka,67204.0,81477.0,https://anaconda.org/conda-forge/nuitka,2023-08-02 11:27:58.036,556654.0,1.0,,,,,,,,,,,,,,,,,,,
35,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-08-03 11:12:55.000,2023-06-07 13:27:05,1454.0,7.0,1751.0,164.0,681.0,245.0,605.0,4427.0,2023-06-07 13:31:28.096,1.2.2,45.0,115.0,37,True,,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],7007.0,16.0,https://pypi.org/project/sphinx_rtd_theme,4403445.0,4444804.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-06-09 10:27:20.086,3474227.0,2.0,,2023-06-07 13:31:28.096,6991.0,,,,,,,,,,,6.0,,,,,
36,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-08-03 12:18:58.000,2023-03-19 12:05:58,2819.0,,292.0,72.0,221.0,115.0,357.0,4394.0,2023-03-03 09:23:05.483,2.0.2,73.0,57.0,37,True,,autopep8,conda-forge/autopep8,,191645.0,185795.0,https://pypi.org/project/autopep8,3270087.0,3284373.0,https://anaconda.org/conda-forge/autopep8,2023-06-16 13:17:55.073,1228607.0,3.0,,2023-03-03 09:23:05.483,5850.0,,,,,,,,,,,,,,,,
37,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-07-26 18:04:34.000,2023-07-26 18:04:34,653.0,10.0,228.0,28.0,382.0,74.0,256.0,513.0,2023-04-12 16:11:39.000,23.1,42.0,91.0,37,True,,packaging,conda-forge/packaging,,827786.0,808810.0,https://pypi.org/project/packaging,159429800.0,159851545.0,https://anaconda.org/conda-forge/packaging,2023-06-16 13:17:40.629,36268802.0,1.0,733.0,2023-04-12 16:13:15.470,18976.0,,,,,,,,,,,,,,,,
38,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-08-02 13:50:12.000,2023-08-01 07:55:10,880.0,19.0,137.0,30.0,182.0,34.0,337.0,432.0,2023-07-22 11:01:55.000,0.41.0,73.0,71.0,37,True,,wheel,conda-forge/wheel,,257759.0,221145.0,https://pypi.org/project/wheel,198545890.0,200522304.0,https://anaconda.org/conda-forge/wheel,2023-07-22 13:25:44.592,71150924.0,1.0,,2023-07-22 11:01:55.000,36614.0,,,,,,,,,,,,,,,,
39,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-08-03 04:53:28.000,2023-08-03 04:53:27,2922.0,90.0,1968.0,185.0,2465.0,543.0,4580.0,25963.0,2023-05-29 16:05:27.000,1.5.1,100.0,473.0,36,True,,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,16725051.0,16983090.0,https://anaconda.org/conda-forge/poetry,2023-06-16 16:11:52.688,950732.0,2.0,15205707.0,,,,,,,,,,,,,,,,,,
40,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,,2011-12-04 08:49:15.000,2023-08-03 11:34:42.000,2023-07-25 14:05:51,5130.0,269.0,1373.0,498.0,739.0,204.0,1476.0,23231.0,2023-05-18 15:52:21.000,3.4.0.2,34.0,175.0,36,False,,glances,conda-forge/glances,,695.0,695.0,https://pypi.org/project/glances,164851.0,167144.0,https://anaconda.org/conda-forge/glances,2023-06-05 20:53:05.651,202765.0,1.0,1464.0,,,,,,,,,,,,,,,,,,
41,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-08-03 12:40:53.000,2023-08-03 12:40:53,23855.0,240.0,1626.0,202.0,5451.0,686.0,815.0,5066.0,2023-04-17 01:43:00.835,3.8.0,122.0,843.0,36,True,,buildbot,conda-forge/buildbot,,786.0,329.0,https://pypi.org/project/buildbot,31782.0,34043.0,https://anaconda.org/conda-forge/buildbot,2023-06-16 16:16:17.417,85693.0,2.0,31950.0,2022-03-06 14:20:53.000,457.0,,,,,,,,,,,,,,,,
42,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2023-08-02 06:38:52.000,2023-08-02 06:38:49,2244.0,55.0,370.0,29.0,1641.0,99.0,960.0,2255.0,2023-05-31 14:30:27.000,0.18.0,55.0,181.0,36,True,,wemake-python-styleguide,,,15042.0,15042.0,https://pypi.org/project/wemake-python-styleguide,285724.0,285724.0,,,,1.0,,,,,,,,,,,,,,,,,,,
