,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,new_addition,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads
24,numpydoc,https://github.com/numpy/numpydoc,,Numpy's Sphinx extensions.,documentation,32,True,numpy/numpydoc,https://github.com/numpy/numpydoc,BSD-3-Clause,2013-07-24 16:23:39.000,2021-01-09 19:44:01.000,2021-01-09 19:43:59.000,15938.0,2020-07-01 21:59:00.000,1.1.0,13.0,conda-forge/numpydoc,['sphinx'],numpydoc,5157.0,49.0,90.0,431.0,30278.0,22930.0,64.0,https://pypi.org/project/numpydoc,2020-07-01 21:59:00.000,7348.0,147233.0,161740.0,https://anaconda.org/conda-forge/numpydoc,2020-10-01 19:37:54.384,696356.0,2.0,,,,,,,,,
25,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,A Material Design theme for MkDocs.,documentation,32,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2021-01-12 16:16:32.000,2021-01-12 16:14:50.000,5339.0,2021-01-09 12:46:07.000,6.2.4,178.0,conda-forge/mkdocs-material,['mkdocs'],mkdocs-material,1338.0,10.0,883.0,2943.0,6477.0,4975.0,97.0,https://pypi.org/project/mkdocs-material,2020-12-27 10:44:37.000,1502.0,220160.0,221314.0,https://anaconda.org/conda-forge/mkdocs-material,2021-01-09 20:54:19.407,23097.0,2.0,,,,,,,,,
26,conda,https://github.com/conda/conda,,"OS-agnostic, system-level binary package manager and ecosystem.",dependency-managers,32,True,conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2021-01-09 11:33:05.000,2021-01-07 16:16:50.000,3969.0,2020-11-12 17:08:48.000,4.9.2,100.0,conda-forge/conda,,conda,980.0,1761.0,5968.0,15584.0,2104.0,,346.0,https://pypi.org/project/conda,2017-04-22 23:38:35.000,2104.0,20915.0,306739.0,https://anaconda.org/conda-forge/conda,2020-11-12 21:09:02.264,15148677.0,2.0,,,,,,,,,
27,virtualenv,https://github.com/pypa/virtualenv,,Virtual Python Environment builder.,virtual-envs,32,True,pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2021-01-12 11:24:13.000,2021-01-12 10:04:54.000,3792.0,2020-12-07 11:48:42.000,20.2.2,152.0,conda-forge/virtualenv,,virtualenv,878.0,51.0,1052.0,,34422.0,,171.0,https://pypi.org/project/virtualenv,2020-12-07 11:48:42.000,34422.0,7536020.0,7548089.0,https://anaconda.org/conda-forge/virtualenv,2021-01-10 15:01:56.816,555190.0,2.0,,,,,,,,,
28,invoke,https://github.com/pyinvoke/invoke,,Pythonic task management & command execution.,build-tools,32,True,pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2021-01-06 14:58:41.830,2020-12-31 16:25:35.000,3128.0,2020-12-31 02:43:43.000,1.5.0,50.0,conda-forge/invoke,,invoke,278.0,299.0,354.0,3499.0,11305.0,6703.0,54.0,https://pypi.org/project/invoke,2020-12-31 02:43:43.000,4602.0,664067.0,667943.0,https://anaconda.org/conda-forge/invoke,2021-01-06 14:58:41.830,220980.0,1.0,,,,,,,,,
29,bandit,https://github.com/PyCQA/bandit,,Bandit is a tool designed to find common security issues in Python code.,security,32,True,PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2021-01-12 14:55:17.000,2020-12-27 05:15:35.000,2907.0,2020-12-13 02:48:28.000,1.7.0,31.0,conda-forge/bandit,,bandit,298.0,162.0,362.0,1165.0,7948.0,5594.0,130.0,https://pypi.org/project/bandit,2020-12-13 02:48:28.000,2354.0,542823.0,544837.0,https://anaconda.org/conda-forge/bandit,2020-10-11 11:23:21.028,40299.0,1.0,4.0,,,,,,,,
30,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,32,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2021-01-12 13:58:08.000,2021-01-12 13:58:03.000,941.0,2020-08-14 17:21:19.000,2.10.1,38.0,conda-forge/pytest-cov,['pytest'],pytest-cov,134.0,91.0,186.0,791.0,118921.0,75527.0,62.0,https://pypi.org/project/pytest-cov,2020-08-14 17:21:19.000,43394.0,3917071.0,3951068.0,https://anaconda.org/conda-forge/pytest-cov,2020-08-14 18:57:30.679,1971859.0,2.0,,,,,,,,,
31,parso,https://github.com/davidhalter/parso,,A Python Parser.,linters,32,True,davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000,2021-01-03 20:12:01.000,2021-01-03 20:12:00.000,366.0,2020-12-10 15:10:14.000,0.8.1,24.0,conda-forge/parso,,parso,62.0,7.0,79.0,1063.0,114659.0,103295.0,36.0,https://pypi.org/project/parso,2020-12-10 15:10:14.000,11364.0,10125502.0,10205471.0,https://anaconda.org/conda-forge/parso,2020-12-10 16:40:55.258,2958881.0,1.0,,,,,,,,,
32,wheel,https://github.com/pypa/wheel,,The official binary distribution format for Python.,build-tools,32,True,pypa/wheel,https://github.com/pypa/wheel,MIT,2016-07-16 23:19:28.580,2021-01-04 19:45:07.000,2021-01-04 19:44:54.000,225.0,2020-12-13 18:09:07.000,0.36.2,64.0,conda-forge/wheel,,wheel,84.0,20.0,286.0,727.0,62544.0,,60.0,https://pypi.org/project/wheel,2020-12-13 18:09:07.000,62544.0,47538506.0,47804440.0,https://anaconda.org/conda-forge/wheel,2020-12-13 19:48:16.429,14360470.0,1.0,,,,,,,,,
33,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,31,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2021-01-09 19:55:25.000,2021-01-06 13:10:09.000,13472.0,2020-10-23 20:54:00.000,1.1.4,132.0,conda-forge/poetry,,poetry,1057.0,972.0,1690.0,1667.0,64.0,,248.0,https://pypi.org/project/poetry,2020-10-23 20:54:00.000,64.0,860410.0,1000646.0,https://anaconda.org/conda-forge/poetry,2020-12-14 11:33:01.818,155736.0,2.0,4564413.0,,,,,,,,
34,loguru,https://github.com/Delgan/loguru,,Python logging made (stupidly) simple.,logging,31,True,Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2020-12-31 08:04:34.000,2020-12-19 16:17:53.000,7866.0,2020-09-20 07:56:32.000,0.5.3,17.0,conda-forge/loguru,,loguru,352.0,33.0,300.0,545.0,5134.0,4792.0,28.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,342.0,580461.0,584222.0,https://anaconda.org/conda-forge/loguru,2020-10-10 00:51:36.057,86520.0,1.0,,,,,,,,,
35,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,packaging,31,True,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2021-01-12 20:14:17.000,2021-01-12 20:14:15.000,7566.0,2020-11-18 13:20:25.000,4.1,26.0,conda-forge/pyinstaller,,pyinstaller,1533.0,460.0,3490.0,7607.0,13668.0,13668.0,388.0,https://pypi.org/project/pyinstaller,2020-11-18 13:19:30.000,0.0,278151.0,289129.0,https://anaconda.org/conda-forge/pyinstaller,2020-11-18 19:08:25.369,185778.0,1.0,663344.0,,,,,,,,
