,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
195,flake8-import-order,PyCQA/flake8-import-order,linters,Flake8 plugin that checks import order against various Python Style Guides.,,https://github.com/PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000,2023-09-13 20:26:49.000,2023-09-13 20:26:49,293.0,1.0,71.0,10.0,101.0,12.0,90.0,276.0,2022-11-26 20:15:35.517,0.18.2,35.0,46.0,24,True,,flake8-import-order,conda-forge/flake8-import-order,['flake8'],1255.0,,https://pypi.org/project/flake8-import-order,2022-11-26 20:15:35.517,1255.0,438242.0,441139.0,https://anaconda.org/conda-forge/flake8-import-order,2023-06-16 13:24:07.930,243409.0,3.0,,,,,,,,,,,,,,,,,,,
196,xdoctest,Erotemic/xdoctest,testing,A rewrite of Pythons builtin doctest module (with pytest plugin integration) with AST instead of REGEX.,,https://github.com/Erotemic/xdoctest,https://github.com/Erotemic/xdoctest,Apache-2.0,2017-09-24 01:59:02.000,2023-11-04 20:51:43.000,2023-10-26 00:20:56,853.0,22.0,10.0,5.0,105.0,19.0,27.0,195.0,2023-10-26 00:45:49.000,1.1.2,68.0,9.0,24,True,,xdoctest,conda-forge/xdoctest,,114.0,,https://pypi.org/project/xdoctest,2023-10-26 00:45:49.000,114.0,153061.0,158046.0,https://anaconda.org/conda-forge/xdoctest,2023-10-26 04:48:19.232,194435.0,3.0,,,,,,,,,,,,,,,,,,,conda-forge/xdoctest
197,releases,bitprophet/releases,documentation,A powerful Sphinx changelog-generating extension.,,https://github.com/bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2023-09-24 00:06:12.000,2023-09-24 00:06:10,594.0,3.0,41.0,7.0,27.0,30.0,46.0,174.0,2023-04-28 19:14:01.551,2.1.1,37.0,10.0,24,True,,releases,conda-forge/sphinx-releases,['sphinx'],982.0,608.0,https://pypi.org/project/releases,2023-04-28 19:14:01.551,374.0,16116.0,16873.0,https://anaconda.org/conda-forge/sphinx-releases,2023-06-16 16:08:54.259,49964.0,3.0,,,,,,,,,,,,,,,,,,,
198,pytkdocs,mkdocstrings/pytkdocs,documentation,Load Python objects documentation.,,https://github.com/mkdocstrings/pytkdocs,https://github.com/mkdocstrings/pytkdocs,ISC,2020-02-04 21:18:34.000,2023-06-16 19:23:18.580,2022-03-07 18:48:36,240.0,,33.0,3.0,45.0,21.0,80.0,48.0,2022-03-07 18:50:03.302,0.16.1,26.0,23.0,24,False,,pytkdocs,conda-forge/pytkdocs,,1344.0,1333.0,https://pypi.org/project/pytkdocs,2022-03-07 18:50:03.302,11.0,72158.0,74796.0,https://anaconda.org/conda-forge/pytkdocs,2023-06-16 19:23:18.580,97620.0,3.0,,,,,,,,,,,,,,,,,,,
199,xxh,xxh/xxh,shell,"Bring your favorite shell wherever you go through the ssh. Xonsh shell, fish, zsh, osquery and so on.",,https://github.com/xxh/xxh,https://github.com/xxh/xxh,BSD-2-Clause,2019-11-03 12:04:13.000,2023-11-05 13:14:04.000,2023-11-05 13:14:04,772.0,4.0,95.0,43.0,58.0,21.0,62.0,4724.0,2022-09-29 10:20:01.217,0.8.12,89.0,26.0,23,True,,xxh-xxh,,,79.0,79.0,https://pypi.org/project/xxh-xxh,2022-09-29 10:20:01.217,,182.0,226.0,,,,3.0,1980.0,,,,,,,,,,,,,,,,,,
200,vprof,nvdv/vprof,profiling,Visual profiler for Python.,,https://github.com/nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000,2022-07-15 07:43:03.000,2022-07-15 07:43:03,620.0,,170.0,71.0,32.0,29.0,57.0,3934.0,2018-06-24 14:16:36.000,0.37.6,24.0,17.0,23,False,,vprof,,,132.0,116.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000,16.0,3610.0,3610.0,,,,3.0,,,,,,,,,,,,,,,,,,,
201,pyt,python-security/pyt,security,A Static Analysis Tool for Detecting Security Vulnerabilities in Python Web Applications.,,https://github.com/python-security/pyt,https://github.com/python-security/pyt,GPL-2.0,2016-10-26 15:34:48.000,2020-12-25 03:47:37.000,2020-03-08 21:43:06,1576.0,,232.0,69.0,116.0,22.0,78.0,2155.0,2018-11-01 16:02:57.000,0.42,15.0,22.0,23,False,,python-taint,,,105.0,93.0,https://pypi.org/project/python-taint,2018-11-01 16:02:04.000,12.0,3526.0,3527.0,,,,3.0,116.0,,,,,,,,,,,,,,,,,,
202,pynsist,takluyver/pynsist,packaging,Build Windows installers for Python applications.,,https://github.com/takluyver/pynsist,https://github.com/takluyver/pynsist,MIT,2014-03-30 19:11:21.000,2022-11-04 09:45:28.000,2022-04-21 14:15:55,556.0,,124.0,33.0,90.0,32.0,144.0,855.0,2020-07-03 08:11:24.000,2.5.1,22.0,30.0,23,False,,pynsist,,,255.0,205.0,https://pypi.org/project/pynsist,2022-03-21 11:44:22.000,50.0,1623.0,1623.0,,,,3.0,,,,,,,,,,,,,,,,,,,
203,portray,timothycrosley/portray,documentation,Your Project with Great Documentation.,,https://github.com/timothycrosley/portray,https://github.com/timothycrosley/portray,MIT,2019-08-21 05:14:04.000,2023-09-19 11:00:56.000,2023-01-03 00:40:56,266.0,,73.0,17.0,43.0,32.0,32.0,853.0,2022-12-19 09:01:00.611,1.8.0,29.0,20.0,23,True,,portray,,,830.0,809.0,https://pypi.org/project/portray,2022-12-19 09:01:00.611,21.0,10030.0,10030.0,,,,3.0,,,,,,,,,,,,,,,,,,,
204,pycco,pycco-docs/pycco,documentation,Literate-style documentation generator.,,https://github.com/pycco-docs/pycco,https://github.com/pycco-docs/pycco,MIT,2010-06-29 07:02:31.000,2023-06-12 20:15:00.000,2019-12-20 19:59:49,222.0,,149.0,16.0,66.0,32.0,28.0,837.0,2018-07-25 01:44:55.232,0.6.0,11.0,36.0,23,False,,pycco,,,435.0,320.0,https://pypi.org/project/pycco,2016-06-04 18:49:28.000,115.0,2291.0,2291.0,,,,3.0,,,,,,,,,,,,,,,,,,,
205,pytest-plugins,man-group/pytest-plugins,testing,A grab-bag of nifty pytest plugins.,,https://github.com/man-group/pytest-plugins,https://github.com/man-group/pytest-plugins,MIT,2015-08-14 07:52:32.000,2023-08-30 11:53:48.000,2022-11-03 10:04:57,807.0,,77.0,23.0,116.0,55.0,58.0,531.0,2019-05-28 06:37:19.000,1.7.0,12.0,62.0,23,True,,pytest-virtualenv,conda-forge/pytest-shutil,,76.0,,https://pypi.org/project/pytest-virtualenv,2019-05-28 06:37:19.000,76.0,49458.0,50395.0,https://anaconda.org/conda-forge/pytest-shutil,2023-06-16 16:13:53.097,60001.0,3.0,,,,,,,,,,,,,,,,,,,
206,pytest-docker,avast/pytest-docker,testing,Docker-based integration tests.,,https://github.com/avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000,2023-11-15 10:32:32.000,2023-09-01 07:48:02,73.0,,61.0,8.0,58.0,19.0,34.0,363.0,2023-09-01 07:51:04.000,2.0.1,22.0,18.0,23,True,,pytest-docker,,['pytest'],45.0,,https://pypi.org/project/pytest-docker,2023-09-01 07:48:54.000,45.0,139711.0,139713.0,,,,3.0,132.0,,,,,,,,,,,,,,,,,,
207,add-trailing-comma,asottile/add-trailing-comma,refactoring,A tool (and pre-commit hook) to automatically add trailing commas to calls and literals.,,https://github.com/asottile/add-trailing-comma,https://github.com/asottile/add-trailing-comma,MIT,2017-07-10 00:55:50.000,2023-11-27 22:54:49.000,2023-11-27 22:54:48,475.0,20.0,22.0,6.0,205.0,,55.0,318.0,2023-08-30 17:27:37.000,3.1.0,41.0,11.0,23,True,,add-trailing-comma,,,22.0,,https://pypi.org/project/add-trailing-comma,2023-08-30 17:27:37.000,22.0,27930.0,27930.0,,,,3.0,,,,,,,,,,,,,,,,,,,
208,lazydocs,ml-tooling/lazydocs,documentation,Generate markdown API documentation from Google-style Python docstring. The lazy alternative to Sphinx.,,https://github.com/ml-tooling/lazydocs,https://github.com/ml-tooling/lazydocs,MIT,2020-11-10 00:31:46.000,2023-11-28 21:10:01.000,2023-06-11 00:08:52,155.0,,34.0,8.0,38.0,6.0,24.0,158.0,2021-07-27 09:00:22.000,0.4.8,18.0,10.0,23,True,,lazydocs,,,208.0,186.0,https://pypi.org/project/lazydocs,2021-07-27 08:05:42.000,22.0,9149.0,9149.0,,,,3.0,,,,,,,,,,,,,,,,,,,
209,pyenv-virtualenv,pyenv/pyenv-virtualenv,virtual-envs,a pyenv plugin to manage virtualenv (a.k.a. python-virtualenv).,,https://github.com/pyenv/pyenv-virtualenv,https://github.com/pyenv/pyenv-virtualenv,MIT,2013-02-18 12:59:17.000,2023-11-29 08:37:00.000,2023-11-29 08:37:00,504.0,1.0,375.0,74.0,133.0,106.0,227.0,5789.0,2023-07-30 13:52:49.000,1.2.2,10.0,59.0,22,True,,,,,21.0,21.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
