,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2025-07-21 22:54:40.000,2025-07-04 14:38:31,15097.0,87.0,2459.0,479.0,812.0,270.0,4427.0,10941.0,2025-07-04 14:43:52.000,7.3.2,145.0,217.0,39,True,,robotframework,conda-forge/robotframework,,572.0,4324.0,14608.0,13657.0,https://pypi.org/project/robotframework,2025-07-04 14:35:54.000,951.0,https://anaconda.org/conda-forge/robotframework,2025-07-07 01:12:14.679,228984.0,1.0,,,,,,,,,,,,,,,,,,
21,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2025-08-07 04:02:14.000,2025-08-07 04:02:13,16366.0,491.0,618.0,71.0,2796.0,78.0,1623.0,7978.0,2025-08-05 06:32:05.000,hypothesis-python-6.137.1,1413.0,351.0,39,True,,hypothesis,conda-forge/hypothesis,,,222746.0,37164.0,34455.0,https://pypi.org/project/hypothesis,2025-08-05 06:31:43.000,2709.0,https://anaconda.org/conda-forge/hypothesis,2025-08-05 16:17:20.565,14033017.0,1.0,,,,,,,,,,,,,,,,,,
22,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2025-06-24 10:28:21.000,2025-06-24 10:28:18,8467.0,9.0,514.0,113.0,615.0,85.0,1361.0,5986.0,2024-11-11 01:41:40.000,0.19.2,35.0,175.0,39,True,,jedi,conda-forge/jedi,,,518547.0,582510.0,581357.0,https://pypi.org/project/jedi,2024-11-11 01:41:40.000,1153.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,32149919.0,1.0,,,,,,,,,,,,,,,,,,
23,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2025-08-04 22:07:57.000,2025-08-04 22:07:56,2488.0,13.0,329.0,37.0,383.0,23.0,1578.0,3663.0,2025-06-20 19:31:34.000,7.3.0,94.0,178.0,39,True,,flake8,conda-forge/flake8,,,143130.0,688742.0,662208.0,https://pypi.org/project/flake8,2025-06-20 19:31:34.000,26534.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,9017205.0,1.0,,,,,,,,,,,,,,,,,,
24,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2025-05-22 12:10:29.000,2024-11-12 13:36:45,2019.0,,1393.0,212.0,583.0,565.0,587.0,30237.0,2024-11-27 19:23:27.000,4.67.1,142.0,129.0,38,True,,tqdm,conda-forge/tqdm,,14708.0,639912.0,1192704.0,1149235.0,https://pypi.org/project/tqdm,2024-11-24 20:12:19.000,43469.0,https://anaconda.org/conda-forge/tqdm,2025-04-22 14:56:23.993,39662401.0,1.0,,,,,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-12-14 01:39:50.951159,2.0,5167.0,,,,,,,,
25,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2025-08-07 07:50:32.000,2025-07-24 06:01:55,13793.0,221.0,710.0,140.0,467.0,202.0,2452.0,13606.0,2025-07-08 16:04:10.000,2.7.12,356.0,196.0,38,True,,nuitka,conda-forge/nuitka,,,31789.0,3497.0,3373.0,https://pypi.org/project/nuitka,2025-07-08 16:04:10.000,124.0,https://anaconda.org/conda-forge/nuitka,2025-07-09 04:52:13.623,2002740.0,1.0,,,,,,,,,,,,,,,,,,
26,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2025-08-05 05:55:56.120,2025-08-05 04:00:40,3602.0,16.0,2363.0,190.0,3174.0,585.0,5708.0,33694.0,2025-08-05 03:54:05.000,2.1.4,179.0,610.0,37,True,,poetry,conda-forge/poetry,,15548672.0,255296.0,846.0,,https://pypi.org/project/poetry,2025-08-05 03:54:05.000,846.0,https://anaconda.org/conda-forge/poetry,2025-08-05 05:55:56.120,4072105.0,2.0,,,,,,,,,,,,,,,,,,
27,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2025-08-06 02:13:20.000,2025-08-01 15:54:51,6444.0,199.0,1608.0,507.0,960.0,139.0,1926.0,29424.0,2025-07-09 15:40:39.000,4.3.3,124.0,205.0,37,True,,glances,conda-forge/glances,,1683.0,5831.0,1197.0,1193.0,https://pypi.org/project/glances,2025-07-09 15:40:39.000,4.0,https://anaconda.org/conda-forge/glances,2025-04-22 14:56:20.672,319994.0,1.0,,,,,,,,,,,,,,,,,,
28,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-08-03 20:02:22.000,2025-08-03 20:02:22,2116.0,1.0,2526.0,231.0,1331.0,121.0,1986.0,20854.0,2024-08-30 12:24:05.000,1.6.1,62.0,259.0,37,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],,10789.0,93869.0,87692.0,https://pypi.org/project/mkdocs,2024-08-30 12:24:05.000,6177.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,539495.0,1.0,,,,,,,,,,,,,,,,,,
29,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2025-06-19 23:11:07.000,2025-06-19 23:10:50,4332.0,3.0,599.0,46.0,1050.0,233.0,1115.0,6805.0,2025-02-26 21:15:25.000,6.0.1,148.0,315.0,37,True,,isort,conda-forge/isort,,,126571.0,573288.0,558301.0,https://pypi.org/project/isort,2025-02-26 21:13:14.000,14987.0,https://anaconda.org/conda-forge/isort,2025-05-02 12:53:46.732,7720851.0,2.0,,,,,,,,,,,,,,,,,,
