,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
20,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-06-26 20:38:53.000,2023-06-26 20:38:49,1295.0,71.0,902.0,216.0,319.0,369.0,439.0,13300.0,2023-06-20 05:44:07.767,0.40.1,73.0,148.0,41,True,,yapf,conda-forge/yapf,,81737.0,79501.0,https://pypi.org/project/yapf,3519247.0,3536818.0,https://anaconda.org/conda-forge/yapf,2023-06-16 13:17:36.752,1493557.0,2.0,2023-02-21 19:25:03.574,2236.0,,,,,,,,,,,,,,,,,
21,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-06-26 08:59:11.000,2023-06-13 22:23:17,14111.0,142.0,2095.0,479.0,666.0,261.0,3881.0,8167.0,2023-06-12 09:41:48.000,6.1,71.0,185.0,41,True,,robotframework,conda-forge/robotframework,,7975.0,7975.0,https://pypi.org/project/robotframework,1786931.0,1788986.0,https://anaconda.org/conda-forge/robotframework,2023-06-12 12:29:42.201,135344.0,1.0,,,551.0,,,,,,,,,,,,,,,,
22,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-07-04 00:06:48.000,2023-05-15 09:43:55,20121.0,71.0,1822.0,148.0,4936.0,1179.0,5324.0,5507.0,2023-05-12 21:51:49.000,7.0.1,99.0,783.0,41,False,,sphinx,conda-forge/sphinx,['sphinx'],314558.0,314558.0,https://pypi.org/project/sphinx,9235011.0,9329446.0,https://anaconda.org/conda-forge/sphinx,2023-06-16 13:24:32.093,7838186.0,1.0,,,,,,,,,-3.0,,,,,,,,,,
23,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-07-04 09:40:37.000,2023-07-03 23:17:52,690.0,28.0,1007.0,167.0,1274.0,80.0,1272.0,4493.0,2023-06-16 18:40:10.819,20.23.1,205.0,256.0,41,True,,virtualenv,conda-forge/virtualenv,,301703.0,283796.0,https://pypi.org/project/virtualenv,56973569.0,57117181.0,https://anaconda.org/conda-forge/virtualenv,2023-06-17 12:38:51.971,4739207.0,2.0,2020-08-17 15:24:34.000,17907.0,,,,,,,,,,,,,,,,,
24,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-07-06 13:41:21.000,2023-07-06 13:09:24,2906.0,116.0,1975.0,185.0,2447.0,609.0,4533.0,25640.0,2023-05-29 16:05:44.352,1.5.1,162.0,466.0,40,True,,poetry,conda-forge/poetry,,260.0,,https://pypi.org/project/poetry,12976146.0,13237279.0,https://anaconda.org/conda-forge/poetry,2023-06-16 16:11:52.688,921131.0,2.0,2022-06-06 21:41:00.000,260.0,15170477.0,,,,,,,,,,,,,,,,
25,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-06-22 08:44:16.000,2023-06-22 08:44:15,8366.0,20.0,498.0,114.0,583.0,55.0,1303.0,5452.0,2022-11-21 22:34:01.796,0.18.2,32.0,165.0,40,True,,jedi,conda-forge/jedi,,329230.0,320817.0,https://pypi.org/project/jedi,19396256.0,19607024.0,https://anaconda.org/conda-forge/jedi,2023-06-16 13:24:08.401,17072214.0,1.0,2021-11-17 00:47:47.000,8413.0,,,,,,,,,,,,,,,,,
26,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-07-04 12:05:24.000,2023-07-04 12:05:22,2386.0,20.0,284.0,37.0,321.0,27.0,1490.0,2897.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,40,True,,flake8,conda-forge/flake8,,514184.0,470213.0,https://pypi.org/project/flake8,19764268.0,19839188.0,https://anaconda.org/conda-forge/flake8,2023-06-16 13:25:30.103,6368210.0,1.0,2022-11-23 19:29:25.198,43971.0,,,,,,,,,,,,,,,,,
27,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-07-04 20:57:06.000,2023-07-04 20:57:05,1976.0,97.0,504.0,102.0,918.0,128.0,821.0,6934.0,2023-07-01 07:15:35.000,6.14.0,63.0,193.0,39,True,,pip-tools,conda-forge/pip-tools,,21124.0,21124.0,https://pypi.org/project/pip-tools,8198871.0,8201451.0,https://anaconda.org/conda-forge/pip-tools,2023-07-01 11:18:04.146,98066.0,2.0,,,,,,,,,,,,,,,,,,,
28,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-07-06 12:31:38.000,2023-07-05 04:43:16,13128.0,282.0,537.0,70.0,2278.0,42.0,1368.0,6776.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,685.0,314.0,39,False,,hypothesis,conda-forge/hypothesis,,21430.0,21430.0,https://pypi.org/project/hypothesis,5027377.0,5233750.0,https://anaconda.org/conda-forge/hypothesis,2023-06-28 03:34:23.640,7842195.0,1.0,,,,,,,,,,,,,,,,,,,
29,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-06-30 22:15:06.000,2023-06-29 17:31:49,4088.0,8.0,536.0,48.0,932.0,168.0,1062.0,5898.0,2023-01-31 16:31:31.154,5.8.0,143.0,284.0,39,True,,isort,conda-forge/isort,,414655.0,397838.0,https://pypi.org/project/isort,25562612.0,25621775.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,4969729.0,2.0,2019-03-10 06:01:35.000,16817.0,,,,,,,,,,,,,,,,,
