,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
153,wily,tonybaloney/wily,code-metrics,"A Python application for tracking, reporting on timing and complexity in Python code.",,https://github.com/tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000,2023-02-28 00:36:15.000,2023-02-28 00:36:09,816.0,14.0,56.0,24.0,84.0,58.0,1047.0,2023-02-22 04:00:16.000,1.24.1,50.0,23.0,26,True,30.0,wily,,,178.0,168.0,https://pypi.org/project/wily,2022-10-20 05:13:01.074,10.0,16838.0,16838.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
154,green,CleanCut/green,testing,"Green is a clean, colorful, fast python test runner.",,https://github.com/CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2022-10-30 14:19:59.665,2022-09-20 23:55:51,1073.0,,78.0,23.0,74.0,173.0,757.0,2022-09-21 00:00:55.818,3.4.3,145.0,38.0,26,True,5.0,green,conda-forge/green,,1186.0,975.0,https://pypi.org/project/green,2022-09-21 00:00:55.818,211.0,14582.0,16337.0,https://anaconda.org/conda-forge/green,2022-10-30 14:19:59.665,115846.0,3.0,,,,,,,,,,,,,,,,,,,,
155,sphinx-bootstrap-theme,ryan-roemer/sphinx-bootstrap-theme,documentation,Sphinx Bootstrap Theme.,,https://github.com/ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2022-02-28 16:14:56.000,2022-02-03 20:25:55,403.0,,207.0,24.0,95.0,83.0,587.0,2022-02-03 20:27:24.000,0.8.1,58.0,39.0,26,False,54.0,sphinx-bootstrap-theme,,['sphinx'],600.0,,https://pypi.org/project/sphinx-bootstrap-theme,2022-02-03 20:27:24.000,600.0,171292.0,171292.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
156,mypy-protobuf,dropbox/mypy-protobuf,linters,open source tools to generate mypy stubs from protobufs.,,https://github.com/nipunn1313/mypy-protobuf,https://github.com/nipunn1313/mypy-protobuf,Apache-2.0,2017-12-11 21:55:05.000,2023-03-09 09:00:59.000,2023-02-12 01:50:59,471.0,8.0,70.0,19.0,392.0,106.0,546.0,2022-10-20 06:20:02.477,3.4.0,40.0,35.0,26,True,8.0,mypy-protobuf,conda-forge/mypy-protobuf,,64.0,,https://pypi.org/project/mypy-protobuf,2022-10-20 06:20:02.477,64.0,1278353.0,1281411.0,https://anaconda.org/conda-forge/mypy-protobuf,2022-08-24 19:50:22.562,85640.0,3.0,,,,,,,,,,,,,nipunn1313/mypy-protobuf,,,,,,,
157,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2023-02-28 20:22:16.000,2023-02-28 09:06:00,542.0,27.0,26.0,4.0,476.0,49.0,489.0,2022-05-11 17:35:06.000,3.12.0,30.0,18.0,26,True,6.0,pytest-randomly,conda-forge/pytest-randomly,,239.0,,https://pypi.org/project/pytest-randomly,2022-05-11 17:35:06.000,239.0,691762.0,698197.0,https://anaconda.org/conda-forge/pytest-randomly,2022-05-12 01:12:32.731,109396.0,3.0,,,,,,,,,,,,,,,,,,,,
158,flake8-comprehensions,adamchainz/flake8-comprehensions,linters,A flake8 plugin to help you write better list/set/dict comprehensions.,,https://github.com/adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2023-02-28 09:05:57.000,2023-02-28 09:05:55,506.0,24.0,19.0,6.0,435.0,43.0,417.0,2022-10-29 23:12:51.523,3.10.1,34.0,14.0,26,True,9.0,flake8-comprehensions,conda-forge/flake8-comprehensions,['flake8'],578.0,,https://pypi.org/project/flake8-comprehensions,2022-10-29 23:12:51.523,578.0,969709.0,978846.0,https://anaconda.org/conda-forge/flake8-comprehensions,2022-11-01 17:51:32.037,694457.0,3.0,,,,,,,,,,,,,,,,,,,,
159,releases,bitprophet/releases,documentation,A powerful Sphinx changelog-generating extension.,,https://github.com/bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2023-02-25 00:03:37.000,2023-02-25 00:03:08,583.0,37.0,40.0,5.0,27.0,46.0,168.0,2023-02-25 00:02:59.343,2.1.0,35.0,10.0,26,True,28.0,releases,conda-forge/sphinx-releases,['sphinx'],916.0,548.0,https://pypi.org/project/releases,2023-01-02 18:25:53.338,368.0,14605.0,15427.0,https://anaconda.org/conda-forge/sphinx-releases,2021-10-19 17:29:57.242,47731.0,3.0,,,,,,,,,,,,,,,,,,,,
160,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/wemake-services/eradicate,https://github.com/wemake-services/eradicate,Saxpath,2012-12-23 04:39:48.000,2023-03-03 08:37:32.000,2023-03-02 07:12:43,177.0,5.0,23.0,4.0,22.0,16.0,164.0,2023-03-01 08:39:00.953,2.2.0,18.0,13.0,26,False,8.0,eradicate,conda-forge/eradicate,,12787.0,12693.0,https://pypi.org/project/eradicate,2022-04-06 09:47:11.000,94.0,502190.0,502392.0,https://anaconda.org/conda-forge/eradicate,2022-04-13 14:13:20.049,4666.0,2.0,,,,,,,,,,,,,wemake-services/eradicate,,,,,,,
161,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2023-02-06 18:15:16.000,2023-02-06 18:15:15,163.0,9.0,13.0,2.0,48.0,23.0,154.0,2022-12-20 09:31:01.407,0.3.6,20.0,10.0,26,True,6.0,flake8-black,conda-forge/flake8-black,['flake8'],6636.0,6443.0,https://pypi.org/project/flake8-black,2022-12-20 09:31:01.407,193.0,747619.0,756940.0,https://anaconda.org/conda-forge/flake8-black,2022-11-21 11:35:51.188,419449.0,3.0,,,,,,,,,,,,,,,,,,,,
162,flake8-builtins,gforcada/flake8-builtins,linters,Check for python builtins being used as variables or parameters.,,https://github.com/gforcada/flake8-builtins,https://github.com/gforcada/flake8-builtins,GPL-2.0,2016-03-02 00:26:51.000,2022-12-23 19:26:57.671,2022-12-22 23:43:03,285.0,12.0,21.0,3.0,57.0,42.0,102.0,2022-12-22 23:44:03.313,2.1.0,26.0,17.0,26,True,2.0,flake8-builtins,conda-forge/flake8-builtins,['flake8'],8967.0,8554.0,https://pypi.org/project/flake8-builtins,2022-12-22 23:44:03.313,413.0,725889.0,728372.0,https://anaconda.org/conda-forge/flake8-builtins,2022-12-23 19:26:57.671,188725.0,3.0,,,,,,,,,,,,,,,,,,,,
