,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
166,pytest-mypy,dbader/pytest-mypy,testing,Mypy static type checker plugin for Pytest.,,https://github.com/realpython/pytest-mypy,https://github.com/realpython/pytest-mypy,MIT,2016-09-29 14:39:23.000,2022-12-18 18:49:02.248,2022-12-18 18:44:36,259.0,,33.0,8.0,91.0,10.0,51.0,222.0,2022-12-18 18:49:02.248,0.10.3,23.0,16.0,26,True,pytest-mypy,conda-forge/pytest-mypy,['pytest'],3885.0,3457.0,https://pypi.org/project/pytest-mypy,2022-12-18 18:49:02.248,428.0,251181.0,252746.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,59498.0,3.0,,,,,,,,realpython/pytest-mypy,,,,,,,,,,,,
167,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/wemake-services/eradicate,https://github.com/wemake-services/eradicate,Saxpath,2012-12-23 04:39:48.000,2023-03-03 08:37:32.000,2023-03-02 07:12:43,177.0,3.0,23.0,4.0,22.0,8.0,16.0,176.0,2023-03-01 08:39:00.953,2.2.0,18.0,13.0,26,False,eradicate,conda-forge/eradicate,,13197.0,13103.0,https://pypi.org/project/eradicate,2022-04-06 09:47:11.000,94.0,611716.0,611940.0,https://anaconda.org/conda-forge/eradicate,2022-04-13 14:13:20.049,5386.0,2.0,,,,,,,,wemake-services/eradicate,,,,,,,,,,,,
168,releases,bitprophet/releases,documentation,A powerful Sphinx changelog-generating extension.,,https://github.com/bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2023-02-25 00:03:37.000,2023-02-25 00:03:08,583.0,13.0,40.0,5.0,27.0,28.0,46.0,169.0,2023-02-25 00:02:59.343,2.1.0,35.0,10.0,26,True,releases,conda-forge/sphinx-releases,['sphinx'],929.0,561.0,https://pypi.org/project/releases,2023-01-02 18:25:53.338,368.0,13202.0,14016.0,https://anaconda.org/conda-forge/sphinx-releases,2021-10-19 17:29:57.242,48052.0,3.0,,,,,,,,,,,,,,,,,,,,
169,better-exceptions,Qix-/better-exceptions,logging,"Pretty and useful exceptions in Python, automatically.",,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2023-03-23 11:09:43.000,2023-01-05 00:12:47,102.0,,204.0,71.0,56.0,30.0,46.0,4350.0,2021-01-29 16:48:55.000,0.3.3,16.0,17.0,25,True,better-exceptions,,,73.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000,73.0,99482.0,99482.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
170,dephell,dephell/dephell,dependency-managers,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",,https://github.com/dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000,2021-01-11 21:31:40.000,2021-01-11 21:31:39,2145.0,,118.0,25.0,221.0,107.0,161.0,1752.0,2020-04-28 06:31:17.000,.0.8.3,30.0,37.0,25,False,dephell,,,830.0,815.0,https://pypi.org/project/dephell,2020-04-28 06:29:24.000,15.0,3126.0,3130.0,,,,3.0,,206.0,,,,,,,,,,,,,,,,,,
171,stackprinter,cknd/stackprinter,logging,Debugging-friendly exceptions for Python.,,https://github.com/cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2023-02-20 18:24:13.000,2023-02-20 18:24:13,204.0,2.0,35.0,8.0,34.0,7.0,21.0,1215.0,2022-11-24 20:30:35.533,0.2.10,19.0,7.0,25,True,stackprinter,conda-forge/stackprinter,,276.0,250.0,https://pypi.org/project/stackprinter,2022-11-24 20:30:35.533,26.0,427209.0,427316.0,https://anaconda.org/conda-forge/stackprinter,2020-10-31 17:18:37.537,4960.0,3.0,,,,,,,,,,,,,,,,,,,,
172,pympler,pympler/pympler,profiling,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",,https://github.com/pympler/pympler,https://github.com/pympler/pympler,Apache-2.0,2012-10-04 23:35:16.000,2022-12-07 18:15:43.000,2022-07-24 14:45:54,478.0,,84.0,10.0,59.0,57.0,53.0,1034.0,2021-12-22 16:55:15.000,1.0.1,17.0,29.0,25,True,pympler,conda-forge/pympler,,328.0,,https://pypi.org/project/pympler,2021-12-22 16:55:15.000,328.0,1563251.0,1567235.0,https://anaconda.org/conda-forge/pympler,2022-07-24 00:00:16.620,290845.0,3.0,,,,,,,,,,,,,,,,,,,,
173,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2022-12-21 03:55:00.000,2022-12-21 03:55:00,575.0,,136.0,8.0,114.0,118.0,201.0,962.0,2021-08-03 14:51:19.000,0.10.0,34.0,58.0,25,True,pdoc3,anaconda/pdoc3,,3346.0,3124.0,https://pypi.org/project/pdoc3,2021-08-03 14:51:19.000,222.0,248973.0,249001.0,https://anaconda.org/anaconda/pdoc3,2020-11-30 22:53:50.187,1168.0,3.0,,,,,,,,,,,,,,,,,,,,
174,pytest-watch,joeyespo/pytest-watch,testing,Local continuous test runner with pytest and watchdog.,,https://github.com/joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2022-11-03 15:48:18.639,2019-06-15 20:36:43,183.0,,54.0,11.0,49.0,48.0,42.0,685.0,2018-05-20 19:52:16.000,4.2.0,17.0,16.0,25,False,pytest-watch,conda-forge/pytest-watch,['pytest'],8366.0,7749.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000,617.0,375633.0,376949.0,https://anaconda.org/conda-forge/pytest-watch,2022-11-03 15:48:18.639,82950.0,3.0,,,,,,,,,,,,,,,,,,,,
175,mypy-protobuf,dropbox/mypy-protobuf,linters,open source tools to generate mypy stubs from protobufs.,,https://github.com/nipunn1313/mypy-protobuf,https://github.com/nipunn1313/mypy-protobuf,Apache-2.0,2017-12-11 21:55:05.000,2023-04-13 08:59:54.000,2023-03-13 20:38:27,472.0,9.0,70.0,19.0,403.0,9.0,106.0,557.0,2022-10-20 06:20:02.477,3.4.0,40.0,36.0,25,True,mypy-protobuf,conda-forge/mypy-protobuf,,64.0,,https://pypi.org/project/mypy-protobuf,2022-10-20 06:20:02.477,64.0,1108284.0,1111383.0,https://anaconda.org/conda-forge/mypy-protobuf,2022-08-24 19:50:22.562,89889.0,3.0,,,,,,,,nipunn1313/mypy-protobuf,,,,,,,,,,,,
176,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2022-12-08 10:54:50.000,2020-11-16 12:31:58,468.0,,63.0,22.0,85.0,45.0,52.0,504.0,2020-11-16 12:36:24.000,0.11.2,21.0,23.0,25,False,mamba,,,872.0,754.0,https://pypi.org/project/mamba,2020-11-16 12:35:41.000,118.0,13316.0,13316.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
177,blacken-docs,asottile/blacken-docs,documentation,Run `black` on python code blocks in documentation files.,,https://github.com/adamchainz/blacken-docs,https://github.com/adamchainz/blacken-docs,MIT,2018-06-03 02:48:01.000,2023-04-11 15:11:41.000,2023-04-11 15:11:39,321.0,43.0,36.0,6.0,171.0,12.0,54.0,503.0,2023-01-16 10:50:01.873,1.13.0,23.0,16.0,25,True,blacken-docs,conda-forge/blacken-docs,,19.0,,https://pypi.org/project/blacken-docs,2023-01-16 10:50:01.873,19.0,108439.0,109267.0,https://anaconda.org/conda-forge/blacken-docs,2023-01-16 15:42:33.233,27351.0,3.0,,,,,,,,adamchainz/blacken-docs,,,,,,,,,,,,
178,paver,paver/paver,build-tools,Python-based project scripting.,,https://github.com/paver/paver,https://github.com/paver/paver,BSD-3-Clause,2010-11-11 09:43:52.000,2023-04-05 22:23:53.000,2021-06-21 14:55:20,534.0,,79.0,13.0,85.0,38.0,93.0,453.0,2017-12-31 01:13:41.000,1.3.4,28.0,45.0,25,False,paver,conda-forge/paver,,961.0,,https://pypi.org/project/paver,2017-12-31 01:13:41.000,961.0,53450.0,53797.0,https://anaconda.org/conda-forge/paver,2018-07-24 12:48:36.122,26745.0,3.0,,,,,,,,,,,,,,,,,,,,
179,check-manifest,mgedmin/check-manifest,linters,Tool to check the completeness of MANIFEST.in for Python packages.,,https://github.com/mgedmin/check-manifest,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2022-12-11 18:01:45.000,2022-12-11 17:58:01,563.0,,37.0,6.0,69.0,18.0,76.0,278.0,,,43.0,22.0,25,True,check-manifest,conda-forge/check-manifest,,11909.0,8992.0,https://pypi.org/project/check-manifest,2022-12-05 08:17:08.785,2917.0,205187.0,206802.0,https://anaconda.org/conda-forge/check-manifest,2022-12-05 13:13:18.863,84017.0,3.0,,,,,,,,,,,,,,,,,,,,
180,flake8-import-order,PyCQA/flake8-import-order,linters,Flake8 plugin that checks import order against various Python Style Guides.,,https://github.com/PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000,2022-12-10 16:20:39.000,2022-12-10 16:20:39,292.0,,70.0,9.0,100.0,11.0,90.0,270.0,2022-11-26 20:15:35.517,0.18.2,35.0,46.0,25,True,flake8-import-order,conda-forge/flake8-import-order,['flake8'],1242.0,,https://pypi.org/project/flake8-import-order,2022-11-26 20:15:35.517,1242.0,336180.0,339164.0,https://anaconda.org/conda-forge/flake8-import-order,2022-11-28 21:20:05.953,229834.0,3.0,,,,,,,,,,,,,,,,,,,,
181,data-science-types,predictive-analytics-lab/data-science-types,linters,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",,https://github.com/wearepal/data-science-types,https://github.com/wearepal/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2021-02-16 21:31:02.632,2021-02-16 17:29:00,446.0,,57.0,9.0,171.0,39.0,23.0,194.0,2021-02-16 16:47:31.000,0.2.23,26.0,44.0,25,False,data-science-types,conda-forge/data-science-types,,971.0,963.0,https://pypi.org/project/data-science-types,2021-02-16 16:45:03.000,8.0,82653.0,82925.0,https://anaconda.org/conda-forge/data-science-types,2021-02-16 21:31:02.632,7618.0,3.0,,,,,,,,wearepal/data-science-types,,,,,,,,,,,,
182,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2023-04-03 20:28:50.813,2023-04-03 19:55:36,164.0,2.0,12.0,2.0,49.0,6.0,23.0,156.0,2022-12-20 09:31:01.407,0.3.6,20.0,10.0,25,True,flake8-black,conda-forge/flake8-black,['flake8'],6798.0,6605.0,https://pypi.org/project/flake8-black,2022-12-20 09:31:01.407,193.0,813503.0,822862.0,https://anaconda.org/conda-forge/flake8-black,2023-04-03 20:28:50.813,430547.0,3.0,,,,,,,,,,,,,,,,,,,,
183,asteval,newville/asteval,ast,minimalistic evaluator of python expression using ast module.,,https://github.com/newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2023-03-24 14:28:05.000,2023-03-24 14:28:05,478.0,8.0,36.0,11.0,55.0,5.0,56.0,150.0,2023-02-11 21:55:09.000,0.9.29,29.0,24.0,25,True,asteval,conda-forge/asteval,,172.0,,https://pypi.org/project/asteval,2022-11-07 21:57:22.231,172.0,190569.0,194013.0,https://anaconda.org/conda-forge/asteval,2023-02-24 20:47:30.194,268672.0,3.0,,,,,,,,,,,,,,,,,,,,
