,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
112,pep8-naming,https://github.com/PyCQA/pep8-naming,,Naming Convention checker for Python.,linters,26,False,PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2021-01-05 20:59:00.000,2021-01-05 19:26:21.000,44.0,272.0,2020-06-16 23:48:52.000,0.11.1,21.0,26.0,conda-forge/pep8-naming,,pep8-naming,9.0,61.0,210.0,8576.0,5548.0,https://pypi.org/project/pep8-naming,2020-06-16 23:48:52.000,3028.0,242717.0,245678.0,https://anaconda.org/conda-forge/pep8-naming,2020-07-01 03:49:33.929,174753.0,2.0,,,,,,,,,,,
113,pytest-mypy,https://github.com/dbader/pytest-mypy,,Mypy static type checker plugin for Pytest.,testing,26,True,dbader/pytest-mypy,https://github.com/dbader/pytest-mypy,MIT,2016-09-29 14:39:23.000,2020-11-24 14:50:18.057,2020-11-13 23:44:03.000,31.0,184.0,2020-11-14 01:36:41.000,0.8.0,16.0,15.0,conda-forge/pytest-mypy,['pytest'],pytest-mypy,8.0,33.0,202.0,1122.0,856.0,https://pypi.org/project/pytest-mypy,2020-11-14 01:36:41.000,266.0,88401.0,88987.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,6448.0,3.0,,,,,,,,,,,
114,astunparse,https://github.com/simonpercivall/astunparse,,An AST unparser for Python.,ast,26,False,simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2021-01-15 07:40:29.426,2019-12-22 18:11:19.000,34.0,154.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,conda-forge/astunparse,,astunparse,14.0,21.0,86.0,11695.0,11513.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,182.0,2016268.0,2017641.0,https://anaconda.org/conda-forge/astunparse,2021-01-15 07:40:29.426,59048.0,3.0,,1.0,,,,,,,,,
115,sqlmap,https://github.com/sqlmapproject/sqlmap,,Automatic SQL injection and database takeover tool.,security,25,True,sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,GPL-3.0,2012-06-26 09:52:15.000,2021-01-19 11:32:42.000,2021-01-19 11:32:32.000,4139.0,19175.0,2021-01-03 14:27:24.000,1.5,63.0,103.0,,,sqlmap,47.0,4151.0,9683.0,8.0,,https://pypi.org/project/sqlmap,2021-01-03 14:25:31.000,8.0,4898.0,4898.0,,,,2.0,,,,,,,,,,,
116,playwright-python,https://github.com/microsoft/playwright-python,,Python version of the Playwright testing and automation library.,testing,25,True,microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2021-01-19 20:01:57.000,2021-01-16 15:55:00.000,298.0,3795.0,2020-12-28 21:47:53.000,0.171.1,45.0,13.0,,,playwright,29.0,155.0,262.0,78.0,78.0,https://pypi.org/project/playwright,2021-01-19 19:36:12.000,0.0,12976.0,12976.0,,,,3.0,,,,,,,,,,,
117,line_profiler,https://github.com/pyutils/line_profiler,,Line-by-line profiling for Python.,profiling,25,True,pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2021-01-17 14:07:18.000,2020-11-19 15:52:01.000,245.0,3490.0,2020-01-12 22:11:51.000,3.0.2,8.0,20.0,conda-forge/line_profiler,,line_profiler,21.0,7.0,139.0,692.0,,https://pypi.org/project/line_profiler,2017-12-20 02:30:37.000,692.0,199407.0,202037.0,https://anaconda.org/conda-forge/line_profiler,2021-01-14 12:02:28.721,147313.0,3.0,,,,,,,,,,,
118,uiautomator,https://github.com/xiaocong/uiautomator,,Python wrapper of Android uiautomator test tool.,testing,25,True,xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2020-12-29 05:34:09.000,2020-11-16 01:36:32.000,571.0,1627.0,2020-11-16 03:43:07.000,1.0.2,41.0,13.0,,,uiautomator,165.0,114.0,316.0,296.0,174.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,122.0,4077.0,4077.0,,,,3.0,,,,,,,,,,,
119,flit,https://github.com/takluyver/flit,,Simplified packaging of Python modules.,build-tools,25,True,takluyver/flit,https://github.com/takluyver/flit,BSD-3-Clause,2015-03-13 21:22:27.000,2020-12-04 10:55:35.000,2020-11-19 11:50:56.000,63.0,1287.0,2020-04-08 08:04:11.000,3.0.0,38.0,41.0,conda-forge/flit,,flit,68.0,147.0,847.0,226.0,,https://pypi.org/project/flit,2020-09-06 10:57:48.000,226.0,17870.0,19291.0,https://anaconda.org/conda-forge/flit,2020-10-14 10:18:51.643,66795.0,3.0,,,,,,,,,,,
120,pybuilder,https://github.com/pybuilder/pybuilder,,Software build automation tool for Python.,build-tools,25,True,pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2020-10-21 02:59:32.000,2020-10-18 16:56:10.000,230.0,1277.0,2020-10-06 16:13:40.000,0.12.10,449.0,35.0,,,pybuilder,83.0,389.0,1284.0,110.0,,https://pypi.org/project/pybuilder,2020-10-18 17:13:30.000,110.0,6697.0,6697.0,,,,3.0,,,,,,,,,,,
121,pympler,https://github.com/pympler/pympler,,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",profiling,25,True,pympler/pympler,https://github.com/pympler/pympler,Apache-2.0,2012-10-04 23:35:16.000,2020-12-22 22:15:18.000,2020-10-15 19:16:49.000,67.0,724.0,2016-03-31 11:48:42.000,0.4.3,15.0,26.0,conda-forge/pympler,,pympler,32.0,46.0,443.0,478.0,,https://pypi.org/project/pympler,2020-10-14 20:27:50.000,478.0,87138.0,90658.0,https://anaconda.org/conda-forge/pympler,2020-10-14 22:08:39.935,161941.0,3.0,,,,,,,,,,,
