,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
20,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-02-01 23:25:16.111,2023-02-01 03:53:03,4047.0,133.0,510.0,44.0,905.0,1053.0,5556.0,2023-01-30 09:46:45.975,5.11.5,143.0,278.0,41,True,127.0,isort,conda-forge/isort,,325862.0,310526.0,https://pypi.org/project/isort,2023-01-30 09:46:45.975,15336.0,26132183.0,26185693.0,https://anaconda.org/conda-forge/isort,2023-02-01 23:25:16.111,4227351.0,2.0,,,,,,,1.0,,,,,,,,,,,,,
21,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-01-31 21:02:12.000,2023-01-10 19:57:58,8327.0,33.0,480.0,112.0,566.0,1289.0,5326.0,2022-11-21 22:34:01.796,0.18.2,32.0,157.0,41,True,48.0,jedi,conda-forge/jedi,,275751.0,267443.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,8308.0,16683110.0,16866363.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,13927282.0,1.0,,,,,,,,,,,,,,,,,,,,
22,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-01-30 21:57:22.000,2023-01-13 17:50:03,631.0,31.0,974.0,160.0,1203.0,1182.0,4373.0,2022-12-05 22:47:06.493,20.17.1,197.0,241.0,41,True,80.0,virtualenv,conda-forge/virtualenv,,232350.0,214579.0,https://pypi.org/project/virtualenv,2022-12-05 22:47:06.493,17771.0,42280210.0,42328876.0,https://anaconda.org/conda-forge/virtualenv,2022-12-10 21:22:07.054,3455303.0,2.0,,,,,,,,,,,,,,,,,,,,
23,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-01-31 20:34:54.000,2023-01-31 20:34:50,546.0,222.0,461.0,41.0,1250.0,1492.0,3163.0,2023-01-31 21:50:27.263,4.4.4,183.0,270.0,41,True,68.0,tox,conda-forge/tox,['pytest'],90771.0,69806.0,https://pypi.org/project/tox,2023-01-31 03:43:13.263,20965.0,15514828.0,15524410.0,https://anaconda.org/conda-forge/tox,2023-01-18 22:31:34.228,622858.0,1.0,,,,,,,,,,,,,,,,,,,,
24,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-01-21 20:40:21.000,2023-01-21 20:40:21,2355.0,39.0,268.0,33.0,298.0,1468.0,2609.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,41,True,26.0,flake8,conda-forge/flake8,,379344.0,337149.0,https://pypi.org/project/flake8,2022-11-23 19:29:25.198,42195.0,20815566.0,20884503.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,5514973.0,1.0,,,,,,,-1.0,,,,,,,,,,,,,
25,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-02-02 13:47:29.000,2023-02-02 13:47:28,16187.0,79.0,1296.0,196.0,3436.0,7913.0,5130.0,2023-01-18 22:30:15.000,23.1.0,100.0,414.0,40,True,977.0,conda,conda-forge/conda,,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,1090.0,98584.0,573365.0,https://anaconda.org/conda-forge/conda,2022-12-07 23:51:39.020,37032949.0,1.0,,,,,,,,,,,,,,,,,,,,
26,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-02-02 08:12:41.000,2023-02-01 16:49:12,2733.0,82.0,1889.0,186.0,2237.0,4141.0,23501.0,2023-01-10 18:28:25.700,1.3.2,157.0,431.0,39,True,657.0,poetry,conda-forge/poetry,,162.0,,https://pypi.org/project/poetry,2023-01-10 18:28:25.700,162.0,11162354.0,11433844.0,https://anaconda.org/conda-forge/poetry,2023-01-11 10:44:45.091,757022.0,2.0,14885558.0,,,,,,,,,,,,,,,,,,,
27,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-01-30 10:46:08.000,2022-11-06 23:57:33,1821.0,1.0,2158.0,232.0,1103.0,1649.0,15801.0,2022-11-01 18:34:14.000,1.4.2,55.0,225.0,39,True,133.0,mkdocs,conda-forge/mkdocs,['mkdocs'],34212.0,30463.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,3749.0,1301947.0,1304687.0,https://anaconda.org/conda-forge/mkdocs,2022-11-12 09:58:55.579,224688.0,1.0,,,,,,,-1.0,,,,,,,,,,,,,
28,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2023-02-01 22:20:14.000,2023-02-01 15:33:52,1631.0,74.0,341.0,58.0,1053.0,640.0,1414.0,2023-01-23 10:15:50.376,1.14.0,172.0,161.0,39,True,180.0,sentry-sdk,conda-forge/sentry-sdk,,28664.0,28664.0,https://pypi.org/project/sentry-sdk,2022-10-21 14:39:28.000,,17815091.0,17821634.0,https://anaconda.org/conda-forge/sentry-sdk,2023-01-23 15:31:02.897,329387.0,1.0,3755.0,,,,,,,,,,,,,,,,,,,
29,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-01-30 19:52:45.000,2023-01-30 16:00:35,4585.0,78.0,1354.0,493.0,587.0,1364.0,22216.0,2023-01-14 15:00:47.000,3.3.1,92.0,168.0,38,True,244.0,glances,conda-forge/glances,,630.0,580.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,50.0,455187.0,457394.0,https://anaconda.org/conda-forge/glances,2023-01-17 20:09:23.663,182467.0,1.0,891.0,,,,,,,,,,,,,,,,,,,
