,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
134,Yappi,sumerc/yappi,profiling,"Yet Another Python Profiler, but this time multithreading, asyncio and gevent aware.",,https://github.com/sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2025-10-09 10:31:23.000,2025-10-09 10:31:23,794.0,7.0,76.0,14.0,107.0,65.0,1652.0,2024-11-12 11:23:25.000,1.6.10,26.0,33.0,21.0,28,True,,yappi,conda-forge/yappi,1584.0,1521.0,https://pypi.org/project/yappi,2024-11-12 11:23:25.000,63.0,1222172.0,1227303.0,https://anaconda.org/conda-forge/yappi,2025-05-06 00:54:42.372,307879.0,3.0,,,,,,,,,,,,,,,,,,,,
135,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2025-10-16 11:20:39.740,2025-07-12 01:03:05,644.0,,144.0,8.0,130.0,236.0,1182.0,2025-03-20 22:53:51.000,0.11.6,41.0,68.0,106.0,28,True,,pdoc3,anaconda/pdoc3,5437.0,4948.0,https://pypi.org/project/pdoc3,2025-03-20 22:53:51.000,489.0,328244.0,328277.0,https://anaconda.org/anaconda/pdoc3,2025-10-16 11:20:39.740,2368.0,3.0,,,,,,,,,,,,,,,,,,,,
136,pylint-django,PyCQA/pylint-django,linters,Pylint plugin for improving code analysis for when using Django.,,https://github.com/pylint-dev/pylint-django,https://github.com/pylint-dev/pylint-django,GPL-3.0,2013-10-01 06:35:15.000,2025-10-13 21:34:26.000,2025-09-16 01:25:01,696.0,2.0,119.0,13.0,228.0,173.0,614.0,2024-10-10 14:46:36.000,2.6.1,57.0,71.0,68.0,28,True,pylint-dev/pylint-django,pylint-django,conda-forge/pylint-django,32098.0,31973.0,https://pypi.org/project/pylint-django,2024-10-10 14:46:36.000,125.0,1584738.0,1590044.0,https://anaconda.org/conda-forge/pylint-django,2025-04-22 14:56:27.135,312765.0,2.0,['pylint'],419.0,,,,,,,,,,,,,,,,,,
137,darglint,terrencepreilly/darglint,linters,A python documentation linter which checks that the docstring description matches the definition.,,https://github.com/terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2025-04-22 14:57:12.196,2021-10-18 03:34:23,504.0,,42.0,5.0,61.0,95.0,484.0,2021-10-18 03:40:35.000,1.8.1,49.0,22.0,71.0,28,False,,darglint,conda-forge/darglint,22721.0,22431.0,https://pypi.org/project/darglint,2021-10-18 03:40:35.000,290.0,817235.0,819000.0,https://anaconda.org/conda-forge/darglint,2025-04-22 14:57:12.196,113020.0,2.0,,,,,,,,,,,,,,,,,,,,
138,check-manifest,mgedmin/check-manifest,linters,Tool to check the completeness of MANIFEST.in for Python packages.,,https://github.com/mgedmin/check-manifest,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2025-10-15 12:22:44.579,2025-10-15 11:16:00,614.0,31.0,37.0,5.0,74.0,77.0,292.0,,,45.0,22.0,23.0,28,True,,check-manifest,conda-forge/check-manifest,16812.0,11784.0,https://pypi.org/project/check-manifest,2025-10-15 11:15:46.000,5028.0,545690.0,548512.0,https://anaconda.org/conda-forge/check-manifest,2025-10-15 12:22:44.579,172173.0,2.0,,,2.0,,,,,,,,,,,,,,,,,
139,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2025-04-22 14:56:37.697,2019-12-22 18:11:19,86.0,,53.0,9.0,37.0,22.0,228.0,2019-12-22 18:12:11.000,1.6.3,11.0,11.0,25.0,28,False,,astunparse,conda-forge/astunparse,167898.0,167215.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,683.0,15225664.0,15280382.0,https://anaconda.org/conda-forge/astunparse,2025-04-22 14:56:37.697,3118943.0,2.0,,,,,,,,,,,,,,,,,,,,
140,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2025-10-15 09:14:38.000,2025-08-17 06:57:18,389.0,2.0,194.0,7.0,98.0,57.0,183.0,2025-01-29 12:29:23.000,6.1.2,44.0,40.0,2.0,28,True,,flake8-isort,conda-forge/flake8-isort,28940.0,28356.0,https://pypi.org/project/flake8-isort,2025-01-29 12:29:23.000,584.0,1289092.0,1290509.0,https://anaconda.org/conda-forge/flake8-isort,2025-04-22 14:57:15.498,89317.0,2.0,['flake8'],,,,,,,,,,,,,,,,,,,
141,gast,serge-sans-paille/gast,ast,Python AST that abstracts the underlying Python version.,,https://github.com/serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2025-10-10 06:35:11.000,2025-10-10 06:35:11,119.0,4.0,37.0,10.0,59.0,38.0,146.0,2024-06-27 20:31:49.000,0.6.0,23.0,11.0,2.0,28,True,,gast,conda-forge/gast,214640.0,214196.0,https://pypi.org/project/gast,2024-06-27 20:31:49.000,444.0,20713429.0,20770760.0,https://anaconda.org/conda-forge/gast,2025-04-22 14:56:50.637,3554544.0,2.0,,,,,,,,,,,,,,,,,,,,
142,gdbgui,cs01/gdbgui,debugging,"Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in..",,https://github.com/cs01/gdbgui,https://github.com/cs01/gdbgui,GPL-3.0,2016-10-27 03:19:25.000,2025-06-29 22:40:49.000,2025-06-29 22:34:16,438.0,,513.0,166.0,168.0,174.0,10177.0,2025-06-29 22:40:49.000,0.15.3.0,96.0,45.0,169.0,27,True,,gdbgui,,503.0,501.0,https://pypi.org/project/gdbgui,2025-06-29 22:39:12.000,2.0,7143.0,7457.0,,,,3.0,,19818.0,,,,,,,,,,,,,,,,,,
143,PyOxidizer,indygreg/PyOxidizer,packaging,A modern Python application packaging and distribution tool.,,https://github.com/indygreg/PyOxidizer,https://github.com/indygreg/PyOxidizer,MPL-2.0,2018-12-18 23:32:13.000,2024-12-24 01:04:30.000,2024-11-03 22:09:40,6749.0,,248.0,63.0,137.0,236.0,5971.0,2023-01-02 16:18:55.910,0.24.0,22.0,54.0,335.0,27,True,,pyoxidizer,,157.0,155.0,https://pypi.org/project/pyoxidizer,2023-01-02 16:18:55.910,2.0,48189.0,48552.0,,,,3.0,,25071.0,,,,,,,,,,,,,,,,,,
