,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
101,pyupgrade,asottile/pyupgrade,refactoring,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,,https://github.com/asottile/pyupgrade,https://github.com/asottile/pyupgrade,MIT,2017-02-28 17:50:31.000,2022-05-05 04:35:02.597,2022-05-05 01:00:25,865.0,33.0,111.0,32.0,359.0,267.0,1694.0,2022-05-05 01:00:38.000,2.32.1,127.0,23.0,15.0,29,True,pyupgrade,conda-forge/pyupgrade,,43.0,,https://pypi.org/project/pyupgrade,2022-05-05 01:00:38.000,43.0,250643.0,259132.0,https://anaconda.org/conda-forge/pyupgrade,2022-05-05 04:35:02.597,339593.0,2.0,,,,,,,,,,,,,,,,,,,,
102,Diamond,python-diamond/Diamond,profiling,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,,https://github.com/python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2022-04-24 00:10:31.000,2022-04-12 19:04:42,3280.0,9.0,593.0,95.0,527.0,151.0,1669.0,2016-11-25 22:13:29.000,4.0.515,36.0,369.0,232.0,29,True,diamond,,,117.0,85.0,https://pypi.org/project/diamond,2016-11-25 22:13:29.000,32.0,29946.0,29946.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
103,pyelftools,eliben/pyelftools,debugging,Parsing ELF and DWARF in Python.,,https://github.com/eliben/pyelftools,https://github.com/eliben/pyelftools,Unlicense,2013-06-08 22:55:54.000,2022-04-25 13:40:23.000,2022-02-14 13:44:27,588.0,1.0,436.0,70.0,220.0,122.0,1428.0,,,9.0,82.0,62.0,29,True,pyelftools,conda-forge/pyelftools,,3874.0,3355.0,https://pypi.org/project/pyelftools,2022-02-03 14:49:18.000,519.0,993888.0,995051.0,https://anaconda.org/conda-forge/pyelftools,2022-04-11 00:29:59.069,86074.0,2.0,,,,,,,,,,,,,,,,,,,,
104,briefcase,beeware/briefcase,packaging,Tools to support converting a Python project into a standalone native application.,,https://github.com/beeware/briefcase,https://github.com/beeware/briefcase,BSD-3-Clause,2015-07-28 15:20:03.000,2022-05-05 02:40:57.000,2022-05-05 02:40:57,1411.0,142.0,217.0,41.0,299.0,321.0,1405.0,2022-02-28 01:46:11.000,0.3.6,37.0,95.0,119.0,29,True,briefcase,,,17.0,,https://pypi.org/project/briefcase,2022-02-28 01:46:11.000,17.0,4416.0,4416.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
105,pybuilder,pybuilder/pybuilder,build-tools,Software build automation tool for Python.,,https://github.com/pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2022-04-10 00:03:50.158,2022-02-24 01:03:24,1388.0,4.0,239.0,93.0,355.0,412.0,1389.0,2022-02-23 14:00:36.000,0.13.5,653.0,36.0,93.0,29,True,pybuilder,conda-forge/pybuilder,,60.0,,https://pypi.org/project/pybuilder,2022-02-24 01:17:18.000,60.0,14449.0,14717.0,https://anaconda.org/conda-forge/pybuilder,2022-04-10 00:03:50.158,10474.0,3.0,,,,,,,,,,,,,,,,,,,,
106,cx_Freeze,marcelotduarte/cx_Freeze,packaging,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",,https://github.com/marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,PSF-2.0,2017-01-22 04:25:52.000,2022-04-27 04:58:09.000,2022-04-21 13:39:47,1330.0,95.0,177.0,26.0,684.0,681.0,896.0,2022-01-24 07:19:20.000,6.10,37.0,94.0,60.0,29,True,cx_freeze,conda-forge/cx_freeze,,153.0,,https://pypi.org/project/cx_freeze,2017-12-16 18:09:35.000,153.0,47371.0,50358.0,https://anaconda.org/conda-forge/cx_freeze,2022-03-26 09:23:01.516,119485.0,2.0,,,,,,,,,,,,,,,,,,,,
107,prettytable,jazzband/prettytable,logging,Display tabular data in a visually appealing ASCII table format.,,https://github.com/jazzband/prettytable,https://github.com/jazzband/prettytable,BSD-1-Clause,2016-01-15 02:39:17.000,2022-05-05 14:34:59.000,2022-05-05 14:34:57,431.0,45.0,102.0,16.0,101.0,64.0,763.0,2022-03-07 07:16:21.000,3.2.0,23.0,48.0,23.0,29,False,prettytable,conda-forge/prettytable,,554.0,,https://pypi.org/project/prettytable,2022-03-07 07:16:21.000,554.0,6020377.0,6029760.0,https://anaconda.org/conda-forge/prettytable,2022-03-07 17:35:12.154,666219.0,3.0,,,,,,,,,,,,1.0,,,,,,,,
108,sphinx-autodoc-typehints,tox-dev/sphinx-autodoc-typehints,documentation,Type hints support for the Sphinx autodoc extension.,,https://github.com/tox-dev/sphinx-autodoc-typehints,https://github.com/tox-dev/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2022-04-13 07:34:55.000,2022-04-13 07:31:33,220.0,10.0,83.0,11.0,93.0,112.0,413.0,2022-04-13 07:31:55.000,1.18.1,41.0,41.0,23.0,29,True,sphinx-autodoc-typehints,conda-forge/sphinx-autodoc-typehints,['sphinx'],1355.0,,https://pypi.org/project/sphinx-autodoc-typehints,2022-04-13 07:34:55.000,1355.0,465493.0,470934.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2021-04-15 04:06:00.666,293849.0,2.0,,,,,,,,,,,,,,,,,,,,
109,wasabi,ines/wasabi,logging,A lightweight console printing and formatting toolkit.,,https://github.com/ines/wasabi,https://github.com/ines/wasabi,MIT,2018-11-17 14:40:55.000,2022-03-30 15:35:36.850,2022-03-30 10:27:36,232.0,8.0,21.0,9.0,15.0,3.0,338.0,2022-03-30 10:28:17.000,0.9.1,36.0,8.0,5.0,29,True,wasabi,conda-forge/wasabi,,18663.0,18382.0,https://pypi.org/project/wasabi,2022-03-30 11:12:31.000,281.0,3812203.0,3829570.0,https://anaconda.org/conda-forge/wasabi,2022-03-30 15:35:36.850,677333.0,3.0,,,,,,,,,,,,,,,,,,,,
110,gdbgui,cs01/gdbgui,debugging,"Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in..",,https://github.com/cs01/gdbgui,https://github.com/cs01/gdbgui,GPL-3.0,2016-10-27 03:19:25.000,2022-04-10 02:33:43.000,2022-01-16 06:03:38,429.0,,481.0,167.0,138.0,164.0,8566.0,2021-09-06 05:59:07.000,0.15.0.1,93.0,39.0,125.0,28,True,gdbgui,,,166.0,164.0,https://pypi.org/project/gdbgui,2021-09-06 05:54:12.000,2.0,159658.0,160029.0,,,,2.0,8183.0,,,,,,,,,,,,,,,,,,,
