,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
38,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-01-11 00:53:33.000,2023-01-11 00:53:33,1074.0,30.0,285.0,33.0,525.0,402.0,1359.0,2022-12-01 01:51:31.000,4.0.2,51.0,113.0,37,True,47.0,twine,conda-forge/twine,,90491.0,77813.0,https://pypi.org/project/twine,2022-06-01 11:02:29.000,3391184.0,3399722.0,https://anaconda.org/conda-forge/twine,2022-12-01 12:45:16.522,657429.0,1.0,12678.0,,,,,,,,,,,,,,,,,,,,
39,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2023-01-12 16:26:29.000,2023-01-12 16:26:28,554.0,13.0,170.0,27.0,287.0,437.0,1226.0,2022-11-24 16:55:02.246,3.0.1,36.0,84.0,37,True,63.0,pyflakes,conda-forge/pyflakes,,200584.0,186945.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000,16990900.0,17059371.0,https://anaconda.org/conda-forge/pyflakes,2022-11-24 20:00:59.834,5409261.0,1.0,13639.0,,,,,,,,,,,,,,,,,,,,
40,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-01-06 19:24:55.000,2023-01-06 19:24:45,684.0,23.0,572.0,119.0,95.0,622.0,13897.0,2022-01-29 13:50:01.000,0.6.0,18.0,41.0,36,True,69.0,loguru,conda-forge/loguru,,38217.0,36508.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,3599148.0,3618005.0,https://anaconda.org/conda-forge/loguru,2022-10-26 21:41:01.021,886325.0,2.0,1709.0,,,,,,,,,,,,,,,,,,,,
41,pyright,Microsoft/pyright,linters,Static type checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-01-19 03:17:18.000,2023-01-19 03:10:10,5678.0,291.0,707.0,85.0,483.0,3575.0,9560.0,2023-01-18 02:51:20.000,1.1.290,374.0,85.0,36,True,6.0,,,,439.0,432.0,,,,311176.0,,,,2.0,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-01-18 02:48:09.487,7.0,311176.0,,,,,,,,
42,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-01-19 12:50:32.000,2023-01-11 11:25:49,23412.0,359.0,1619.0,203.0,5268.0,793.0,4970.0,2022-12-04 12:01:05.939,3.7.0,121.0,832.0,36,True,667.0,buildbot,conda-forge/buildbot,,769.0,312.0,https://pypi.org/project/buildbot,2022-03-06 14:20:53.000,30725.0,32969.0,https://anaconda.org/conda-forge/buildbot,2022-12-04 16:31:50.847,72166.0,2.0,457.0,29042.0,,,,,,,,,,,,,,,,,,,
43,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2022-12-11 10:54:44.000,2022-12-03 16:10:49,908.0,3.0,189.0,34.0,229.0,229.0,1372.0,2022-09-28 18:41:46.166,4.0.0,44.0,81.0,36,True,126.0,pytest-cov,conda-forge/pytest-cov,['pytest'],197233.0,167558.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000,15110924.0,15199160.0,https://anaconda.org/conda-forge/pytest-cov,2022-09-29 00:56:23.882,7235363.0,1.0,29675.0,,,,,,,,,,,,,,,,,,,,
44,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-01-07 17:11:52.000,2023-01-04 05:26:36,1209.0,2.0,858.0,217.0,273.0,401.0,13003.0,2020-04-23 19:07:36.000,0.30.0,68.0,139.0,35,True,366.0,yapf,conda-forge/yapf,,49267.0,47178.0,https://pypi.org/project/yapf,2021-12-26 07:48:00.000,2252387.0,2268394.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692,1264563.0,3.0,2089.0,,,,,,,,,,,,,,,,,,,,
45,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2023-01-17 19:10:24.000,2023-01-12 15:57:20,1058.0,53.0,187.0,46.0,340.0,309.0,1063.0,2022-12-03 14:34:08.213,3.1.0,61.0,88.0,35,True,214.0,pytest-xdist,conda-forge/pytest-xdist,['pytest'],4683.0,,https://pypi.org/project/pytest-xdist,2021-12-10 11:41:55.000,6618686.0,6669935.0,https://anaconda.org/conda-forge/pytest-xdist,2022-12-03 20:29:50.735,3997442.0,2.0,4683.0,,,,,,,,,,,,,,,,,,,,
46,progressbar2,WoLpH/python-progressbar,logging,Progressbar 2 - A progress bar for Python 2 and Python 3 - pip install progressbar2.,,https://github.com/wolph/python-progressbar,https://github.com/wolph/python-progressbar,BSD-3-Clause,2012-02-20 06:19:21.000,2022-12-08 22:32:45.000,2022-12-08 22:32:42,964.0,45.0,97.0,22.0,65.0,198.0,797.0,2022-10-26 13:49:10.642,4.2.0,103.0,42.0,35,True,9.0,progressbar2,conda-forge/progressbar2,,26557.0,25045.0,https://pypi.org/project/progressbar2,2022-01-05 13:41:41.000,16127662.0,16136797.0,https://anaconda.org/conda-forge/progressbar2,2022-10-27 07:36:32.452,683226.0,2.0,1512.0,1753.0,,,,,,,,,,,,,,,,,,,
47,alabaster,bitprophet/alabaster,documentation,"Lightweight, configurable Sphinx theme. Now the Sphinx default!.",,https://github.com/bitprophet/alabaster,https://github.com/bitprophet/alabaster,BSD-3-Clause,2013-12-07 00:03:15.000,2023-01-16 22:34:10.000,2023-01-16 22:34:07,373.0,19.0,181.0,21.0,84.0,54.0,676.0,2023-01-13 06:44:02.021,0.7.13,26.0,30.0,35,True,60.0,alabaster,conda-forge/alabaster,['sphinx'],89987.0,82308.0,https://pypi.org/project/alabaster,2018-10-03 01:39:17.000,5344917.0,5413222.0,https://anaconda.org/conda-forge/alabaster,2023-01-13 21:36:23.432,5327867.0,2.0,7679.0,,,,,,,,,,,,,,,,,,,,
