,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-05-11 12:30:30.000,2023-05-11 01:17:07,13808.0,163.0,933.0,89.0,1389.0,546.0,1746.0,2027.0,2023-04-24 11:37:12.000,67.7.2,196.0,567.0,44,True,,setuptools,conda-forge/setuptools,,320540.0,320540.0,https://pypi.org/project/setuptools,,,250222540.0,251189744.0,https://anaconda.org/conda-forge/setuptools,2023-04-24 18:49:33.341,79310793.0,1.0,,,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-05-09 07:56:03.000,2023-05-09 07:55:58,3760.0,78.0,1552.0,542.0,959.0,123.0,982.0,43225.0,2023-04-27 16:00:07.000,13.3.5,181.0,221.0,43,True,,rich,conda-forge/rich,,90899.0,86768.0,https://pypi.org/project/rich,2023-01-28 10:19:14.092,4131.0,23213625.0,23322407.0,https://anaconda.org/conda-forge/rich,2023-04-27 19:38:00.684,3698611.0,1.0,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-05-07 02:28:28.000,2023-03-03 21:07:28,1940.0,12.0,1210.0,211.0,512.0,344.0,569.0,24740.0,2023-03-03 21:28:29.000,4.65.0,104.0,112.0,43,True,,tqdm,conda-forge/tqdm,,460985.0,460985.0,https://pypi.org/project/tqdm,,,53479081.0,53717715.0,https://anaconda.org/conda-forge/tqdm,2023-03-04 16:57:20.216,19791833.0,1.0,,11057.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-03-18 01:39:51.172447,2.0,4091.0,,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-05-11 12:55:20.000,2023-05-10 20:54:35,16313.0,115.0,1367.0,200.0,3593.0,766.0,8318.0,5426.0,2023-03-30 03:29:50.000,23.3.1,100.0,426.0,43,True,,conda,conda-forge/conda,,40998.0,39904.0,https://pypi.org/project/conda,2016-09-16 15:07:21.000,1094.0,203102.0,725889.0,https://anaconda.org/conda-forge/conda,2023-03-30 15:12:14.391,42345800.0,1.0,,,,,,,,,,,,,,,,,
14,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-05-11 12:06:28.000,2023-05-11 11:23:27,8628.0,283.0,1008.0,74.0,3730.0,719.0,4220.0,4659.0,2023-05-06 16:36:23.720,2.17.4,174.0,524.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,382304.0,359760.0,https://pypi.org/project/pylint,2023-01-22 14:41:49.833,22544.0,13444333.0,13494484.0,https://anaconda.org/conda-forge/pylint,2023-05-06 18:27:40.178,4062296.0,1.0,,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-05-10 23:58:52.000,2023-05-10 07:33:50,5246.0,238.0,2973.0,115.0,2345.0,29.0,1841.0,13789.0,2023-05-08 19:26:03.786,9.1.11,318.0,210.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],32724.0,31954.0,https://pypi.org/project/mkdocs-material,2022-11-08 14:44:39.000,770.0,2309680.0,2314739.0,https://anaconda.org/conda-forge/mkdocs-material,2023-05-09 13:58:17.726,242832.0,1.0,,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-05-09 12:40:56.000,2023-05-09 12:40:54,2521.0,78.0,643.0,89.0,1079.0,19.0,1746.0,10342.0,2023-05-02 14:09:12.000,3.3.1,98.0,149.0,42,True,,pre-commit,conda-forge/pre-commit,,127567.0,127567.0,https://pypi.org/project/pre-commit,,,10381109.0,10453847.0,https://anaconda.org/conda-forge/pre-commit,2023-05-03 14:44:47.341,2993911.0,1.0,,422119.0,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-05-11 06:12:29.000,2023-05-10 20:59:11,8740.0,84.0,1753.0,233.0,2148.0,271.0,4586.0,10257.0,2023-04-14 22:23:12.000,5.10.1,51.0,449.0,42,True,,pyinstaller,conda-forge/pyinstaller,,43059.0,43059.0,https://pypi.org/project/pyinstaller,,,1125249.0,1136911.0,https://anaconda.org/conda-forge/pyinstaller,2023-04-15 00:11:39.283,434603.0,1.0,,737994.0,,,,,,,,,,,,,,,
18,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-05-11 13:28:57.000,2023-05-11 13:28:57,20109.0,216.0,1809.0,145.0,4917.0,1145.0,5312.0,5398.0,2023-04-29 21:31:39.000,7.0.0,98.0,781.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],301665.0,301665.0,https://pypi.org/project/sphinx,,,8706154.0,8798909.0,https://anaconda.org/conda-forge/sphinx,2023-04-29 21:46:25.675,7513218.0,1.0,,,,,,,,,,,,,,,,,
19,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-05-09 18:56:55.000,2023-05-09 18:56:54,1852.0,31.0,2239.0,232.0,1127.0,140.0,1682.0,16387.0,2023-05-02 21:20:08.317,1.4.3,56.0,238.0,41,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],47819.0,43500.0,https://pypi.org/project/mkdocs,2022-11-01 18:34:05.525,4319.0,1616136.0,1619075.0,https://anaconda.org/conda-forge/mkdocs,2023-05-03 16:41:13.115,249866.0,1.0,,,,,,,,,,,,,,,,,
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-05-11 12:14:33.000,2023-05-09 14:35:27,14036.0,184.0,2130.0,477.0,651.0,299.0,3849.0,8014.0,2023-01-08 19:24:02.000,6.0.2,69.0,181.0,41,True,,robotframework,conda-forge/robotframework,,7616.0,7616.0,https://pypi.org/project/robotframework,,,1593294.0,1595268.0,https://anaconda.org/conda-forge/robotframework,2023-01-12 19:48:17.751,126052.0,1.0,,545.0,,,,,,,,,,,,,,,
21,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-05-10 20:18:51.000,2023-04-01 17:51:24,4080.0,22.0,506.0,47.0,923.0,140.0,1061.0,5793.0,2023-01-30 09:41:30.000,5.11.5,100.0,283.0,41,True,,isort,conda-forge/isort,,382961.0,382961.0,https://pypi.org/project/isort,,,25284322.0,25341859.0,https://anaconda.org/conda-forge/isort,2023-02-01 23:25:16.111,4718106.0,2.0,,,,,,,,,,,,,,,,,
22,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-05-08 22:30:16.000,2023-05-03 22:39:25,679.0,37.0,993.0,163.0,1257.0,77.0,1202.0,4458.0,2023-04-27 23:39:08.031,20.23.0,204.0,253.0,41,True,,virtualenv,conda-forge/virtualenv,,278193.0,260291.0,https://pypi.org/project/virtualenv,2023-02-28 18:51:08.315,17902.0,56379965.0,56438231.0,https://anaconda.org/conda-forge/virtualenv,2023-04-28 09:34:05.273,4311688.0,2.0,,,,,,,,,,,,,,,,,
23,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-05-09 20:10:21.000,2023-05-09 12:33:31,2374.0,16.0,278.0,37.0,313.0,25.0,1486.0,2821.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,40,True,,flake8,conda-forge/flake8,,497656.0,452736.0,https://pypi.org/project/flake8,2022-11-23 19:29:25.198,44920.0,22150724.0,22224244.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,6102215.0,1.0,,,,,,,,,,,,,,,,,
24,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-05-10 18:39:13.000,2023-05-10 18:39:12,12957.0,215.0,534.0,69.0,2246.0,47.0,1341.0,6691.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,667.0,311.0,39,False,,hypothesis,conda-forge/hypothesis,,20596.0,20596.0,https://pypi.org/project/hypothesis,,,5739410.0,5831573.0,https://anaconda.org/conda-forge/hypothesis,2023-05-05 00:44:49.493,7557429.0,1.0,,,,,,,,,,,,,,,,,
25,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-05-08 17:41:14.000,2023-05-08 14:06:23,589.0,38.0,473.0,41.0,1300.0,80.0,1516.0,3260.0,2023-04-26 16:35:23.126,4.5.1,193.0,277.0,39,True,,tox,conda-forge/tox,['pytest'],120187.0,97982.0,https://pypi.org/project/tox,2023-02-21 17:41:11.947,22205.0,16580409.0,16590479.0,https://anaconda.org/conda-forge/tox,2023-01-18 22:31:34.228,684807.0,1.0,,,,,,,,,,,,,,,,,
26,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-05-11 13:13:15.000,2023-05-11 08:10:25,1742.0,107.0,364.0,66.0,1172.0,181.0,711.0,1530.0,2023-05-08 12:23:00.000,1.22.2,101.0,169.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,42866.0,42866.0,https://pypi.org/project/sentry-sdk,,,19811044.0,19819206.0,https://anaconda.org/conda-forge/sentry-sdk,2023-04-28 21:06:11.878,436396.0,1.0,,3583.0,,,,,,,,,,,,,,,
27,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-05-11 13:16:42.000,2023-05-11 13:16:24,4845.0,237.0,1358.0,496.0,665.0,237.0,1445.0,22776.0,2023-01-14 15:00:47.000,3.3.1,92.0,171.0,38,True,,glances,conda-forge/glances,,697.0,646.0,https://pypi.org/project/glances,2023-01-17 07:15:06.065,51.0,169223.0,171470.0,https://anaconda.org/conda-forge/glances,2023-01-17 20:09:23.663,192153.0,1.0,,1254.0,,,,,,,,,,,,,,,
28,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-05-10 14:16:01.000,2023-05-09 17:53:13,1887.0,26.0,501.0,104.0,899.0,124.0,812.0,6837.0,2023-04-07 16:47:19.000,6.13.0,62.0,187.0,38,True,,pip-tools,conda-forge/pip-tools,,19938.0,19938.0,https://pypi.org/project/pip-tools,,,8383681.0,8386013.0,https://anaconda.org/conda-forge/pip-tools,2023-04-07 19:35:02.377,86302.0,2.0,7.0,,,,,,,,,,,,,,,,
29,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-05-05 19:14:19.000,2023-05-05 15:48:32,714.0,21.0,595.0,126.0,114.0,91.0,662.0,14858.0,2023-04-10 09:14:19.000,0.7.0,19.0,42.0,37,True,,loguru,conda-forge/loguru,,51847.0,51847.0,https://pypi.org/project/loguru,,,8693655.0,8716756.0,https://anaconda.org/conda-forge/loguru,2023-04-10 11:59:26.560,1178180.0,2.0,,,,,,,,,,,,,,,,,
30,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-05-09 12:41:41.000,2023-05-05 00:20:55,1259.0,42.0,856.0,220.0,301.0,373.0,405.0,13215.0,,,25.0,147.0,37,True,,yapf,conda-forge/yapf,,75726.0,75726.0,https://pypi.org/project/yapf,,,3872410.0,3889466.0,https://anaconda.org/conda-forge/yapf,2023-05-01 01:43:30.917,1415681.0,2.0,,,,,,,,,,,,,,,,,
31,pyright,Microsoft/pyright,linters,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-05-11 03:16:06.000,2023-05-11 03:13:50,6099.0,345.0,989.0,100.0,566.0,14.0,3989.0,10245.0,2023-05-10 05:37:47.000,1.1.307,100.0,92.0,37,True,,,,,501.0,501.0,,,,,533624.0,,,,1.0,,306.0,,,,,,pyright,https://www.npmjs.com/package/pyright,533605.0,,,,,,,
32,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-04-21 21:55:14.000,2023-04-21 21:55:14,8352.0,22.0,476.0,114.0,577.0,50.0,1298.0,5415.0,,,21.0,163.0,37,False,,jedi,conda-forge/jedi,,300326.0,300326.0,https://pypi.org/project/jedi,,,19156095.0,19359469.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,16066546.0,1.0,,,,,,,,,,,,,,,,,
33,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-05-11 12:45:12.000,2023-05-05 14:16:51,1306.0,16.0,516.0,67.0,378.0,162.0,446.0,5170.0,2023-03-10 01:02:04.000,1.7.5,12.0,166.0,37,True,,bandit,conda-forge/bandit,,41237.0,41237.0,https://pypi.org/project/bandit,,,3097427.0,3102235.0,https://anaconda.org/conda-forge/bandit,2023-03-11 07:26:25.891,230285.0,1.0,,670.0,,,,,,,,,,,,,,,
34,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2023-05-09 12:33:44.000,2023-05-09 12:33:43,1357.0,4.0,703.0,120.0,453.0,114.0,594.0,4836.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,37,True,,pycodestyle,conda-forge/pycodestyle,,346614.0,335075.0,https://pypi.org/project/pycodestyle,2022-11-23 18:29:05.901,11539.0,28917841.0,28993895.0,https://anaconda.org/conda-forge/pycodestyle,2022-11-24 16:23:10.571,6312553.0,1.0,,,,,,,,,,,,,,,,,
35,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-03-19 12:06:00.000,2023-03-19 12:05:58,2819.0,9.0,279.0,72.0,219.0,110.0,353.0,4344.0,2023-03-03 09:22:25.000,2.0.2,23.0,57.0,37,True,,autopep8,conda-forge/autopep8,,176111.0,176111.0,https://pypi.org/project/autopep8,,,3316424.0,3329990.0,https://anaconda.org/conda-forge/autopep8,2023-03-03 12:11:53.143,1126001.0,2.0,,,,,,,,,,,,,,,,,
36,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-05-11 09:13:08.000,2023-05-11 08:28:45,2839.0,91.0,1919.0,186.0,2353.0,561.0,4381.0,24977.0,2023-04-02 16:02:08.000,1.4.2,100.0,453.0,36,True,,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,,,11450274.0,11717610.0,https://anaconda.org/conda-forge/poetry,2023-04-05 19:52:39.807,857401.0,2.0,-4.0,15087575.0,,,,,,,,,,,,,,,
37,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-05-10 13:36:32.000,2023-05-08 14:01:28,10805.0,413.0,467.0,128.0,303.0,220.0,1609.0,8748.0,,,161.0,136.0,36,True,,nuitka,conda-forge/nuitka,,1209.0,1209.0,https://pypi.org/project/nuitka,,,67029.0,72863.0,https://anaconda.org/conda-forge/nuitka,2023-04-26 10:38:26.081,495944.0,1.0,,,,,,,,,,,,,,,,,
38,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-05-08 12:41:38.000,2023-05-06 20:14:57,23635.0,213.0,1466.0,202.0,5335.0,674.0,799.0,5036.0,2023-04-17 01:18:25.000,3.8.0,58.0,838.0,36,True,,buildbot,conda-forge/buildbot,,323.0,323.0,https://pypi.org/project/buildbot,,,32475.0,34701.0,https://anaconda.org/conda-forge/buildbot,2023-04-17 03:32:51.191,79014.0,1.0,,30189.0,,,,,,,,,,,,,,,
39,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-05-06 14:40:18.000,2023-05-06 14:40:18,1079.0,3.0,281.0,35.0,530.0,45.0,410.0,1417.0,2022-12-01 01:51:31.000,4.0.2,25.0,116.0,36,True,,twine,conda-forge/twine,,89076.0,89076.0,https://pypi.org/project/twine,,,3889908.0,3899165.0,https://anaconda.org/conda-forge/twine,2022-12-01 12:45:16.522,749841.0,1.0,,,,,,,,,,,,,,,,,
40,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-05-09 14:57:21.822,2023-05-02 02:11:05,3680.0,42.0,341.0,96.0,241.0,290.0,396.0,3944.0,,,22.0,58.0,35,True,,invoke,conda-forge/invoke,,20352.0,20352.0,https://pypi.org/project/invoke,,,4947502.0,4958046.0,https://anaconda.org/conda-forge/invoke,2023-05-09 14:57:21.822,896283.0,2.0,,,,,,,,,,,,,,,,,
41,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2023-05-05 07:09:09.431,2023-05-05 05:10:46,3141.0,21.0,165.0,26.0,344.0,72.0,224.0,1601.0,2023-05-05 05:10:01.991,1.8.0,82.0,77.0,35,True,,rope,conda-forge/rope,,64463.0,62820.0,https://pypi.org/project/rope,2023-01-17 02:39:01.107,1643.0,597910.0,613378.0,https://anaconda.org/conda-forge/rope,2023-05-05 07:09:09.431,1129217.0,1.0,,,,,,,,,,,,,,,,,
42,python-json-logger,madzak/python-json-logger,logging,Json Formatter for the standard python logger.,,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000,2023-04-26 12:28:32.000,2023-02-28 17:40:55,262.0,21.0,203.0,26.0,82.0,5.0,89.0,1486.0,2023-02-21 17:39:43.000,2.0.7,10.0,63.0,35,True,,python-json-logger,conda-forge/python-json-logger,,48620.0,48620.0,https://pypi.org/project/python-json-logger,,,15356517.0,15405303.0,https://anaconda.org/conda-forge/python-json-logger,2023-02-22 15:29:12.361,3561415.0,2.0,,,,,,,,,,,,,,,,,
