,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
21,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,33,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000000,2021-12-15 11:16:26.000000,2021-12-07 02:05:52.000000,1440.0,2219.0,17502.0,2021-11-28 06:15:58.000000,1.1.12,142.0,317.0,1252.0,,conda-forge/poetry,poetry,1994.0,64.0,,https://pypi.org/project/poetry,2021-11-28 06:15:58.000000,64.0,4372679.0,4599014.0,https://anaconda.org/conda-forge/poetry,2021-12-14 16:53:47.809000,347020.0,2.0,,9763075.0,,,,,,,,,,,,,
22,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000000,2021-12-15 11:11:29.418000,2021-12-15 09:43:18.000000,477.0,1140.0,5567.0,2021-12-15 09:43:42.000000,hypothesis-python-6.31.6,912.0,255.0,56.0,,conda-forge/hypothesis,hypothesis,11257.0,13360.0,10744.0,https://pypi.org/project/hypothesis,2021-12-15 09:43:24.000000,2616.0,2302361.0,2380611.0,https://anaconda.org/conda-forge/hypothesis,2021-12-15 11:11:29.418000,5086260.0,1.0,,,,,,,,,,,,,,,
23,pip-tools,https://github.com/jazzband/pip-tools,,A set of tools to keep your pinned Python dependencies fresh.,dependency-managers,33,True,jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000000,2021-12-06 17:22:32.000000,2021-11-12 05:03:34.000000,474.0,661.0,5385.0,2021-10-12 16:00:05.000000,6.4.0,97.0,163.0,134.0,,conda-forge/pip-tools,pip-tools,1670.0,3252.0,,https://pypi.org/project/pip-tools,2021-10-12 16:00:05.000000,3252.0,3872081.0,3873145.0,https://anaconda.org/conda-forge/pip-tools,2021-10-12 21:23:33.029000,21285.0,2.0,,,,,,,,,,,,,,,
24,conda,https://github.com/conda/conda,,"OS-agnostic, system-level binary package manager and ecosystem.",dependency-managers,33,True,conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000000,2021-12-16 09:23:19.000000,2021-12-06 17:41:00.000000,1100.0,6413.0,4435.0,2021-11-22 18:47:32.000000,4.11.0,100.0,375.0,1847.0,,conda-forge/conda,conda,15794.0,2104.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000000,2104.0,71128.0,441199.0,https://anaconda.org/conda-forge/conda,2021-11-23 11:16:29.692000,23684575.0,2.0,,,,,,,,,,,,,,,
25,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,33,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000000,2021-12-06 05:59:25.000000,2021-12-06 05:59:24.000000,432.0,1001.0,4369.0,2021-11-09 05:43:22.000000,5.10.1,132.0,253.0,31.0,,conda-forge/isort,isort,,233215.0,208997.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000000,24218.0,16976117.0,17016954.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919000,2654408.0,2.0,,,,,,,,,,,,,,,
26,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000000,2021-12-12 00:22:32.000000,2021-10-19 23:03:00.000000,1611.0,536.0,3904.0,2018-10-05 13:20:49.000000,0.4.2,23.0,108.0,195.0,['sphinx'],conda-forge/sphinx_rtd_theme,sphinx_rtd_theme,1347.0,23490.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000000,23474.0,2066548.0,2097829.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-09-17 07:30:33.268000,2002006.0,2.0,,,,,,,,,,,,,,,
27,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,33,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-12-08 21:05:15.000000,2021-12-08 21:05:15.000000,179.0,1303.0,1691.0,2021-10-11 12:42:47.000000,4.0.1,81.0,159.0,39.0,,conda-forge/flake8,flake8,,284624.0,213334.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000000,71290.0,13573977.0,13626045.0,https://anaconda.org/conda-forge/flake8,2021-11-02 21:24:52.298000,3436507.0,1.0,,,,,,,,,,,,,,,
28,pyflakes,https://github.com/PyCQA/pyflakes,,A simple program which checks Python source files for errors.,linters,33,True,PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000000,2021-12-15 13:40:55.609000,2021-11-21 13:51:51.000000,158.0,359.0,1093.0,2021-10-06 20:39:49.000000,2.4.0,33.0,79.0,84.0,,conda-forge/pyflakes,pyflakes,517.0,136671.0,110173.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000000,26498.0,13768183.0,13820428.0,https://anaconda.org/conda-forge/pyflakes,2021-10-07 19:30:05.408000,3448209.0,1.0,,,,,,,,,,,,,,,
29,pre-commit,https://github.com/pre-commit/pre-commit,,A framework for managing and maintaining multi-language pre-commit hooks.,others,32,True,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000000,2021-12-15 17:15:09.000000,2021-12-15 17:15:08.000000,519.0,1272.0,7007.0,2021-11-30 23:21:06.000000,2.16.0,164.0,129.0,23.0,,conda-forge/pre-commit,pre-commit,2119.0,2136.0,,https://pypi.org/project/pre-commit,2021-11-30 23:17:09.000000,2136.0,3926565.0,3958774.0,https://anaconda.org/conda-forge/pre-commit,2021-12-01 17:32:37.464000,889329.0,1.0,,22854.0,,,,,,,,,,,,,
30,virtualenv,https://github.com/pypa/virtualenv,,Virtual Python Environment builder.,virtual-envs,32,True,pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000000,2021-12-16 01:24:54.000000,2021-12-04 10:07:26.000000,912.0,1119.0,4017.0,2021-11-01 08:01:30.000000,20.10.0,173.0,220.0,65.0,,conda-forge/virtualenv,virtualenv,,34422.0,,https://pypi.org/project/virtualenv,2021-11-01 08:01:30.000000,34422.0,22881338.0,22905257.0,https://anaconda.org/conda-forge/virtualenv,2021-11-02 07:32:46.596000,1363431.0,2.0,,,,,,,,,,,,,,,
31,bandit,https://github.com/PyCQA/bandit,,Bandit is a tool designed to find common security issues in Python code.,security,32,True,PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000000,2021-12-13 21:35:43.000000,2021-11-13 01:35:32.000000,382.0,372.0,3759.0,2021-11-12 12:25:41.000000,1.7.1,32.0,137.0,187.0,,conda-forge/bandit,bandit,1181.0,12116.0,9762.0,https://pypi.org/project/bandit,2021-11-12 12:25:41.000000,2354.0,1999461.0,2002701.0,https://anaconda.org/conda-forge/bandit,2021-11-13 09:57:40.313000,100366.0,1.0,,127.0,,,,,,,,,,,,,
32,invoke,https://github.com/pyinvoke/invoke,,Pythonic task management & command execution.,build-tools,32,True,pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000000,2021-12-15 13:50:39.978000,2021-10-16 04:43:50.000000,296.0,364.0,3461.0,2021-07-09 21:42:28.000000,1.6.0,54.0,56.0,335.0,,conda-forge/invoke,invoke,3523.0,14317.0,9715.0,https://pypi.org/project/invoke,2021-12-15 13:50:39.978000,4602.0,1820422.0,1827526.0,https://anaconda.org/conda-forge/invoke,2021-07-10 12:55:00.642000,483133.0,1.0,,,,,,,,,,,,,,,
33,nose,https://github.com/nose-devs/nose,,nose is nicer testing for python.,testing,32,False,nose-devs/nose,https://github.com/nose-devs/nose,LGPL-2.1+,2011-12-13 19:36:32.000000,2021-10-25 05:23:45.000000,2016-03-04 01:16:26.000000,364.0,462.0,1344.0,2015-06-02 09:12:36.000000,1.3.7,14.0,95.0,447.0,,conda-forge/nose,nose,1004.0,204604.0,118130.0,https://pypi.org/project/nose,2015-06-02 09:12:36.000000,86474.0,4390345.0,4420032.0,https://anaconda.org/conda-forge/nose,2020-10-11 16:52:20.277000,1989092.0,2.0,,,,,,,,,,,,,,,
34,rope,https://github.com/python-rope/rope,,a python refactoring library.,refactoring,32,True,python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000000,2021-12-15 13:42:34.748000,2021-12-13 23:07:12.000000,149.0,162.0,1244.0,2021-11-22 15:09:58.000000,0.22.0,69.0,68.0,72.0,,conda-forge/rope,rope,2282.0,36344.0,33412.0,https://pypi.org/project/rope,2021-12-15 13:42:34.748000,2932.0,556123.0,566977.0,https://anaconda.org/conda-forge/rope,2021-11-22 17:32:33.372000,607857.0,1.0,,,,,,,2.0,,,,,,,,
35,python-json-logger,https://github.com/madzak/python-json-logger,,Json Formatter for the standard python logger.,logging,32,True,madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000000,2021-07-27 23:18:51.000000,2021-07-27 23:18:45.000000,166.0,46.0,1142.0,2021-07-27 23:09:33.000000,2.0.2,22.0,46.0,24.0,,conda-forge/python-json-logger,python-json-logger,196.0,19950.0,19032.0,https://pypi.org/project/python-json-logger,2021-07-27 23:09:33.000000,918.0,4582922.0,4601294.0,https://anaconda.org/conda-forge/python-json-logger,2020-10-12 23:31:31.855000,1028877.0,2.0,,,,,,,,,,,,,,,
36,parso,https://github.com/davidhalter/parso,,A Python Parser.,linters,32,True,davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000000,2021-12-01 05:04:36.494000,2021-11-30 21:03:35.000000,76.0,96.0,464.0,2021-11-30 21:05:47.000000,0.8.3,26.0,43.0,7.0,,conda-forge/parso,parso,1096.0,176849.0,165485.0,https://pypi.org/project/parso,2021-11-30 21:05:47.000000,11364.0,18014600.0,18136844.0,https://anaconda.org/conda-forge/parso,2021-12-01 05:04:36.494000,5867740.0,1.0,,,,,,,,,,,,,,,
37,loguru,https://github.com/Delgan/loguru,,Python logging made (stupidly) simple.,logging,31,True,Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000000,2021-11-02 13:32:36.476000,2021-09-09 07:14:10.000000,463.0,408.0,10502.0,2020-09-20 07:56:32.000000,0.5.3,17.0,30.0,90.0,,conda-forge/loguru,loguru,562.0,12930.0,12588.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000000,342.0,2076966.0,2086649.0,https://anaconda.org/conda-forge/loguru,2021-11-02 13:32:36.476000,329230.0,2.0,,,,,,,,,,,,,,,
38,pyautogui,https://github.com/asweigart/pyautogui,,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,testing,31,True,asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000000,2021-11-16 09:51:57.000000,2021-09-14 17:41:07.000000,784.0,197.0,5979.0,2021-07-07 17:05:04.000000,0.9.53,50.0,51.0,342.0,,conda-forge/pyautogui,pyautogui,402.0,12352.0,11744.0,https://pypi.org/project/pyautogui,2021-07-07 17:05:04.000000,608.0,503629.0,506487.0,https://anaconda.org/conda-forge/pyautogui,2021-11-11 10:15:02.687000,140076.0,2.0,,,,,,,,,,,,,,,
