,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending
15,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2021-01-09 03:56:38.000,2021-01-09 03:56:36.000,1281.0,2021-01-09 02:03:22.000,51.1.2,412.0,conda-forge/setuptools,,setuptools,681.0,535.0,1172.0,,144321.0,86391.0,407.0,https://pypi.org/project/setuptools,2021-01-09 02:03:18.000,57930.0,71111511.0,71440554.0,https://anaconda.org/conda-forge/setuptools,2021-01-08 05:42:17.824,17768286.0,1.0,101.0,,,,,,,,
16,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,34,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-01-07 23:32:13.000,2021-01-07 23:32:08.000,1057.0,2020-10-02 23:34:01.000,3.8.4,76.0,conda-forge/flake8,,flake8,183.0,7.0,,1876.0,213684.0,142394.0,148.0,https://pypi.org/project/flake8,2020-10-02 23:34:01.000,71290.0,4343098.0,4376651.0,https://anaconda.org/conda-forge/flake8,2020-10-05 05:07:54.333,1845467.0,1.0,,,,,,,,,
17,yapf,https://github.com/google/yapf,,A formatter for Python files.,formatters,33,True,google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2020-12-21 02:00:08.000,2020-12-21 02:00:07.000,11378.0,2020-04-23 19:07:36.000,0.30.0,67.0,conda-forge/yapf,,yapf,779.0,298.0,364.0,1113.0,19469.0,16063.0,123.0,https://pypi.org/project/yapf,2020-04-23 19:07:36.000,3406.0,441641.0,450499.0,https://anaconda.org/conda-forge/yapf,2020-07-28 15:36:35.387,487192.0,2.0,,,,,,,,,
18,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,33,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-01-13 14:46:32.000,2021-01-13 14:46:31.000,11369.0,2020-05-14 15:18:01.000,1.1.2,44.0,conda-forge/mkdocs,['mkdocs'],mkdocs,1598.0,133.0,1329.0,1492.0,16048.0,10106.0,181.0,https://pypi.org/project/mkdocs,2020-05-14 15:18:01.000,5942.0,216144.0,218131.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,113266.0,1.0,,,,,,,,,
19,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,33,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2021-01-13 20:24:21.000,2021-01-11 17:30:09.000,5437.0,2020-09-01 18:21:46.000,3.2.2,51.0,conda-forge/robotframework,,robotframework,1549.0,188.0,3240.0,12690.0,4700.0,3292.0,131.0,https://pypi.org/project/robotframework,2020-11-30 19:27:10.000,1408.0,414094.0,415071.0,https://anaconda.org/conda-forge/robotframework,2020-09-03 11:47:40.885,34982.0,1.0,493.0,,,,,,,,
20,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2021-01-14 14:34:21.000,2021-01-13 04:48:37.000,4881.0,2021-01-13 04:49:02.000,hypothesis-python-6.0.1,795.0,conda-forge/hypothesis,,hypothesis,448.0,54.0,982.0,10422.0,10009.0,7393.0,241.0,https://pypi.org/project/hypothesis,2021-01-13 04:48:48.000,2616.0,681925.0,743788.0,https://anaconda.org/conda-forge/hypothesis,2021-01-13 06:17:25.339,3340646.0,1.0,,,,,,,,,
21,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,33,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2021-01-08 01:29:21.000,2021-01-07 18:35:38.000,4223.0,2020-05-11 20:02:52.000,2.6.0,11.0,conda-forge/pycodestyle,,pycodestyle,592.0,112.0,522.0,1199.0,135789.0,114559.0,124.0,https://pypi.org/project/pycodestyle,2020-05-11 20:02:52.000,21230.0,6305746.0,6341606.0,https://anaconda.org/conda-forge/pycodestyle,2020-05-12 17:42:46.576,1972322.0,1.0,,,,,,,,,
22,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,33,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2020-12-28 06:47:45.000,2020-12-28 06:47:37.000,3669.0,2020-08-02 04:28:37.000,1.5.4,64.0,conda-forge/autopep8,,autopep8,228.0,85.0,329.0,2672.0,72008.0,61824.0,47.0,https://pypi.org/project/autopep8,2020-08-02 04:28:37.000,10184.0,917481.0,924369.0,https://anaconda.org/conda-forge/autopep8,2020-08-02 05:22:52.912,378844.0,2.0,,,,,,,,,
23,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2021-01-12 02:01:55.000,2021-01-12 02:01:54.000,3578.0,2018-10-05 13:20:49.000,0.4.2,23.0,conda-forge/sphinx_rtd_theme,['sphinx'],sphinx_rtd_theme,1477.0,158.0,448.0,1187.0,23490.0,16.0,103.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000,23474.0,881775.0,899048.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-01-05 13:49:54.682,915482.0,1.0,,,,,,,,,
24,numpydoc,https://github.com/numpy/numpydoc,,Numpy's Sphinx extensions.,documentation,32,True,numpy/numpydoc,https://github.com/numpy/numpydoc,BSD-3-Clause,2013-07-24 16:23:39.000,2021-01-09 19:44:01.000,2021-01-09 19:43:59.000,15954.0,2020-07-01 21:59:00.000,1.1.0,13.0,conda-forge/numpydoc,['sphinx'],numpydoc,5168.0,49.0,90.0,431.0,30318.0,22970.0,64.0,https://pypi.org/project/numpydoc,2020-07-01 21:59:00.000,7348.0,133158.0,147694.0,https://anaconda.org/conda-forge/numpydoc,2020-10-01 19:37:54.384,697755.0,2.0,,,,,,,,,
