,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
131,PyOxidizer,indygreg/PyOxidizer,packaging,A modern Python application packaging and distribution tool.,,https://github.com/indygreg/PyOxidizer,https://github.com/indygreg/PyOxidizer,MPL-2.0,2018-12-18 23:32:13.000,2023-12-07 18:19:12.000,2023-01-21 22:38:30,6697.0,,210.0,62.0,130.0,236.0,5014.0,2023-01-02 16:18:55.910,0.24.0,22.0,54.0,28,True,,324.0,pyoxidizer,,,152.0,150.0,https://pypi.org/project/pyoxidizer,2023-01-02 16:18:55.910,2.0,8778.0,9048.0,,,,3.0,12995.0,,,,,,,,,,,,,,,,,,
132,coala,coala/coala,linters,"coala provides a unified command-line interface for linting and fixing all your code, regardless of the programming..",,https://github.com/coala/coala,https://github.com/coala/coala,AGPL-3.0,2014-05-15 11:35:34.000,2022-07-03 04:03:12.000,2021-06-11 17:11:55,4487.0,,1356.0,101.0,3152.0,2374.0,3506.0,2017-05-30 10:07:57.000,0.11.1,731.0,483.0,28,False,,835.0,coala-bears,,,121.0,13.0,https://pypi.org/project/coala-bears,2017-11-10 21:09:42.601,108.0,4852.0,4853.0,,,,2.0,176.0,,,,,,,,,,,,,,,,,,
133,notifiers,liiight/notifiers,logging,The easy way to send notifications.,,https://github.com/liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2024-01-08 17:37:39.000,2022-07-14 07:40:12,517.0,,99.0,30.0,362.0,67.0,2565.0,2022-02-10 14:51:38.000,1.3.3,31.0,19.0,28,False,,43.0,notifiers,conda-forge/notifiers,,1180.0,1156.0,https://pypi.org/project/notifiers,2022-02-10 14:51:38.000,24.0,655786.0,656748.0,https://anaconda.org/conda-forge/notifiers,2023-06-16 19:23:52.875,35618.0,3.0,,,,,,,,,,,,,,,,,,,
134,Diamond,python-diamond/Diamond,profiling,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,,https://github.com/python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2023-11-01 17:50:44.000,2023-11-01 17:50:44,3337.0,1.0,600.0,90.0,534.0,170.0,1725.0,2016-11-25 22:13:29.000,4.0.515,36.0,387.0,28,True,,135.0,diamond,,,195.0,161.0,https://pypi.org/project/diamond,2016-11-25 22:13:29.000,34.0,5232.0,5232.0,,,,3.0,,,,,,,,,,,,,,,,,,,
135,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2023-11-07 10:47:13.000,2022-07-14 18:31:38,706.0,,67.0,19.0,322.0,126.0,1220.0,2021-07-09 22:22:20.000,0.10.3,26.0,41.0,28,False,,98.0,pdbpp,conda-forge/pdbpp,,6066.0,5335.0,https://pypi.org/project/pdbpp,2021-07-09 22:22:20.000,731.0,253582.0,254978.0,https://anaconda.org/conda-forge/pdbpp,2023-06-16 13:25:41.484,107548.0,3.0,,,,,,,,,,,,,,,,,,,
136,autoflake,myint/autoflake,refactoring,Removes unused imports and unused variables as reported by pyflakes.,,https://github.com/PyCQA/autoflake,https://github.com/PyCQA/autoflake,MIT,2012-12-27 03:40:17.000,2024-01-10 04:09:39.000,2024-01-10 04:09:32,630.0,10.0,77.0,14.0,176.0,74.0,835.0,2023-09-01 06:20:05.000,2.2.1,59.0,38.0,28,True,PyCQA/autoflake,38.0,autoflake,conda-forge/autoflake,,782.0,,https://pypi.org/project/autoflake,2023-09-01 06:19:21.000,782.0,1348204.0,1357307.0,https://anaconda.org/conda-forge/autoflake,2023-06-16 16:14:56.765,518906.0,2.0,,,,,,,,,,,,,,,,,,,
137,green,CleanCut/green,testing,"Green is a clean, colorful, fast python test runner.",,https://github.com/CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2023-12-22 20:33:51.000,2023-12-05 02:58:34,1101.0,10.0,80.0,26.0,80.0,174.0,781.0,2022-09-21 00:00:55.818,3.4.3,145.0,39.0,28,True,,8.0,green,conda-forge/green,,241.0,,https://pypi.org/project/green,2022-09-21 00:00:55.818,241.0,14621.0,17789.0,https://anaconda.org/conda-forge/green,2023-09-28 06:00:07.530,133088.0,3.0,,,,,,,,,,,,,,,,,,,
138,PyHamcrest,hamcrest/PyHamcrest,testing,Hamcrest matchers for Python.,,https://github.com/hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,,2010-12-24 02:55:56.000,2024-01-09 08:18:16.000,2024-01-09 08:18:11,648.0,9.0,106.0,25.0,160.0,65.0,732.0,2023-10-22 15:51:05.000,V2.1.0,25.0,43.0,28,False,,21.0,pyhamcrest,conda-forge/pyhamcrest,,38337.0,36482.0,https://pypi.org/project/pyhamcrest,2023-10-22 15:47:25.000,1855.0,1211526.0,1216730.0,https://anaconda.org/conda-forge/pyhamcrest,2023-06-16 13:17:20.732,478842.0,3.0,,,,,,,,,,,,,,,,,,,
139,buildout,buildout/buildout,build-tools,Buildout is a deployment automation tool written in and extended with Python.,,https://github.com/buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2024-01-04 13:26:22.000,2022-11-08 15:07:52,1711.0,,172.0,54.0,277.0,233.0,567.0,2023-02-03 17:52:32.253,2.13.7,125.0,93.0,28,False,,134.0,zc.buildout,conda-forge/zc.buildout,,1046.0,,https://pypi.org/project/zc.buildout,2023-02-03 17:52:32.253,1046.0,33909.0,35039.0,https://anaconda.org/conda-forge/zc.buildout,2023-06-16 19:27:31.340,31651.0,3.0,,,,,,,,,,,,7.0,,,,,,,
140,hacking,openstack/hacking,linters,OpenStack Hacking Style Checks. Mirror of code maintained at opendev.org.,,https://github.com/openstack/hacking,https://github.com/openstack/hacking,Apache-2.0,2013-03-26 21:09:28.000,2023-12-08 14:15:04.000,2023-12-06 17:49:22,1073.0,2.0,70.0,33.0,7.0,,233.0,2023-12-08 14:15:04.000,6.1.0,41.0,187.0,28,True,,,hacking,,['flake8'],4400.0,,https://pypi.org/project/hacking,2023-12-08 14:15:04.000,4400.0,79293.0,79293.0,,,,2.0,,,,,,,,,,,,9.0,,,,,,,
141,typed_ast,python/typed_ast,ast,Modified fork of CPythons ast module that parses `# type:` comments.,,https://github.com/python/typed_ast,https://github.com/python/typed_ast,Apache-2.0,2016-02-16 22:40:09.000,2023-09-22 19:48:21.052,2023-07-03 22:55:34,205.0,,56.0,20.0,109.0,86.0,225.0,2023-07-04 18:38:08.820,1.5.5,35.0,26.0,28,True,,1.0,typed_ast,conda-forge/typed-ast,,5551.0,,https://pypi.org/project/typed_ast,2023-07-04 18:38:08.820,5551.0,6167687.0,6327540.0,https://anaconda.org/conda-forge/typed-ast,2023-09-22 19:48:21.052,6234286.0,2.0,,,,,,,,,,,,,,,,,,,
142,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2023-08-18 23:41:57.000,2019-12-22 18:11:19,86.0,,50.0,9.0,37.0,22.0,211.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,28,False,,25.0,astunparse,conda-forge/astunparse,,97824.0,97348.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,476.0,7524267.0,7550394.0,https://anaconda.org/conda-forge/astunparse,2023-06-16 13:24:50.388,2064105.0,2.0,,,,,,,,,,,,,,,,,,,
143,flake8-quotes,zheller/flake8-quotes,linters,Flake8 extension for checking quotes in python.,,https://github.com/zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2024-01-07 17:41:18.000,2022-12-19 16:44:44,108.0,,39.0,5.0,66.0,44.0,170.0,2022-12-19 16:50:01.696,3.3.2,41.0,32.0,28,False,,8.0,flake8-quotes,conda-forge/flake8-quotes,['flake8'],21513.0,20581.0,https://pypi.org/project/flake8-quotes,2022-12-19 16:50:01.696,932.0,579154.0,586957.0,https://anaconda.org/conda-forge/flake8-quotes,2023-06-16 13:20:50.267,686689.0,2.0,,,,,,,,,,,,,,,,,,,
144,gast,serge-sans-paille/gast,ast,Python AST that abstracts the underlying Python version.,,https://github.com/serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2023-12-19 18:16:42.000,2023-12-19 18:16:42,104.0,7.0,31.0,13.0,48.0,33.0,132.0,2023-04-29 19:44:01.995,0.5.4,21.0,10.0,28,True,,2.0,gast,conda-forge/gast,,144623.0,142658.0,https://pypi.org/project/gast,2023-04-29 19:44:01.995,1965.0,12756236.0,12818622.0,https://anaconda.org/conda-forge/gast,2023-07-03 07:21:35.215,2557838.0,2.0,,,,,,,,,,,,,,,,,,,
145,Bpytop,aristocratos/bpytop,profiling,Linux/OSX/FreeBSD resource monitor.,,https://github.com/aristocratos/bpytop,https://github.com/aristocratos/bpytop,Apache-2.0,2020-07-01 17:41:25.000,2023-11-18 22:04:00.000,2022-03-06 14:20:17,408.0,,384.0,155.0,72.0,228.0,9723.0,,,8.0,35.0,27,False,,78.0,bpytop,conda-forge/bpytop,,168.0,168.0,https://pypi.org/project/bpytop,,,5096.0,5532.0,https://anaconda.org/conda-forge/bpytop,2023-06-16 19:24:35.135,15272.0,3.0,,,,,,,,,,,,,,,,,,,
146,memory-profiler,pythonprofilers/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000,2023-10-23 14:35:37.000,2023-10-23 14:35:37,718.0,2.0,371.0,80.0,162.0,115.0,4110.0,2022-11-15 17:59:01.069,0.61.0,59.0,103.0,27,True,,131.0,memory_profiler,conda-forge/memory_profiler,,263.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,263.0,888201.0,892400.0,https://anaconda.org/conda-forge/memory_profiler,2023-06-16 13:17:34.885,386327.0,3.0,,,,,,,,,,,,7.0,,,,,,,
