,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
125,safety,pyupio/safety,security,Safety checks Python dependencies for known security vulnerabilities and suggests the proper remediations for..,,https://github.com/pyupio/safety,https://github.com/pyupio/safety,MIT,2016-10-19 13:22:56.000,2023-08-10 16:18:37.000,2023-05-29 16:30:35,590.0,,131.0,32.0,306.0,62.0,118.0,1552.0,2022-12-08 19:10:01.428,2.3.5,55.0,41.0,28,True,,safety,conda-forge/safety,,449.0,29.0,https://pypi.org/project/safety,2022-10-04 21:08:20.401,420.0,1065350.0,1076479.0,https://anaconda.org/conda-forge/safety,2023-06-16 16:15:06.955,83079.0,3.0,411200.0,,,,,,,,,,,,,,,,,,
126,Yappi,sumerc/yappi,profiling,"Yet Another Python Profiler, but this time multithreading, asyncio and gevent aware.",,https://github.com/sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2023-09-28 07:12:05.000,2023-05-29 13:41:01,712.0,,66.0,15.0,79.0,24.0,51.0,1249.0,2022-10-31 08:28:00.894,1.4.0,22.0,28.0,28,True,,yappi,conda-forge/yappi,,1398.0,1048.0,https://pypi.org/project/yappi,2022-10-31 08:28:00.894,350.0,1668388.0,1670541.0,https://anaconda.org/conda-forge/yappi,2023-06-16 13:20:48.597,163634.0,3.0,,,,,,,,,,,,,,,,,,,
127,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2023-10-18 12:51:45.000,2022-07-14 18:31:38,706.0,,65.0,19.0,321.0,98.0,126.0,1184.0,2021-07-09 22:22:20.000,0.10.3,26.0,41.0,28,False,,pdbpp,conda-forge/pdbpp,,5882.0,5166.0,https://pypi.org/project/pdbpp,2021-07-09 22:22:20.000,716.0,299844.0,301267.0,https://anaconda.org/conda-forge/pdbpp,2023-06-16 13:25:41.484,105357.0,3.0,,,,,,,,,,,,,,,,,,,
128,wily,tonybaloney/wily,code-metrics,"A Python application for tracking, reporting on timing and complexity in Python code.",,https://github.com/tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000,2023-10-14 11:26:06.000,2023-10-11 03:48:44,905.0,24.0,56.0,26.0,123.0,35.0,72.0,1128.0,2023-10-11 03:48:57.000,1.25.0,52.0,24.0,28,True,,wily,,,207.0,198.0,https://pypi.org/project/wily,2023-10-11 03:48:57.000,9.0,15028.0,15028.0,,,,3.0,,,,,,,,,,,,,,,,,,,
129,autoflake,myint/autoflake,refactoring,Removes unused imports and unused variables as reported by pyflakes.,,https://github.com/PyCQA/autoflake,https://github.com/PyCQA/autoflake,MIT,2012-12-27 03:40:17.000,2023-10-23 23:25:45.000,2023-10-23 23:25:39,623.0,20.0,77.0,15.0,172.0,39.0,73.0,812.0,2023-09-01 06:20:05.000,2.2.1,59.0,37.0,28,True,PyCQA/autoflake,autoflake,conda-forge/autoflake,,746.0,,https://pypi.org/project/autoflake,2023-09-01 06:19:21.000,746.0,1586864.0,1596295.0,https://anaconda.org/conda-forge/autoflake,2023-06-16 16:14:56.765,509307.0,2.0,,,,,,,,,,,,,,,,,,,
130,astor,berkerpeksag/astor,ast,Python AST read/write.,,https://github.com/berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2023-09-06 00:31:07.000,2023-09-06 00:31:07,265.0,1.0,98.0,25.0,109.0,40.0,78.0,746.0,2019-12-10 01:50:33.000,0.8.1,14.0,33.0,28,True,,astor,conda-forge/astor,,2193.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,2193.0,4706681.0,4735160.0,https://anaconda.org/conda-forge/astor,2023-06-16 13:23:08.435,2221400.0,3.0,,,,,,,,,,,,,,,,,,,
131,buildout,buildout/buildout,build-tools,Buildout is a deployment automation tool written in and extended with Python.,,https://github.com/buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2023-06-28 15:43:10.000,2022-11-08 15:07:52,1711.0,,172.0,54.0,274.0,134.0,233.0,564.0,2023-02-03 17:52:32.253,2.13.7,123.0,92.0,28,False,,zc.buildout,conda-forge/zc.buildout,,1045.0,,https://pypi.org/project/zc.buildout,2022-04-07 19:12:49.000,1045.0,68927.0,70151.0,https://anaconda.org/conda-forge/zc.buildout,2023-06-16 19:27:31.340,30606.0,3.0,,,,,,,,,,,,,,,,,,,
132,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2023-10-22 04:06:41.000,2023-10-22 01:54:47,265.0,7.0,141.0,16.0,130.0,18.0,79.0,471.0,2022-12-19 20:46:55.580,0.13.3,27.0,36.0,28,False,,pep8-naming,conda-forge/pep8-naming,,51992.0,50105.0,https://pypi.org/project/pep8-naming,2022-12-19 20:46:55.580,1887.0,1783883.0,1787664.0,https://anaconda.org/conda-forge/pep8-naming,2023-06-16 13:15:30.349,347856.0,2.0,,,,,,,,,,,,,,,,,,,
133,ddt,datadriventests/ddt,testing,Data-Driven Tests for Python Unittest.,,https://github.com/datadriventests/ddt,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2023-10-18 15:22:13.000,2022-08-10 16:41:28,230.0,,111.0,21.0,62.0,12.0,42.0,431.0,2023-02-02 20:53:42.547,1.4.2,31.0,37.0,28,False,,ddt,conda-forge/ddt,,6639.0,5301.0,https://pypi.org/project/ddt,2023-02-02 20:53:42.547,1338.0,396127.0,397255.0,https://anaconda.org/conda-forge/ddt,2023-06-16 13:23:45.665,89166.0,3.0,,,,,,,,,,,,,,,,,,,
134,wasabi,ines/wasabi,logging,A lightweight console printing and formatting toolkit.,,https://github.com/explosion/wasabi,https://github.com/explosion/wasabi,MIT,2018-11-17 14:40:55.000,2023-06-07 10:00:19.970,2023-06-07 06:50:58,257.0,,25.0,16.0,34.0,4.0,5.0,430.0,2023-06-07 07:37:46.000,1.1.2,39.0,13.0,28,True,explosion/wasabi,wasabi,conda-forge/wasabi,,35934.0,35934.0,https://pypi.org/project/wasabi,,,5317164.0,5339075.0,https://anaconda.org/conda-forge/wasabi,2023-06-07 10:00:19.970,1227067.0,3.0,,,,,,,,,,,,,,,,,,,
