,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-11-08 11:43:39.000,2023-11-08 11:43:38,3867.0,34.0,1600.0,550.0,1042.0,137.0,1050.0,45363.0,2023-09-30 14:13:00.000,13.6.0,107.0,235.0,43,True,,rich,conda-forge/rich,,137403.0,137403.0,https://pypi.org/project/rich,,,35481335.0,35621912.0,https://anaconda.org/conda-forge/rich,2023-09-30 19:12:41.298,5623111.0,1.0,,,,,,,,,,,,,,,,,
11,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-11-09 13:51:44.000,2023-11-09 05:22:15,5608.0,1056.0,632.0,70.0,5159.0,571.0,2684.0,19920.0,2023-11-08 23:19:55.000,0.1.5,272.0,307.0,43,True,astral-sh/ruff,ruff,conda-forge/ruff,,23422.0,21871.0,https://pypi.org/project/ruff,2023-11-08 23:10:20.000,1551.0,7059333.0,7101487.0,https://anaconda.org/conda-forge/ruff,2023-11-09 05:48:57.662,412692.0,1.0,85399.0,,,,,,,,,,,,,,,,
12,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-11-07 19:23:15.000,2023-11-07 19:23:15,5818.0,380.0,3078.0,123.0,2628.0,34.0,2057.0,16089.0,2023-11-05 18:52:17.000,9.4.8,353.0,236.0,43,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],40138.0,39112.0,https://pypi.org/project/mkdocs-material,2023-11-05 18:52:17.000,1026.0,3316284.0,3324161.0,https://anaconda.org/conda-forge/mkdocs-material,2023-11-05 23:04:44.219,330849.0,1.0,,,,,,,,,,,,,,,,,
13,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-11-08 21:25:28.000,2023-10-26 22:00:32,5982.0,20.0,1310.0,236.0,657.0,250.0,1409.0,9637.0,,,37.0,198.0,43,True,,psutil,conda-forge/psutil,,389182.0,389182.0,https://pypi.org/project/psutil,,,90994259.0,91673076.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,27152707.0,1.0,,,,,,,,,,,,,,,,,
14,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-11-08 15:47:04.000,2023-10-05 14:03:32,20447.0,206.0,1879.0,149.0,5050.0,1144.0,5508.0,5745.0,2023-09-13 23:13:00.000,7.2.6,108.0,790.0,43,False,,sphinx,conda-forge/sphinx,['sphinx'],339499.0,339499.0,https://pypi.org/project/sphinx,,,11833181.0,12035759.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8508278.0,1.0,,,,,,,,,,,,,,,,,
15,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-10-18 21:45:39.000,2023-10-04 07:41:55,8402.0,16.0,502.0,114.0,590.0,51.0,1323.0,5549.0,2023-10-02 09:20:35.000,0.19.1,34.0,165.0,43,True,,jedi,conda-forge/jedi,,371286.0,362794.0,https://pypi.org/project/jedi,2023-10-02 09:20:35.000,8492.0,32336859.0,32820900.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,19845700.0,1.0,,,,,,,,,,,,,,,,,
16,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-11-07 09:56:23.000,2023-08-10 10:52:15,1964.0,,1319.0,210.0,534.0,464.0,577.0,26187.0,2023-08-10 11:59:02.000,4.66.1,135.0,112.0,42,True,,tqdm,conda-forge/tqdm,,608535.0,580369.0,https://pypi.org/project/tqdm,2023-08-10 11:38:57.000,28166.0,78847344.0,79431921.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,23960348.0,1.0,11400.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4125.0,,,,,,,,,,,
17,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-11-08 17:33:39.000,2023-11-08 17:33:38,1991.0,44.0,2311.0,229.0,1207.0,129.0,1771.0,17328.0,2023-09-18 21:27:59.000,1.5.3,60.0,245.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],56424.0,51819.0,https://pypi.org/project/mkdocs,2023-09-18 21:26:09.000,4605.0,2485642.0,2496151.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,304767.0,1.0,,,,,,,,,,,,,,,,,
18,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-11-09 04:08:38.000,2023-10-28 18:50:43,2611.0,44.0,755.0,86.0,1138.0,23.0,1869.0,11164.0,2023-10-13 16:06:55.000,3.5.0,187.0,154.0,42,True,,pre-commit,conda-forge/pre-commit,,163409.0,157299.0,https://pypi.org/project/pre-commit,2023-10-13 15:57:46.000,6110.0,15367320.0,15489025.0,https://anaconda.org/conda-forge/pre-commit,2023-10-13 18:39:42.607,3907421.0,1.0,744846.0,,,,,,,,,,,,,,,,
19,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-11-08 22:09:36.000,2023-11-08 22:09:36,9049.0,146.0,1784.0,231.0,2284.0,260.0,4812.0,10738.0,2023-10-13 21:22:54.000,6.1.0,58.0,461.0,42,True,,pyinstaller,conda-forge/pyinstaller,,50242.0,50242.0,https://pypi.org/project/pyinstaller,,,1834604.0,1855535.0,https://anaconda.org/conda-forge/pyinstaller,2023-10-27 11:11:40.972,504782.0,1.0,742390.0,,,,,,,,,,,,,,,,
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-11-08 11:01:32.000,2023-11-08 10:50:05,14317.0,185.0,2150.0,481.0,684.0,296.0,3974.0,8475.0,2023-07-28 19:29:00.000,6.1.1,120.0,189.0,42,True,,robotframework,conda-forge/robotframework,,10174.0,9053.0,https://pypi.org/project/robotframework,2023-07-28 19:27:05.000,1121.0,1707242.0,1712335.0,https://anaconda.org/conda-forge/robotframework,2023-10-10 22:35:13.903,162830.0,1.0,553.0,,,,,,,,,,,,,,,,
21,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-11-08 21:50:03.000,2023-11-08 21:50:02,8984.0,177.0,1047.0,76.0,4006.0,815.0,4395.0,4914.0,2023-10-22 13:55:18.000,3.0.2,182.0,548.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,414030.0,391086.0,https://pypi.org/project/pylint,2023-10-22 13:55:18.000,22944.0,20273102.0,20386865.0,https://anaconda.org/conda-forge/pylint,2023-10-22 20:06:43.450,4664287.0,1.0,,,,,,,,,,,,,,,,,
22,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-11-08 21:44:38.000,2023-11-08 21:44:38,1336.0,35.0,933.0,215.0,356.0,365.0,460.0,13475.0,2023-09-22 18:40:43.000,0.40.2,74.0,151.0,41,True,,yapf,conda-forge/yapf,,88465.0,86149.0,https://pypi.org/project/yapf,2023-09-22 18:40:43.000,2316.0,5011058.0,5064628.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1660687.0,2.0,,,,,,,,,,,,,,,,,
23,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-11-07 11:50:03.000,2023-11-05 02:32:14,13353.0,166.0,564.0,73.0,2331.0,44.0,1412.0,7003.0,2023-11-05 02:32:18.000,6.88.3,1095.0,320.0,41,True,,hypothesis,conda-forge/hypothesis,,25575.0,23253.0,https://pypi.org/project/hypothesis,2023-11-05 02:32:18.000,2322.0,6256805.0,6453813.0,https://anaconda.org/conda-forge/hypothesis,2023-11-05 05:14:03.097,8274364.0,1.0,,,,,,,,,,,,,,,,,
24,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2023-11-09 12:58:18.000,2023-11-09 10:58:36,16583.0,136.0,1356.0,196.0,3937.0,670.0,8631.0,5803.0,2023-10-30 16:37:48.000,23.10.0,100.0,443.0,41,False,,conda,conda-forge/conda,,43936.0,43936.0,https://pypi.org/project/conda,,,100034.0,1241953.0,https://anaconda.org/conda-forge/conda,2023-11-07 21:45:39.233,47960612.0,1.0,,,,,,,,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-11-06 21:12:25.000,2023-11-06 21:12:17,4118.0,21.0,541.0,48.0,956.0,178.0,1064.0,6134.0,2023-01-31 16:31:31.154,5.8.0,143.0,288.0,40,True,,isort,conda-forge/isort,,444233.0,426108.0,https://pypi.org/project/isort,2023-01-31 16:31:31.154,18125.0,27506738.0,27569048.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5483302.0,2.0,,,,,,,,,,,,,,,,,
26,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-11-06 18:24:18.000,2023-11-01 18:41:20,743.0,29.0,948.0,171.0,1324.0,19.0,1284.0,4579.0,2023-10-23 18:36:13.000,20.24.6,64.0,112.0,40,True,,virtualenv,conda-forge/virtualenv,,333270.0,333270.0,https://pypi.org/project/virtualenv,,,106543516.0,106695262.0,https://anaconda.org/conda-forge/virtualenv,2023-10-23 20:27:05.672,5614613.0,2.0,,,,,,,,,,,,,,,,,
27,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-11-09 10:35:06.000,2023-11-04 16:01:55,2060.0,45.0,515.0,103.0,978.0,142.0,861.0,7183.0,2023-08-08 23:35:03.000,7.3.0,67.0,199.0,39,True,,pip-tools,conda-forge/pip-tools,,23712.0,23712.0,https://pypi.org/project/pip-tools,,,11318055.0,11321151.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,130043.0,2.0,,,,,,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-11-06 22:53:44.000,2023-11-06 22:53:43,668.0,41.0,494.0,43.0,1363.0,74.0,1586.0,3389.0,2023-09-08 22:45:32.000,4.11.3,208.0,290.0,39,True,,tox,conda-forge/tox,['pytest'],129031.0,106654.0,https://pypi.org/project/tox,2023-09-08 22:45:32.000,22377.0,13335606.0,13355311.0,https://anaconda.org/conda-forge/tox,2023-09-09 02:01:04.061,827629.0,1.0,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-11-09 13:24:11.000,2023-11-08 15:51:12,1983.0,107.0,412.0,71.0,1399.0,149.0,897.0,1643.0,2023-11-02 14:57:28.000,1.34.0,113.0,197.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,51742.0,51742.0,https://pypi.org/project/sentry-sdk,,,22341090.0,22357784.0,https://anaconda.org/conda-forge/sentry-sdk,2023-11-02 17:53:11.350,680820.0,1.0,3478.0,,,,,,,,,,,,,,,,
30,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-11-01 14:26:35.000,2023-11-01 14:26:27,776.0,49.0,648.0,129.0,150.0,120.0,747.0,16549.0,2023-09-11 15:25:24.000,0.7.2,21.0,51.0,38,True,,loguru,conda-forge/loguru,,69047.0,66169.0,https://pypi.org/project/loguru,2023-09-11 15:24:35.000,2878.0,21789636.0,21832533.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1801681.0,2.0,,,,,,,,,,,,,,,,,
31,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-11-09 07:09:39.000,2023-11-09 07:09:35,6801.0,359.0,1132.0,111.0,940.0,20.0,4712.0,11142.0,2023-11-08 02:32:33.000,1.1.335,419.0,100.0,38,True,,,,,674.0,662.0,,,,,751068.0,,,,2.0,1178.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-11-08 02:11:45.532,12.0,751006.0,,,,,,
32,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-10-27 07:04:26.000,2023-10-27 07:04:25,2846.0,24.0,298.0,73.0,233.0,122.0,362.0,4447.0,2023-08-26 13:59:08.000,2.0.4,75.0,60.0,38,True,,autopep8,conda-forge/autopep8,,200174.0,194246.0,https://pypi.org/project/autopep8,2023-08-26 13:49:56.000,5928.0,4106114.0,4139257.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1358891.0,3.0,,,,,,,,,,,,,,,,,
33,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-10-23 21:47:32.000,2023-10-23 21:47:31,2427.0,19.0,286.0,38.0,345.0,22.0,1515.0,3072.0,,,30.0,172.0,38,False,,flake8,conda-forge/flake8,,501888.0,501888.0,https://pypi.org/project/flake8,,,25487821.0,25652512.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6917034.0,1.0,,,,,,,,,,,,,,,,,
34,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-11-08 03:51:39.000,2023-11-07 15:42:44,2998.0,74.0,2027.0,194.0,2544.0,587.0,4756.0,27305.0,2023-11-03 14:24:51.000,1.7.0,100.0,493.0,37,True,,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,,,25448093.0,25709483.0,https://anaconda.org/conda-forge/poetry,2023-11-03 17:57:26.579,1058299.0,2.0,15312573.0,,,,,,,,,,,,,,,,
35,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-11-09 09:18:17.000,2023-10-27 11:32:51,11517.0,242.0,527.0,135.0,331.0,174.0,1843.0,9942.0,,,184.0,156.0,37,True,,nuitka,conda-forge/nuitka,,1573.0,1573.0,https://pypi.org/project/nuitka,,,85813.0,99931.0,https://anaconda.org/conda-forge/nuitka,2023-10-30 16:34:35.248,592956.0,1.0,,,,,,,,,,,,,,,,,
36,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-11-06 18:36:37.000,2023-11-06 18:36:36,910.0,23.0,140.0,35.0,204.0,40.0,341.0,455.0,2023-10-30 10:05:34.000,0.41.3,76.0,76.0,37,True,,wheel,conda-forge/wheel,,272500.0,235398.0,https://pypi.org/project/wheel,2023-10-30 10:02:42.000,37102.0,281304681.0,283379570.0,https://anaconda.org/conda-forge/wheel,2023-10-30 13:03:38.406,80920708.0,1.0,,,,,,,,,,,,,,,,,
37,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-10-25 22:45:17.000,2023-10-25 22:45:16,1324.0,8.0,548.0,67.0,403.0,195.0,459.0,5564.0,2023-03-10 01:08:04.773,1.7.5,36.0,173.0,36,True,,bandit,conda-forge/bandit,,46952.0,45134.0,https://pypi.org/project/bandit,2023-03-10 01:08:04.773,1818.0,3362148.0,3369551.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,273506.0,1.0,747.0,,,,,,,,,,,,,,,,
38,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-11-09 07:59:15.000,2023-11-07 04:03:47,24279.0,325.0,1481.0,201.0,5610.0,679.0,849.0,5095.0,2023-09-02 20:49:47.000,3.9.2,61.0,851.0,36,True,,buildbot,conda-forge/buildbot,,334.0,334.0,https://pypi.org/project/buildbot,,,31655.0,34275.0,https://anaconda.org/conda-forge/buildbot,2023-09-03 11:43:28.850,90080.0,2.0,33360.0,,,,,,,,,,,,,,,,
39,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2023-10-15 13:01:19.000,2023-05-24 18:28:10,920.0,,206.0,39.0,240.0,139.0,239.0,1559.0,2023-05-24 18:44:54.000,4.1.0,45.0,86.0,36,True,,pytest-cov,conda-forge/pytest-cov,['pytest'],318308.0,283322.0,https://pypi.org/project/pytest-cov,2023-05-24 18:44:54.000,34986.0,40974716.0,41082446.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,9911199.0,1.0,,,,,,,,,,,,,,,,,
40,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,,2014-05-15 22:49:43.000,2023-11-07 20:25:53.000,2023-11-07 20:25:52,676.0,21.0,216.0,28.0,403.0,67.0,274.0,540.0,2023-10-01 13:50:29.000,23.2,19.0,102.0,36,False,,packaging,conda-forge/packaging,,931961.0,931961.0,https://pypi.org/project/packaging,,,258296414.0,259270209.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,40898843.0,2.0,744.0,,,,,,,,,,,,,,,,
41,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2023-10-30 19:10:26.000,2023-10-30 19:10:26,3198.0,55.0,2845.0,382.0,1000.0,38.0,1624.0,34022.0,2023-10-22 09:36:02.000,2.3.31,87.0,431.0,35,True,,pyenv,,,22.0,21.0,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,12575.0,12575.0,,,,2.0,,,,,,,,,,,,,,,,,
42,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-10-16 16:49:29.444,2023-06-07 11:16:23,408.0,,1098.0,187.0,157.0,433.0,227.0,8828.0,,,12.0,52.0,35,True,,pyautogui,conda-forge/pyautogui,,28298.0,28298.0,https://pypi.org/project/pyautogui,,,766033.0,771765.0,https://anaconda.org/conda-forge/pyautogui,2023-10-16 16:49:29.444,212095.0,2.0,,,,,,,,,,,,,,,,,
